date,open,high,low,close,volume,prev_closing_price
2010-09-20,13.0,13.1,12.5,12.6,10323500,10.0
2010-09-21,12.8,13.2,12.7,12.9,3327500,12.6
2010-09-22,13.0,13.4,12.9,13.0,2765500,12.9
2010-09-23,13.3,13.4,13.0,13.0,2329000,13.0
2010-09-26,13.0,13.2,12.8,12.8,1608500,13.0
2010-09-27,12.7,13.0,12.6,12.6,1332000,12.8
2010-09-28,12.6,12.8,12.5,12.5,1293500,12.6
2010-09-29,12.5,12.6,11.5,12.3,1130500,12.5
2010-09-30,12.1,12.4,12.1,12.1,791500,12.3
2010-10-03,12.4,12.5,11.8,11.8,1189500,12.1
2010-10-04,12.0,12.0,11.7,11.8,882500,11.8
2010-10-05,11.8,12.7,11.6,12.2,1354500,11.8
2010-10-06,12.6,13.0,12.2,12.4,1925500,12.2
2010-10-07,12.2,12.4,11.7,11.9,1081500,12.4
2010-10-10,11.7,12.0,11.7,11.7,996500,11.9
2010-10-11,11.7,11.9,11.6,11.7,910500,11.7
2010-10-12,11.7,11.9,11.6,11.6,772500,11.7
2010-10-13,11.6,11.9,11.5,11.7,1275500,11.6
2010-10-14,11.6,12.0,11.6,11.7,1356500,11.7
2010-10-18,11.6,12.2,11.6,11.6,1613500,11.7
2010-10-19,11.6,11.7,11.4,11.4,1557000,11.6
2010-10-20,11.4,11.5,11.3,11.4,893000,11.4
2010-10-21,11.5,11.5,11.2,11.2,771500,11.4
2010-10-24,11.2,11.4,11.1,11.1,869000,11.2
2010-10-25,11.1,11.3,11.0,11.0,942000,11.1
2010-10-26,11.2,11.2,10.8,10.9,866500,11.0
2010-10-27,10.9,11.0,10.6,10.7,816500,10.9
2010-10-28,10.6,11.0,10.5,10.6,672000,10.7
2010-10-31,10.6,10.9,10.5,10.5,802500,10.6
2010-10-31,10.6,10.9,10.5,10.5,802500,10.6
2010-11-01,10.6,10.8,10.4,10.5,794000,10.5
2010-11-01,10.6,10.8,10.4,10.5,794000,10.5
2010-11-02,10.7,10.7,10.3,10.4,788500,10.5
2010-11-03,10.4,10.5,10.3,10.3,809500,10.4
2010-11-04,10.6,12.0,10.6,10.9,1538500,10.3
2010-11-07,11.0,11.1,10.4,10.5,641000,10.9
2010-11-08,10.4,10.6,10.3,10.3,675000,10.5
2010-11-09,10.3,10.5,10.0,10.1,901500,10.3
2010-11-10,10.1,10.4,10.1,10.1,709000,10.1
2010-11-11,10.1,10.3,10.0,10.1,463000,10.1
2010-11-14,10.3,10.3,10.0,10.1,498500,10.1
2010-11-15,10.0,10.2,10.0,10.1,684000,10.1
2010-11-21,10.0,10.2,9.9,10.1,661500,10.1
2010-11-22,10.0,10.2,9.9,10.0,1030500,10.1
2010-11-23,10.0,10.1,9.9,9.9,795000,10.0
2010-11-24,9.9,10.1,9.9,10.0,654500,9.9
2010-11-25,10.0,10.5,9.9,10.3,1424000,10.0
2010-11-28,10.6,11.1,10.5,10.7,2163000,10.3
2010-11-29,10.4,10.9,10.4,10.4,1382500,10.7
2010-11-30,10.2,10.5,10.1,10.1,682500,10.4
2010-12-01,10.1,10.3,10.0,10.1,772000,10.1
