date,open,high,low,close,volume,prev_closing_price
2017-10-02,81.1,150.0,81.1,138.4,5693595,0.0
2017-10-03,140.0,147.0,127.9,129.5,962089,138.4
2017-10-04,126.0,142.4,125.1,142.4,2367700,129.5
2017-10-05,145.1,156.6,143.0,144.5,2052356,142.4
2017-10-08,144.0,148.5,134.0,136.0,2246879,144.5
2017-10-09,137.8,142.5,130.3,140.5,1622919,136.0
2017-10-10,142.0,145.5,130.0,131.1,1638853,140.5
2017-10-11,130.0,133.9,121.1,122.2,2363909,131.1
2017-10-12,122.2,125.0,113.1,115.1,1805145,122.2
2017-10-15,116.6,119.9,104.0,107.2,1582407,115.1
2017-10-16,107.7,111.8,101.0,102.6,1277864,107.2
2017-10-17,95.0,114.7,94.0,111.8,2484240,102.6
2017-10-18,113.0,119.3,112.1,114.1,1514095,111.8
2017-10-19,112.2,118.0,110.7,114.9,1588353,114.1
2017-10-22,116.0,118.6,114.8,117.1,1110203,114.9
2017-10-23,118.0,126.0,118.0,122.2,1508505,117.1
2017-10-24,123.8,124.4,115.6,116.5,1024891,122.2
2017-10-25,117.4,120.9,116.1,117.7,1204989,116.5
2017-10-26,118.1,119.5,112.1,113.5,1113467,117.7
2017-10-29,114.0,114.0,107.6,108.9,721503,113.5
2017-10-30,108.8,116.0,108.1,114.3,693933,108.9
2017-10-31,116.0,119.0,116.0,118.6,1058280,114.3
2017-11-01,119.0,120.5,114.0,114.8,921851,118.6
2017-11-02,115.9,118.0,114.3,115.5,496813,114.8
2017-11-05,116.0,119.1,116.0,118.4,856524,115.5
2017-11-06,118.3,121.8,115.7,116.2,722036,118.4
2017-11-07,117.0,117.6,115.2,115.7,377436,116.2
2017-11-08,116.5,117.6,114.0,114.4,523696,115.7
2017-11-09,0.0,0.0,0.0,114.4,0,114.4
2017-11-12,116.0,119.5,108.0,109.6,1348748,114.4
2017-11-13,110.0,113.0,107.3,107.8,466712,109.6
2017-11-14,109.5,109.8,103.9,105.5,568137,107.8
2017-11-15,106.0,108.4,103.3,104.0,344144,105.5
2017-11-16,106.0,106.6,103.6,104.1,263341,104.0
2017-11-19,106.5,108.9,104.1,105.7,404653,104.1
2017-11-20,106.3,108.0,100.0,100.9,661783,105.7
2017-11-21,101.0,102.0,91.7,92.6,1325586,100.9
2017-11-22,94.0,97.0,93.0,95.9,472454,92.6
2017-11-23,97.1,98.5,95.0,95.2,496937,95.9
2017-11-26,95.6,96.5,91.7,92.2,431328,95.2
2017-11-27,93.7,95.0,92.0,92.6,455010,92.2
2017-11-28,93.0,93.9,91.1,91.3,238365,92.6
2017-11-29,91.5,92.0,88.3,89.2,451053,91.3
2017-11-30,89.3,92.2,88.8,91.7,520451,89.2
2017-12-03,92.9,94.0,91.9,92.2,268673,91.7
2017-12-04,92.5,93.7,91.4,92.2,335611,92.2
2017-12-05,92.6,92.6,90.5,90.7,249586,92.2
2017-12-06,90.8,91.4,88.5,88.9,288224,90.7
2017-12-07,87.2,89.8,86.9,87.1,255007,88.9
2017-12-10,87.9,88.0,85.5,85.9,220501,87.1
2017-12-11,86.5,88.6,86.2,87.8,240490,85.9
2017-12-12,88.5,94.8,88.3,92.8,778250,87.8
2017-12-13,93.6,93.6,91.0,91.4,213574,92.8
2017-12-14,91.7,92.6,89.2,89.6,337451,91.4
2017-12-17,90.0,95.4,88.8,95.0,890115,89.6
2017-12-18,95.8,98.6,95.3,96.7,763304,95.0
2017-12-19,96.5,102.7,94.9,101.4,1288582,96.7
2017-12-20,100.0,104.6,100.0,102.7,846306,101.4
2017-12-21,102.7,102.7,99.2,100.0,600406,102.7
2017-12-24,99.3,101.1,95.4,96.3,531653,100.0
2017-12-26,95.6,98.4,95.0,96.6,349240,96.3
2017-12-27,95.0,98.4,95.0,96.8,295919,96.6
2017-12-28,96.2,100.2,96.2,97.7,436521,96.8
2018-01-01,97.6,99.6,96.5,96.8,204238,97.7
2018-01-02,97.0,97.6,95.0,95.5,251376,96.8
2018-01-03,94.9,96.9,94.9,96.1,276652,95.5
2018-01-04,95.6,97.8,95.6,97.0,217435,96.1
2018-01-07,97.1,98.9,96.1,96.5,131092,97.0
2018-01-08,95.0,97.7,95.0,95.4,115298,96.5
2018-01-09,95.2,96.9,92.7,93.4,198799,95.4
2018-01-10,93.0,94.3,92.0,92.8,138652,93.4
2018-01-11,92.5,92.5,86.0,89.1,1372706,92.8
2018-01-14,90.0,90.0,87.0,88.1,251424,89.1
2018-01-15,87.7,89.0,87.1,87.5,243430,88.1
2018-01-16,88.0,90.9,88.0,90.5,495140,87.5
2018-01-17,91.0,92.4,89.3,90.0,490439,90.5
2018-01-18,89.7,90.8,89.6,90.4,161425,90.0
2018-01-21,91.0,91.5,88.0,88.4,191220,90.4
2018-01-22,88.7,89.8,88.3,88.8,187968,88.4
2018-01-23,90.0,90.6,87.1,87.6,391238,88.8
2018-01-24,88.5,89.1,86.7,88.1,235922,87.6
2018-01-25,88.2,89.4,87.3,87.6,217355,88.1
2018-01-28,88.5,89.0,86.5,87.5,226826,87.6
2018-01-29,87.3,89.4,87.0,88.6,138269,87.5
2018-01-30,90.6,94.7,90.0,92.4,854224,88.6
2018-01-31,92.6,93.6,91.2,92.3,473772,92.4
2018-02-01,92.9,93.6,90.2,90.8,345431,92.3
2018-02-04,90.9,91.7,87.3,87.7,198218,90.8
2018-02-05,88.0,88.0,85.8,86.9,226857,87.7
2018-02-06,87.5,87.9,86.8,87.1,135569,86.9
2018-02-07,87.7,87.8,86.0,86.3,242432,87.1
2018-02-08,87.0,87.5,84.8,86.1,159356,86.3
2018-02-11,87.5,89.4,86.9,87.8,328846,86.1
2018-02-12,88.7,92.4,87.5,92.1,558128,87.8
2018-02-13,93.0,94.4,90.0,90.5,372002,92.1
2018-02-14,91.7,91.9,90.2,90.5,385498,90.5
2018-02-15,91.0,91.3,88.8,89.1,214765,90.5
2018-02-18,90.0,90.0,87.0,87.1,288403,89.1
2018-02-19,88.0,88.8,86.1,86.4,210214,87.1
2018-02-20,87.8,87.8,85.5,86.0,198270,86.4
2018-02-22,86.7,87.8,85.6,85.9,110508,86.0
2018-02-25,85.9,86.4,84.9,85.1,141215,85.9
2018-02-26,85.5,88.2,84.4,87.1,345651,85.1
2018-02-27,87.3,90.7,87.3,89.0,552655,87.1
2018-02-28,89.0,91.0,88.7,90.5,506740,89.0
2018-03-01,91.0,92.9,90.6,92.6,718114,90.5
2018-03-04,92.8,95.8,92.6,94.0,903991,92.6
2018-03-05,94.0,95.0,93.3,94.3,475247,94.0
2018-03-06,94.3,96.9,93.7,96.4,497868,94.3
2018-03-07,97.0,97.8,95.4,96.0,284888,96.4
2018-03-08,96.0,96.1,93.7,94.1,349909,96.0
2018-03-11,95.5,95.5,93.5,93.9,104858,94.1
