date,open,high,low,close,volume,prev_closing_price
2012-01-29,10.3,12.5,9.9,10.1,36000,10.0
2012-01-30,10.1,0.0,0.0,10.1,0,10.1
2012-01-31,9.0,10.5,9.0,9.7,2000,10.1
2012-02-01,9.7,0.0,0.0,9.7,0,9.7
2012-02-02,9.7,9.7,9.7,9.7,500,9.7
2012-02-06,9.7,0.0,0.0,9.7,0,9.7
2012-02-07,10.3,10.3,10.3,10.3,500,9.7
2012-02-08,10.3,0.0,0.0,10.3,0,10.3
2012-02-09,10.3,0.0,0.0,10.3,0,10.3
2012-02-12,10.2,10.2,9.5,9.6,2000,10.3
2012-02-13,10.5,10.5,10.1,10.1,16500,9.6
2012-02-14,10.1,10.1,10.1,10.1,500,10.1
2012-02-15,10.0,10.2,10.0,10.1,1000,10.1
2012-02-16,10.0,10.0,10.0,10.0,500,10.1
2012-02-19,10.0,0.0,0.0,10.0,0,10.0
2012-02-20,9.5,9.8,9.2,9.3,13000,10.0
2012-02-22,9.6,9.6,9.4,9.5,4000,9.3
2012-02-23,9.6,10.0,9.6,9.7,1500,9.5
2012-02-27,9.3,9.9,9.3,9.6,1000,9.7
2012-02-28,9.6,9.6,9.6,9.6,1000,9.6
2012-02-29,9.2,9.9,9.2,9.6,1500,9.6
2012-03-01,9.2,9.9,9.2,9.5,1000,9.6
2012-03-04,9.8,9.8,9.8,9.8,500,9.5
2012-03-05,9.8,0.0,0.0,9.8,0,9.8
2012-03-06,9.8,0.0,0.0,9.8,0,9.8
2012-03-07,9.8,0.0,0.0,9.8,0,9.8
2012-03-08,9.8,0.0,0.0,9.8,0,9.8
2012-03-11,9.8,0.0,0.0,9.8,0,9.8
2012-03-12,9.4,10.0,9.4,9.7,4500,9.8
2012-03-13,9.7,0.0,0.0,9.7,0,9.7
2012-03-14,9.7,0.0,0.0,9.7,0,9.7
2012-03-15,9.8,9.8,9.5,9.6,1000,9.7
2012-03-18,10.0,10.0,10.0,10.0,500,9.6
2012-03-19,9.2,10.5,9.2,10.0,2000,10.0
2012-03-20,10.0,0.0,0.0,10.0,0,10.0
2012-03-21,9.8,10.5,9.8,10.2,1500,10.0
2012-03-22,10.2,0.0,0.0,10.2,0,10.2
2012-03-25,10.2,0.0,0.0,10.2,0,10.2
2012-03-27,9.4,9.4,9.4,9.4,500,10.2
2012-03-28,9.4,9.4,9.4,9.4,500,9.4
2012-03-29,10.3,10.3,9.0,9.6,2500,9.4
2012-04-01,10.0,10.2,10.0,10.0,4000,9.6
2012-04-02,9.5,10.4,9.5,9.9,1500,10.0
2012-04-03,10.1,10.1,10.1,10.1,500,9.9
2012-04-04,10.1,0.0,0.0,10.1,0,10.1
2012-04-05,10.1,0.0,0.0,10.1,0,10.1
2012-04-08,10.1,0.0,0.0,10.1,0,10.1
2012-04-09,10.1,0.0,0.0,10.1,0,10.1
2012-04-10,10.1,0.0,0.0,10.1,0,10.1
2012-04-11,9.8,10.3,9.8,10.0,1000,10.1
2012-04-12,10.2,10.2,10.2,10.2,500,10.0
2012-04-15,10.4,10.4,10.4,10.4,500,10.2
