date,open,high,low,close,volume,prev_closing_price
2018-08-06,60.0,81.0,60.0,74.3,7084025,0.0
2018-08-07,75.9,85.3,75.9,83.0,1758603,74.3
2018-08-08,82.9,84.9,74.7,74.9,4417177,83.0
2018-08-09,74.0,75.8,67.8,71.3,2531795,74.9
2018-08-12,72.9,72.9,64.2,64.3,2267080,71.3
2018-08-13,64.3,65.9,57.9,58.4,2069605,64.3
2018-08-14,59.1,64.0,59.1,62.6,1144279,58.4
2018-08-16,63.0,63.5,56.6,57.0,1614223,62.6
2018-08-19,57.2,57.7,52.2,52.6,1113965,57.0
2018-08-20,53.0,55.0,52.9,54.2,508142,52.6
2018-08-26,54.4,56.6,54.4,55.0,661010,54.2
2018-08-27,55.8,57.5,54.2,56.6,989425,55.0
2018-08-28,56.9,58.6,55.5,56.2,980237,56.6
2018-08-29,56.2,56.6,53.7,53.9,1160153,56.2
2018-08-30,53.0,55.1,52.7,53.1,851476,53.9
2018-09-03,53.5,54.4,51.9,52.3,874428,53.1
2018-09-04,52.2,53.9,51.5,52.1,951938,52.3
2018-09-05,52.3,56.7,52.3,54.7,1165878,52.1
2018-09-06,54.9,55.9,52.8,53.0,982386,54.7
2018-09-09,53.5,53.5,51.3,51.5,789885,53.0
2018-09-10,51.5,53.0,51.5,51.8,806087,51.5
2018-09-11,52.5,52.7,51.7,52.0,525669,51.8
2018-09-12,52.5,56.0,52.5,55.6,1898222,52.0
2018-09-13,55.9,59.0,55.8,57.1,1916097,55.6
2018-09-16,57.5,57.8,54.1,54.6,1132933,57.1
2018-09-17,54.1,55.2,52.0,52.3,703083,54.6
2018-09-18,52.7,53.3,52.0,52.2,540397,52.3
2018-09-19,52.6,54.2,52.2,53.1,792766,52.2
2018-09-20,54.0,56.4,54.0,55.3,1126648,53.1
2018-09-23,55.5,56.3,52.4,52.9,793974,55.3
2018-09-24,53.0,53.4,51.6,51.8,726083,52.9
2018-09-25,52.1,52.9,51.6,52.1,258812,51.8
2018-09-26,52.6,54.5,52.1,52.8,437440,52.1
2018-09-27,52.9,54.0,51.7,51.9,540245,52.8
2018-09-30,52.4,54.9,52.4,53.7,982062,51.9
2018-10-01,54.4,57.3,54.0,56.2,1134868,53.7
2018-10-02,57.0,58.0,55.1,55.8,1240504,56.2
2018-10-03,55.8,56.3,54.0,54.7,999070,55.8
2018-10-04,54.7,56.7,54.5,55.6,1010178,54.7
2018-10-07,56.9,61.1,56.9,61.1,2045990,55.6
2018-10-08,62.9,63.9,58.3,58.9,1948359,61.1
2018-10-09,58.9,64.5,57.6,63.7,2044102,58.9
2018-10-10,63.7,64.5,59.3,60.4,1749833,63.7
2018-10-11,60.5,62.1,59.2,61.1,1198388,60.4
2018-10-14,61.6,62.6,58.2,58.6,894453,61.1
2018-10-15,59.0,59.2,56.8,57.1,540140,58.6
2018-10-16,57.2,58.5,56.1,58.0,737870,57.1
2018-10-17,58.8,58.8,55.1,55.5,544336,58.0
