date,open,high,low,close,volume,prev_closing_price
2008-03-06,200.0,202.0,194.0,195.5,266850,198.8
2008-03-09,199.8,199.8,194.0,195.0,333600,195.5
2008-03-09,199.8,199.8,194.0,195.0,333600,195.5
2008-03-10,196.5,209.5,195.4,207.3,381650,195.0
2008-03-11,209.9,217.9,207.0,215.5,509550,207.3
2008-03-12,210.0,231.0,210.0,229.2,478300,215.5
2008-03-13,232.9,239.0,222.0,232.0,340350,229.2
2008-03-16,234.9,236.0,225.0,229.2,323550,232.0
2008-03-17,231.0,235.8,224.0,233.1,302000,229.2
2008-03-18,236.0,239.0,227.5,228.1,239250,233.1
2008-03-19,234.7,234.7,225.0,229.9,225950,228.1
2008-03-20,231.5,236.9,230.0,235.2,247550,229.9
2008-03-23,237.0,239.9,232.0,233.1,191300,235.2
2008-03-24,232.2,236.2,226.5,229.0,260100,233.1
2008-03-25,230.0,233.5,229.9,230.9,154150,229.0
2008-03-30,235.0,240.0,228.0,239.0,340400,230.9
2008-03-31,240.0,240.0,231.0,232.1,158750,239.0
2008-04-01,231.6,233.9,229.2,232.9,213250,232.1
2008-04-02,232.5,234.9,230.0,231.7,142450,232.9
2008-04-03,231.2,233.0,229.7,230.1,91500,231.7
2008-04-06,230.4,236.8,230.4,232.4,153250,230.1
2008-04-07,235.0,235.0,231.2,231.5,70650,232.4
2008-04-08,232.0,233.7,230.3,232.5,72250,231.5
2008-04-09,235.0,250.0,233.6,244.0,411650,232.5
2008-04-10,249.8,254.9,245.2,246.8,185350,244.0
2008-04-13,249.7,264.9,249.7,263.1,248400,246.8
2008-04-15,267.9,267.9,248.5,253.4,303050,263.1
2008-04-16,255.0,257.9,249.0,256.2,197900,253.4
2008-04-17,260.0,290.0,260.0,286.7,631200,256.2
2008-04-20,291.5,315.0,287.0,309.9,473550,286.7
2008-04-21,316.9,316.9,295.0,307.1,309750,309.9
2008-04-22,308.9,315.0,302.5,311.3,338300,307.1
2008-04-23,318.0,320.5,305.0,308.9,266250,311.3
2008-04-24,317.0,317.0,305.8,307.0,259900,308.9
2008-04-27,314.8,314.8,300.0,302.7,219600,307.0
2008-04-28,305.0,305.0,282.6,285.2,216600,302.7
2008-04-29,288.0,298.9,274.0,278.0,191550,285.2
2008-04-30,280.3,298.0,232.0,244.3,508400,278.0
2008-05-04,264.0,265.0,251.0,260.4,259850,244.3
2008-05-05,263.7,275.9,261.4,273.7,300750,260.4
2008-05-06,280.0,289.9,280.0,282.9,271850,273.7
2008-05-07,281.7,283.8,276.0,282.2,331450,282.9
2008-05-08,283.8,293.0,282.1,291.3,220350,282.2
2008-05-11,293.0,295.5,287.4,289.1,189900,291.3
2008-05-12,291.0,295.0,286.0,287.9,176800,289.1
2008-05-13,288.4,289.0,282.2,285.7,196900,287.9
2008-05-14,285.0,287.0,282.0,284.2,136600,285.7
2008-05-15,283.0,294.9,283.0,293.5,309900,284.2
2008-05-18,297.0,302.9,293.0,299.4,245500,293.5
2008-05-20,302.0,320.0,302.0,319.3,289150,299.4
2008-05-21,322.9,328.0,311.0,314.0,347900,319.3
2008-05-22,314.0,0.0,0.0,314.0,0,314.0
2008-05-25,320.0,349.0,311.0,344.8,681550,314.0
2008-05-26,350.0,354.0,335.0,337.8,252600,344.8
2008-05-27,340.5,340.5,318.0,326.2,323000,337.8
2008-05-28,327.9,334.9,323.9,325.1,211500,326.2
2008-05-29,329.9,330.0,315.1,318.9,225650,325.1
2008-06-01,324.0,328.0,318.3,321.2,142750,318.9
2008-06-02,327.5,335.0,326.0,332.2,155100,321.2
2008-06-03,331.0,339.2,331.0,333.6,212300,332.2
2008-06-04,335.2,337.1,327.3,328.8,169000,333.6
2008-06-05,327.0,334.9,322.5,325.2,169250,328.8
2008-06-08,330.0,330.0,323.0,324.9,181350,325.2
2008-06-09,321.0,323.9,311.1,314.8,172200,324.9
2008-06-10,320.0,323.0,313.3,317.0,143400,314.8
2008-06-11,320.0,320.0,301.0,303.7,119650,317.0
2008-06-12,314.9,315.9,298.0,303.4,135900,303.7
2008-06-15,307.0,307.0,294.0,295.1,134100,303.4
2008-06-16,296.0,296.0,285.0,290.0,118700,295.1
2008-06-17,297.0,307.0,295.0,305.6,135350,290.0
2008-06-18,309.8,319.0,309.5,314.5,135750,305.6
2008-06-19,316.0,318.0,307.5,313.6,125700,314.5
2008-06-22,310.1,311.0,300.1,303.9,71800,313.6
2008-06-23,301.3,307.2,301.3,305.9,98500,303.9
2008-06-24,306.1,316.9,306.1,310.9,116750,305.9
2008-06-25,316.1,317.1,309.5,310.1,89750,310.9
2008-06-26,310.5,312.0,307.2,308.1,84500,310.1
2008-06-29,309.0,310.0,302.9,303.7,114450,308.1
2008-06-30,305.2,315.0,304.0,306.2,152550,303.7
2008-07-02,306.5,310.0,303.0,304.5,86800,306.2
2008-07-03,311.0,349.0,311.0,343.4,1062300,304.5
2008-07-06,349.8,396.8,349.8,383.6,756250,343.4
2008-07-07,385.0,391.8,373.1,382.7,396750,383.6
2008-07-08,382.0,429.9,379.0,424.9,590750,382.7
2008-07-08,382.0,429.9,379.0,424.9,590750,382.7
2008-07-09,435.9,454.0,430.5,438.1,186100,424.9
2008-07-10,440.0,469.8,440.0,465.9,380200,438.1
2008-07-13,466.0,466.0,442.0,454.4,341850,465.9
2008-07-14,455.0,500.0,455.0,497.6,314150,454.4
2008-07-15,498.0,498.6,480.0,492.3,275300,497.6
2008-07-16,498.0,501.0,485.3,491.2,246350,492.3
2008-07-17,496.9,498.8,479.1,482.0,197750,491.2
2008-07-20,474.0,482.0,461.0,475.2,288000,482.0
2008-07-21,480.0,520.0,479.0,500.0,539650,475.2
2008-07-22,505.0,518.5,485.0,495.5,499800,500.0
2008-07-23,492.0,512.5,480.2,509.9,415750,495.5
2008-07-24,515.0,529.0,500.2,506.4,549450,509.9
2008-07-27,514.0,514.0,498.0,502.1,223700,506.4
2008-07-28,511.0,511.0,491.0,494.0,224600,502.1
2008-07-29,494.0,498.0,486.0,492.4,196500,494.0
2008-07-30,495.0,499.0,483.0,491.6,133700,492.4
2008-07-31,497.0,514.0,497.0,507.7,343300,491.6
2008-08-03,510.1,517.0,492.1,496.9,189350,507.7
2008-08-04,500.0,502.0,485.0,488.8,129050,496.9
2008-08-05,490.0,504.8,487.0,491.1,135000,488.8
2008-08-06,497.0,500.0,475.0,484.5,129700,491.1
2008-08-07,485.0,492.9,479.0,481.7,97550,484.5
2008-08-10,489.8,489.8,447.0,459.1,269550,481.7
2008-08-11,460.0,485.0,446.6,477.7,193750,459.1
2008-08-12,486.2,513.0,480.0,510.3,303600,477.7
2008-08-13,515.0,527.0,505.1,508.0,485000,510.3
2008-08-14,509.0,517.0,505.0,511.4,209650,508.0
2008-08-18,515.0,516.0,500.0,502.9,150500,511.4
2008-08-19,500.0,503.0,490.0,491.7,127500,502.9
2008-08-20,496.5,505.0,493.0,495.0,130150,491.7
2008-08-21,503.0,503.0,490.3,495.6,67400,495.0
2008-08-25,500.0,500.0,490.0,491.1,118100,495.6
2008-08-26,491.1,503.0,488.0,494.4,202750,491.1
2008-08-27,495.0,499.2,491.6,493.5,126500,494.4
2008-08-28,497.0,497.0,490.0,493.0,80700,493.5
2008-08-31,492.0,511.9,492.0,506.6,304000,493.0
2008-09-01,512.0,525.0,511.0,524.7,448300,506.6
2008-09-02,528.0,530.0,515.0,520.1,236950,524.7
2008-09-03,520.0,520.9,512.7,516.4,250500,520.1
2008-09-04,518.0,520.0,509.3,518.7,272500,516.4
2008-09-07,521.0,543.0,519.9,537.3,397350,518.7
2008-09-08,539.0,555.0,539.0,553.2,378000,537.3
2008-09-09,558.5,559.0,533.6,538.1,395550,553.2
2008-09-10,544.5,545.0,527.4,529.8,332850,538.1
2008-09-11,526.1,534.0,522.2,526.5,259700,529.8
2008-09-14,530.0,531.9,519.0,525.7,250450,526.5
2008-09-15,529.0,539.0,523.4,533.3,342750,525.7
2008-09-16,532.0,538.8,522.0,530.6,278200,533.3
2008-09-17,529.0,535.0,520.0,522.1,236100,530.6
2008-09-18,522.5,529.0,519.0,522.4,174500,522.1
2008-09-21,526.0,545.5,525.0,543.6,425400,522.4
2008-09-22,547.0,562.0,546.0,553.2,328550,543.6
2008-09-23,550.0,562.0,545.2,547.4,295250,553.2
2008-09-24,553.0,597.5,550.0,586.7,560250,547.4
2008-09-25,594.0,599.0,581.0,586.8,359400,586.7
2008-10-05,590.0,639.8,590.0,636.2,385200,586.8
2008-10-06,648.0,649.0,606.0,611.9,439950,636.2
2008-10-07,620.0,628.5,606.0,616.1,257300,611.9
2008-10-08,619.9,634.9,610.2,625.7,347700,616.1
2008-10-12,634.9,638.0,600.0,604.3,548250,625.7
2008-10-13,623.5,623.5,605.3,611.4,317700,604.3
2008-10-14,619.9,619.9,592.4,599.9,219600,611.4
2008-10-15,598.0,608.9,591.0,597.1,240900,599.9
2008-10-16,601.5,639.0,593.0,632.2,418800,597.1
2008-10-19,640.0,648.0,616.0,627.8,311350,632.2
2008-10-20,612.0,615.0,602.6,608.4,249050,627.8
2008-10-21,604.0,610.0,582.1,585.4,271450,608.4
2008-10-22,580.3,599.9,570.0,593.3,207350,585.4
2008-10-23,611.9,611.9,586.0,590.5,160700,593.3
2008-10-26,605.0,614.9,589.0,600.2,304750,590.5
2008-10-27,614.0,644.0,592.0,598.1,346750,600.2
2008-10-28,610.0,618.7,595.4,607.2,141150,598.1
2008-10-29,617.0,620.0,603.3,613.9,188200,607.2
2008-10-30,619.0,619.0,601.0,603.5,112400,613.9
2008-11-02,619.0,624.9,573.0,578.4,297250,603.5
2008-11-03,598.9,608.6,555.0,558.6,249850,578.4
2008-11-04,556.0,583.0,556.0,562.7,84250,558.6
2008-11-05,570.0,571.0,526.0,535.8,175450,562.7
2008-11-06,550.0,550.0,524.1,530.2,109750,535.8
2008-11-09,531.2,539.0,473.0,478.6,321450,530.2
2008-11-10,481.1,515.0,436.0,490.4,211600,478.6
2008-11-11,514.5,519.0,476.0,484.1,132050,490.4
2008-11-12,499.0,514.0,490.0,508.4,149750,484.1
2008-11-13,503.0,534.8,503.0,518.2,242300,508.4
2008-11-16,525.9,526.0,502.2,506.2,83900,518.2
2008-11-17,505.0,517.0,502.1,514.8,86350,506.2
2008-11-18,515.0,558.9,512.5,517.7,312350,514.8
2008-11-19,520.0,522.5,476.0,483.1,181950,517.7
2008-11-20,472.0,499.6,451.1,491.4,147600,483.1
2008-11-23,499.9,509.9,470.1,474.9,104850,491.4
2008-11-24,484.9,484.9,453.0,460.1,119050,474.9
2008-11-25,454.3,464.0,448.0,448.5,101450,460.1
2008-11-26,455.0,455.0,417.7,419.8,185550,448.5
2008-11-27,433.1,433.1,390.5,396.8,223350,419.8
2008-11-30,407.5,418.0,370.5,406.1,177250,396.8
2008-12-01,419.9,474.9,410.0,461.5,164950,406.1
2008-12-02,469.0,496.0,455.1,484.0,199050,461.5
2008-12-03,496.7,512.0,480.0,500.5,230750,484.0
2008-12-04,491.0,507.8,491.0,498.8,146700,500.5
2008-12-14,495.0,496.0,474.2,478.1,61800,498.8
2008-12-15,471.0,476.0,456.1,466.4,57500,478.1
2008-12-17,458.1,470.0,453.1,462.9,69100,466.4
2008-12-18,470.0,487.0,469.0,481.3,91850,462.9
2008-12-21,489.0,501.0,479.0,482.9,150500,481.3
2008-12-22,481.0,489.0,477.1,479.6,75650,482.9
2008-12-23,477.6,490.0,477.6,481.5,49450,479.6
2008-12-24,485.9,525.0,480.0,502.1,334500,481.5
2008-12-28,527.0,537.9,516.5,528.6,173700,502.1
2008-12-30,521.0,538.0,514.0,521.3,229250,528.6
2009-01-01,525.0,537.9,519.0,526.1,305400,521.3
2009-01-04,535.0,545.0,527.2,528.8,156700,526.1
2009-01-05,536.0,536.0,520.1,524.8,118550,528.8
2009-01-06,529.0,530.0,502.3,504.7,158950,524.8
2009-01-07,515.0,520.4,504.0,505.5,78050,504.7
2009-01-11,510.0,510.0,498.0,501.0,89950,505.5
2009-01-12,500.0,508.0,497.1,505.5,135000,501.0
2009-01-13,508.5,515.0,503.5,504.0,103350,505.5
2009-01-14,505.5,509.0,502.1,503.6,78650,504.0
2009-01-15,503.4,512.0,502.6,509.4,99950,503.6
2009-01-18,513.0,524.0,500.5,502.4,90400,509.4
2009-01-19,502.0,504.0,479.0,481.5,74300,502.4
2009-01-20,499.0,499.0,482.0,489.3,63700,481.5
2009-01-21,499.8,514.0,493.0,505.7,100750,489.3
2009-01-22,512.0,517.0,508.8,513.8,107000,505.7
2009-01-25,518.0,538.5,514.0,533.1,289100,513.8
2009-01-26,538.5,541.0,515.0,516.5,111250,533.1
2009-01-27,515.0,519.0,507.1,508.8,59950,516.5
2009-01-28,509.0,519.9,509.0,514.5,47000,508.8
2009-01-29,515.5,521.9,506.2,508.7,62350,514.5
2009-02-01,504.2,512.0,504.0,505.3,41850,508.7
2009-02-02,511.0,512.9,497.0,498.5,72650,505.3
2009-02-03,500.0,500.0,489.1,493.3,78550,498.5
2009-02-04,504.0,505.9,492.1,495.2,49850,493.3
2009-02-05,495.2,500.9,490.4,493.5,41550,495.2
2009-02-08,508.0,508.0,485.0,489.3,40850,493.5
2009-02-09,489.0,491.0,471.1,475.6,104100,489.3
2009-02-10,472.1,485.9,463.0,481.4,88250,475.6
2009-02-11,488.0,488.0,460.0,463.8,53100,481.4
2009-02-12,477.0,485.0,469.0,481.5,77250,463.8
2009-02-15,485.0,490.0,474.0,475.3,51400,481.5
2009-02-16,476.0,479.5,470.0,472.3,56250,475.3
2009-02-17,473.0,485.0,472.1,477.1,75500,472.3
2009-02-18,484.0,500.0,483.0,494.0,89100,477.1
2009-02-19,499.9,502.0,478.0,483.5,94700,494.0
2009-02-22,479.0,484.9,472.2,478.5,76800,483.5
2009-02-23,480.0,488.0,476.2,479.2,47600,478.5
2009-02-24,487.8,487.8,473.0,474.6,68400,479.2
2009-02-25,475.0,477.9,463.0,469.1,51900,474.6
2009-02-26,485.8,485.8,460.0,463.7,50600,469.1
2009-03-01,478.9,478.9,459.0,461.0,78850,463.7
2009-03-02,461.1,474.5,461.0,462.6,65200,461.0
2009-03-03,463.3,469.0,462.8,465.6,39700,462.6
2009-03-04,470.0,470.0,454.0,457.1,17650,465.6
2009-03-05,451.0,459.9,451.0,458.0,17800,457.1
2009-03-08,465.0,469.0,457.1,458.7,42200,458.0
2009-03-09,458.7,0.0,0.0,458.7,0,458.7
2009-03-11,470.0,489.9,465.2,483.8,150800,458.7
2009-03-12,485.0,488.0,474.0,479.9,85700,483.8
2009-03-15,485.0,496.0,482.5,494.5,117150,479.9
2009-03-16,498.0,499.8,479.0,480.2,97700,494.5
2009-03-17,481.0,483.9,470.0,471.2,69250,480.2
2009-03-18,479.5,479.5,466.5,469.7,67200,471.2
2009-03-19,465.3,486.0,465.3,471.1,87850,469.7
2009-03-22,480.0,484.0,468.0,471.1,75650,471.1
2009-03-23,478.0,478.0,460.2,466.5,49050,471.1
2009-03-24,465.0,470.0,450.0,453.6,101500,466.5
2009-03-25,460.0,460.0,446.3,448.3,55350,453.6
2009-03-29,420.1,446.0,420.0,425.0,68250,448.3
2009-03-30,426.0,450.0,414.0,440.7,91350,425.0
2009-03-31,454.0,469.0,433.0,440.1,58450,440.7
2009-04-01,448.0,448.0,424.0,425.5,84050,440.1
2009-04-02,421.0,430.0,415.0,420.5,99500,425.5
2009-04-05,425.0,432.0,420.0,429.6,96900,420.5
2009-04-06,431.9,494.8,428.0,492.3,334450,429.6
2009-04-07,495.0,512.0,472.2,479.0,180750,492.3
2009-04-08,479.0,497.0,477.1,480.8,137100,479.0
2009-04-09,484.8,499.0,477.5,486.8,285800,480.8
2009-04-12,498.0,498.9,475.0,476.6,93250,486.8
2009-04-13,488.0,489.0,432.0,452.0,125950,476.6
2009-04-15,457.8,480.0,449.1,459.7,159950,452.0
2009-04-16,480.0,520.0,460.0,513.6,972450,459.7
2009-04-19,521.0,548.8,507.0,512.4,428050,513.6
2009-04-20,510.0,513.9,486.1,492.3,283250,512.4
2009-04-21,486.0,498.8,481.6,484.7,218600,492.3
2009-04-22,490.0,492.0,472.1,475.2,187550,484.7
2009-04-23,473.3,479.0,467.1,468.9,130400,475.2
2009-04-26,470.1,489.4,469.6,472.4,151150,468.9
2009-04-27,477.3,485.0,475.0,475.9,121850,472.4
2009-04-28,480.0,482.2,468.0,470.5,111500,475.9
2009-04-29,473.0,476.0,468.0,469.0,64850,470.5
2009-04-30,471.0,474.9,465.8,466.4,115900,469.0
2009-05-03,470.0,470.0,455.0,461.0,131000,466.4
2009-05-04,464.0,472.5,457.0,458.9,114700,461.0
2009-05-05,460.2,464.5,454.0,455.2,50900,458.9
2009-05-06,458.0,460.9,450.3,452.0,50500,455.2
2009-05-07,452.2,471.0,449.0,466.8,109750,452.0
2009-05-10,478.0,478.0,465.1,469.7,110750,466.8
2009-05-11,455.1,470.0,455.1,464.1,35150,469.7
2009-05-12,467.0,467.0,455.5,458.4,66200,464.1
2009-05-13,460.0,460.0,455.2,457.9,62000,458.4
2009-05-14,457.9,0.0,0.0,457.9,0,457.9
2009-05-17,380.0,398.0,373.0,374.9,152000,457.9
2009-05-18,378.5,393.0,370.0,386.5,112800,374.9
2009-05-19,393.7,410.6,392.5,408.6,198100,386.5
2009-05-20,410.0,418.0,403.2,405.5,118900,408.6
2009-05-21,406.0,407.0,393.6,396.0,98250,405.5
2009-05-24,392.0,398.0,390.0,390.9,120050,396.0
2009-05-25,392.9,397.0,385.0,388.5,88500,390.9
2009-05-26,388.0,388.0,372.5,380.9,99250,388.5
2009-05-27,378.0,399.7,378.0,392.1,101500,380.9
2009-05-28,397.0,410.0,393.1,399.9,223300,392.1
2009-05-31,401.7,405.0,391.0,394.2,71450,399.9
2009-06-01,390.0,400.0,390.0,391.5,86450,394.2
2009-06-02,403.0,403.0,390.1,391.6,91200,391.5
2009-06-03,396.0,397.0,391.3,392.2,58150,391.6
2009-06-04,397.0,397.0,390.0,393.6,108250,392.2
2009-06-07,396.0,406.0,395.0,401.2,187000,393.6
2009-06-08,406.0,428.5,402.2,425.7,376450,401.2
2009-06-09,429.0,438.9,420.0,432.0,245900,425.7
2009-06-10,438.8,438.8,425.0,426.6,155000,432.0
2009-06-11,422.0,432.6,420.0,428.2,202400,426.6
2009-06-14,438.0,449.0,432.0,448.1,262350,428.2
2009-06-15,449.8,458.0,438.0,443.9,200350,448.1
2009-06-16,440.1,445.0,433.6,435.1,188150,443.9
2009-06-17,439.7,439.9,429.0,430.1,190350,435.1
2009-06-18,431.0,446.5,429.2,439.7,219250,430.1
2009-06-21,443.9,453.0,435.0,438.7,259850,439.7
2009-06-22,440.0,440.5,430.0,431.6,177600,438.7
2009-06-23,434.0,439.0,430.0,436.6,155750,431.6
2009-06-24,440.0,444.9,431.2,437.9,122700,436.6
2009-06-25,444.8,450.0,438.1,445.5,327150,437.9
2009-06-28,448.0,455.0,446.0,452.1,320200,445.5
2009-06-29,456.0,468.0,451.0,454.7,208200,452.1
2009-06-30,457.0,459.0,451.5,456.3,251400,454.7
2009-07-02,460.0,469.0,452.0,455.6,241000,456.3
2009-07-05,456.0,456.0,438.0,440.4,185850,455.6
2009-07-06,440.0,448.0,439.0,440.5,115150,440.4
2009-07-07,447.8,447.8,435.8,438.2,95700,440.5
2009-07-08,438.2,440.0,432.0,434.9,92250,438.2
