date,open,high,low,close,volume,prev_closing_price
2008-11-18,200.0,240.0,172.0,220.0,59800,10.0
2008-11-19,250.0,250.0,200.0,202.2,13400,220.0
2008-11-20,202.2,0.0,0.0,202.2,0,202.2
2008-11-23,202.2,219.0,190.0,190.2,19800,202.2
2008-11-24,180.0,199.0,180.0,188.5,3900,190.2
2008-11-25,190.0,190.0,179.0,180.3,3500,188.5
2008-11-26,173.2,173.2,155.0,169.0,2400,180.3
2008-11-27,160.0,175.0,152.5,155.4,18200,169.0
2008-11-30,150.5,155.0,145.5,150.6,7400,155.4
2008-12-01,160.0,180.0,151.7,154.7,4548600,150.6
2008-12-02,170.1,185.6,170.1,183.6,800,154.7
2008-12-03,201.9,218.5,200.0,218.3,81200,183.6
2008-12-04,205.0,214.0,192.8,200.3,1711200,218.3
2008-12-14,214.9,214.9,184.0,186.0,590500,200.3
2008-12-15,184.0,186.0,175.2,184.5,346500,186.0
2008-12-17,182.6,194.0,178.7,190.6,304200,184.5
2008-12-18,191.0,195.7,190.0,192.8,369400,190.6
2008-12-21,194.0,208.0,192.0,200.4,1817900,192.8
2008-12-22,200.0,201.0,193.5,194.7,597400,200.4
2008-12-23,194.0,196.8,191.8,194.1,349700,194.7
2008-12-24,195.0,199.0,191.5,193.0,670400,194.1
2008-12-28,196.8,198.5,193.7,194.4,386000,193.0
2008-12-30,198.0,198.9,193.7,194.6,595200,194.4
2009-01-01,197.3,212.5,194.1,209.2,1256000,194.6
2009-01-04,213.9,218.8,210.0,214.2,530600,209.2
2009-01-05,217.0,222.0,212.6,217.2,894500,214.2
2009-01-06,218.0,219.9,206.0,207.6,615300,217.2
2009-01-07,203.0,213.0,203.0,205.5,410700,207.6
2009-01-11,208.0,209.1,202.0,203.2,277200,205.5
2009-01-12,207.0,214.9,204.8,212.9,366900,203.2
2009-01-13,215.0,217.9,208.0,209.7,451400,212.9
2009-01-14,210.0,213.8,206.5,207.2,330300,209.7
2009-01-15,213.0,221.0,208.0,219.0,851400,207.2
2009-01-18,221.0,222.0,213.6,214.3,567500,219.0
2009-01-19,212.4,215.4,205.1,206.1,241300,214.3
2009-01-20,211.4,214.5,208.1,212.4,259300,206.1
2009-01-21,213.0,216.0,211.2,211.8,234100,212.4
2009-01-22,212.3,218.0,212.3,215.8,278900,211.8
2009-01-25,217.9,220.8,216.8,218.0,361000,215.8
2009-01-26,218.0,218.0,211.5,212.1,118300,218.0
2009-01-27,212.1,214.4,209.1,210.0,149000,212.1
2009-01-28,214.0,214.0,210.0,211.3,123000,210.0
2009-01-29,214.0,214.0,209.1,209.9,143500,211.3
2009-02-01,209.5,210.0,206.2,207.0,93100,209.9
2009-02-02,210.0,211.2,201.0,203.3,167400,207.0
2009-02-03,204.9,205.3,199.9,203.1,142500,203.3
2009-02-04,205.0,212.0,205.0,208.9,312700,203.1
2009-02-05,211.0,213.0,206.8,207.5,158000,208.9
2009-02-08,209.0,210.0,202.0,203.1,83500,207.5
2009-02-09,202.4,204.1,199.0,200.1,93700,203.1
2009-02-10,201.0,205.3,195.0,201.7,169500,200.1
