date,open,high,low,close,volume,prev_closing_price
2016-06-07,135.0,135.0,116.0,117.9,11349003,0.0
2016-06-08,115.0,118.0,110.0,111.6,2704674,117.9
2016-06-09,111.0,121.0,109.0,119.9,3872313,111.6
2016-06-12,121.5,124.8,120.6,121.3,3074555,119.9
2016-06-13,121.0,122.7,115.1,116.2,3118080,121.3
2016-06-14,116.0,117.5,111.9,113.7,1856096,116.2
2016-06-15,113.5,116.9,112.0,115.7,1689443,113.7
2016-06-16,114.9,121.0,114.8,119.7,4788176,115.7
2016-06-19,120.7,121.8,115.3,116.0,2565650,119.7
2016-06-20,115.5,117.6,114.3,114.7,2035899,116.0
2016-06-21,115.5,115.7,112.9,113.2,1398298,114.7
2016-06-22,113.8,115.8,113.4,113.9,1004717,113.2
2016-06-23,114.4,115.3,112.7,113.0,1153052,113.9
2016-06-26,112.9,113.6,111.9,112.3,958190,113.0
2016-06-27,112.2,116.5,112.2,115.7,1247528,112.3
2016-06-28,116.5,118.5,115.5,116.4,1541700,115.7
2016-06-29,116.4,116.8,115.3,116.3,753385,116.4
2016-06-30,117.0,117.9,116.0,116.4,1074257,116.3
2016-07-10,115.6,115.6,113.8,115.2,857264,116.4
2016-07-11,116.0,116.8,115.1,115.3,687796,115.2
2016-07-12,115.4,117.5,114.2,116.8,1086561,115.3
2016-07-13,117.2,118.6,116.8,117.5,1294106,116.8
2016-07-14,117.5,123.8,117.5,122.3,3250073,117.5
2016-07-16,122.9,124.0,121.3,123.3,2191180,122.3
2016-07-17,123.0,123.3,119.5,120.2,2027995,123.3
2016-07-18,120.2,121.7,118.0,118.4,1624521,120.2
2016-07-19,118.0,119.8,117.3,117.9,1115414,118.4
2016-07-20,118.0,121.0,117.6,120.8,1187119,117.9
2016-07-21,121.3,122.5,119.2,119.5,1362822,120.8
2016-07-24,120.1,120.1,118.0,118.3,1163587,119.5
2016-07-25,119.0,120.8,118.1,118.7,1440682,118.3
2016-07-26,119.0,119.5,116.2,116.5,1571349,118.7
2016-07-27,116.2,117.0,115.1,115.4,1056085,116.5
2016-07-28,115.5,115.9,114.6,114.9,963893,115.4
2016-07-31,115.1,115.5,112.7,113.0,1046470,114.9
2016-08-01,113.0,115.7,113.0,114.4,738494,113.0
2016-08-02,114.3,115.3,113.5,113.7,695037,114.4
2016-08-03,113.8,114.8,113.5,113.7,889042,113.7
2016-08-04,114.6,114.6,112.8,112.9,758168,113.7
2016-08-07,113.0,113.4,111.3,111.5,968679,112.9
2016-08-08,112.0,115.2,111.0,113.5,903703,111.5
2016-08-09,114.0,115.0,112.6,112.8,598556,113.5
2016-08-10,113.0,113.5,112.1,112.3,596443,112.8
2016-08-11,112.9,113.1,112.1,112.2,660857,112.3
2016-08-14,112.3,113.0,112.1,112.2,474619,112.2
2016-08-16,112.3,113.8,112.3,112.6,625299,112.2
2016-08-17,113.0,113.1,111.6,111.7,766338,112.6
2016-08-18,112.0,112.0,110.2,110.5,961266,111.7
2016-08-21,110.2,112.1,110.2,111.3,664311,110.5
2016-08-22,111.7,112.3,110.6,110.8,574961,111.3
2016-08-23,111.0,111.5,108.8,109.0,1064964,110.8
2016-08-24,109.1,109.7,106.5,106.7,942880,109.0
2016-08-28,106.9,106.9,104.3,104.7,1094359,106.7
2016-08-29,104.9,107.9,104.5,106.0,524596,104.7
2016-08-30,107.0,107.0,104.5,104.6,499775,106.0
2016-08-31,105.0,105.1,102.8,103.2,649682,104.6
2016-09-01,103.3,105.8,103.3,105.0,453915,103.2
2016-09-04,105.0,105.5,103.8,104.3,432177,105.0
2016-09-05,104.2,108.6,104.0,108.2,851756,104.3
2016-09-06,108.8,110.2,107.7,109.7,1200130,108.2
2016-09-07,110.0,111.9,108.1,108.4,856020,109.7
2016-09-08,109.0,110.5,107.7,108.1,832253,108.4
2016-09-18,108.0,108.0,104.8,105.5,1628638,108.1
2016-09-19,105.1,111.9,104.0,111.3,3006355,105.5
2016-09-20,111.8,112.8,109.7,111.5,2455859,111.3
2016-09-21,113.9,114.0,106.7,107.0,2992029,111.5
2016-09-22,107.2,108.4,105.9,107.1,978385,107.0
2016-09-24,107.9,108.0,106.4,106.6,713785,107.1
2016-09-25,106.4,107.1,105.0,105.3,806465,106.6
2016-09-26,105.5,107.2,105.3,105.6,632924,105.3
2016-09-27,105.8,107.3,105.7,106.4,640930,105.6
2016-09-28,106.5,107.2,105.9,106.0,403194,106.4
2016-09-29,106.0,106.5,105.5,105.6,582410,106.0
2016-10-02,105.9,106.2,104.2,104.5,590980,105.6
2016-10-03,105.0,106.0,104.4,104.9,544200,104.5
2016-10-04,105.1,106.7,104.7,106.4,780765,104.9
2016-10-05,106.5,107.6,105.9,106.6,681695,106.4
2016-10-06,107.1,107.1,105.9,106.2,567484,106.6
2016-10-09,106.4,106.4,104.7,104.9,724778,106.2
2016-10-10,105.0,106.8,104.5,106.3,1011048,104.9
2016-10-13,0.0,0.0,0.0,106.3,0,106.3
2016-10-16,104.5,104.5,102.3,102.8,659215,106.3
2016-10-17,102.9,103.0,100.0,100.4,529326,102.8
2016-10-18,100.4,101.7,99.0,99.8,507408,100.4
2016-10-19,99.5,99.8,96.9,97.2,601428,99.8
2016-10-20,96.2,100.0,96.2,97.5,468794,97.2
2016-10-23,98.4,98.7,97.0,97.6,508375,97.5
2016-10-24,98.0,101.0,97.6,99.6,905057,97.6
2016-10-25,100.9,103.4,100.6,101.4,783521,99.6
2016-10-26,101.3,101.8,99.2,99.5,512127,101.4
2016-10-27,99.2,100.2,97.7,98.2,533584,99.5
2016-10-30,98.0,100.5,97.3,98.7,401317,98.2
2016-10-31,99.0,100.2,97.9,98.1,256737,98.7
2016-11-01,98.8,99.2,97.7,97.9,227379,98.1
2016-11-02,98.3,99.0,98.0,98.7,185424,97.9
2016-11-03,99.7,99.8,98.4,99.4,289311,98.7
2016-11-06,100.0,101.8,99.5,100.4,421067,99.4
2016-11-07,100.5,101.9,100.3,101.2,405892,100.4
2016-11-08,101.1,102.9,101.1,101.9,483533,101.2
2016-11-09,102.8,103.3,100.4,100.7,414049,101.9
2016-11-10,101.0,101.6,100.0,100.2,527389,100.7
2016-11-13,101.0,101.5,98.5,99.6,310087,100.2
2016-11-14,102.0,107.0,101.5,105.9,2478163,99.6
2016-11-15,106.5,107.6,104.0,104.5,913490,105.9
2016-11-16,105.0,105.0,101.5,103.0,1482097,104.5
2016-11-17,103.3,104.9,102.8,103.1,532823,103.0
2016-11-20,103.2,103.5,101.3,101.6,814770,103.1
2016-11-21,101.5,102.8,101.0,101.2,509805,101.6
2016-11-22,101.1,102.2,101.0,101.1,411940,101.2
2016-11-23,101.1,101.9,100.2,100.5,395789,101.1
2016-11-24,100.6,101.3,100.0,100.2,387801,100.5
2016-11-27,100.9,100.9,99.7,99.9,342475,100.2
2016-11-28,100.2,100.7,99.3,99.8,523024,99.9
2016-11-29,100.1,101.4,99.6,99.9,325789,99.8
2016-11-30,100.1,103.2,100.0,102.8,724613,99.9
2016-12-01,103.3,104.0,102.0,102.3,599556,102.8
2016-12-04,103.5,103.5,101.2,101.5,345017,102.3
2016-12-05,101.7,103.4,101.2,102.2,530683,101.5
2016-12-06,102.9,103.3,101.5,101.6,402178,102.2
2016-12-07,101.6,102.1,101.1,101.4,387903,101.6
2016-12-08,101.4,102.3,100.4,100.8,613219,101.4
2016-12-11,100.7,101.4,99.5,100.0,724290,100.8
2016-12-12,100.0,101.0,99.3,99.7,403585,100.0
2016-12-14,100.0,100.3,99.0,99.2,729880,99.7
2016-12-15,99.2,99.3,97.3,97.7,944557,99.2
2016-12-18,98.0,100.7,97.5,99.3,380358,97.7
2016-12-19,99.9,101.6,99.4,100.2,516750,99.3
2016-12-20,100.0,101.0,98.9,99.1,357682,100.2
2016-12-21,99.4,99.6,98.6,98.8,233626,99.1
2016-12-22,98.6,99.0,98.1,98.4,335792,98.8
2016-12-26,98.9,99.9,98.1,98.3,319405,98.4
2016-12-27,98.5,99.4,98.3,98.7,287431,98.3
2016-12-28,99.4,100.9,98.5,99.4,522420,98.7
2016-12-29,100.0,100.0,98.6,99.0,473626,99.4
2017-01-01,100.0,102.2,99.0,102.0,662754,99.0
2017-01-02,102.0,106.3,102.0,105.7,1614523,102.0
2017-01-03,106.0,106.9,103.2,106.6,1017240,105.7
2017-01-04,106.0,106.5,104.0,104.5,591692,106.6
2017-01-05,104.3,105.5,103.6,103.9,549426,104.5
2017-01-08,104.0,104.2,102.6,102.9,425714,103.9
2017-01-09,103.0,104.5,102.4,103.1,486109,102.9
2017-01-10,104.0,106.5,103.8,105.9,968674,103.1
2017-01-11,106.0,107.0,104.5,104.9,637508,105.9
2017-01-12,105.2,106.0,104.2,104.7,494201,104.9
2017-01-15,105.3,112.8,105.1,111.9,2874472,104.7
2017-01-16,113.0,113.6,109.6,110.3,1587216,111.9
2017-01-17,110.0,112.3,109.1,109.5,1189319,110.3
2017-01-18,110.0,112.0,108.8,109.7,1082921,109.5
2017-01-19,109.5,114.9,109.2,114.4,2393060,109.7
2017-01-22,114.8,119.2,114.4,116.7,2270212,114.4
2017-01-23,118.0,118.0,114.0,115.0,1635624,116.7
2017-01-24,115.3,115.7,111.1,112.4,935528,115.0
2017-01-25,112.0,113.9,109.6,110.0,859232,112.4
2017-01-26,111.6,114.3,109.7,113.3,875486,110.0
2017-01-29,115.0,117.7,113.6,114.3,2164910,113.3
2017-01-30,114.2,115.8,112.3,112.8,1147467,114.3
2017-01-31,113.3,113.7,110.6,111.2,745795,112.8
2017-02-01,112.0,113.0,110.8,111.1,647450,111.2
2017-02-02,111.5,112.9,107.6,107.8,666058,111.1
2017-02-05,108.4,110.4,107.6,109.0,709304,107.8
2017-02-06,108.7,110.3,108.0,109.0,305783,109.0
2017-02-07,109.2,111.0,108.5,109.8,354357,109.0
2017-02-08,111.0,112.5,110.2,111.7,601759,109.8
2017-02-09,112.2,112.2,109.9,110.4,526685,111.7
2017-02-12,110.4,113.3,110.4,112.2,917846,110.4
2017-02-13,112.6,113.7,111.9,113.1,1151035,112.2
2017-02-14,113.0,114.2,113.0,113.2,1026413,113.1
2017-02-15,113.4,113.8,111.9,112.0,671168,113.2
2017-02-16,112.0,112.6,110.7,112.0,405751,112.0
2017-02-19,112.0,113.2,111.0,112.7,760568,112.0
2017-02-20,113.3,114.9,112.4,113.9,1343415,112.7
2017-02-22,113.8,117.5,113.8,116.3,3269480,113.9
2017-02-23,117.5,117.5,115.1,115.3,872727,116.3
2017-02-26,115.5,115.5,113.2,113.4,1092830,115.3
2017-02-27,113.5,114.0,112.5,112.7,577486,113.4
2017-02-28,112.5,113.4,111.1,111.5,839754,112.7
2017-03-01,111.2,112.6,110.5,111.1,684951,111.5
2017-03-02,111.1,113.0,110.7,112.0,397166,111.1
2017-03-05,112.0,112.4,110.4,110.9,397622,112.0
2017-03-06,111.1,113.7,111.0,112.1,647261,110.9
2017-03-07,112.6,113.5,111.5,111.8,523233,112.1
2017-03-08,112.2,112.8,111.1,111.4,651370,111.8
2017-03-09,111.4,112.7,110.7,111.1,585216,111.4
2017-03-12,112.0,112.7,110.9,111.1,425070,111.1
2017-03-13,111.5,112.0,111.1,111.5,486795,111.1
2017-03-14,111.5,112.1,111.0,111.4,502607,111.5
2017-03-15,111.4,111.9,111.3,111.5,443336,111.4
2017-03-16,112.0,113.8,111.5,112.3,671123,111.5
2017-03-19,112.0,113.6,111.9,112.1,401455,112.3
2017-03-20,112.0,112.9,111.9,112.1,404509,112.1
2017-03-21,111.9,112.4,111.7,111.9,541126,112.1
2017-03-22,112.0,112.9,111.8,112.1,569045,111.9
2017-03-23,112.9,112.9,111.5,111.8,536439,112.1
2017-03-27,111.9,112.1,111.3,111.5,322592,111.8
2017-03-28,111.3,113.3,111.3,112.7,805931,111.5
2017-03-29,113.3,115.0,113.0,114.6,2100467,112.7
2017-03-30,115.0,115.9,114.1,115.0,1171409,114.6
2017-04-02,115.1,117.1,114.4,116.5,1298911,115.0
2017-04-03,116.5,117.6,115.7,116.4,1491956,116.5
2017-04-04,116.5,119.3,116.5,118.0,2353168,116.4
2017-04-05,118.0,118.4,116.0,116.3,823621,118.0
2017-04-06,116.4,117.0,114.9,115.1,951020,116.3
2017-04-09,115.1,115.7,114.6,114.8,668254,115.1
2017-04-10,114.6,115.0,114.2,114.6,575687,114.8
2017-04-11,114.9,114.9,114.0,114.2,524847,114.6
2017-04-12,114.9,116.0,114.3,115.6,694737,114.2
2017-04-13,115.9,115.9,114.0,114.1,634698,115.6
2017-04-16,113.9,114.3,113.5,114.0,303825,114.1
2017-04-17,114.2,114.3,111.9,113.6,321935,114.0
2017-04-18,113.1,114.3,113.0,113.8,319545,113.6
2017-04-19,113.1,114.9,113.1,114.3,189833,113.8
2017-04-20,115.0,115.0,113.8,114.0,274491,114.3
2017-04-23,113.8,114.0,112.6,112.7,447628,114.0
2017-04-24,113.0,113.5,111.7,112.2,242304,112.7
2017-04-25,112.5,113.3,112.5,112.7,118916,112.2
2017-04-26,112.7,114.0,112.5,113.5,135921,112.7
2017-04-27,113.4,115.2,113.4,114.5,330131,113.5
2017-04-30,115.2,115.5,113.8,115.0,413394,114.5
2017-05-02,115.0,115.5,114.5,115.1,484110,115.0
2017-05-03,115.5,116.8,114.7,115.3,450631,115.1
2017-05-04,115.0,115.5,114.0,114.4,316529,115.3
2017-05-07,114.5,115.9,114.3,115.2,377397,114.4
2017-05-08,115.2,116.1,114.9,115.1,307802,115.2
2017-05-09,115.0,115.5,114.3,114.8,255643,115.1
2017-05-11,114.4,115.0,114.2,114.4,179996,114.8
2017-05-14,114.0,115.9,113.4,114.6,309764,114.4
2017-05-15,115.6,116.4,114.3,114.5,252351,114.6
2017-05-16,114.3,115.2,113.8,114.0,250431,114.5
2017-05-17,114.0,114.9,114.0,114.3,253827,114.0
2017-05-18,114.4,114.4,113.6,113.8,165189,114.3
2017-05-21,113.4,113.6,113.0,113.3,146186,113.8
2017-05-22,113.5,113.8,113.0,113.4,205324,113.3
2017-05-23,114.2,116.5,113.7,114.9,489764,113.4
2017-05-24,115.7,115.8,114.6,114.8,119279,114.9
2017-05-25,114.6,115.2,113.8,114.0,239006,114.8
2017-05-28,113.9,114.4,113.2,113.6,164149,114.0
2017-05-29,113.2,113.9,113.0,113.6,112876,113.6
2017-05-30,113.6,114.3,113.5,113.8,105362,113.6
2017-05-31,113.2,115.0,113.2,114.5,208493,113.8
2017-06-01,113.8,114.9,113.8,114.6,124205,114.5
2017-06-04,113.8,115.2,113.8,114.6,284946,114.6
2017-06-05,114.5,115.5,114.4,115.3,567492,114.6
2017-06-06,115.6,117.0,115.5,116.2,673863,115.3
2017-06-07,116.4,116.5,115.3,115.7,415295,116.2
2017-06-08,115.4,115.6,114.7,115.0,269242,115.7
2017-06-11,115.0,115.2,114.6,114.8,168721,115.0
2017-06-12,114.4,115.0,114.0,114.5,200498,114.8
2017-06-13,114.5,114.8,114.0,114.1,163411,114.5
2017-06-14,114.0,114.5,114.0,114.1,128097,114.1
2017-06-15,114.1,114.5,113.9,114.4,164824,114.1
2017-06-18,114.2,114.8,114.2,114.3,222755,114.4
2017-06-19,114.3,115.1,114.3,114.6,128286,114.3
2017-06-20,114.5,115.2,114.5,114.9,212839,114.6
2017-06-21,115.0,115.9,114.9,115.7,215761,114.9
2017-06-22,115.8,116.2,115.7,116.1,372453,115.7
2017-06-28,115.9,116.2,115.7,116.1,238061,116.1
2017-06-29,115.9,116.1,115.6,115.7,192484,116.1
2017-07-02,116.0,116.0,115.1,115.3,275721,115.7
2017-07-03,115.3,116.1,112.5,116.0,439700,115.3
2017-07-04,116.4,116.7,115.6,115.8,290855,116.0
2017-07-05,116.0,116.1,115.7,116.0,404354,115.8
2017-07-06,116.1,121.0,116.0,120.0,2790880,116.0
2017-07-09,121.4,122.4,119.2,120.0,1434585,120.0
2017-07-10,120.0,120.7,118.2,118.6,1508858,120.0
