date,open,high,low,close,volume,prev_closing_price
2010-11-22,93.7,140.4,93.7,136.2,3686000,10.0
2010-11-23,140.0,178.0,140.0,169.1,1332000,136.2
2010-11-24,175.0,180.0,146.1,152.9,850500,169.1
2010-11-25,142.2,158.8,138.0,154.5,1680500,152.9
2010-11-28,158.9,162.0,146.0,149.4,1099500,154.5
2010-11-29,149.9,149.9,137.0,137.9,833000,149.4
2010-11-30,140.0,144.8,136.0,143.1,593500,137.9
2010-12-01,144.9,154.0,144.9,147.8,739500,143.1
2010-12-02,149.8,151.7,141.5,142.2,607500,147.8
2010-12-05,145.9,145.9,135.5,136.7,468500,142.2
2010-12-06,142.0,142.0,128.0,131.1,395500,136.7
2010-12-07,134.9,134.9,125.7,126.9,337500,131.1
2010-12-08,126.3,135.0,118.0,127.9,372500,126.9
2010-12-09,133.8,134.5,130.1,133.3,243500,127.9
2010-12-12,136.7,136.7,122.6,125.5,306500,133.3
2010-12-13,129.0,133.0,124.0,124.7,243000,125.5
2010-12-14,125.1,128.7,123.1,123.7,177000,124.7
2010-12-15,123.0,125.8,120.0,120.4,205000,123.7
2010-12-19,118.5,119.0,105.2,110.2,301500,120.4
2010-12-20,118.0,119.9,112.6,113.7,268000,110.2
2010-12-21,116.7,116.7,113.6,114.6,191500,113.7
2010-12-22,117.9,132.9,112.3,130.6,652000,114.6
2010-12-23,133.0,133.6,124.0,124.8,340000,130.6
2010-12-26,125.9,125.9,118.3,119.3,188000,124.8
2010-12-27,118.0,122.9,116.0,121.7,227500,119.3
2010-12-28,122.9,129.0,122.1,123.6,369500,121.7
2010-12-29,125.9,125.9,119.7,121.2,206000,123.6
2010-12-30,122.9,122.9,119.0,119.3,190000,121.2
2011-01-02,122.9,122.9,116.2,117.8,196500,119.3
2011-01-03,120.0,120.0,115.2,116.6,172500,117.8
2011-01-04,116.0,117.4,112.1,113.3,141500,116.6
2011-01-05,113.2,115.0,111.6,113.5,202500,113.3
2011-01-06,115.0,115.0,108.2,110.3,190000,113.5
2011-01-09,110.0,113.5,95.0,99.1,280500,110.3
2011-01-10,100.0,101.0,85.5,85.7,148500,99.1
2011-01-11,94.2,102.8,94.0,102.8,131500,85.7
2011-01-12,110.0,110.0,101.0,104.3,290000,102.8
2011-01-13,106.0,106.0,100.2,101.1,194500,104.3
2011-01-16,97.1,100.0,95.4,98.1,273500,101.1
2011-01-17,102.0,102.0,95.0,95.3,169000,98.1
2011-01-18,95.1,97.8,92.0,92.1,135000,95.3
2011-01-19,95.9,97.9,83.0,85.6,110000,92.1
2011-01-20,78.0,78.0,74.0,75.6,3000,85.6
2011-01-25,83.1,83.1,83.1,83.1,20000,75.6
2011-01-26,91.0,91.4,91.0,91.4,111500,83.1
2011-01-27,98.9,98.9,91.0,92.2,262000,91.4
2011-01-30,94.6,97.0,88.1,93.8,303000,92.2
2011-01-31,97.5,97.5,91.1,91.8,255500,93.8
2011-02-01,92.8,93.4,88.0,88.8,176000,91.8
2011-02-02,89.5,90.9,87.3,87.8,136500,88.8
2011-02-03,88.0,89.8,82.6,83.6,189000,87.8
2011-02-06,82.1,83.0,76.1,77.0,157000,83.6
2011-02-07,77.0,77.0,69.4,69.8,193000,77.0
2011-02-08,74.7,76.7,64.0,75.7,325500,69.8
2011-02-09,78.6,78.7,72.3,72.8,205000,75.7
2011-02-10,71.2,74.2,69.7,70.6,165500,72.8
2011-02-13,74.8,74.8,64.2,65.3,224000,70.6
2011-02-14,61.1,67.0,58.8,58.8,174000,65.3
2011-02-15,62.9,64.5,55.3,64.0,236000,58.8
2011-02-20,69.9,70.4,68.9,70.4,118000,64.0
2011-02-22,74.7,74.7,64.9,65.5,207000,70.4
2011-02-27,61.1,61.1,57.0,57.4,234500,62.4
2011-02-28,55.3,56.2,52.8,53.6,133500,57.4
2011-03-01,56.0,58.9,56.0,58.4,507500,53.6
2011-03-02,60.5,60.5,52.9,53.3,186500,58.4
2011-03-03,55.9,55.9,50.0,54.5,446500,53.3
2011-03-06,56.1,59.6,54.1,58.7,305000,54.5
2011-03-07,61.9,64.5,59.2,64.5,460500,58.7
2011-03-08,64.5,70.9,62.6,70.9,568000,64.5
2011-03-09,76.0,77.9,71.0,77.9,585000,70.9
2011-03-10,84.0,85.6,81.9,85.6,460500,77.9
2011-03-13,85.6,90.6,77.1,78.1,979500,85.6
2011-03-14,80.0,85.9,78.8,85.9,589500,78.1
2011-03-15,89.0,94.4,88.3,94.2,1010500,85.9
2011-03-16,99.0,103.6,91.1,103.0,1062000,94.2
2011-03-20,105.0,105.0,97.1,100.0,655500,103.0
2011-03-21,100.0,100.0,90.2,91.2,552000,100.0
2011-03-22,90.0,96.0,87.3,94.0,397500,91.2
2011-03-23,96.0,97.7,90.8,91.6,343000,94.0
2011-03-24,88.4,91.9,85.1,87.4,386000,91.6
