date,open,high,low,close,volume,prev_closing_price
2008-03-06,44.2,46.5,44.0,45.3,192500,43.9
2008-03-09,47.0,48.3,46.2,48.0,233500,45.3
2008-03-09,47.0,48.3,46.2,48.0,233500,45.3
2008-03-10,48.4,48.9,46.1,46.5,104000,48.0
2008-03-11,45.5,48.0,45.5,46.3,270000,46.5
2008-03-12,47.0,47.0,45.2,45.8,94000,46.3
2008-03-13,46.8,47.4,45.5,46.1,104000,45.8
2008-03-16,47.5,48.0,46.8,47.5,207000,46.1
2008-03-17,48.5,50.0,47.5,47.8,274500,47.5
2008-03-18,48.9,49.8,47.6,47.8,200000,47.8
2008-03-19,48.0,49.6,47.7,49.3,283500,47.8
2008-03-20,49.7,50.2,48.5,48.8,279500,49.3
2008-03-23,49.3,49.5,47.5,47.9,136500,48.8
2008-03-24,48.0,49.0,47.2,47.2,154000,47.9
2008-03-25,47.3,48.8,47.0,47.9,156500,47.2
2008-03-30,48.9,48.9,47.5,47.8,101000,47.9
2008-03-31,48.0,48.2,46.0,46.4,114000,47.8
2008-04-01,47.0,47.3,46.4,47.0,60000,46.4
2008-04-02,48.0,48.4,46.3,46.4,72500,47.0
2008-04-03,46.1,47.0,45.7,45.9,85000,46.4
2008-04-06,45.9,47.0,45.9,46.6,91000,45.9
2008-04-07,47.1,47.7,46.5,46.8,91000,46.6
2008-04-08,47.4,49.3,46.4,48.9,261000,46.8
2008-04-09,49.9,49.9,48.1,48.4,280500,48.9
2008-04-10,48.5,49.6,47.8,48.1,157000,48.4
2008-04-13,48.9,48.9,47.8,48.2,122500,48.1
2008-04-15,49.3,53.0,48.9,52.6,622000,48.2
2008-04-16,53.2,53.9,51.0,51.1,352000,52.6
2008-04-17,51.0,52.0,49.5,49.8,276000,51.1
2008-04-20,50.0,50.0,47.5,48.0,186500,49.8
2008-04-21,48.0,48.0,46.6,47.3,157000,48.0
2008-04-22,47.0,48.5,46.9,47.2,145500,47.3
2008-04-23,47.6,48.6,47.1,47.3,159500,47.2
2008-04-24,48.0,48.7,47.6,48.4,221000,47.3
2008-04-27,49.0,49.4,46.8,47.4,218000,48.4
2008-04-28,46.6,48.4,46.6,46.7,86000,47.4
2008-04-29,47.0,47.6,46.6,46.6,102000,46.7
2008-04-30,45.9,46.9,45.8,45.9,94500,46.6
2008-05-04,45.5,46.6,45.0,45.1,87000,45.9
2008-05-05,44.5,46.0,44.4,45.8,73500,45.1
2008-05-06,46.7,46.7,45.5,46.0,58000,45.8
2008-05-07,45.1,46.4,44.8,45.0,95000,46.0
2008-05-08,44.8,45.5,44.7,44.9,62500,45.0
2008-05-11,44.6,45.5,44.6,44.9,79000,44.9
2008-05-12,45.0,45.5,44.1,45.1,91000,44.9
2008-05-13,45.0,45.0,43.9,44.0,78500,45.1
2008-05-14,43.8,44.3,43.0,43.3,74000,44.0
2008-05-15,43.6,44.0,42.0,42.5,147500,43.3
2008-05-18,43.1,44.5,43.1,43.4,80500,42.5
2008-05-20,42.8,44.5,42.8,43.6,108500,43.4
2008-05-21,44.1,44.4,43.4,44.1,60000,43.6
2008-05-22,44.8,44.9,43.9,44.1,64000,44.1
2008-05-25,44.8,44.8,42.7,43.0,67000,44.1
2008-05-26,42.5,44.5,42.5,43.3,88000,43.0
2008-05-27,44.7,46.8,44.2,45.0,124500,43.3
2008-05-28,46.0,46.0,44.7,44.9,128000,45.0
2008-05-29,45.1,45.4,44.0,44.2,92500,44.9
