date,open,high,low,close,volume,prev_closing_price
2008-03-06,187.0,202.0,187.0,193.75,68500,182.0
2008-03-09,194.0,200.0,189.25,191.5,27250,193.75
2008-03-09,194.0,200.0,189.25,191.5,27250,193.75
2008-03-10,193.0,198.0,185.25,196.5,22050,191.5
2008-03-11,197.0,200.0,185.25,189.0,23000,196.5
2008-03-12,196.0,196.0,182.0,183.75,10200,189.0
2008-03-13,184.0,189.0,180.0,181.25,13550,183.75
2008-03-16,182.0,182.0,175.25,177.75,7500,181.25
2008-03-17,175.75,179.0,175.5,176.5,5300,177.75
2008-03-18,175.0,181.5,170.0,172.0,9500,176.5
2008-03-19,169.0,175.0,169.0,170.75,7150,172.0
2008-03-20,172.25,178.0,170.5,172.5,5150,170.75
2008-03-23,172.0,179.0,165.0,169.75,14700,172.5
2008-03-24,165.0,170.0,163.25,165.25,6650,169.75
2008-03-25,170.0,180.0,169.0,173.25,11950,165.25
2008-03-30,189.0,205.0,188.75,194.0,44050,173.25
2008-03-31,199.0,199.0,187.0,195.25,50600,194.0
2008-04-01,194.0,199.0,191.5,196.75,37450,195.25
2008-04-02,201.0,203.5,195.25,201.0,44650,196.75
2008-04-03,205.0,236.0,205.0,235.75,98300,201.0
2008-04-06,230.0,234.0,216.0,220.0,47600,235.75
2008-04-07,225.0,258.5,225.0,255.25,102050,220.0
2008-04-08,269.0,270.0,241.0,264.75,51500,255.25
2008-04-09,257.25,266.0,242.0,244.5,38950,264.75
2008-04-10,243.5,262.0,243.5,258.0,39750,244.5
2008-04-13,263.0,274.5,261.25,267.75,61350,258.0
2008-04-15,280.0,291.0,271.0,277.75,62500,267.75
2008-04-16,255.25,279.0,255.0,266.0,31950,277.75
2008-04-17,265.25,268.0,250.0,250.75,25050,266.0
2008-04-20,250.0,263.5,250.0,253.0,21450,250.75
2008-04-21,249.0,267.0,247.0,256.25,34450,253.0
2008-04-22,258.0,262.0,250.0,252.5,25200,256.25
2008-04-23,248.0,271.0,248.0,262.0,43100,252.5
2008-04-24,266.0,266.5,255.0,259.5,9250,262.0
2008-04-27,262.0,262.0,248.0,252.25,13200,259.5
2008-04-28,248.25,250.0,240.0,242.75,16250,252.25
2008-04-29,250.0,250.0,231.0,234.75,11050,242.75
2008-04-30,225.0,238.0,216.0,222.5,10100,234.75
2008-05-04,213.25,249.0,201.0,239.0,23700,222.5
2008-05-05,240.0,255.0,220.0,237.75,19150,239.0
2008-05-06,244.0,262.0,244.0,256.25,39100,237.75
2008-05-07,259.0,265.0,230.25,238.25,20000,256.25
2008-05-08,242.0,245.0,238.5,240.0,15300,238.25
2008-05-11,260.0,265.0,225.0,248.25,43850,240.0
2008-05-12,250.0,250.0,235.0,237.0,13500,248.25
2008-05-13,238.0,240.0,230.0,237.75,14100,237.0
2008-05-14,235.0,240.0,220.0,221.5,16950,237.75
2008-05-15,225.0,230.0,222.0,226.5,8050,221.5
2008-05-18,240.0,240.0,230.25,233.75,13100,226.5
2008-05-20,236.0,269.75,236.0,263.5,78100,233.75
2008-05-21,272.0,299.0,270.25,271.5,78550,263.5
2008-05-22,274.0,277.0,265.75,272.0,42200,271.5
2008-05-25,275.0,319.5,275.0,319.0,125250,272.0
2008-05-26,330.0,345.0,311.0,337.5,85300,319.0
2008-05-27,321.0,375.0,321.0,345.0,68050,337.5
2008-05-28,340.0,358.0,330.0,348.75,51500,345.0
2008-05-29,358.0,402.0,346.0,384.0,93200,348.75
2008-06-01,384.0,400.0,365.0,371.25,46550,384.0
2008-06-02,382.0,398.0,376.0,390.25,43400,371.25
2008-06-03,399.0,420.0,393.0,396.0,55650,390.25
2008-06-04,400.0,400.0,375.0,377.0,30550,396.0
2008-06-05,380.0,381.0,351.0,373.0,35000,377.0
2008-06-08,396.0,418.0,387.0,401.5,60550,373.0
2008-06-09,376.0,395.0,365.5,369.25,23550,401.5
2008-06-10,371.0,394.0,363.0,374.75,21150,369.25
2008-06-11,370.0,370.0,337.5,341.0,22200,374.75
2008-06-12,374.0,384.0,332.0,341.25,24800,341.0
2008-06-15,342.5,346.0,319.0,321.25,7350,341.25
2008-06-16,329.0,340.0,310.0,336.75,21550,321.25
2008-06-17,348.0,390.0,348.0,389.0,50600,336.75
2008-06-18,377.25,385.0,361.0,0.0,20500,389.0
2008-06-19,375.0,380.0,366.5,376.0,31700,374.75
2008-06-22,343.5,346.0,332.25,0.0,5300,376.0
2008-06-23,320.0,337.0,310.0,0.0,5250,341.5
2008-06-24,338.0,375.0,333.5,358.25,14650,326.0
2008-06-25,358.25,0.0,0.0,358.25,0,358.25
2008-06-26,301.5,389.0,301.5,377.0,35800,358.25
2008-06-29,380.0,380.0,361.0,371.0,19850,377.0
2008-06-30,367.0,368.0,345.0,354.5,18450,371.0
2008-07-02,370.0,372.0,332.5,334.5,16550,354.5
2008-07-03,345.5,346.75,322.5,339.0,8900,334.5
2008-07-06,347.0,353.75,332.0,336.75,8400,339.0
2008-07-07,345.0,352.5,335.0,337.75,15500,336.75
2008-07-08,340.0,348.0,320.0,327.5,22350,337.75
2008-07-08,340.0,348.0,320.0,327.5,22350,337.75
2008-07-09,318.0,335.0,318.0,330.75,2300,327.5
2008-07-10,343.0,343.0,322.5,325.25,28650,330.75
2008-07-13,342.0,349.5,333.5,345.25,17100,325.25
2008-07-14,339.5,340.0,325.0,328.0,9300,345.25
2008-07-15,326.25,328.0,312.5,319.0,11950,328.0
2008-07-16,320.0,325.0,298.0,300.25,14700,319.0
2008-07-17,310.0,315.0,293.0,296.25,15400,300.25
2008-07-20,286.0,302.0,270.0,287.25,16650,296.25
2008-07-21,285.0,287.5,248.0,254.75,12500,287.25
2008-07-22,259.5,264.75,242.25,243.75,20600,254.75
2008-07-23,232.0,260.0,232.0,247.5,18500,243.75
2008-07-24,257.5,290.75,257.5,290.25,44400,247.5
2008-07-27,305.0,320.0,303.25,312.0,32700,290.25
2008-07-28,330.0,346.0,306.0,309.75,39400,312.0
2008-07-29,300.0,300.0,280.0,285.25,30750,309.75
2008-07-30,293.5,293.5,282.0,287.75,19800,285.25
2008-07-31,282.0,286.5,271.5,276.0,13950,287.75
2008-08-03,271.25,273.75,251.25,256.0,13550,276.0
2008-08-04,260.0,264.0,250.0,253.25,15500,256.0
2008-08-05,245.0,264.5,245.0,255.0,11800,253.25
2008-08-06,262.75,271.75,255.25,264.75,33750,255.0
2008-08-07,264.0,267.5,255.0,258.0,17950,264.75
2008-08-10,260.0,260.0,244.0,246.75,12900,258.0
2008-08-11,248.25,250.75,232.0,242.25,49950,246.75
2008-08-12,249.0,249.5,237.0,239.25,19100,242.25
2008-08-13,244.75,244.75,234.5,235.0,12500,239.25
2008-08-14,234.0,237.0,230.0,233.0,16450,235.0
2008-08-18,232.0,232.0,220.0,223.75,10650,233.0
2008-08-19,222.75,227.0,200.75,203.25,28450,223.75
2008-08-20,217.5,219.0,207.0,208.25,25250,203.25
2008-08-21,213.0,239.0,213.0,226.5,17550,208.25
2008-08-25,234.0,238.0,228.0,233.25,35600,226.5
2008-08-26,243.0,268.0,239.0,263.75,58700,233.25
