date,open,high,low,close,volume,prev_closing_price
2011-01-10,10.7,10.7,9.3,9.4,211000,10.0
2011-01-11,10.0,20.1,10.0,16.7,490500,9.4
2011-01-12,11.0,15.0,11.0,14.2,197000,16.7
2011-01-13,13.0,14.8,12.5,13.5,250500,14.2
2011-01-16,12.6,13.5,12.2,12.3,106000,13.5
2011-01-17,12.2,12.8,11.9,12.3,31500,12.3
2011-01-18,12.1,12.1,11.5,12.0,67500,12.3
2011-01-19,11.7,12.8,11.1,11.7,110000,12.0
2011-01-20,11.0,11.0,11.0,11.0,7500,11.7
2011-01-25,12.1,12.1,11.9,12.1,48000,11.0
2011-01-26,13.2,13.3,12.2,12.3,101000,12.1
2011-01-27,11.6,12.2,11.6,11.7,28000,12.3
2011-01-30,11.4,12.2,11.3,12.0,36000,11.7
2011-01-31,11.8,12.0,11.8,11.8,52500,12.0
2011-02-01,11.6,11.7,11.4,11.5,43500,11.8
2011-02-02,11.3,11.7,11.3,11.4,23000,11.5
2011-02-03,11.3,11.8,11.0,11.0,54000,11.4
2011-02-06,10.4,11.3,10.4,10.9,78500,11.0
2011-02-07,11.0,11.0,10.3,10.3,76000,10.9
2011-02-08,10.3,11.2,10.1,10.6,22500,10.3
2011-02-09,10.5,11.1,10.3,10.7,6000,10.6
2011-02-10,10.7,10.7,9.9,10.0,63000,10.7
2011-02-13,9.5,10.0,9.0,9.9,32000,10.0
2011-02-14,9.0,9.3,9.0,9.1,4500,9.9
2011-02-15,9.0,10.0,9.0,9.8,19000,9.1
2011-02-20,10.7,10.7,10.2,10.5,37000,9.8
2011-02-22,9.8,10.8,9.5,9.9,21500,10.5
2011-02-27,9.4,10.0,9.2,9.7,20000,9.6
2011-02-28,9.1,9.8,8.9,9.1,13000,9.7
2011-03-01,9.9,10.0,9.4,9.9,26000,9.1
2011-03-02,9.9,9.9,9.0,9.1,15000,9.9
2011-03-03,9.1,9.7,9.0,9.3,21000,9.1
2011-03-06,9.1,9.6,9.1,9.2,4500,9.3
2011-03-07,9.5,10.1,9.5,10.0,34000,9.2
2011-03-08,10.3,10.8,10.0,10.5,21000,10.0
2011-03-09,10.9,10.9,10.0,10.1,41000,10.5
2011-03-10,10.1,10.8,9.7,10.6,115000,10.1
2011-03-13,10.0,10.2,9.9,9.9,13500,10.6
2011-03-14,9.9,10.7,9.9,10.3,27000,9.9
2011-03-15,10.0,10.5,9.9,10.0,26000,10.3
2011-03-16,9.9,10.0,9.9,9.9,32000,10.0
2011-03-20,10.0,10.3,9.6,9.8,21500,9.9
2011-03-21,10.0,10.0,9.6,9.9,421500,9.8
2011-03-22,9.8,10.0,9.7,9.9,104500,9.9
2011-03-23,9.6,9.8,9.6,9.6,17500,9.9
2011-03-24,9.5,9.8,9.3,9.5,25500,9.6
2011-03-27,10.0,10.0,9.4,9.9,407500,9.5
2011-03-28,9.4,9.9,9.3,9.4,12500,9.9
2011-03-29,9.4,9.5,9.4,9.4,6500,9.4
2011-03-30,9.5,9.8,9.4,9.5,15000,9.4
2011-03-31,9.7,9.9,9.7,9.8,10000,9.5
2011-04-03,9.4,9.9,9.4,9.5,9000,9.8
2011-04-04,9.5,9.5,9.4,9.4,32000,9.5
2011-04-05,9.3,9.3,9.3,9.3,5000,9.4
2011-04-06,9.5,9.7,9.2,9.4,13000,9.3
2011-04-07,9.4,9.4,9.4,9.4,1000,9.4
2011-04-10,9.7,10.0,9.7,9.7,90500,9.4
2011-04-11,9.5,10.0,9.5,9.7,139000,9.7
2011-04-12,9.3,9.9,9.3,9.4,13000,9.7
2011-04-13,9.9,10.0,9.6,9.8,28500,9.4
2011-04-17,9.3,9.9,9.3,9.7,20000,9.8
2011-04-18,9.8,10.0,9.7,9.9,173000,9.7
2011-04-19,9.8,9.8,9.4,9.6,34500,9.9
2011-04-20,9.5,9.7,9.0,9.0,46500,9.6
2011-04-21,9.0,9.5,9.0,9.2,19500,9.0
2011-04-24,9.1,9.5,8.8,8.9,83500,9.2
2011-04-25,8.8,9.2,8.3,8.7,43000,8.9
2011-04-26,8.8,8.9,8.6,8.6,42000,8.7
2011-04-27,8.7,9.2,8.7,8.9,8000,8.6
2011-05-03,8.5,8.6,8.4,8.5,9000,8.6
2011-05-04,8.9,8.9,8.4,8.5,18500,8.5
2011-05-05,8.5,8.9,8.5,8.5,9500,8.5
2011-05-08,8.2,8.5,8.0,8.2,16500,8.5
2011-05-09,8.3,8.5,8.0,8.1,40500,8.2
2011-05-10,8.6,8.9,8.4,8.5,9500,8.1
2011-05-11,8.4,8.5,8.3,8.3,21500,8.5
2011-05-12,8.4,8.6,8.4,8.4,6500,8.3
2011-05-15,8.5,9.0,8.5,8.9,21000,8.4
2011-05-16,9.0,9.0,8.7,8.9,80000,8.9
2011-05-18,8.9,9.0,8.7,8.8,15000,8.9
2011-05-19,8.8,8.8,8.5,8.6,11000,8.8
2011-05-22,8.2,8.5,8.2,8.2,10500,8.6
2011-05-23,8.3,8.5,8.3,8.3,4000,8.2
2011-05-24,8.4,8.4,8.2,8.2,3000,8.3
2011-05-25,8.0,8.0,8.0,8.0,500,8.2
2011-05-26,8.8,8.8,8.0,8.0,12000,8.0
2011-05-29,8.8,8.8,8.2,8.3,6000,8.0
2011-05-30,8.1,8.5,8.1,8.3,5500,8.3
2011-05-31,8.7,8.8,8.5,8.6,15000,8.3
2011-06-01,8.7,8.7,8.3,8.3,3500,8.6
2011-06-02,8.2,8.2,8.2,8.2,500,8.3
2011-06-05,8.2,8.3,8.2,8.2,4000,8.2
2011-06-06,8.2,8.5,8.2,8.2,5500,8.2
2011-06-07,8.2,8.5,8.2,8.2,6000,8.2
2011-06-08,8.2,8.5,8.2,8.4,10500,8.2
2011-06-09,8.3,8.5,8.3,8.4,15000,8.4
2011-06-12,8.2,8.5,8.1,8.2,1500,8.4
2011-06-13,8.2,8.5,8.2,8.3,22000,8.2
2011-06-14,8.2,8.2,8.0,8.1,12000,8.3
2011-06-15,7.6,8.3,7.6,8.0,9000,8.1
2011-06-16,8.0,0.0,0.0,8.0,0,8.0
2011-06-19,7.9,7.9,7.8,7.8,5500,8.0
2011-06-20,7.9,7.9,7.9,7.9,500,7.8
2011-06-21,8.0,8.1,8.0,8.0,31000,7.9
2011-06-22,8.1,8.1,7.4,7.9,10500,8.0
2011-06-23,8.0,8.0,7.9,7.9,6500,7.9
2011-06-26,7.7,8.1,7.7,8.0,37000,7.9
2011-06-27,8.1,8.2,7.8,8.0,4500,8.0
2011-06-28,8.1,8.1,7.8,7.9,98500,8.0
2011-06-29,8.2,8.2,8.0,8.1,31000,7.9
2011-06-30,8.2,8.2,8.0,8.1,62500,8.1
2011-07-03,8.3,8.6,8.3,8.3,456500,8.1
2011-07-04,8.4,8.5,8.0,8.0,400500,8.3
2011-07-05,8.3,8.4,8.1,8.1,24500,8.0
2011-07-06,8.3,8.9,8.3,8.8,240000,8.1
2011-07-07,8.6,8.9,8.5,8.7,269500,8.8
2011-07-10,8.9,9.1,8.9,8.9,305000,8.7
2011-07-11,9.2,9.2,8.8,8.8,135000,8.9
2011-07-12,9.4,9.4,8.9,8.9,1581000,8.8
2011-07-13,9.1,9.7,9.0,9.5,1688000,8.9
2011-07-14,9.7,10.2,9.3,9.4,748500,9.5
2011-07-17,9.3,9.8,9.0,9.2,197000,9.4
2011-07-19,9.3,9.5,9.2,9.3,266000,9.2
2011-07-20,9.3,9.4,9.0,9.0,385500,9.3
2011-07-21,8.9,9.6,8.9,9.4,198500,9.0
2011-07-24,9.8,9.8,8.9,9.2,856000,9.4
2011-07-25,9.5,9.5,9.0,9.0,292000,9.2
2011-07-26,9.2,9.3,9.0,9.0,922500,9.0
2011-07-27,9.2,9.2,8.9,9.0,319000,9.0
2011-07-28,9.0,9.2,8.8,8.8,152500,9.0
2011-07-31,8.9,9.0,8.7,8.9,358000,8.8
2011-08-01,8.8,8.8,8.6,8.6,104000,8.9
2011-08-02,8.9,8.9,8.3,8.3,189000,8.6
2011-08-03,8.5,8.9,8.3,8.8,118500,8.3
2011-08-04,8.6,8.6,8.2,8.2,159000,8.8
2011-08-07,8.2,8.5,7.8,8.3,56500,8.2
2011-08-08,8.2,8.7,8.2,8.5,79500,8.3
2011-08-09,8.5,8.6,8.3,8.4,38500,8.5
2011-08-10,8.5,8.5,8.3,8.4,45000,8.4
2011-08-11,8.4,8.7,8.3,8.4,67000,8.4
2011-08-14,8.6,8.6,8.0,8.1,73500,8.4
2011-08-16,8.0,8.4,8.0,8.0,111000,8.1
2011-08-17,7.9,8.0,7.9,7.9,49000,8.0
2011-08-18,8.5,8.5,8.1,8.3,172500,7.9
2011-08-21,8.3,8.5,8.3,8.4,10500,8.3
2011-08-23,8.1,8.3,8.0,8.1,93000,8.4
2011-08-24,8.3,8.3,8.0,8.0,78500,8.1
2011-08-25,8.1,8.3,8.1,8.2,63000,8.0
2011-09-04,8.2,8.3,8.2,8.2,72000,8.2
2011-09-05,8.1,8.4,8.1,8.2,54000,8.2
2011-09-06,8.1,8.2,8.0,8.1,16000,8.2
2011-09-07,8.3,8.3,8.2,8.2,30000,8.1
2011-09-08,8.1,8.3,8.1,8.1,24500,8.2
2011-09-11,8.0,8.1,7.9,7.9,48000,8.1
2011-09-12,7.9,8.0,7.8,7.9,38500,7.9
2011-09-13,7.9,8.6,7.9,8.6,350500,7.9
2011-09-14,8.6,8.6,8.3,8.4,15000,8.6
2011-09-15,8.4,8.6,8.2,8.4,118000,8.4
2011-09-18,8.2,9.0,8.2,8.9,128500,8.4
2011-09-19,8.3,8.5,8.2,8.4,17000,8.9
2011-09-20,8.6,8.6,8.3,8.4,10000,8.4
2011-09-21,8.3,8.6,8.3,8.3,177000,8.4
2011-09-22,8.3,8.5,8.0,8.3,57500,8.3
2011-09-25,8.1,8.4,8.1,8.1,25000,8.3
2011-09-26,8.3,8.7,8.2,8.3,163500,8.1
2011-09-27,8.4,8.5,8.4,8.4,13000,8.3
2011-09-28,8.5,8.5,8.2,8.2,20500,8.4
2011-09-29,8.1,8.4,8.1,8.2,10500,8.2
2011-10-02,8.3,9.0,8.2,8.6,160500,8.2
2011-10-03,8.2,8.3,8.2,8.2,10000,8.6
2011-10-04,8.2,8.2,8.1,8.1,11000,8.2
2011-10-05,8.2,8.3,8.0,8.1,42000,8.1
2011-10-09,7.9,8.0,7.9,7.9,27500,8.1
2011-10-10,7.9,8.1,7.9,8.0,37000,7.9
2011-10-11,8.0,8.0,7.9,7.9,46000,8.0
2011-10-12,7.8,8.1,7.8,7.9,9000,7.9
2011-10-13,8.5,8.5,8.2,8.3,35000,7.9
2011-10-16,8.1,8.1,8.0,8.0,59000,8.3
2011-10-17,8.1,8.1,8.0,8.0,11500,8.0
2011-10-18,8.0,8.2,8.0,8.0,12000,8.0
2011-10-19,8.0,8.0,8.0,8.0,16500,8.0
2011-10-20,8.2,8.4,8.1,8.2,40500,8.0
2011-10-23,8.8,8.8,8.1,8.2,68500,8.2
2011-10-24,8.0,8.2,7.9,7.9,21500,8.2
2011-10-25,8.0,8.3,8.0,8.1,4000,7.9
2011-10-26,8.0,8.1,7.9,7.9,5000,8.1
2011-10-27,8.1,8.1,7.5,7.7,22500,7.9
2011-10-30,7.7,7.7,7.5,7.6,16000,7.7
2011-10-31,7.7,7.9,7.4,7.5,39500,7.6
2011-11-01,7.5,7.9,7.5,7.7,7500,7.5
2011-11-02,7.7,7.9,7.7,7.8,4000,7.7
2011-11-03,7.8,7.9,7.8,7.8,23000,7.8
2011-11-13,7.9,7.9,7.9,7.9,2000,7.8
2011-11-14,7.4,7.7,7.2,7.2,38000,7.9
2011-11-15,7.3,7.3,7.0,7.1,20500,7.2
2011-11-16,7.7,7.8,7.7,7.7,11500,7.1
2011-11-17,7.9,8.1,7.3,7.5,89500,7.7
2011-11-20,7.7,7.8,7.5,7.7,13000,7.5
2011-11-21,7.9,8.0,7.8,7.9,59500,7.7
2011-11-22,7.9,8.2,7.9,8.0,96000,7.9
2011-11-23,8.1,8.1,7.9,7.9,68000,8.0
2011-11-24,8.0,8.0,7.8,7.9,20500,7.9
2011-11-27,7.8,7.8,7.5,7.5,33000,7.9
2011-11-28,8.2,8.2,7.5,7.6,11000,7.5
2011-11-29,7.3,7.5,7.3,7.4,34000,7.6
2011-11-30,7.9,8.0,7.9,7.9,4500,7.4
2011-12-05,8.2,8.2,7.6,7.9,14000,7.9
2011-12-07,7.6,7.7,7.6,7.6,9000,7.9
2011-12-08,7.6,7.8,7.5,7.6,14000,7.6
2011-12-11,7.9,7.9,7.9,7.9,1000,7.6
2011-12-12,7.9,0.0,0.0,7.9,0,7.9
2011-12-13,8.0,8.0,7.5,7.8,7500,7.9
2011-12-14,8.1,8.5,7.6,7.9,5000,7.8
2011-12-15,8.0,8.0,7.6,7.7,14500,7.9
2011-12-18,8.0,8.0,7.7,7.8,3500,7.7
2011-12-19,7.9,8.0,7.8,7.9,33500,7.8
2011-12-20,8.0,8.0,7.8,7.9,47500,7.9
2011-12-21,7.7,8.0,7.7,7.9,16500,7.9
2011-12-22,8.1,8.1,7.9,7.9,11500,7.9
2011-12-26,7.7,8.1,7.7,7.8,3500,7.9
2011-12-27,8.3,8.3,7.8,8.0,42000,7.8
2011-12-28,8.3,8.3,7.8,7.9,30500,8.0
2011-12-29,8.3,8.6,7.9,8.4,112500,7.9
2012-01-01,7.9,8.3,7.9,8.1,15000,8.4
2012-01-02,8.1,8.2,7.9,8.0,10500,8.1
2012-01-03,7.9,8.3,7.9,8.0,8000,8.0
2012-01-04,8.0,8.4,8.0,8.1,23000,8.0
2012-01-05,8.0,8.1,8.0,8.0,14500,8.1
2012-01-08,8.0,8.0,8.0,8.0,21000,8.0
2012-01-09,7.5,8.1,7.5,7.8,5000,8.0
2012-01-10,7.8,0.0,0.0,7.8,0,7.8
2012-01-11,7.6,7.9,7.3,7.7,10000,7.8
2012-01-12,7.7,7.8,7.7,7.7,10000,7.7
2012-01-15,7.7,0.0,0.0,7.7,0,7.7
2012-01-16,7.7,0.0,0.0,7.7,0,7.7
2012-01-18,7.0,7.9,7.0,7.6,9000,7.7
2012-01-19,7.5,7.8,7.5,7.5,18000,7.6
2012-01-22,7.8,7.8,7.2,7.3,64500,7.5
2012-01-23,7.7,7.7,7.0,7.1,33000,7.3
2012-01-24,7.1,7.1,7.0,7.0,3500,7.1
2012-01-25,7.0,7.4,7.0,7.0,7500,7.0
2012-01-26,7.0,7.3,7.0,7.1,14500,7.0
2012-01-29,7.2,7.2,6.9,6.9,56000,7.1
2012-01-30,6.8,6.9,6.8,6.8,4500,6.9
2012-01-31,7.0,7.2,6.8,6.9,10000,6.8
2012-02-01,7.2,7.2,6.7,6.8,1500,6.9
2012-02-02,6.8,7.0,6.7,6.8,34000,6.8
2012-02-06,6.4,6.8,6.4,6.5,21500,6.8
2012-02-07,6.7,7.0,6.5,6.9,31500,6.5
2012-02-08,7.0,7.0,6.7,6.8,6500,6.9
2012-02-09,6.8,7.4,6.8,7.3,53000,6.8
2012-02-12,7.8,8.0,7.5,7.8,42500,7.3
2012-02-13,7.9,8.0,7.4,7.5,60500,7.8
2012-02-14,7.8,7.8,7.2,7.2,86000,7.5
2012-02-15,7.6,7.6,7.2,7.2,22500,7.2
2012-02-16,7.5,7.5,7.0,7.3,27500,7.2
2012-02-19,7.4,7.4,6.9,7.1,7500,7.3
2012-02-20,7.4,7.4,7.0,7.0,21000,7.1
2012-02-22,6.8,7.3,6.8,7.0,11000,7.0
2012-02-23,7.4,7.4,7.2,7.2,73000,7.0
2012-02-27,7.5,7.5,6.9,6.9,92500,7.2
2012-02-28,7.0,7.2,7.0,7.0,35000,6.9
2012-02-29,7.2,7.2,7.1,7.1,8000,7.0
2012-03-01,7.5,7.5,7.0,7.1,22500,7.1
2012-03-04,6.9,7.0,6.9,7.0,50500,7.1
2012-03-05,7.0,7.0,6.9,6.9,7000,7.0
2012-03-06,7.1,7.1,6.9,6.9,21500,6.9
2012-03-07,7.0,7.0,6.8,6.8,28000,6.9
2012-03-08,7.0,7.0,7.0,7.0,500,6.8
2012-03-11,7.0,7.0,6.9,6.9,1500,7.0
2012-03-12,7.0,7.0,6.8,6.8,65500,6.9
2012-03-13,7.0,7.0,6.9,6.9,23000,6.8
2012-03-14,6.9,0.0,0.0,6.9,0,6.9
2012-03-15,6.9,6.9,6.9,6.9,6500,6.9
2012-03-18,7.0,7.4,6.9,7.0,70000,6.9
2012-03-19,6.9,7.0,6.9,6.9,1000,7.0
2012-03-20,7.1,7.3,7.0,7.0,69500,6.9
2012-03-21,7.0,7.2,7.0,7.0,49000,7.0
2012-03-22,7.2,7.3,7.0,7.1,17000,7.0
2012-03-25,7.3,7.3,7.1,7.2,19000,7.1
2012-03-27,7.1,7.3,7.0,7.0,30000,7.2
2012-03-28,7.3,7.3,7.0,7.2,51000,7.0
2012-03-29,7.2,7.6,7.2,7.3,44500,7.2
2012-04-01,7.3,7.7,7.3,7.4,65000,7.3
