date,open,high,low,close,volume,prev_closing_price
2015-09-01,54.9,103.0,54.9,98.2,11037188,0.0
2015-09-02,100.0,113.0,83.0,85.3,1820397,98.2
2015-09-03,84.0,90.0,76.8,79.5,7377320,85.3
2015-09-06,78.5,84.0,76.2,82.0,2614971,79.5
2015-09-07,82.1,82.9,73.9,75.1,3747216,82.0
2015-09-08,75.0,77.6,69.8,71.1,2760771,75.1
2015-09-09,71.3,74.7,69.1,72.6,2005699,71.1
2015-09-10,73.0,74.3,72.1,72.9,1634232,72.6
2015-09-13,73.0,74.0,65.8,66.3,2794741,72.9
2015-09-14,66.0,67.8,62.9,63.3,1969471,66.3
2015-09-15,64.8,69.0,63.2,68.4,2069913,63.3
2015-09-16,69.0,69.7,64.9,66.0,1326019,68.4
2015-09-17,66.8,71.8,66.3,71.3,2491754,66.0
2015-09-20,72.0,73.3,69.5,70.1,1610963,71.3
2015-09-21,70.9,71.3,66.2,66.8,1828116,70.1
2015-09-22,67.6,67.9,65.6,66.6,1041963,66.8
2015-09-28,67.6,68.5,65.7,65.9,872291,66.6
2015-09-29,66.1,66.2,63.5,63.9,1277329,65.9
2015-09-30,64.0,66.2,63.9,64.4,1209827,63.9
2015-10-01,65.0,65.4,62.5,62.9,1054498,64.4
2015-10-04,63.0,63.4,59.5,59.7,1256136,62.9
2015-10-05,60.2,63.1,59.7,62.8,976694,59.7
2015-10-06,63.0,63.6,60.2,60.7,794351,62.8
2015-10-07,60.7,61.7,57.2,58.3,1045212,60.7
2015-10-08,59.0,59.4,56.5,56.7,979115,58.3
2015-10-11,58.0,58.0,55.1,56.4,909656,56.7
2015-10-12,56.9,58.5,56.2,57.2,906936,56.4
2015-10-13,57.2,57.7,55.4,55.7,850031,57.2
2015-10-14,55.9,56.2,54.0,54.7,934432,55.7
2015-10-15,56.0,59.6,55.2,57.6,1722494,54.7
2015-10-18,58.3,58.3,55.5,55.9,898333,57.6
2015-10-19,55.9,58.0,55.9,57.0,820036,55.9
2015-10-20,57.0,62.3,57.0,61.9,1774523,57.0
2015-10-21,62.0,63.4,61.2,61.7,1420539,61.9
2015-10-25,65.0,67.0,61.3,62.3,2355770,61.7
2015-10-26,62.5,63.5,60.4,60.5,1256170,62.3
2015-10-27,60.1,61.1,58.1,58.6,1100127,60.5
2015-10-28,58.5,59.5,56.2,56.6,817516,58.6
2015-10-29,57.1,58.0,56.0,56.3,580302,56.6
2015-11-01,55.9,56.2,53.1,53.9,1078991,56.3
2015-11-02,54.0,54.7,51.9,53.1,856833,53.9
2015-11-03,53.5,56.3,53.5,56.0,997268,53.1
2015-11-04,56.3,56.9,55.3,55.4,679297,56.0
2015-11-05,55.6,55.8,53.6,54.0,653255,55.4
2015-11-08,54.4,56.0,53.2,53.6,725290,54.0
2015-11-09,54.2,55.0,51.3,51.5,531229,53.6
2015-11-10,52.0,52.5,47.2,48.1,954533,51.5
2015-11-11,0.0,0.0,0.0,48.1,0,48.1
2015-11-12,40.2,42.9,40.2,42.1,1406338,48.1
2015-11-15,43.0,44.5,42.5,43.5,713856,42.1
2015-11-16,44.5,44.8,43.4,43.7,890551,43.5
2015-11-17,44.1,45.6,43.5,44.6,960486,43.7
2015-11-18,44.2,44.8,43.5,43.8,549559,44.6
2015-11-19,43.8,44.6,43.7,44.0,653048,43.8
2015-11-22,44.5,46.3,44.2,45.9,1052674,44.0
2015-11-23,46.6,48.1,45.1,45.4,1067626,45.9
2015-11-24,45.9,46.2,44.0,44.1,723727,45.4
2015-11-25,44.7,45.0,43.3,43.6,582227,44.1
2015-11-26,45.0,45.0,43.5,43.9,654740,43.6
2015-11-29,44.4,46.4,43.9,45.8,1154709,43.9
2015-11-30,46.1,47.8,46.1,47.3,1501987,45.8
2015-12-01,47.9,49.2,47.4,48.2,1603813,47.3
2015-12-02,48.3,52.9,48.3,52.7,3364567,48.2
2015-12-03,52.8,53.5,50.9,51.3,2079219,52.7
2015-12-06,52.1,53.9,51.2,52.8,2076769,51.3
2015-12-07,53.1,53.4,49.4,50.2,1303401,52.8
2015-12-08,50.9,51.5,49.5,49.9,1050968,50.2
2015-12-09,50.5,50.9,47.3,47.8,817516,49.9
2015-12-10,48.2,48.8,46.2,46.7,997876,47.8
