date,open,high,low,close,volume,prev_closing_price
2008-03-06,90.0,101.0,85.0,93.8,15550,88.1
2008-03-09,99.0,99.0,76.0,79.5,8150,93.8
2008-03-09,99.0,99.0,76.0,79.5,8150,93.8
2008-03-10,75.0,92.0,75.0,85.8,14900,79.5
2008-03-11,92.9,92.9,80.2,81.6,12700,85.8
2008-03-12,83.9,84.0,77.0,79.3,6650,81.6
2008-03-13,75.0,88.9,75.0,82.8,9100,79.3
2008-03-16,86.0,90.0,79.0,84.3,7300,82.8
2008-03-17,89.0,101.0,86.2,100.5,41950,84.3
2008-03-18,104.0,120.6,104.0,120.1,38500,100.5
2008-03-19,126.0,144.1,126.0,144.0,22550,120.1
2008-03-20,150.0,170.0,122.5,168.0,31850,144.0
2008-03-23,170.0,194.9,145.0,164.7,31200,168.0
2008-03-24,151.2,159.5,135.0,148.7,15450,164.7
2008-03-25,145.0,145.0,135.0,0.0,9250,148.7
2008-03-30,144.0,144.0,133.0,134.9,6200,137.4
2008-03-31,132.0,137.8,117.0,134.8,37100,134.9
2008-04-01,125.0,134.0,123.0,128.4,24650,134.8
2008-04-02,130.0,154.0,130.0,153.5,38650,128.4
2008-04-03,155.0,155.0,136.0,149.7,25300,153.5
2008-04-06,148.0,150.0,133.1,138.7,21750,149.7
2008-04-07,139.5,139.5,132.0,137.5,10800,138.7
2008-04-08,138.0,138.5,131.9,133.0,18700,137.5
2008-04-09,135.0,140.0,134.0,135.9,13200,133.0
2008-04-10,135.0,137.0,132.0,133.8,9850,135.9
2008-04-13,131.3,137.9,131.3,133.7,6900,133.8
2008-04-15,133.0,134.0,125.0,131.8,18400,133.7
2008-04-16,143.0,144.0,130.0,130.5,8350,131.8
2008-04-17,132.0,133.6,130.0,131.6,5050,130.5
2008-04-20,135.9,135.9,128.0,129.9,10800,131.6
2008-04-21,130.0,132.6,128.0,128.5,9100,129.9
2008-04-22,129.3,154.2,129.3,152.9,71650,128.5
2008-04-23,155.0,165.0,145.0,155.9,32550,152.9
2008-04-24,150.5,159.0,145.1,150.5,15400,155.9
2008-04-27,146.5,148.9,136.5,139.5,14150,150.5
2008-04-28,140.0,141.0,136.0,138.5,7800,139.5
2008-04-29,132.1,141.3,126.0,128.6,24450,138.5
2008-04-30,126.0,131.0,125.0,129.9,15150,128.6
2008-05-04,128.5,133.7,128.5,131.3,5600,129.9
2008-05-05,135.0,135.0,128.3,128.8,6500,131.3
2008-05-06,130.0,133.0,127.8,131.3,6400,128.8
2008-05-07,129.2,130.0,127.7,128.2,5450,131.3
2008-05-08,128.0,137.8,126.0,135.3,14750,128.2
2008-05-11,131.2,133.5,128.0,129.8,4500,135.3
2008-05-12,133.9,134.0,128.6,129.6,4350,129.8
2008-05-13,127.0,130.5,126.2,127.3,5500,129.6
2008-05-14,125.5,127.0,125.3,125.7,14800,127.3
2008-05-15,117.0,125.0,117.0,122.6,4000,125.7
2008-05-18,118.5,127.0,118.2,119.7,9600,122.6
2008-05-20,117.0,120.0,116.3,118.2,11200,119.7
2008-05-21,120.0,134.0,116.2,127.5,16000,118.2
2008-05-22,133.0,137.0,128.9,131.1,19500,127.5
2008-05-25,138.9,138.9,126.0,131.5,16750,131.1
2008-05-26,134.5,148.0,129.2,143.1,32000,131.5
2008-05-27,149.0,152.0,132.0,134.8,24050,143.1
2008-05-28,140.0,140.5,135.1,137.9,6400,134.8
2008-05-29,142.5,148.0,135.0,136.8,16700,137.9
2008-06-01,136.0,139.8,136.0,136.8,8550,136.8
2008-06-02,139.7,143.9,137.1,143.3,11350,136.8
2008-06-03,143.0,164.0,143.0,157.8,67250,143.3
2008-06-04,160.0,178.0,160.0,173.7,36350,157.8
2008-06-05,162.0,176.0,162.0,168.0,18600,173.7
2008-06-08,170.0,170.7,160.2,165.7,39100,168.0
2008-06-09,155.5,161.0,146.1,158.3,28350,165.7
2008-06-10,151.0,151.0,141.0,143.2,3500,158.3
2008-06-11,144.0,148.0,140.0,145.3,7450,143.2
2008-06-12,143.0,150.0,140.0,141.6,7750,145.3
2008-06-15,141.6,0.0,0.0,141.6,0,141.6
2008-06-16,142.0,142.0,120.0,0.0,10600,141.6
2008-06-17,134.0,141.7,134.0,139.3,10550,132.5
2008-06-18,141.9,141.9,137.0,0.0,11700,139.3
2008-06-19,136.0,138.0,133.3,135.0,6950,139.0
2008-06-22,133.1,135.5,128.8,0.0,6500,135.0
2008-06-23,125.0,132.5,125.0,0.0,2900,129.7
2008-06-24,130.0,134.0,130.0,131.1,2550,129.5
2008-06-25,134.9,134.9,129.0,130.0,3750,131.1
2008-06-26,127.1,132.0,127.1,128.8,2400,130.0
2008-06-29,127.3,132.0,127.3,130.9,4000,128.8
2008-06-30,128.5,133.0,126.0,127.1,5000,130.9
2008-07-02,126.0,129.9,123.5,124.7,3150,127.1
2008-07-03,124.5,127.5,123.6,124.2,4600,124.7
2008-07-06,124.9,128.6,122.5,127.1,4800,124.2
2008-07-07,125.0,129.7,123.0,123.9,6700,127.1
2008-07-08,123.1,128.0,123.1,126.6,4900,123.9
2008-07-08,123.1,128.0,123.1,126.6,4900,123.9
2008-07-09,125.1,130.0,125.0,127.2,3050,126.6
2008-07-10,129.9,140.0,128.2,137.1,17500,127.2
2008-07-13,139.1,141.6,133.0,135.6,10000,137.1
2008-07-14,133.0,135.0,130.0,132.3,3550,135.6
2008-07-15,130.5,140.0,130.5,135.0,10050,132.3
2008-07-16,136.1,136.1,132.0,133.5,5300,135.0
2008-07-17,135.5,139.0,131.2,131.7,7250,133.5
2008-07-20,130.0,132.0,129.0,129.8,8100,131.7
2008-07-21,130.0,131.1,126.2,127.5,8450,129.8
2008-07-22,121.1,132.0,121.1,127.9,3850,127.5
2008-07-23,130.0,131.9,128.2,128.5,4350,127.9
2008-07-24,129.9,132.5,129.0,129.7,11600,128.5
2008-07-27,133.0,140.0,132.5,134.5,15600,129.7
2008-07-28,133.5,133.5,130.1,131.0,5350,134.5
2008-07-29,130.2,133.8,130.0,131.2,4450,131.0
2008-07-30,132.0,133.0,131.1,132.4,3300,131.2
2008-07-31,130.0,131.0,128.0,129.5,9000,132.4
2008-08-03,128.1,128.1,125.0,125.7,3350,129.5
2008-08-04,125.2,132.0,120.2,123.3,3900,125.7
2008-08-05,123.5,128.7,123.5,127.5,1950,123.3
2008-08-06,127.5,127.6,126.0,127.1,1000,127.5
2008-08-07,126.7,126.7,124.0,124.8,1750,127.1
2008-08-10,123.0,123.7,118.0,120.4,4800,124.8
2008-08-11,122.0,122.0,117.1,118.5,3900,120.4
2008-08-12,124.0,124.0,120.2,121.5,4600,118.5
2008-08-13,123.8,123.8,119.2,120.2,4900,121.5
2008-08-14,120.0,120.0,117.5,119.0,1100,120.2
2008-08-18,117.2,117.2,116.1,116.7,2950,119.0
2008-08-19,115.5,115.5,107.0,108.9,2650,116.7
2008-08-20,112.0,115.0,108.4,109.7,8000,108.9
2008-08-21,109.0,120.0,109.0,118.0,3400,109.7
