date,open,high,low,close,volume,prev_closing_price
2008-03-06,638.0,680.0,625.25,649.0,12270,629.25
2008-03-09,665.0,690.0,656.0,664.75,12220,649.0
2008-03-09,665.0,690.0,656.0,664.75,12220,649.0
2008-03-10,679.0,682.0,650.0,654.0,5040,664.75
2008-03-11,666.0,666.0,640.0,652.75,7820,654.0
2008-03-12,660.0,667.0,642.0,649.25,5280,652.75
2008-03-13,642.0,652.0,638.0,639.75,3380,649.25
2008-03-16,640.0,690.0,640.0,678.75,12380,639.75
2008-03-17,695.0,745.0,690.0,712.75,20140,678.75
2008-03-18,712.25,738.0,708.0,712.75,11340,712.75
2008-03-19,717.0,725.0,695.0,715.0,10970,712.75
2008-03-20,730.0,760.0,725.0,755.5,15420,715.0
2008-03-23,766.0,860.0,766.0,797.5,27970,755.5
2008-03-24,791.0,830.0,765.0,811.0,16070,797.5
2008-03-25,835.0,890.0,823.0,884.5,26070,811.0
2008-03-30,900.0,920.0,865.0,872.25,12400,884.5
2008-03-31,851.0,860.0,821.0,831.5,14760,872.25
2008-04-01,835.0,864.0,822.0,826.25,10150,831.5
2008-04-02,854.0,890.0,845.0,859.0,16740,826.25
2008-04-03,870.0,914.0,870.0,900.0,26440,859.0
2008-04-06,920.0,1025.0,900.0,1004.5,44570,900.0
2008-04-07,1029.75,1038.5,970.0,977.75,23120,1004.5
2008-04-08,1002.0,1068.75,985.0,1052.0,29210,977.75
2008-04-09,1050.0,1100.0,1020.0,1043.75,21250,1052.0
2008-04-10,999.0,1060.0,999.0,1032.25,14910,1043.75
2008-04-13,1050.0,1090.0,1015.0,1053.0,15070,1032.25
2008-04-15,1080.0,1175.0,1072.0,1155.5,29570,1053.0
2008-04-16,1070.0,1152.0,1070.0,1121.25,27860,1155.5
2008-04-17,1160.0,1199.0,1130.0,1143.75,22360,1121.25
2008-04-20,1070.0,1224.0,1070.0,1205.25,17070,1143.75
2008-04-21,1230.0,1259.75,1187.0,1213.25,20140,1205.25
2008-04-22,1225.0,1315.0,1205.0,1304.75,29310,1213.25
2008-04-23,1265.0,1336.0,1221.0,1248.0,18210,1304.75
2008-04-24,1235.0,1270.0,1215.25,1223.5,15610,1248.0
2008-04-27,1220.0,1250.0,1183.0,1200.0,11180,1223.5
2008-04-28,1185.0,1199.25,1130.0,1154.25,8390,1200.0
2008-04-29,1140.0,1178.0,1105.0,1118.5,7190,1154.25
2008-04-30,1107.0,1140.0,1050.0,1060.5,7600,1118.5
2008-05-04,1050.0,1080.0,985.0,996.75,10570,1060.5
2008-05-05,965.0,1070.0,965.0,1043.5,7900,996.75
2008-05-06,1050.0,1170.0,1040.0,1159.5,7880,1043.5
2008-05-07,1141.0,1169.0,1098.0,1123.75,6670,1159.5
2008-05-08,1096.0,1130.0,1082.0,1113.5,7170,1123.75
2008-05-11,1148.0,1179.0,1120.25,1149.5,9870,1113.5
2008-05-12,1160.0,1195.0,1140.0,1149.25,8260,1149.5
2008-05-13,1140.0,1160.0,1100.0,1140.0,5340,1149.25
2008-05-14,1145.75,1147.0,1105.0,1108.0,7800,1140.0
2008-05-15,1139.0,1147.0,1105.0,1144.25,10780,1108.0
2008-05-18,1152.0,1248.0,1152.0,1210.5,23340,1144.25
2008-05-20,1200.0,1248.0,1180.0,1210.25,16440,1210.5
2008-05-21,1220.0,1220.0,1135.0,1144.25,12170,1210.25
2008-05-22,1179.0,1242.0,1155.0,1224.0,21900,1144.25
2008-05-25,1249.75,1330.0,1235.0,1307.75,31310,1224.0
2008-05-26,1320.0,1395.0,1260.0,1381.5,29990,1307.75
2008-05-27,1420.0,1420.0,1300.0,1313.0,14210,1381.5
2008-05-28,1302.0,1351.0,1270.0,1288.0,9860,1313.0
2008-05-29,1286.0,1380.0,1245.0,1271.25,14020,1288.0
2008-06-01,1298.0,1299.0,1220.0,1232.5,7710,1271.25
2008-06-02,1242.0,1279.0,1232.0,1254.25,4520,1232.5
2008-06-03,1262.0,1305.0,1230.0,1234.75,12000,1254.25
2008-06-04,1250.0,1270.0,1223.0,1232.25,8080,1234.75
2008-06-05,1250.0,1290.0,1230.0,1257.5,8820,1232.25
2008-06-08,1255.0,1275.0,1225.0,1236.5,9020,1257.5
2008-06-09,1235.0,1270.0,1190.0,1197.5,7290,1236.5
2008-06-10,1200.0,1230.0,1160.0,1166.75,9730,1197.5
2008-06-11,1198.0,1198.0,1131.0,1135.75,11000,1166.75
2008-06-12,1160.0,1181.0,1123.0,1154.75,2040,1135.75
2008-06-15,1111.25,1174.0,1085.0,1099.25,6460,1154.75
2008-06-16,1055.0,1120.0,1050.0,1095.25,7290,1099.25
2008-06-17,1080.0,1129.0,1050.25,1084.75,4880,1095.25
2008-06-18,1099.0,1104.5,1075.0,1084.5,5450,1084.75
2008-06-19,1072.25,1149.0,1072.25,1140.0,8900,1084.5
2008-06-22,1125.0,1133.0,1081.0,1087.5,5570,1140.0
2008-06-23,1086.0,1112.0,1080.0,1094.75,3430,1087.5
2008-06-24,1081.0,1130.0,1081.0,1118.75,2850,1094.75
2008-06-25,1147.0,1147.0,1096.5,1100.25,4370,1118.75
2008-06-26,1085.0,1138.0,1080.25,1107.25,3800,1100.25
2008-06-29,1135.0,1135.0,1100.0,1103.0,5100,1107.25
2008-06-30,1120.0,1154.0,1100.25,1138.5,13400,1103.0
2008-07-02,1168.0,1210.0,1165.0,1200.25,17590,1138.5
2008-07-03,1171.0,1195.0,1152.0,1161.75,4250,1200.25
2008-07-06,1175.0,1178.0,1152.25,1155.75,5380,1161.75
2008-07-07,1160.0,1160.0,1130.0,1150.75,4210,1155.75
2008-07-08,1155.0,1160.0,1147.0,1152.75,4450,1150.75
2008-07-08,1155.0,1160.0,1147.0,1152.75,4450,1150.75
