date,open,high,low,close,volume,prev_closing_price
2008-03-06,43.25,0.0,0.0,43.25,0,43.25
2008-03-09,45.0,45.0,45.0,45.0,500,43.25
2008-03-09,45.0,45.0,45.0,45.0,500,43.25
2008-03-10,45.0,45.5,45.0,45.25,300,45.0
2008-03-11,46.0,49.75,45.75,48.75,950,45.25
2008-03-12,48.0,49.5,48.0,49.0,300,48.75
2008-03-13,49.75,53.75,49.75,51.25,1750,49.0
2008-03-16,54.0,59.0,54.0,56.25,1150,51.25
2008-03-17,58.75,58.75,57.0,57.25,800,56.25
2008-03-18,54.5,54.5,52.25,53.25,400,57.25
2008-03-19,54.0,63.75,54.0,61.75,5050,53.25
2008-03-20,67.5,74.0,61.0,73.25,11500,61.75
2008-03-23,79.0,79.0,75.0,77.75,4700,73.25
2008-03-24,73.0,73.0,66.25,68.5,2250,77.75
2008-03-25,65.0,70.0,65.0,67.5,2200,68.5
2008-03-30,66.0,67.0,66.0,66.5,700,67.5
2008-03-31,63.0,63.0,63.0,63.0,100,66.5
2008-04-01,60.0,60.5,60.0,60.0,600,63.0
2008-04-02,60.0,61.0,57.0,58.25,1700,60.0
2008-04-03,60.0,60.0,55.0,56.5,350,58.25
2008-04-06,59.5,61.0,59.5,60.0,3300,56.5
2008-04-07,58.5,58.5,58.5,58.5,50,60.0
2008-04-08,56.0,59.75,56.0,57.5,300,58.5
2008-04-09,58.25,59.0,58.0,58.5,1350,57.5
2008-04-10,58.5,0.0,0.0,58.5,0,58.5
2008-04-13,54.25,65.5,54.25,60.0,1700,58.5
2008-04-15,65.0,72.0,65.0,69.75,6450,60.0
2008-04-16,71.5,83.5,71.5,79.0,10150,69.75
2008-04-17,75.0,78.5,70.0,76.0,2500,79.0
2008-04-20,71.0,77.0,71.0,73.25,750,76.0
2008-04-21,75.0,75.0,71.0,72.75,700,73.25
2008-04-22,68.0,70.5,68.0,69.5,2900,72.75
2008-04-23,75.5,77.0,72.25,74.25,3250,69.5
2008-04-24,79.75,82.0,74.0,75.25,5200,74.25
2008-04-27,77.0,77.5,72.0,73.0,2500,75.25
2008-04-28,71.5,71.5,70.75,71.0,500,73.0
2008-04-29,71.0,71.0,69.0,70.0,4050,71.0
2008-04-30,68.0,68.75,68.0,68.25,950,70.0
2008-05-04,67.25,67.25,62.5,66.5,350,68.25
2008-05-05,66.5,66.5,66.0,66.25,300,66.5
2008-05-06,65.0,66.25,65.0,65.5,450,66.25
2008-05-07,64.0,64.0,60.25,61.5,2050,65.5
2008-05-08,62.0,65.0,56.5,61.75,1800,61.5
2008-05-11,62.0,65.0,62.0,64.5,800,61.75
2008-05-12,61.75,61.75,61.5,61.5,350,64.5
2008-05-13,60.5,60.5,57.0,59.0,2200,61.5
2008-05-14,59.0,59.0,59.0,59.0,300,59.0
2008-05-15,60.0,60.0,57.5,58.0,350,59.0
2008-05-18,56.0,58.0,56.0,56.5,650,58.0
2008-05-20,58.0,58.0,55.0,55.75,650,56.5
2008-05-21,59.0,59.0,58.0,58.25,1350,55.75
2008-05-22,59.0,59.25,59.0,59.0,650,58.25
2008-05-25,60.25,60.5,60.0,60.0,1300,59.0
2008-05-26,59.5,60.5,59.0,59.75,500,60.0
2008-05-27,60.5,60.5,60.0,60.0,550,59.75
