date,open,high,low,close,volume,prev_closing_price
2008-03-06,110.0,110.0,102.25,106.5,700,109.25
2008-03-09,103.5,109.0,103.0,105.75,1050,106.5
2008-03-09,103.5,109.0,103.0,105.75,1050,106.5
2008-03-10,105.0,108.0,100.25,103.0,2500,105.75
2008-03-11,100.25,107.25,100.0,101.75,1650,103.0
2008-03-12,104.5,104.5,104.5,104.5,200,101.75
2008-03-13,112.0,112.75,110.0,111.0,2000,104.5
2008-03-16,112.25,112.75,108.0,111.5,1700,111.0
2008-03-17,106.0,112.0,106.0,110.25,1050,111.5
2008-03-18,109.0,124.0,109.0,118.0,5100,110.25
2008-03-19,124.0,139.0,116.25,135.25,8500,118.0
2008-03-20,142.0,162.25,142.0,161.75,10250,135.25
2008-03-23,151.25,155.5,133.5,139.25,2750,161.75
2008-03-24,136.0,136.0,120.0,126.5,4900,139.25
2008-03-25,130.0,143.0,127.5,138.0,4300,126.5
2008-03-30,137.0,140.0,132.75,134.0,2850,138.0
2008-03-31,133.0,133.0,117.0,120.5,3300,134.0
2008-04-01,115.25,129.0,115.25,123.75,1700,120.5
2008-04-02,117.5,124.75,117.0,119.75,1200,123.75
2008-04-03,115.25,122.0,114.0,117.5,1500,119.75
2008-04-06,116.25,120.0,115.0,116.25,1750,117.5
2008-04-07,116.0,116.0,115.0,115.25,1000,116.25
2008-04-08,116.75,118.0,115.0,116.75,3200,115.25
2008-04-09,116.25,117.0,115.5,116.0,850,116.75
2008-04-10,116.5,117.0,115.0,116.0,1100,116.0
2008-04-13,115.75,116.0,115.75,115.75,550,116.0
2008-04-15,121.0,124.0,121.0,122.5,1150,115.75
2008-04-16,128.0,130.0,124.25,126.75,1300,122.5
2008-04-17,121.5,122.25,121.5,121.75,900,126.75
2008-04-20,117.0,117.25,116.5,117.0,800,121.75
2008-04-21,116.5,120.0,115.25,116.5,1200,117.0
2008-04-22,117.25,121.0,117.25,119.0,1000,116.5
2008-04-23,126.0,138.5,121.0,132.75,6500,119.0
2008-04-24,129.75,142.0,129.75,132.0,2950,132.75
2008-04-27,128.0,128.0,121.0,122.75,2700,132.0
2008-04-28,119.5,120.0,119.0,119.25,800,122.75
2008-04-29,119.5,120.0,116.0,117.75,1200,119.25
2008-04-30,116.5,116.5,116.5,116.5,100,117.75
2008-05-04,116.5,116.5,116.25,116.25,200,116.5
2008-05-05,116.0,116.0,114.25,115.0,800,116.25
2008-05-06,114.0,114.0,113.75,113.75,300,115.0
2008-05-07,116.0,117.75,114.5,115.75,400,113.75
2008-05-08,116.25,119.0,116.0,117.25,550,115.75
2008-05-11,120.0,124.75,120.0,121.0,550,117.25
2008-05-12,115.5,115.5,115.5,115.5,100,121.0
2008-05-13,114.0,115.25,114.0,114.5,600,115.5
2008-05-14,114.0,114.0,111.0,112.25,800,114.5
2008-05-15,110.0,110.0,106.5,109.5,750,112.25
2008-05-18,108.0,108.25,108.0,108.0,250,109.5
2008-05-20,103.75,116.0,103.75,111.5,1450,108.0
2008-05-21,109.5,122.0,109.5,119.5,3550,111.5
2008-05-22,124.0,125.0,112.0,123.0,2500,119.5
2008-05-25,128.0,133.0,128.0,130.0,2500,123.0
2008-05-26,122.5,122.5,122.0,122.0,550,130.0
2008-05-27,113.75,120.0,113.75,118.0,300,122.0
2008-05-28,116.0,118.25,115.5,117.0,2400,118.0
2008-05-29,116.5,120.0,115.5,116.5,1350,117.0
2008-06-01,116.75,116.75,116.0,116.0,2200,116.5
2008-06-02,117.75,120.0,116.5,117.5,3650,116.0
2008-06-03,118.0,121.25,116.0,118.0,3000,117.5
2008-06-04,120.0,123.5,120.0,121.25,1800,118.0
