date,open,high,low,close,volume,prev_closing_price
2008-03-06,775.0,850.0,752.0,825.75,10950,760.5
2008-03-09,849.75,884.0,830.0,856.75,11005,825.75
2008-03-09,849.75,884.0,830.0,856.75,11005,825.75
2008-03-10,840.0,858.0,820.0,831.5,8505,856.75
2008-03-11,828.0,839.0,800.0,801.75,5050,831.5
2008-03-12,813.0,835.0,800.0,801.5,7590,801.75
2008-03-13,819.5,819.5,795.0,801.25,3170,801.5
2008-03-16,844.0,915.0,817.0,906.0,15345,801.25
2008-03-17,920.0,985.0,911.25,925.25,14330,906.0
2008-03-18,949.0,950.0,875.0,893.0,7005,925.25
2008-03-19,882.5,950.0,882.5,944.5,10320,893.0
2008-03-20,920.0,1000.0,920.0,945.0,8235,944.5
2008-03-23,979.5,1070.0,979.0,1013.0,12770,945.0
2008-03-24,1013.25,1080.0,1010.0,1057.25,13950,1013.0
2008-03-25,1080.0,1189.25,1080.0,1188.25,22210,1057.25
2008-03-30,1249.75,1297.0,1200.0,1253.0,15270,1188.25
2008-03-31,1235.0,1235.0,1160.0,1178.25,12405,1253.0
2008-04-01,1150.0,1199.0,1150.0,1166.75,6620,1178.25
2008-04-02,1160.0,1210.0,1160.0,1190.0,10200,1166.75
2008-04-03,1220.0,1260.0,1180.0,1186.75,10690,1190.0
2008-04-06,1229.75,1269.0,1200.0,1236.0,12985,1186.75
2008-04-07,1275.0,1275.0,1211.0,1221.5,10645,1236.0
2008-04-08,1224.0,1245.0,1210.0,1220.5,6955,1221.5
2008-04-09,1240.0,1269.0,1216.0,1225.75,10310,1220.5
2008-04-10,1259.0,1278.0,1233.0,1241.0,9225,1225.75
2008-04-13,1265.0,1269.0,1206.0,1227.5,7115,1241.0
2008-04-15,1240.0,1271.0,1228.0,1259.25,9765,1227.5
2008-04-16,1279.0,1416.5,1270.0,1416.5,24030,1259.25
2008-04-17,1485.0,1485.0,1335.0,1341.25,8815,1416.5
2008-04-20,1360.0,1474.0,1347.0,1462.75,15730,1341.25
2008-04-21,1474.75,1620.0,1449.75,1558.75,21520,1462.75
2008-04-22,1618.0,1745.0,1567.0,1671.0,15650,1558.75
2008-04-23,1699.0,1699.0,1575.0,1595.75,11415,1671.0
2008-04-24,1551.25,1620.0,1540.0,1568.0,8465,1595.75
2008-04-27,1560.0,1560.0,1473.0,1482.0,6955,1568.0
2008-04-28,1497.0,1497.0,1415.0,1421.25,9265,1482.0
2008-04-29,1440.0,1478.0,1395.0,1406.5,6340,1421.25
2008-04-30,1440.0,1440.0,1356.0,1377.25,7125,1406.5
2008-05-04,1350.0,1390.0,1320.0,1358.25,6450,1377.25
2008-05-05,1362.0,1388.75,1275.0,1286.25,7905,1358.25
2008-05-06,1298.0,1379.0,1290.0,1370.0,6495,1286.25
2008-05-07,1340.0,1380.0,1340.0,1351.0,4085,1370.0
2008-05-08,1316.0,1424.0,1316.0,1370.25,10280,1351.0
2008-05-11,1400.0,1495.0,1400.0,1470.75,13635,1370.25
2008-05-12,1499.0,1529.0,1440.25,1464.5,7865,1470.75
2008-05-13,1452.0,1452.0,1400.0,1408.25,5835,1464.5
2008-05-14,1401.0,1439.0,1381.0,1384.0,4385,1408.25
2008-05-15,1415.0,1480.0,1390.0,1458.5,9865,1384.0
2008-05-18,1480.0,1524.0,1470.0,1497.75,14295,1458.5
2008-05-20,1520.0,1605.0,1519.0,1537.75,14510,1497.75
2008-05-21,1475.0,1568.0,1475.0,1482.25,5500,1537.75
2008-05-22,1455.0,1609.0,1455.0,1588.5,14120,1482.25
2008-05-25,1620.0,1649.0,1583.0,1588.75,8400,1588.5
2008-05-26,1580.0,1650.0,1580.0,1619.25,12020,1588.75
2008-05-27,1648.0,1670.0,1540.0,1553.75,7635,1619.25
2008-05-28,1550.0,1584.0,1507.0,1518.0,3720,1553.75
2008-05-29,1525.0,1538.75,1480.0,1482.75,5255,1518.0
2008-06-01,1517.0,1517.0,1420.0,1428.75,5480,1482.75
2008-06-02,1465.0,1498.0,1406.0,1419.0,6515,1428.75
2008-06-03,1400.0,1425.0,1387.0,1395.25,5435,1419.0
2008-06-04,1400.0,1450.0,1372.25,1380.5,4375,1395.25
2008-06-05,1360.0,1399.0,1360.0,1367.25,3340,1380.5
2008-06-08,1360.25,1490.0,1335.0,1415.25,7210,1367.25
2008-06-09,1400.0,1413.0,1357.0,1369.25,3095,1415.25
2008-06-10,1398.0,1398.0,1346.0,1358.0,3060,1369.25
2008-06-11,1353.0,1369.0,1290.0,1298.0,2900,1358.0
2008-06-12,1300.0,1377.0,1275.0,1308.5,4420,1298.0
2008-06-15,1350.0,1360.0,1295.0,1299.25,4150,1308.5
2008-06-16,1280.0,1310.0,1275.0,1303.0,2225,1299.25
2008-06-17,1315.0,1318.0,1287.25,1290.0,2890,1303.0
2008-06-18,1292.0,1296.25,1270.0,1286.0,4630,1290.0
2008-06-19,1328.0,1330.0,1295.0,1317.5,6395,1286.0
2008-06-22,1291.0,1311.25,1280.0,1283.75,2605,1317.5
2008-06-23,1350.0,1350.0,1270.0,1276.5,2150,1283.75
2008-06-24,1297.0,1307.0,1288.0,1297.0,3035,1276.5
2008-06-25,1307.0,1330.0,1272.0,1279.5,2530,1297.0
2008-06-26,1285.0,1300.0,1280.0,1286.0,1150,1279.5
2008-06-29,1265.0,1276.0,1232.0,1249.75,2435,1286.0
2008-06-30,1260.0,1260.0,1202.0,1212.75,3260,1249.75
2008-07-02,1260.0,1289.0,1229.0,1232.0,3345,1212.75
2008-07-03,1228.0,1276.0,1227.25,1256.25,2440,1232.0
2008-07-06,1273.0,1299.0,1250.0,1254.0,2305,1256.25
2008-07-07,1250.0,1264.0,1220.0,1226.5,2050,1254.0
2008-07-08,1245.0,1245.0,1210.0,1216.5,2180,1226.5
2008-07-08,1245.0,1245.0,1210.0,1216.5,2180,1226.5
2008-07-09,1215.0,1233.0,1212.25,1218.75,565,1216.5
2008-07-10,1220.0,1240.0,1203.25,1213.0,2785,1218.75
2008-07-13,1210.0,1259.0,1210.0,1237.5,3665,1213.0
2008-07-14,1229.0,1240.0,1208.0,1213.5,1650,1237.5
2008-07-15,1214.0,1228.0,1195.0,1197.5,2225,1213.5
2008-07-16,1180.0,1180.0,1113.0,1122.25,2890,1197.5
2008-07-17,1169.0,1178.0,1122.25,1129.75,3460,1122.25
2008-07-20,1121.25,1121.25,1038.0,1049.75,2065,1129.75
2008-07-21,1032.0,1055.0,951.0,967.5,2830,1049.75
2008-07-22,960.0,961.0,905.0,938.5,2655,967.5
2008-07-23,930.0,1010.0,920.0,961.25,1870,938.5
2008-07-24,980.0,1080.0,980.0,1075.5,4415,961.25
2008-07-27,1035.0,1144.0,1035.0,1133.0,2800,1075.5
2008-07-28,1097.0,1110.0,1030.0,1035.0,3075,1133.0
2008-07-29,1077.0,1078.0,980.0,987.0,4450,1035.0
2008-07-30,1000.0,1044.0,965.0,1001.25,3245,987.0
2008-07-31,1000.25,1010.0,986.0,990.5,3255,1001.25
2008-08-03,990.0,990.0,952.25,956.5,2150,990.5
2008-08-04,970.0,991.0,931.0,934.75,1475,956.5
2008-08-05,950.0,970.0,945.0,952.25,1700,934.75
2008-08-06,960.0,965.0,942.0,946.75,1130,952.25
2008-08-07,941.0,949.0,923.0,928.0,1155,946.75
2008-08-10,920.0,920.0,849.0,854.25,2215,928.0
2008-08-11,850.0,857.0,813.0,851.0,1750,854.25
2008-08-12,850.0,859.0,848.0,853.5,1200,851.0
2008-08-13,869.0,869.0,825.0,829.0,1905,853.5
2008-08-14,829.0,844.0,805.0,811.75,1480,829.0
2008-08-18,815.0,815.0,787.0,790.25,1890,811.75
2008-08-19,752.0,771.0,708.0,712.25,2980,790.25
2008-08-20,766.0,767.0,715.0,730.75,2160,712.25
2008-08-21,740.0,815.0,740.0,789.25,3355,730.75
2008-08-25,750.0,929.0,750.0,912.5,10280,789.25
2008-08-26,935.0,958.0,896.0,921.75,3190,912.5
2008-08-27,920.0,920.0,860.0,882.5,3350,921.75
2008-08-28,866.5,885.0,856.0,860.75,3065,882.5
2008-08-31,865.0,880.0,857.25,866.25,4150,860.75
2008-09-01,879.75,925.0,863.0,915.5,10110,866.25
2008-09-02,928.0,928.0,902.0,905.25,3215,915.5
