date,open,high,low,close,volume,prev_closing_price
2014-01-28,557.9,557.9,524.2,528.1,57400,544.2
2014-01-29,540.0,544.0,525.1,527.2,57000,528.1
2014-01-30,539.7,539.7,521.0,531.0,82600,527.2
2014-02-02,535.1,543.0,527.0,532.1,71600,531.0
2014-02-03,537.9,538.0,525.0,526.2,128800,532.1
2014-02-04,525.4,525.6,502.2,508.0,78800,526.2
2014-02-05,500.0,518.0,500.0,513.2,51800,508.0
2014-02-06,526.9,535.0,520.0,528.7,126200,513.2
2014-02-09,534.0,540.9,522.0,523.0,160800,528.7
2014-02-10,527.9,531.0,518.0,518.6,70000,523.0
2014-02-11,528.0,529.8,513.1,516.3,84200,518.6
2014-02-12,530.0,530.0,512.0,515.1,77400,516.3
2014-02-13,523.0,523.0,513.5,515.9,31800,515.1
2014-02-16,524.0,524.0,510.0,514.3,41000,515.9
2014-02-17,510.0,517.0,502.0,509.7,21000,514.3
2014-02-18,509.9,510.9,499.9,500.7,84400,509.7
2014-02-19,509.9,515.0,500.9,504.6,38200,500.7
2014-02-20,516.0,524.0,510.0,518.6,75200,504.6
2014-02-23,525.0,529.0,518.0,522.3,53600,518.6
2014-02-24,528.0,529.0,515.9,517.7,50400,522.3
2014-02-25,523.9,556.5,522.0,556.4,385600,517.7
2014-02-26,560.0,562.5,543.0,555.3,89600,556.4
2014-02-27,560.0,595.0,560.0,593.1,337200,555.3
2014-03-02,602.0,605.0,571.0,574.9,146400,593.1
2014-03-03,575.0,581.9,560.0,562.4,98600,574.9
2014-03-04,569.8,574.9,551.0,553.1,88800,562.4
2014-03-05,560.0,574.9,547.1,570.4,58800,553.1
2014-03-06,588.0,588.0,565.2,572.8,73200,570.4
2014-03-09,584.0,584.0,563.3,566.2,97800,572.8
2014-03-10,562.1,562.5,543.0,547.9,87800,566.2
2014-03-11,554.0,554.0,540.0,549.3,89400,547.9
2014-03-12,564.6,564.6,543.0,548.2,54000,549.3
2014-03-13,548.0,549.9,542.0,544.5,41600,548.2
2014-03-16,556.5,556.5,532.1,538.0,37000,544.5
2014-03-18,535.0,544.0,533.6,541.4,43000,538.0
