date,open,high,low,close,volume,prev_closing_price
2008-03-06,349.75,360.0,331.25,350.5,3400,330.25
2008-03-09,359.25,359.25,330.0,335.0,2200,350.5
2008-03-09,359.25,359.25,330.0,335.0,2200,350.5
2008-03-10,333.0,347.0,329.0,340.25,1940,335.0
2008-03-11,347.0,360.0,345.0,348.25,2820,340.25
2008-03-12,345.5,350.0,340.0,345.5,1060,348.25
2008-03-13,347.75,347.75,333.0,334.75,2360,345.5
2008-03-16,345.0,390.0,345.0,386.25,6920,334.75
2008-03-17,388.0,390.0,361.0,374.25,4540,386.25
2008-03-18,370.0,384.0,370.0,379.0,4140,374.25
2008-03-19,380.0,405.0,380.0,401.0,6260,379.0
2008-03-20,439.0,447.0,421.0,441.75,4600,401.0
2008-03-23,465.0,480.0,425.0,447.75,6440,441.75
2008-03-24,430.0,437.0,405.5,424.5,1340,447.75
2008-03-25,437.0,480.0,420.0,473.25,4060,424.5
2008-03-30,500.0,548.25,500.0,541.75,9540,473.25
2008-03-31,567.0,569.0,506.0,507.0,2820,541.75
2008-04-01,490.0,503.0,484.75,490.0,2060,507.0
2008-04-02,489.0,510.0,470.0,475.0,2020,490.0
2008-04-03,500.0,510.0,462.0,481.5,1660,475.0
2008-04-06,451.25,470.0,448.0,454.75,1060,481.5
2008-04-07,455.25,481.0,455.25,477.0,2140,454.75
2008-04-08,470.0,470.0,440.0,444.25,1680,477.0
2008-04-09,437.5,490.0,437.5,474.75,1400,444.25
2008-04-10,483.75,512.5,483.75,491.25,3900,474.75
2008-04-13,480.0,520.0,480.0,510.0,2500,491.25
2008-04-15,505.0,527.0,500.0,518.0,4080,510.0
2008-04-16,534.0,580.0,520.0,566.25,8820,518.0
2008-04-17,584.0,584.0,502.0,539.5,3000,566.25
2008-04-20,516.5,535.0,516.5,526.75,2540,539.5
2008-04-21,534.75,554.0,513.0,527.25,5880,526.75
2008-04-22,525.0,544.75,511.0,520.75,5820,527.25
2008-04-23,520.0,545.0,510.5,513.5,1880,520.75
2008-04-24,502.0,507.0,495.0,497.25,1820,513.5
2008-04-27,510.0,510.0,482.0,489.25,1920,497.25
2008-04-28,492.0,492.0,480.0,482.0,1180,489.25
2008-04-29,490.0,516.0,485.0,501.5,1900,482.0
2008-04-30,510.0,510.0,481.0,485.5,740,501.5
2008-05-04,480.0,480.0,476.25,477.75,800,485.5
2008-05-05,475.0,476.0,452.0,455.5,1280,477.75
2008-05-06,450.0,463.0,450.0,455.75,780,455.5
2008-05-07,454.0,462.0,454.0,456.5,600,455.75
2008-05-08,460.0,477.75,460.0,465.75,760,456.5
2008-05-11,488.0,491.0,476.5,488.75,1200,465.75
2008-05-12,481.0,481.5,467.25,472.75,980,488.75
2008-05-13,461.0,490.0,460.0,471.5,400,472.75
2008-05-14,480.0,480.0,460.0,460.25,1880,471.5
2008-05-15,453.0,485.0,453.0,484.25,1500,460.25
2008-05-18,498.75,498.75,470.0,480.5,1940,484.25
2008-05-20,481.0,484.0,472.0,477.5,2840,480.5
2008-05-21,481.0,481.0,470.5,471.25,3060,477.5
2008-05-22,471.25,514.0,471.25,495.0,3320,471.25
2008-05-25,509.5,515.0,492.0,510.0,1640,495.0
2008-05-26,498.0,509.0,495.25,498.0,2220,510.0
2008-05-27,495.25,504.0,490.0,493.0,1980,498.0
2008-05-28,490.0,493.0,481.0,486.25,1260,493.0
2008-05-29,499.0,499.0,475.75,482.5,2520,486.25
2008-06-01,485.0,500.0,485.0,489.5,1840,482.5
2008-06-02,478.25,500.0,478.25,491.0,2440,489.5
2008-06-03,485.0,490.0,476.5,481.5,2480,491.0
2008-06-04,477.0,499.75,477.0,493.75,2060,481.5
2008-06-05,476.25,493.0,476.0,485.5,520,493.75
2008-06-08,480.25,548.0,480.25,534.0,2740,485.5
2008-06-09,510.0,539.0,492.5,522.75,4040,534.0
2008-06-10,506.0,549.0,506.0,543.75,2560,522.75
2008-06-11,555.0,575.0,530.0,538.5,4260,543.75
2008-06-12,555.0,600.0,550.0,579.25,5740,538.5
2008-06-15,610.0,666.0,610.0,665.75,6140,579.25
2008-06-16,667.0,667.0,601.0,609.5,6160,665.75
2008-06-17,615.0,622.25,601.0,606.0,3620,609.5
2008-06-18,604.0,609.0,592.0,0.0,3080,606.0
2008-06-19,610.0,622.0,609.0,615.0,8360,601.5
2008-06-22,612.0,623.0,606.0,0.0,1620,615.0
2008-06-23,617.0,617.0,591.0,0.0,3280,609.25
2008-06-24,581.0,615.0,581.0,600.25,4320,592.25
2008-06-25,600.0,604.75,587.0,591.5,3140,600.25
2008-06-26,596.25,604.0,588.0,597.75,3100,591.5
2008-06-29,633.75,633.75,581.0,600.5,3400,597.75
2008-06-30,596.0,609.0,590.0,594.0,3400,600.5
2008-07-02,622.5,622.5,603.25,608.0,2900,594.0
2008-07-03,600.0,600.0,593.25,595.75,2240,608.0
2008-07-06,624.75,624.75,598.0,599.5,1660,595.75
2008-07-07,598.0,605.0,598.0,602.25,1120,599.5
2008-07-08,597.5,597.5,576.0,588.25,1680,602.25
2008-07-08,597.5,597.5,576.0,588.25,1680,602.25
2008-07-09,595.0,595.0,580.0,583.75,600,588.25
2008-07-10,585.0,590.0,572.0,577.5,1240,583.75
2008-07-13,580.0,605.0,580.0,600.25,1680,577.5
2008-07-14,608.0,608.0,586.0,590.75,780,600.25
2008-07-15,588.0,589.0,582.0,585.5,800,590.75
2008-07-16,580.0,580.25,570.0,575.75,1640,585.5
2008-07-17,578.25,580.0,565.0,573.0,1040,575.75
2008-07-20,609.0,609.0,535.0,542.0,1540,573.0
2008-07-21,541.0,552.0,520.0,533.0,1540,542.0
2008-07-22,512.5,539.75,512.5,516.0,720,533.0
2008-07-23,525.0,530.0,525.0,525.0,1060,516.0
2008-07-24,525.0,555.0,525.0,550.0,1160,525.0
2008-07-27,560.0,580.0,546.0,555.75,1300,550.0
2008-07-28,590.0,590.0,515.0,521.75,1260,555.75
2008-07-29,516.0,535.0,495.5,497.5,3820,521.75
2008-07-30,496.0,629.0,496.0,605.75,11480,497.5
2008-07-31,615.0,680.0,615.0,645.5,11480,605.75
2008-08-03,620.0,640.0,563.0,570.25,2400,645.5
2008-08-04,554.0,570.0,545.0,557.0,1760,570.25
2008-08-05,520.0,608.0,520.0,579.25,3700,557.0
2008-08-06,587.0,587.0,563.25,569.75,620,579.25
2008-08-07,561.0,561.0,540.0,540.5,1760,569.75
2008-08-10,530.0,549.0,530.0,539.5,800,540.5
2008-08-11,551.0,551.0,543.0,548.25,3000,539.5
2008-08-12,548.75,555.0,548.75,553.25,720,548.25
2008-08-13,544.0,544.0,539.0,539.75,1460,553.25
2008-08-14,544.0,549.75,538.0,540.5,680,539.75
2008-08-18,550.0,559.0,545.0,548.25,960,540.5
2008-08-19,547.25,555.0,547.0,550.0,1740,548.25
2008-08-20,540.0,560.0,535.0,549.75,1280,550.0
2008-08-21,543.0,571.0,543.0,565.75,800,549.75
2008-08-25,570.0,619.0,562.5,588.5,3540,565.75
2008-08-26,619.0,619.0,581.0,588.75,920,588.5
2008-08-27,580.0,600.0,573.25,583.5,2100,588.75
2008-08-28,570.0,570.25,570.0,570.0,2060,583.5
2008-08-31,575.0,575.0,570.0,574.5,1540,570.0
