date,open,high,low,close,volume,prev_closing_price
2008-03-06,450.0,515.0,450.0,505.5,27850,473.5
2008-03-09,506.25,525.0,502.0,508.0,25750,505.5
2008-03-09,506.25,525.0,502.0,508.0,25750,505.5
2008-03-10,520.0,520.0,481.0,498.5,20550,508.0
2008-03-11,500.0,510.0,491.25,495.5,23650,498.5
2008-03-12,505.0,539.75,500.0,522.0,29840,495.5
2008-03-13,525.0,552.0,520.0,549.5,40230,522.0
2008-03-16,560.0,626.0,560.0,624.0,70990,549.5
2008-03-17,630.0,640.0,580.25,600.25,44000,624.0
2008-03-18,600.0,600.0,570.0,576.75,26640,600.25
2008-03-19,580.0,624.75,580.0,609.5,36450,576.75
2008-03-20,627.0,640.0,614.0,621.0,39880,609.5
2008-03-23,635.0,662.0,625.0,644.5,42430,621.0
2008-03-24,651.0,674.75,639.0,656.0,38060,644.5
2008-03-25,669.0,724.75,655.0,712.0,60360,656.0
2008-03-30,778.0,778.0,740.0,752.25,44560,712.0
2008-03-31,746.0,746.0,682.0,700.25,35450,752.25
2008-04-01,700.0,723.75,682.0,693.0,28410,700.25
2008-04-02,690.0,710.0,672.0,680.75,20570,693.0
2008-04-03,698.0,703.0,675.25,680.0,29460,680.75
2008-04-06,697.0,697.0,660.0,666.25,21760,680.0
2008-04-07,682.0,689.5,667.0,677.0,20120,666.25
2008-04-08,680.0,695.0,662.0,665.5,25850,677.0
2008-04-09,674.0,714.0,671.0,680.5,32080,665.5
2008-04-10,690.0,735.0,690.0,722.5,39970,680.5
2008-04-13,730.0,739.0,690.0,704.75,28800,722.5
2008-04-15,720.0,760.0,700.0,747.25,74620,704.75
2008-04-16,758.0,859.25,735.0,859.25,103990,747.25
2008-04-17,899.0,910.0,802.25,840.5,53190,859.25
2008-04-20,830.0,945.0,830.0,908.25,66390,840.5
2008-04-21,940.0,965.0,896.25,936.5,61870,908.25
2008-04-22,949.0,1030.0,932.0,1003.5,54710,936.5
2008-04-23,1025.0,1045.5,953.0,963.25,51280,1003.5
2008-04-24,950.0,999.75,946.0,960.25,25430,963.25
2008-04-27,990.0,998.0,896.0,904.5,34050,960.25
2008-04-28,900.0,918.0,868.75,882.25,27820,904.5
2008-04-29,869.0,927.0,869.0,884.0,13930,882.25
2008-04-30,881.0,900.0,876.0,887.75,13380,884.0
2008-05-04,891.0,970.0,883.0,949.5,32250,887.75
2008-05-05,967.0,967.0,916.0,922.5,30220,949.5
2008-05-06,917.25,925.0,901.0,913.0,17940,922.5
2008-05-07,902.5,949.0,902.5,912.25,13730,913.0
2008-05-08,935.0,975.0,930.5,964.5,56800,912.25
2008-05-11,979.75,1060.0,979.75,1049.25,75820,964.5
2008-05-12,1070.0,1072.75,1008.0,1046.0,56260,1049.25
2008-05-13,1053.0,1053.0,999.0,1004.75,46150,1046.0
2008-05-14,1027.75,1030.0,1002.0,1013.25,31820,1004.75
2008-05-15,1025.0,1139.75,1025.0,1139.5,89310,1013.25
2008-05-18,1199.5,1274.5,1167.0,1246.25,76680,1139.5
2008-05-20,1270.0,1300.0,1221.25,1271.0,53040,1246.25
2008-05-21,1299.0,1299.0,1219.0,1224.75,69040,1271.0
2008-05-22,1226.0,1377.75,1221.0,1375.0,69850,1224.75
2008-05-25,1395.0,1450.0,1371.0,1390.25,50900,1375.0
2008-05-26,1401.0,1499.0,1375.0,1484.5,49610,1390.25
2008-05-27,1499.0,1520.0,1390.5,1402.0,57020,1484.5
2008-05-28,1400.0,1440.0,1360.0,1384.0,34070,1402.0
2008-05-29,1375.0,1430.0,1305.0,1319.75,34030,1384.0
2008-06-01,1370.0,1370.0,1285.0,1291.75,32450,1319.75
2008-06-02,1281.5,1364.0,1281.5,1319.75,24970,1291.75
2008-06-03,1322.0,1348.0,1280.25,1295.25,25860,1319.75
2008-06-04,1310.0,1310.0,1250.0,1267.75,26240,1295.25
2008-06-05,1280.0,1288.0,1250.0,1265.5,26100,1267.75
2008-06-08,1299.0,1420.0,1260.0,1383.25,41170,1265.5
2008-06-09,1380.0,1395.0,1280.0,1309.0,34560,1383.25
2008-06-10,1350.0,1365.0,1305.0,1333.25,24630,1309.0
2008-06-11,1335.0,1350.0,1260.0,1285.5,31460,1333.25
2008-06-12,1330.0,1359.75,1296.0,1322.0,21450,1285.5
2008-06-15,1350.0,1419.0,1340.0,1349.5,38330,1322.0
2008-06-16,1332.0,1365.0,1320.0,1357.0,29740,1349.5
2008-06-17,1380.0,1380.25,1335.0,1339.75,26100,1357.0
2008-06-18,1346.0,1390.0,1335.0,0.0,36630,1339.75
2008-06-19,1390.0,1437.0,1370.0,1407.75,58160,1379.25
2008-06-22,1435.0,1435.0,1335.0,0.0,22170,1407.75
2008-06-23,1351.0,1369.0,1326.0,0.0,15910,1353.75
2008-06-24,1345.0,1401.0,1340.0,1384.75,27870,1335.75
2008-06-25,1405.0,1425.0,1350.0,1356.0,45080,1384.75
2008-06-26,1350.0,1370.0,1339.0,1345.5,19910,1356.0
2008-06-29,1342.0,1349.0,1322.5,1327.25,19130,1345.5
2008-06-30,1330.0,1368.0,1325.0,1331.25,16810,1327.25
2008-07-02,1316.0,1378.75,1316.0,1337.0,26470,1331.25
2008-07-03,1328.25,1351.0,1325.0,1329.75,15090,1337.0
2008-07-06,1349.0,1349.0,1310.0,1321.5,18710,1329.75
2008-07-07,1318.0,1321.5,1276.0,1291.25,25030,1321.5
2008-07-08,1300.0,1300.0,1220.0,1242.25,28690,1291.25
2008-07-08,1300.0,1300.0,1220.0,1242.25,28690,1291.25
2008-07-09,1241.0,1255.0,1225.0,1232.0,11010,1242.25
2008-07-10,1295.0,1295.0,1215.0,1224.75,19710,1232.0
2008-07-13,1218.25,1280.0,1218.25,1251.25,22390,1224.75
2008-07-14,1225.0,1264.75,1225.0,1232.75,12090,1251.25
2008-07-15,1234.0,1235.0,1205.0,1213.75,13930,1232.75
2008-07-16,1220.0,1220.0,1113.25,1127.75,22620,1213.75
2008-07-17,1190.0,1199.0,1126.5,1130.75,19950,1127.75
2008-07-20,1190.0,1190.0,1095.0,1108.0,13080,1130.75
2008-07-21,1100.0,1107.0,970.0,970.0,21170,1108.0
2008-07-22,952.0,952.0,850.0,861.75,21750,970.0
2008-07-23,866.0,985.0,860.0,943.5,16520,861.75
2008-07-24,978.0,1060.0,940.5,1038.5,16680,943.5
2008-07-27,1065.0,1119.75,1050.0,1064.25,20290,1038.5
2008-07-28,1039.0,1064.0,995.0,1000.5,13010,1064.25
