date,open,high,low,close,volume,prev_closing_price
2020-01-16,4501.0,4997.5,4501.0,4771.0,2392,0.0
2020-01-19,4701.0,4799.0,4503.5,4742.5,283,4771.0
2020-01-20,4612.5,4800.0,4612.5,4765.5,546,4742.5
2020-01-21,4759.0,4980.0,4662.0,4923.5,363,4765.5
2020-01-22,4800.5,4958.0,4800.5,4949.5,198,4923.5
2020-01-23,4900.0,4979.0,4810.5,4940.5,419,4949.5
2020-01-26,4700.5,4940.0,4700.5,4866.5,105,4940.5
2020-01-27,4720.5,4939.0,4720.5,4905.5,65,4866.5
2020-01-28,4949.5,5007.5,4911.0,5000.0,1263,4905.5
2020-01-29,4800.0,5005.0,4800.0,5004.0,122,5000.0
2020-01-30,5007.0,5032.0,5000.5,5019.5,205,5004.0
2020-02-02,5012.5,5015.0,4900.5,5012.5,63,5019.5
2020-02-03,5000.0,5021.5,5000.0,5019.5,627,5012.5
2020-02-04,4958.0,4998.0,4920.0,4966.5,424,5019.5
2020-02-05,4999.5,4999.5,4910.0,4981.5,5,4966.5
2020-02-06,4980.0,4980.0,4970.5,4977.5,33,4981.5
2020-02-09,4900.0,4950.5,4900.0,4943.5,14,4977.5
2020-02-10,4943.5,4943.5,4926.0,4933.5,23,4943.5
2020-02-11,4970.0,5006.0,4921.0,4938.5,18,4933.5
2020-02-12,4960.0,4960.0,4910.0,4943.5,76,4938.5
2020-02-13,4943.5,4943.5,4905.5,4912.5,89,4943.5
2020-02-16,4912.5,4980.0,4905.5,4921.0,22,4912.5
2020-02-17,4950.0,5000.0,4950.0,5000.0,360,4921.0
2020-02-18,5000.0,5000.0,5000.0,5000.0,133,5000.0
2020-02-19,5000.0,5004.0,5000.0,5000.5,44,5000.0
2020-02-20,5000.0,5010.0,5000.0,5010.0,200,5000.5
2020-02-23,4865.0,5000.0,4865.0,5000.0,24,5010.0
2020-02-24,4900.0,5000.0,4900.0,5000.0,37,5000.0
2020-02-25,5000.0,5000.0,4950.0,4990.0,25,5000.0
2020-02-26,5018.0,5020.0,5009.5,5010.0,165,4990.0
2020-02-27,5000.0,5000.0,5000.0,5000.0,22,5010.0
2020-03-01,4950.0,4950.5,4950.0,4950.0,6,5000.0
2020-03-02,4950.0,4950.0,4900.0,4922.5,11,4950.0
2020-03-03,5000.0,5001.0,4920.0,4999.0,106,4922.5
2020-03-04,5000.0,5000.0,5000.0,5000.0,80,4999.0
2020-03-05,4875.5,5000.0,4875.5,4990.0,24,5000.0
2020-03-08,4830.0,5000.0,4826.0,4992.5,116,4990.0
2020-03-09,4850.0,5000.0,4850.0,5000.0,153,4992.5
2020-03-10,5000.0,5000.0,5000.0,5000.0,46,5000.0
2020-03-11,5000.0,5010.0,5000.0,5001.0,48,5000.0
2020-03-12,5000.0,5005.0,5000.0,5000.0,106,5001.0
2020-03-15,4900.0,5005.0,4900.0,5000.0,78,5000.0
2020-03-16,5000.0,5000.0,5000.0,5000.0,78,5000.0
2020-03-18,5000.0,5010.0,5000.0,5000.0,65,5000.0
2020-03-19,0.0,0.0,0.0,5000.0,0,5000.0
2020-03-22,5000.5,5000.5,5000.5,5000.5,9,5000.0
2020-03-23,5000.5,5000.5,5000.0,5000.5,50,5000.5
2020-03-24,5000.0,5000.0,5000.0,5000.0,3,5000.5
2020-03-25,5000.0,5000.0,5000.0,5000.0,1,5000.0
2020-05-31,5000.0,5000.0,5000.0,5000.0,23,5000.0
2020-06-01,5000.0,5020.5,5000.0,5020.0,44,5000.0
2020-06-02,5020.0,5050.0,5012.0,5044.5,24,5020.0
2020-06-03,5015.0,5043.0,5015.0,5042.0,64,5044.5
2020-06-04,5010.0,5045.0,5010.0,5031.0,258,5042.0
2020-06-07,5039.0,5050.0,5020.0,5046.0,162,5031.0
2020-06-08,5030.0,5045.0,5025.0,5035.0,93,5046.0
2020-06-09,5045.0,5045.0,5020.5,5024.5,84,5035.0
2020-06-10,5020.5,5045.0,5020.5,5045.0,130,5024.5
2020-06-11,5031.5,5032.0,5031.5,5032.0,28,5045.0
2020-06-14,5032.0,5032.5,5002.5,5030.0,46,5032.0
2020-06-15,5000.0,5025.0,5000.0,5000.5,157,5030.0
2020-06-16,5000.5,5005.0,5000.0,5002.0,96,5000.5
2020-06-17,5000.5,5002.0,5000.5,5002.0,27,5002.0
2020-06-18,5005.0,5005.0,5005.0,5005.0,4,5002.0
2020-06-21,5000.0,5004.0,5000.0,5002.5,22,5005.0
2020-06-22,5003.5,5003.5,5003.5,5003.5,1,5002.5
2020-06-23,5007.0,5007.0,5007.0,5007.0,1,5003.5
2020-06-24,5050.0,5052.0,5050.0,5051.5,131,5007.0
2020-06-25,5052.0,5075.0,5030.0,5070.5,866,5051.5
2020-06-28,5050.0,5100.0,5050.0,5074.0,28,5070.5
2020-06-29,5051.5,5100.0,5050.0,5071.5,26,5074.0
2020-06-30,5050.5,5051.0,5050.5,5051.0,22,5071.5
2020-07-02,5052.0,5070.0,5050.0,5061.5,31,5051.0
2020-07-05,5055.0,5055.0,5051.0,5053.0,4,5061.5
2020-07-06,5054.0,5080.0,5052.0,5061.0,230,5053.0
2020-07-07,5051.0,5060.0,5051.0,5056.0,11,5061.0
2020-07-08,5053.0,5070.0,5050.0,5052.5,60,5056.0
2020-07-09,5052.5,5090.0,5052.5,5078.5,29,5052.5
2020-07-12,5070.0,5097.5,5050.0,5084.5,138,5078.5
2020-07-13,5060.0,5060.0,5050.0,5060.0,34,5084.5
2020-07-14,5000.0,5010.0,5000.0,5006.0,5,5060.0
2020-07-15,5011.0,5011.0,5011.0,5011.0,8,5006.0
2020-07-16,0.0,0.0,0.0,5011.0,0,5011.0
2020-07-19,5020.0,5020.0,5020.0,5020.0,2,5011.0
2020-07-20,5006.0,5015.0,5005.5,5008.0,17,5020.0
2020-07-21,5005.0,5005.5,5005.0,5005.0,31,5008.0
