date,open,high,low,close,volume,prev_closing_price
2008-03-06,108.0,118.0,108.0,113.8,36350,109.4
2008-03-09,118.9,126.9,117.0,122.0,48650,113.8
2008-03-09,118.9,126.9,117.0,122.0,48650,113.8
2008-03-10,117.8,122.5,117.7,118.0,30050,122.0
2008-03-11,120.0,120.9,117.8,118.3,34800,118.0
2008-03-12,116.0,116.0,112.0,113.3,34950,118.3
2008-03-13,110.0,113.6,110.0,113.0,14800,113.3
2008-03-16,115.0,119.8,114.1,116.0,20300,113.0
2008-03-17,119.9,120.0,115.0,115.6,24850,116.0
2008-03-18,114.2,126.0,114.2,121.8,29800,115.6
2008-03-19,120.4,122.0,117.1,0.0,13250,121.8
2008-03-20,118.0,129.9,118.0,127.9,46350,118.3
2008-03-23,128.0,132.0,112.0,120.9,11950,127.9
2008-03-24,120.9,0.0,0.0,120.9,0,120.9
2008-03-25,120.9,0.0,0.0,120.9,0,120.9
2008-03-30,132.5,145.0,132.5,145.0,13600,120.9
2008-03-31,155.0,174.0,152.2,171.7,4000,145.0
2008-04-01,183.8,190.0,165.0,172.8,2800,171.7
2008-04-02,156.0,158.0,148.0,155.8,7400,172.8
2008-04-03,150.0,170.0,150.0,163.6,6100,155.8
2008-04-06,175.0,179.0,160.0,167.4,4500,163.6
2008-04-07,173.5,190.0,160.5,183.4,12550,167.4
2008-04-08,190.0,215.0,190.0,207.0,16400,183.4
2008-04-09,215.0,243.0,215.0,234.4,17150,207.0
2008-04-10,248.0,248.0,200.0,204.8,18800,234.4
2008-04-13,201.0,220.0,201.0,215.7,11900,204.8
2008-04-15,212.0,218.0,185.0,202.3,16100,215.7
2008-04-16,204.0,210.0,198.0,207.0,16950,202.3
2008-04-17,206.0,223.0,204.0,216.8,31200,207.0
2008-04-20,220.0,223.0,214.0,218.6,13950,216.8
2008-04-21,221.0,234.9,221.0,225.8,40600,218.6
2008-04-22,239.9,265.3,230.0,256.6,54950,225.8
2008-04-23,249.0,262.0,243.0,252.8,29700,256.6
2008-04-24,260.0,260.0,236.0,241.2,12350,252.8
2008-04-27,231.0,234.0,215.0,219.2,17000,241.2
2008-04-28,220.0,220.0,207.0,209.6,32550,219.2
2008-04-29,203.1,208.0,195.0,196.8,22300,209.6
2008-04-30,180.0,197.0,171.1,171.7,26300,196.8
2008-05-04,166.0,170.0,162.1,167.5,19250,171.7
2008-05-05,167.0,169.9,150.0,162.0,15550,167.5
2008-05-06,162.9,178.0,162.9,175.3,36050,162.0
2008-05-07,178.0,186.8,178.0,179.9,25100,175.3
2008-05-08,179.0,180.0,175.0,176.4,16100,179.9
2008-05-11,180.5,198.0,180.5,193.7,54250,176.4
2008-05-12,195.0,197.0,186.0,189.6,27550,193.7
2008-05-13,188.0,210.0,188.0,208.4,74200,189.6
2008-05-14,209.0,209.0,198.0,200.5,27350,208.4
2008-05-15,197.0,199.8,195.0,196.7,21100,200.5
2008-05-18,187.5,198.0,187.5,191.6,14200,196.7
2008-05-20,192.5,215.0,192.5,210.7,49700,191.6
2008-05-21,211.0,217.0,198.2,200.3,50000,210.7
2008-05-22,198.6,204.0,198.6,199.8,39550,200.3
2008-05-25,200.0,216.9,200.0,212.5,63900,199.8
2008-05-26,224.9,249.0,217.0,236.7,95500,212.5
2008-05-27,244.0,248.0,220.0,223.1,37900,236.7
2008-05-28,230.0,230.0,218.5,223.1,39900,223.1
2008-05-29,226.0,236.9,221.1,223.3,61150,223.1
2008-06-01,224.0,235.0,223.0,226.7,37600,223.3
2008-06-02,234.5,255.0,234.0,249.2,98650,226.7
2008-06-03,259.2,290.0,253.0,273.9,140150,249.2
2008-06-04,270.0,287.9,260.1,266.3,32450,273.9
2008-06-05,255.0,270.0,250.0,260.1,30650,266.3
2008-06-08,270.0,272.0,260.5,267.0,36200,260.1
2008-06-09,267.0,0.0,0.0,267.0,0,267.0
2008-06-10,251.0,265.0,243.0,248.3,55350,267.0
2008-06-11,237.1,250.0,217.0,230.5,21050,248.3
2008-06-12,240.0,244.0,225.0,227.6,16950,230.5
2008-06-15,225.0,230.5,209.0,211.1,22650,227.6
2008-06-16,210.0,224.9,204.0,220.1,25900,211.1
2008-06-17,217.1,217.1,210.0,215.1,9450,220.1
2008-06-18,219.0,227.0,217.1,0.0,20300,215.1
2008-06-19,220.4,220.4,210.1,211.9,15900,219.0
2008-06-22,205.0,214.5,204.8,0.0,41200,211.9
2008-06-23,209.0,209.0,204.5,0.0,22000,205.5
2008-06-24,214.0,217.0,212.0,213.0,26700,206.8
2008-06-25,214.1,219.5,213.5,215.0,24250,213.0
2008-06-26,216.2,220.0,215.0,218.0,20150,215.0
2008-06-29,218.0,220.0,215.0,215.5,23750,218.0
2008-06-30,215.0,216.5,206.0,207.8,25650,215.5
2008-07-02,208.1,209.1,200.0,202.2,15450,207.8
2008-07-03,206.0,213.5,206.0,210.5,5300,202.2
2008-07-06,212.0,224.4,212.0,219.3,30650,210.5
2008-07-07,216.0,222.0,216.0,219.4,17250,219.3
2008-07-08,219.4,230.0,218.1,228.2,24000,219.4
2008-07-08,219.4,230.0,218.1,228.2,24000,219.4
2008-07-09,235.0,253.9,235.0,246.6,32000,228.2
2008-07-10,255.0,264.9,248.2,259.4,60950,246.6
2008-07-13,251.0,269.0,250.0,251.1,37000,259.4
2008-07-14,242.0,281.9,242.0,279.0,94350,251.1
2008-07-15,279.0,282.0,267.0,270.9,55250,279.0
2008-07-16,277.0,277.0,257.0,260.7,32650,270.9
2008-07-17,263.1,273.0,255.0,258.1,25050,260.7
2008-07-20,247.0,260.0,247.0,254.4,16350,258.1
2008-07-21,258.0,279.0,256.2,268.7,75800,254.4
2008-07-22,285.0,288.0,270.0,274.8,88550,268.7
2008-07-23,280.0,285.0,268.6,278.7,32950,274.8
2008-07-24,282.0,285.0,272.5,278.6,41550,278.7
2008-07-27,271.0,280.0,271.0,271.5,22100,278.6
2008-07-28,272.1,272.1,257.0,259.3,17700,271.5
2008-07-29,260.0,264.0,250.0,252.3,18900,259.3
2008-07-30,255.0,263.8,252.0,254.9,28850,252.3
2008-07-31,261.0,268.5,256.0,258.1,28600,254.9
2008-08-03,265.0,265.5,246.1,247.5,32350,258.1
2008-08-04,247.1,247.1,239.0,241.8,30950,247.5
2008-08-05,240.0,250.0,240.0,246.7,17000,241.8
2008-08-06,253.9,265.0,252.0,252.2,22250,246.7
2008-08-07,248.1,255.0,247.0,250.6,14100,252.2
2008-08-10,255.9,255.9,244.0,246.3,18400,250.6
2008-08-11,248.0,252.0,241.2,249.7,13000,246.3
2008-08-12,254.0,255.0,246.0,253.1,17000,249.7
2008-08-13,251.0,260.0,249.0,257.3,26500,253.1
2008-08-14,255.4,265.0,255.4,259.0,31400,257.3
2008-08-18,262.0,265.5,258.8,262.8,41400,259.0
2008-08-19,260.0,265.0,255.0,262.1,26150,262.8
2008-08-20,262.0,265.0,256.0,257.1,9750,262.1
2008-08-21,260.0,262.0,252.0,252.6,22250,257.1
2008-08-25,250.0,253.0,249.0,251.5,7600,252.6
2008-08-26,256.0,258.0,254.0,256.5,15550,251.5
2008-08-27,256.1,264.0,256.1,257.0,20650,256.5
2008-08-28,257.9,258.0,251.8,252.5,15950,257.0
2008-08-31,251.5,255.0,251.5,252.8,24450,252.5
2008-09-01,253.5,261.5,253.5,259.7,24450,252.8
2008-09-02,260.0,276.0,260.0,274.8,64300,259.7
2008-09-03,278.7,279.0,265.4,267.3,19600,274.8
2008-09-04,266.0,268.0,262.0,262.7,12300,267.3
2008-09-07,259.1,266.0,256.0,260.3,15400,262.7
2008-09-08,268.0,276.0,265.0,272.6,27450,260.3
2008-09-09,275.0,287.0,275.0,285.2,120400,272.6
2008-09-10,287.8,305.0,286.0,301.2,73650,285.2
2008-09-11,298.1,307.0,285.4,292.5,45100,301.2
2008-09-14,290.0,290.0,278.6,280.5,16500,292.5
2008-09-15,280.1,286.0,275.2,279.9,36750,280.5
2008-09-16,298.5,328.8,294.0,327.8,161800,279.9
2008-09-17,330.0,348.6,315.0,338.7,66600,327.8
2008-09-18,335.0,348.8,326.0,336.9,30300,338.7
2008-09-21,340.0,354.0,330.0,343.5,63050,336.9
2008-09-22,355.9,361.0,340.0,346.6,61150,343.5
2008-09-23,358.0,360.0,322.0,331.0,63550,346.6
2008-09-24,340.0,374.0,339.0,362.4,85900,331.0
2008-09-25,372.0,374.5,358.0,361.7,49600,362.4
2008-10-05,361.0,364.0,346.0,355.0,33400,361.7
2008-10-06,359.0,360.0,332.0,338.5,33650,355.0
2008-10-07,349.9,349.9,332.5,340.1,31550,338.5
2008-10-08,348.0,348.0,332.0,336.6,38600,340.1
2008-10-12,336.0,338.0,309.0,311.9,25900,336.6
2008-10-13,316.5,325.0,309.0,311.3,37150,311.9
2008-10-14,319.0,339.9,319.0,329.3,42000,311.3
2008-10-15,331.0,331.0,322.1,324.4,21900,329.3
2008-10-16,332.0,332.0,313.5,319.5,17050,324.4
2008-10-19,320.1,326.0,312.1,314.6,16200,319.5
2008-10-20,312.0,318.5,310.2,315.6,16700,314.6
2008-10-21,310.1,321.8,302.2,306.6,14200,315.6
2008-10-22,305.1,314.4,301.1,312.6,11850,306.6
2008-10-23,316.0,316.0,306.1,312.8,14650,312.6
2008-10-26,303.1,313.9,300.0,301.9,27750,312.8
2008-10-27,302.3,302.5,291.1,293.2,13850,301.9
2008-10-28,300.0,302.0,291.1,296.8,7050,293.2
2008-10-29,304.6,328.0,303.0,319.3,47400,296.8
2008-10-30,324.0,324.0,305.0,307.2,17600,319.3
2008-11-02,310.0,323.0,303.3,308.0,35050,307.2
2008-11-03,313.9,314.0,281.0,286.9,31150,308.0
2008-11-04,303.0,305.0,285.5,291.6,13900,286.9
2008-11-05,294.0,300.0,276.0,281.9,9500,291.6
2008-11-06,275.0,288.0,269.0,273.1,29600,281.9
2008-11-09,275.0,275.0,253.0,256.0,13550,273.1
2008-11-10,248.1,264.0,247.0,262.2,19500,256.0
2008-11-11,268.0,268.0,255.0,260.2,17600,262.2
2008-11-12,267.0,285.8,265.1,279.7,26150,260.2
2008-11-13,284.4,288.0,268.1,274.5,20150,279.7
2008-11-16,270.2,270.2,261.0,262.9,12100,274.5
2008-11-17,261.0,270.0,260.0,260.8,11900,262.9
2008-11-18,261.1,264.0,255.1,256.0,6700,260.8
2008-11-19,253.1,253.1,240.0,242.0,14750,256.0
2008-11-20,240.0,242.0,225.3,235.1,29100,242.0
2008-11-23,241.9,259.9,241.9,255.0,17700,235.1
2008-11-24,252.0,252.0,241.0,242.6,17900,255.0
2008-11-25,241.7,246.0,238.0,238.9,8000,242.6
2008-11-26,238.0,239.0,229.1,229.7,8800,238.9
2008-11-27,222.0,223.5,205.5,208.8,25000,229.7
2008-11-30,211.0,213.0,201.6,211.5,18550,208.8
2008-12-01,218.0,220.0,212.5,214.0,8400,211.5
2008-12-02,221.1,221.1,208.6,210.6,4350,214.0
2008-12-03,212.9,242.0,210.1,236.9,30700,210.6
2008-12-04,230.0,240.0,226.3,228.9,12500,236.9
2008-12-14,230.1,233.9,226.0,227.1,4450,228.9
2008-12-15,222.5,225.0,214.1,220.7,6450,227.1
2008-12-17,212.1,223.4,212.1,220.2,3750,220.7
2008-12-18,224.0,227.0,220.0,226.0,11200,220.2
2008-12-21,230.0,238.0,227.8,232.4,18500,226.0
2008-12-22,232.2,236.5,225.0,228.8,11350,232.4
2008-12-23,232.9,243.9,232.0,241.4,17850,228.8
2008-12-24,243.1,244.8,236.4,237.5,11950,241.4
2008-12-28,238.0,246.7,238.0,243.7,10150,237.5
2008-12-30,255.5,284.8,246.1,278.4,33900,243.7
2009-01-01,289.0,295.0,271.2,276.4,39600,278.4
2009-01-04,279.2,285.0,274.2,280.5,33100,276.4
2009-01-05,285.0,299.9,285.0,289.0,48850,280.5
2009-01-06,288.3,299.0,280.0,285.7,19000,289.0
2009-01-07,290.0,291.9,279.5,281.1,15000,285.7
2009-01-11,280.0,283.0,271.0,274.5,12150,281.1
2009-01-12,279.0,281.0,271.0,272.6,13600,274.5
2009-01-13,276.0,277.0,270.2,271.5,9650,272.6
2009-01-14,275.0,275.8,265.0,265.4,8050,271.5
2009-01-15,266.0,267.8,261.1,264.4,8400,265.4
2009-01-18,278.5,278.5,260.2,261.5,14850,264.4
2009-01-19,262.0,262.0,255.0,255.5,12350,261.5
2009-01-20,257.5,275.0,257.5,267.8,7250,255.5
2009-01-21,274.2,279.0,267.1,268.2,13350,267.8
2009-01-22,260.1,272.5,260.1,269.2,5950,268.2
2009-01-25,267.2,270.1,267.1,268.6,3950,269.2
2009-01-26,272.0,273.0,265.1,267.3,14300,268.6
2009-01-27,272.8,272.9,264.7,265.8,9800,267.3
2009-01-28,269.9,283.0,267.0,276.1,25250,265.8
2009-01-29,276.0,284.8,275.7,278.7,35350,276.1
2009-02-01,283.9,294.9,278.6,290.4,27950,278.7
2009-02-02,289.0,294.0,276.4,281.6,26250,290.4
2009-02-03,285.0,286.0,276.9,280.9,20300,281.6
2009-02-04,285.0,287.0,279.5,279.9,13950,280.9
2009-02-05,281.0,283.0,277.5,279.6,13750,279.9
2009-02-08,277.0,281.0,270.0,271.1,6750,279.6
2009-02-09,271.0,274.0,266.0,266.9,6150,271.1
2009-02-10,268.0,272.0,262.0,264.7,8200,266.9
2009-02-11,274.9,274.9,255.3,259.9,8100,264.7
2009-02-12,265.0,274.9,265.0,272.0,9650,259.9
2009-02-15,274.0,277.0,267.0,269.0,11950,272.0
2009-02-16,271.0,291.0,268.0,289.6,41150,269.0
2009-02-17,292.0,309.2,289.0,303.9,101650,289.6
2009-02-18,309.0,320.0,309.0,315.7,77600,303.9
2009-02-19,307.4,318.6,306.2,315.6,43800,315.7
2009-02-22,318.0,345.0,317.0,330.1,91950,315.6
2009-02-23,336.9,339.9,315.0,331.5,64750,330.1
2009-02-24,320.1,335.0,317.0,324.2,42800,331.5
2009-02-25,320.5,327.0,310.0,313.5,24750,324.2
2009-02-26,315.0,317.0,300.0,302.7,25450,313.5
2009-03-01,328.0,328.0,308.0,310.3,17600,302.7
2009-03-02,329.8,330.0,314.0,317.6,41700,310.3
2009-03-03,327.0,349.9,317.1,346.2,125650,317.6
2009-03-04,341.2,365.0,341.2,359.5,74000,346.2
2009-03-05,354.0,384.9,354.0,368.2,69700,359.5
2009-03-08,360.0,370.0,354.0,360.8,57750,368.2
