date,open,high,low,close,volume,prev_closing_price
2013-02-19,65.0,82.9,65.0,82.0,8293800,35.0
2013-02-20,80.0,86.0,80.0,82.0,2518200,82.0
2013-02-24,82.0,82.0,73.0,74.2,1440400,82.0
2013-02-25,73.8,76.9,69.2,69.9,3669000,74.2
2013-02-26,72.0,78.8,70.1,78.4,2525200,69.9
2013-02-27,78.0,79.9,73.0,75.0,2366200,78.4
2013-02-28,73.4,76.5,71.8,74.8,1609200,75.0
2013-03-03,71.1,73.0,67.8,68.3,1546600,74.8
2013-03-04,69.0,72.5,69.0,69.8,1245800,68.3
2013-03-05,70.5,71.4,63.4,64.6,1527800,69.8
2013-03-06,64.6,66.0,61.4,61.9,1443000,64.6
2013-03-07,61.0,61.8,58.1,58.9,1092800,61.9
2013-03-10,60.0,61.8,53.6,54.6,1168800,58.9
2013-03-11,54.1,55.9,50.0,54.3,1302200,54.6
2013-03-12,52.1,55.2,51.6,52.8,684400,54.3
2013-03-13,53.0,55.5,52.8,53.2,907000,52.8
2013-03-14,54.0,54.3,51.7,52.0,670800,53.2
2013-03-18,52.5,53.8,51.7,53.2,571600,52.0
2013-03-19,53.8,54.5,52.7,52.9,583000,53.2
2013-03-20,51.1,52.9,50.2,50.4,656200,52.9
2013-03-24,50.6,51.0,45.4,45.4,1196200,50.4
2013-03-25,45.4,45.4,40.9,42.3,847000,45.4
2013-03-27,43.0,45.4,40.2,40.6,787000,42.3
2013-03-28,40.0,42.8,40.0,42.2,659600,40.6
2013-03-31,42.8,44.2,40.9,42.6,681600,42.2
2013-04-01,42.0,42.0,39.0,39.5,775600,42.6
2013-04-02,39.2,41.0,39.0,40.8,719200,39.5
2013-04-03,40.7,41.4,39.6,39.7,1050400,40.8
2013-04-04,39.2,39.5,37.6,38.1,1247000,39.7
2013-04-07,38.1,0.0,0.0,38.1,0,38.1
2013-04-08,31.8,32.1,30.2,31.3,1063000,38.1
2013-04-09,31.4,33.5,31.3,33.1,882000,31.3
2013-04-10,34.0,34.4,32.1,32.7,594400,33.1
2013-04-11,32.5,33.9,32.0,32.9,704000,32.7
2013-04-15,33.2,36.1,33.2,36.1,1114000,32.9
2013-04-16,37.0,37.5,34.5,34.7,1088800,36.1
2013-04-17,34.7,35.4,34.1,34.7,679600,34.7
2013-04-18,35.0,37.1,34.9,35.6,1466400,34.7
2013-04-21,36.4,37.2,35.5,35.6,944600,35.6
2013-04-22,35.6,35.9,34.9,35.0,460800,35.6
2013-04-23,35.0,35.7,34.3,34.5,585400,35.0
2013-04-24,34.7,34.9,32.9,33.1,520800,34.5
2013-04-25,34.3,34.3,32.5,32.6,380200,33.1
2013-04-28,32.1,32.1,30.9,31.3,344800,32.6
2013-04-29,31.2,33.0,30.8,32.4,560200,31.3
2013-04-30,33.0,33.3,31.5,31.7,380000,32.4
2013-05-02,31.6,32.6,31.1,32.2,430200,31.7
2013-05-05,31.9,33.1,31.6,31.9,693200,32.2
2013-05-06,31.9,32.0,31.4,31.5,355400,31.9
2013-05-07,31.3,32.3,31.2,32.0,448400,31.5
2013-05-08,32.5,33.1,31.5,31.6,769600,32.0
2013-05-09,31.7,32.6,31.5,32.3,679000,31.6
2013-05-12,32.9,34.6,32.9,34.3,1180000,32.3
2013-05-13,34.6,35.0,33.7,34.7,1511200,34.3
2013-05-14,35.2,36.2,35.1,35.8,1347400,34.7
2013-05-15,36.0,36.4,34.4,34.6,1617800,35.8
2013-05-16,34.1,36.1,34.0,35.8,2043400,34.6
2013-05-19,36.2,38.0,36.0,37.5,2345600,35.8
2013-05-20,37.9,38.0,35.9,36.2,1843000,37.5
2013-05-21,36.2,36.9,35.0,35.3,1565400,36.2
2013-05-22,35.5,36.0,34.1,34.4,988600,35.3
2013-05-26,34.4,34.8,33.0,33.2,549000,34.4
2013-05-27,33.0,34.7,32.8,34.2,347000,33.2
2013-05-28,34.8,35.1,33.8,34.0,630400,34.2
2013-05-29,34.2,34.9,34.1,34.5,652800,34.0
2013-05-30,35.0,35.9,34.9,35.1,1122200,34.5
2013-06-02,35.7,36.3,35.3,36.0,1436200,35.1
2013-06-03,36.5,36.8,35.0,35.2,1455400,36.0
2013-06-04,35.5,35.9,34.3,34.7,1509400,35.2
2013-06-05,35.0,35.4,34.3,34.4,1053400,34.7
2013-06-06,35.0,35.0,33.5,33.6,1129400,34.4
2013-06-09,33.4,33.6,31.7,31.8,782400,33.6
2013-06-10,32.6,33.7,32.0,33.3,718000,31.8
2013-06-11,33.8,34.8,33.7,34.2,1001800,33.3
2013-06-12,34.6,37.5,34.6,36.3,3591000,34.2
2013-06-13,36.9,37.0,35.8,36.0,1501600,36.3
2013-06-16,36.0,38.0,35.8,37.6,1944000,36.0
2013-06-17,37.9,38.4,35.5,35.9,1988600,37.6
2013-06-18,36.2,36.5,35.0,35.4,1349200,35.9
2013-06-19,36.0,36.6,34.8,35.1,1687800,35.4
2013-06-20,35.6,35.8,33.9,34.1,1014400,35.1
2013-06-23,34.4,34.9,32.1,32.7,801200,34.1
2013-06-24,33.2,33.3,32.4,32.8,458000,32.7
2013-06-26,34.0,34.4,32.6,32.9,739400,32.8
2013-06-27,33.1,33.4,32.1,32.3,671600,32.9
2013-06-30,30.6,31.9,30.6,31.3,1074000,32.3
2013-07-02,31.9,34.3,31.2,34.0,687400,31.3
2013-07-03,34.9,34.9,32.5,32.9,655800,34.0
2013-07-04,33.8,35.4,32.9,34.4,1645400,32.9
2013-07-07,34.5,35.9,34.5,35.3,1459400,34.4
2013-07-08,35.7,36.3,35.2,35.4,1518800,35.3
2013-07-09,35.4,36.6,34.0,34.5,1408200,35.4
2013-07-10,34.9,34.9,33.2,33.6,1123200,34.5
2013-07-11,33.8,34.0,32.6,32.7,652400,33.6
2013-07-14,33.2,33.6,32.4,32.6,683400,32.7
2013-07-15,32.6,33.2,32.6,32.7,665000,32.6
2013-07-16,33.2,35.9,33.2,35.1,3743400,32.7
2013-07-17,35.2,38.2,35.2,37.5,3606800,35.1
2013-07-18,37.4,38.8,36.5,37.7,2326200,37.5
2013-07-21,37.3,37.8,35.3,35.3,1305200,37.7
2013-07-22,35.9,36.3,35.0,35.7,724200,35.3
2013-07-23,36.0,36.0,33.1,33.4,618400,35.7
2013-07-24,34.5,36.3,33.1,35.7,887400,33.4
2013-07-25,35.8,35.9,34.1,34.1,463200,35.7
2013-07-28,34.0,34.0,33.0,33.7,275000,34.1
2013-07-29,35.0,35.0,33.6,34.0,331000,33.7
2013-07-30,34.7,34.8,33.8,34.0,301400,34.0
2013-07-31,34.6,34.9,33.6,34.0,696400,34.0
2013-08-01,34.4,36.5,34.0,35.8,1462800,34.0
2013-08-04,35.1,36.9,35.0,36.7,1364200,35.8
2013-08-05,36.7,37.5,35.8,37.1,1672400,36.7
2013-08-12,36.4,38.2,35.8,38.0,1001000,37.1
2013-08-13,38.1,40.1,37.9,39.9,2727800,38.0
2013-08-14,39.2,40.8,39.0,40.2,1949200,39.9
2013-08-18,40.6,41.0,38.3,39.1,1776000,40.2
2013-08-19,40.3,40.3,38.0,38.4,1045200,39.1
2013-08-20,38.8,39.4,38.2,38.4,1579000,38.4
2013-08-21,38.5,40.0,38.4,39.6,1537000,38.4
2013-08-22,40.0,42.0,39.6,41.7,3273200,39.6
2013-08-25,42.8,43.0,40.9,41.2,2820000,41.7
2013-08-26,41.2,41.7,40.9,41.1,1843400,41.2
2013-08-27,41.0,42.0,40.4,40.6,1295800,41.1
2013-08-29,41.4,41.4,39.6,40.3,1064800,40.6
2013-09-01,41.0,41.2,39.5,39.7,447400,40.3
2013-09-02,40.1,40.3,39.0,39.2,302200,39.7
2013-09-03,39.0,40.3,38.5,39.8,464800,39.2
2013-09-04,40.0,40.5,38.5,38.6,722800,39.8
2013-09-05,38.6,39.5,37.1,37.5,388200,38.6
2013-09-08,36.2,38.2,36.2,36.9,190600,37.5
2013-09-09,37.1,37.9,36.1,37.3,342000,36.9
2013-09-10,37.7,38.6,37.5,37.9,509200,37.3
2013-09-11,38.3,38.5,36.7,37.0,514000,37.9
2013-09-12,37.4,37.5,36.9,37.0,327400,37.0
2013-09-15,37.0,37.8,36.2,36.5,411800,37.0
2013-09-16,36.6,37.7,36.6,37.1,601200,36.5
2013-09-17,36.8,38.0,36.8,37.5,483600,37.1
2013-09-18,37.7,38.7,36.9,37.1,955000,37.5
2013-09-19,37.1,38.0,36.7,37.3,489800,37.1
2013-09-22,37.2,37.7,36.5,36.7,398000,37.3
2013-09-23,36.4,38.5,36.4,38.1,438800,36.7
2013-09-24,38.2,39.0,37.3,37.7,441200,38.1
2013-09-25,37.7,39.0,37.7,38.7,1212000,37.7
2013-09-26,39.0,40.9,38.9,40.3,2754000,38.7
2013-09-29,41.0,42.0,40.2,41.6,2178400,40.3
2013-09-30,41.9,42.5,41.2,42.1,2387400,41.6
2013-10-01,42.0,42.7,41.3,42.3,1842800,42.1
2013-10-02,42.4,45.1,42.3,44.5,2478400,42.3
2013-10-03,44.8,46.4,44.2,45.9,1550400,44.5
