date,open,high,low,close,volume,prev_closing_price
2009-06-25,310.0,415.0,310.0,404.0,219500,100.0
2009-06-28,404.0,417.0,382.0,393.0,101350,404.0
2009-06-29,386.5,445.0,386.5,429.75,62550,393.0
2009-06-30,410.0,464.0,410.0,442.75,89150,429.75
2009-07-02,457.0,457.0,411.0,423.75,97350,442.75
2009-07-05,440.0,489.0,435.0,472.5,133750,423.75
2009-07-06,470.0,484.0,437.25,451.0,73600,472.5
2009-07-07,468.5,475.0,445.0,460.25,80200,451.0
2009-07-08,470.0,510.0,462.0,498.25,107800,460.25
2009-07-09,501.0,502.5,467.0,480.75,96650,498.25
2009-07-12,470.0,471.0,455.0,463.25,76600,480.75
2009-07-13,455.0,475.0,455.0,468.5,38100,463.25
2009-07-14,470.0,472.5,453.0,456.75,34600,468.5
2009-07-15,452.0,461.0,450.0,452.0,38400,456.75
2009-07-16,452.0,467.0,450.0,459.75,30300,452.0
2009-07-19,460.0,466.0,450.5,452.75,25750,459.75
2009-07-20,451.0,454.0,436.5,438.5,25850,452.75
2009-07-21,441.0,453.5,439.0,446.5,32400,438.5
2009-07-22,452.5,463.5,452.5,461.25,34150,446.5
2009-07-23,456.5,461.5,453.25,458.25,26150,461.25
2009-07-26,468.0,473.75,460.0,469.5,57600,458.25
2009-07-27,468.5,468.5,459.0,462.5,14300,469.5
2009-07-28,467.0,472.25,462.0,463.5,19050,462.5
2009-07-29,472.0,474.75,463.0,466.5,25300,463.5
2009-07-30,465.5,467.0,455.0,457.25,27550,466.5
2009-08-02,469.5,471.0,460.0,464.25,39300,457.25
2009-08-03,461.0,470.0,460.25,461.0,23750,464.25
2009-08-04,461.0,510.0,460.5,503.0,115900,461.0
2009-08-05,503.0,510.0,482.5,500.0,73800,503.0
2009-08-06,499.0,530.0,492.0,519.25,75250,500.0
2009-08-09,520.0,530.0,510.0,519.25,54250,519.25
2009-08-10,523.0,533.0,506.0,510.75,58050,519.25
2009-08-11,526.75,526.75,504.0,507.5,35600,510.75
2009-08-12,507.0,535.0,500.25,527.5,86150,507.5
2009-08-16,539.0,557.0,534.0,550.0,97700,527.5
2009-08-17,550.0,553.0,530.25,534.5,42650,550.0
2009-08-18,531.0,543.0,527.0,539.25,49900,534.5
2009-08-19,549.75,570.0,540.0,556.5,115550,539.25
2009-08-20,569.0,639.75,569.0,618.75,198450,556.5
2009-08-23,576.0,643.0,576.0,612.75,77600,618.75
2009-08-24,600.25,606.0,580.0,596.75,108450,612.75
2009-08-25,592.0,624.0,588.0,618.5,53650,596.75
2009-08-26,627.0,637.0,614.0,616.25,63600,618.5
2009-08-27,615.0,615.0,588.0,591.0,47200,616.25
2009-08-30,593.0,593.0,578.0,581.75,27050,591.0
2009-08-31,580.25,590.0,571.0,575.25,30050,581.75
2009-09-01,598.75,619.0,585.0,603.0,78750,575.25
2009-09-02,603.0,607.0,590.0,595.75,29400,603.0
2009-09-03,593.0,593.0,583.75,588.5,21150,595.75
2009-09-06,590.0,593.0,564.5,570.0,25300,588.5
2009-09-07,579.75,580.0,555.0,559.25,20600,570.0
2009-09-08,552.0,571.0,550.0,567.25,42650,559.25
2009-09-09,546.0,567.5,545.0,562.75,27850,567.25
2009-09-10,565.0,565.0,548.0,552.75,14950,562.75
2009-09-13,584.0,588.75,560.0,574.25,48200,552.75
2009-09-14,583.75,583.75,556.25,559.75,15500,574.25
2009-09-15,555.5,566.0,550.25,552.75,18850,559.75
2009-09-16,555.0,577.75,551.0,575.75,46350,552.75
2009-09-17,580.0,594.0,570.0,577.75,49050,575.75
2009-09-27,566.0,579.75,566.0,578.5,22250,577.75
2009-09-29,571.0,585.0,570.0,582.75,53450,578.5
2009-09-30,583.0,586.0,566.5,567.5,37800,582.75
2009-10-01,566.0,573.0,558.0,559.75,48250,567.5
2009-10-04,575.0,576.75,555.0,558.5,26900,559.75
2009-10-05,555.0,561.0,552.0,553.25,24750,558.5
2009-10-06,566.5,566.5,542.25,543.25,33550,553.25
2009-10-07,554.0,573.0,544.0,566.0,31450,543.25
2009-10-08,568.0,575.0,560.0,563.75,45450,566.0
2009-10-11,562.0,570.0,542.0,545.25,60650,563.75
2009-10-12,533.25,543.0,525.75,527.0,31900,545.25
2009-10-13,521.0,549.0,515.0,544.0,50600,527.0
2009-10-14,548.0,551.0,530.25,539.0,29750,544.0
2009-10-18,534.75,534.75,520.25,523.75,30450,527.25
2009-10-18,534.75,534.75,520.25,523.75,30450,527.25
2009-10-19,520.0,534.0,516.0,518.5,37700,523.75
2009-10-20,515.0,535.0,514.0,532.5,32000,518.5
2009-10-21,539.0,545.0,526.0,531.25,24150,532.5
2009-10-22,527.0,555.0,522.5,549.75,31500,531.25
2009-10-25,556.0,566.0,541.0,559.5,48600,549.75
2009-10-26,568.0,570.0,545.0,554.75,44500,559.5
2009-10-27,545.0,550.0,536.5,537.5,16650,554.75
2009-10-28,527.0,542.0,527.0,529.75,11800,537.5
2009-10-29,540.0,540.0,526.0,527.0,15550,529.75
2009-11-01,525.0,525.0,518.5,523.0,15250,527.0
2009-11-02,517.25,532.0,517.25,530.0,14100,523.0
2009-11-03,534.0,547.0,526.0,527.75,9450,530.0
2009-11-04,530.0,530.0,518.0,520.5,14850,527.75
2009-11-05,525.0,529.25,520.25,521.75,13600,520.5
2009-11-08,525.0,525.0,510.0,510.5,25950,521.75
2009-11-09,510.0,516.0,491.0,493.5,34350,510.5
2009-11-10,491.5,510.5,491.5,501.75,14600,493.5
2009-11-11,501.25,519.0,501.0,507.25,12350,501.75
2009-11-12,505.0,508.0,498.25,499.25,6300,507.25
2009-11-15,499.0,507.5,495.0,501.25,5050,499.25
2009-11-16,500.0,509.0,495.0,501.75,21300,501.25
2009-11-17,502.0,525.0,501.0,517.75,24850,501.75
2009-11-18,522.0,539.0,517.0,519.0,17950,517.75
2009-11-19,531.75,546.0,529.75,543.75,47550,519.0
2009-11-22,549.0,579.75,548.0,570.5,63650,543.75
2009-11-23,566.25,570.0,549.0,552.25,23550,570.5
2009-11-24,560.0,565.0,553.0,560.0,17900,552.25
2009-11-25,564.0,589.0,558.0,581.25,57850,560.0
2009-11-26,589.5,614.0,587.75,608.75,77300,581.25
2009-12-01,610.0,645.0,601.0,630.0,64850,608.75
2009-12-02,640.0,669.75,627.5,665.25,106800,630.0
2009-12-03,669.0,669.0,648.25,651.75,67250,665.25
2009-12-06,647.0,692.75,636.0,670.75,114300,651.75
2009-12-07,674.75,685.0,657.0,663.75,63450,670.75
2009-12-08,666.0,681.0,660.0,669.25,62550,663.75
2009-12-09,679.0,689.0,665.0,675.5,76400,669.25
2009-12-10,669.0,669.0,630.0,638.0,49750,675.5
2009-12-13,594.0,646.0,594.0,625.75,35400,638.0
2009-12-14,645.0,648.0,620.0,629.5,24250,625.75
2009-12-15,638.0,647.5,624.5,629.5,39100,629.5
2009-12-17,636.0,650.0,625.0,630.0,31800,629.5
2009-12-20,645.0,645.0,616.0,617.5,30850,630.0
2009-12-21,626.75,628.25,610.5,613.0,21000,617.5
2009-12-22,625.0,650.0,623.5,639.75,38450,613.0
2009-12-23,642.75,646.0,625.0,629.75,31350,639.75
2009-12-24,637.0,651.0,629.5,643.0,57350,629.75
2009-12-27,650.0,665.0,650.0,659.5,47200,643.0
2009-12-29,678.0,678.0,641.0,647.0,29600,659.5
2009-12-30,650.0,650.0,630.5,641.5,28000,647.0
2010-01-03,634.0,640.0,626.0,629.0,15500,641.5
2010-01-04,640.0,655.0,629.0,646.0,40850,629.0
2010-01-05,652.75,693.75,650.0,687.5,123900,646.0
2010-01-06,691.0,697.75,680.0,694.25,58900,687.5
2010-01-07,699.75,753.75,699.75,748.5,103700,694.25
2010-01-10,744.0,775.0,716.0,769.0,124200,748.5
2010-01-11,751.0,780.0,731.0,756.0,109000,769.0
2010-01-12,750.0,805.0,750.0,796.0,120850,756.0
2010-01-13,814.75,820.0,725.0,761.25,82100,796.0
2010-01-14,790.0,830.0,788.25,826.0,66900,761.25
2010-01-17,840.0,855.0,802.0,826.75,57800,826.0
2010-01-18,806.0,880.0,806.0,873.0,107450,826.75
2010-01-19,855.0,913.0,850.0,890.75,140500,873.0
2010-01-20,899.0,921.0,885.0,908.5,73950,890.75
2010-01-21,910.25,949.0,910.25,934.5,180900,908.5
2010-01-24,950.0,973.0,930.25,966.0,161000,934.5
2010-01-25,984.75,984.75,951.0,973.0,116950,966.0
2010-01-26,988.0,1030.25,965.25,1012.25,101000,973.0
2010-01-27,975.25,1018.0,975.25,1003.25,27700,1012.25
2010-01-28,985.0,1038.0,985.0,1032.25,31750,1003.25
2010-01-31,1049.0,1059.0,991.5,998.0,23200,1032.25
2010-02-01,1019.0,1019.0,985.0,996.25,25650,998.0
2010-02-02,960.0,1000.0,955.25,966.0,44550,996.25
2010-02-03,975.0,975.0,935.5,942.75,16550,966.0
2010-02-04,977.0,977.0,929.25,963.5,20150,942.75
2010-02-07,979.0,979.0,939.0,949.75,15200,963.5
2010-02-08,941.0,964.0,925.0,939.75,31550,949.75
2010-02-09,965.0,965.0,920.0,932.25,26650,939.75
2010-02-10,945.0,950.0,920.0,935.0,17600,932.25
2010-02-11,957.0,957.0,922.25,941.0,30100,935.0
2010-02-14,960.0,1015.0,956.0,986.25,115850,941.0
2010-02-15,986.0,992.5,950.0,957.5,27350,986.25
2010-02-16,970.0,970.0,937.0,946.5,36500,957.5
2010-02-17,954.75,982.0,950.0,974.0,21250,946.5
2010-02-18,979.0,979.0,925.0,936.75,23300,974.0
2010-02-22,965.0,965.0,922.0,933.0,15700,936.75
2010-02-23,950.0,954.0,925.0,948.0,12200,933.0
2010-02-24,975.0,975.0,942.0,948.0,18200,948.0
2010-02-25,958.0,958.0,936.75,940.0,8100,948.0
2010-02-28,936.0,945.0,915.0,923.0,11400,940.0
2010-03-01,948.5,962.0,930.0,953.0,15450,923.0
2010-03-02,965.0,973.75,930.0,931.5,15700,953.0
2010-03-03,963.0,963.5,944.0,954.25,46900,931.5
2010-03-04,969.75,973.75,925.0,929.25,18550,954.25
2010-03-07,925.0,928.0,902.25,910.25,15100,929.25
2010-03-08,907.25,913.75,875.25,879.0,12750,910.25
2010-03-09,880.0,887.0,850.0,854.75,7650,879.0
2010-03-10,855.25,863.0,848.0,859.75,7650,854.75
2010-03-11,853.0,858.5,848.0,853.0,4450,859.75
2010-03-14,835.0,840.0,818.0,828.75,8450,853.0
2010-03-15,826.0,865.0,825.0,852.75,10850,828.75
2010-03-16,895.0,895.0,861.0,869.75,4500,852.75
2010-03-18,860.0,910.0,860.0,905.25,19000,869.75
2010-03-21,919.75,919.75,902.0,916.25,26400,905.25
2010-03-22,925.0,947.25,920.0,943.75,79250,916.25
2010-03-23,950.0,965.0,923.0,937.25,49000,943.75
2010-03-24,950.0,956.0,940.0,944.75,45100,937.25
2010-03-25,955.0,955.0,925.0,927.75,22950,944.75
2010-03-28,944.0,954.0,907.0,921.25,26800,927.75
2010-03-29,915.25,922.25,901.0,914.75,14900,921.25
2010-03-30,907.0,917.0,880.0,893.5,14400,914.75
2010-03-31,906.0,906.0,884.0,890.0,9800,893.5
2010-04-01,902.0,922.0,889.25,905.75,17450,890.0
2010-04-04,910.0,915.0,885.0,889.0,8950,905.75
2010-04-05,885.5,886.0,869.0,871.25,8250,889.0
2010-04-06,879.0,885.0,865.0,876.75,6200,871.25
2010-04-07,920.0,920.0,850.0,876.5,32000,876.75
2010-04-08,884.0,885.0,825.0,845.25,66050,876.5
2010-04-11,880.0,885.0,835.25,841.75,13900,845.25
2010-04-12,844.75,844.75,810.25,825.0,11950,841.75
2010-04-13,820.0,835.0,815.0,827.5,37850,825.0
2010-04-15,819.0,822.0,812.0,817.5,16250,827.5
2010-04-18,820.0,820.0,765.0,781.0,17450,817.5
2010-04-19,785.5,834.0,785.5,828.0,19050,781.0
