date,open,high,low,close,volume,prev_closing_price
2008-03-06,240.0,245.0,230.0,236.5,46300,230.25
2008-03-09,231.25,237.0,225.0,229.25,48700,236.5
2008-03-09,231.25,237.0,225.0,229.25,48700,236.5
2008-03-10,225.5,249.0,221.5,244.25,31200,229.25
2008-03-11,249.0,249.0,231.0,234.75,37150,244.25
2008-03-12,235.0,239.0,226.0,226.75,15550,234.75
2008-03-13,225.25,234.0,216.5,220.25,23200,226.75
2008-03-16,215.0,226.25,215.0,224.0,22350,220.25
2008-03-17,215.0,231.0,212.0,215.0,28800,224.0
2008-03-18,215.0,221.75,207.0,209.25,15850,215.0
2008-03-19,208.0,211.0,193.25,206.5,32750,209.25
2008-03-20,210.0,217.0,210.0,211.75,20000,206.5
2008-03-23,215.0,215.0,198.0,200.5,16250,211.75
2008-03-24,205.0,205.0,190.0,192.75,13950,200.5
2008-03-25,194.5,211.5,194.5,0.0,18300,192.75
2008-03-30,223.5,233.0,216.0,221.5,21150,205.0
2008-03-31,228.0,228.0,206.5,208.5,12000,221.5
2008-04-01,209.0,213.75,201.0,203.75,13550,208.5
2008-04-02,205.25,207.0,201.0,203.75,7050,203.75
2008-04-03,211.0,217.0,202.75,212.5,18600,203.75
2008-04-06,217.0,220.0,203.5,204.5,14900,212.5
2008-04-07,206.0,216.0,206.0,210.25,17300,204.5
2008-04-08,217.75,219.0,209.25,216.5,21450,210.25
2008-04-09,219.0,229.0,210.0,212.5,22100,216.5
2008-04-10,212.0,219.75,210.0,212.25,13700,212.5
2008-04-13,221.0,227.5,217.0,221.5,41400,212.25
2008-04-15,228.5,229.75,213.25,217.0,36050,221.5
2008-04-16,211.5,216.0,209.0,211.5,12750,217.0
2008-04-17,207.0,211.0,205.25,205.75,12700,211.5
2008-04-20,205.0,210.0,194.0,208.0,7450,205.75
2008-04-21,202.25,205.0,196.0,197.0,11950,208.0
2008-04-22,195.0,205.0,191.0,195.5,10700,197.0
2008-04-23,195.0,214.0,195.0,200.75,16850,195.5
2008-04-24,200.0,206.0,199.0,201.5,14400,200.75
2008-04-27,198.0,201.0,195.0,196.25,13350,201.5
2008-04-28,194.0,197.0,191.0,193.0,4450,196.25
2008-04-29,185.0,194.0,185.0,189.75,2400,193.0
2008-04-30,179.5,183.5,179.5,181.5,5200,189.75
