date,open,high,low,close,volume,prev_closing_price
2008-03-06,342.0,348.9,336.5,338.7,36800,341.7
2008-03-09,340.0,347.9,338.1,340.5,29650,338.7
2008-03-09,340.0,347.9,338.1,340.5,29650,338.7
2008-03-10,342.1,355.5,341.0,352.7,42150,340.5
2008-03-11,350.0,365.0,346.0,362.1,74000,352.7
2008-03-12,360.0,373.0,355.0,359.2,47350,362.1
2008-03-13,360.0,372.0,357.0,365.2,56550,359.2
2008-03-16,370.0,413.0,370.0,403.6,176050,365.2
2008-03-17,410.0,419.0,392.0,399.0,99400,403.6
2008-03-18,400.0,422.0,392.4,418.3,139450,399.0
2008-03-19,424.8,456.0,420.0,448.7,159650,418.3
2008-03-20,455.0,469.0,442.6,456.3,123850,448.7
2008-03-23,452.0,455.0,417.2,424.8,120350,456.3
2008-03-24,422.0,444.0,422.0,436.5,74900,424.8
2008-03-25,448.0,451.9,430.0,433.3,83200,436.5
2008-03-30,436.0,439.9,424.0,426.5,68050,433.3
2008-03-31,434.0,434.0,419.0,419.9,43800,426.5
2008-04-01,420.0,426.5,417.1,418.4,47750,419.9
2008-04-02,422.0,434.9,416.0,420.8,76850,418.4
2008-04-03,421.0,430.9,420.0,420.6,25750,420.8
2008-04-06,424.0,428.8,417.5,418.5,42850,420.6
2008-04-07,417.5,417.5,402.0,404.8,68800,418.5
2008-04-08,401.5,412.0,400.2,404.6,42050,404.8
2008-04-09,408.0,408.0,400.1,404.4,41400,404.6
2008-04-10,408.0,419.0,405.2,408.5,33650,404.4
2008-04-13,410.0,415.0,402.0,411.3,43800,408.5
2008-04-15,420.0,441.0,413.0,429.9,78800,411.3
2008-04-16,435.0,435.0,420.5,422.5,37350,429.9
2008-04-17,424.0,434.9,418.0,423.4,50900,422.5
2008-04-20,425.0,429.5,417.2,421.6,36250,423.4
2008-04-21,425.0,432.0,414.0,416.0,57850,421.6
2008-04-22,416.0,434.0,415.0,429.7,96500,416.0
2008-04-23,438.0,449.9,430.0,434.9,108700,429.7
2008-04-24,432.0,433.0,423.5,426.5,34100,434.9
