date,open,high,low,close,volume,prev_closing_price
2008-03-06,201.0,208.0,201.0,203.75,2400,205.25
2008-03-09,207.0,207.0,196.25,196.75,2880,203.75
2008-03-09,207.0,207.0,196.25,196.75,2880,203.75
2008-03-10,200.0,203.0,196.5,197.75,1850,196.75
2008-03-11,200.0,200.0,195.0,196.0,1800,197.75
2008-03-12,193.25,214.0,193.25,209.75,3510,196.0
2008-03-13,212.0,213.0,205.25,208.5,1790,209.75
2008-03-16,208.25,243.0,208.25,227.25,12480,208.5
2008-03-17,230.0,233.5,218.0,219.5,5310,227.25
2008-03-18,229.0,229.0,221.5,223.5,5120,219.5
2008-03-19,227.0,262.5,227.0,258.25,15765,223.5
2008-03-20,255.0,303.25,255.0,303.0,19250,258.25
2008-03-23,305.0,345.0,290.0,294.75,10350,303.0
2008-03-24,285.0,305.0,275.0,294.25,4795,294.75
2008-03-25,300.0,310.0,290.25,294.75,4055,294.25
2008-03-30,290.0,296.5,285.0,288.5,4095,294.75
2008-03-31,279.0,280.0,260.0,262.75,7170,288.5
2008-04-01,269.0,306.75,269.0,297.75,5800,262.75
2008-04-02,300.0,316.0,296.5,299.5,6970,297.75
2008-04-03,307.0,308.5,290.0,294.5,3675,299.5
2008-04-06,285.0,300.0,282.0,284.75,2340,294.5
2008-04-07,296.0,296.0,269.5,271.5,5460,284.75
2008-04-08,280.0,290.0,271.5,280.75,5730,271.5
2008-04-09,280.0,293.0,277.0,279.75,7415,280.75
2008-04-10,289.5,289.5,280.0,281.0,2130,279.75
2008-04-13,280.25,284.0,270.0,272.0,2595,281.0
2008-04-15,271.25,289.5,271.25,278.25,2890,272.0
2008-04-16,295.0,317.0,290.0,295.0,8150,278.25
2008-04-17,296.25,301.0,285.0,290.25,3375,295.0
2008-04-20,285.0,288.75,279.5,280.75,3195,290.25
2008-04-21,278.25,287.5,271.0,274.0,1460,280.75
2008-04-22,286.0,308.0,286.0,300.25,8450,274.0
2008-04-23,295.0,334.0,294.0,326.25,15680,300.25
2008-04-24,301.0,315.0,260.5,290.5,11435,326.25
2008-04-27,291.0,304.75,278.25,280.0,3160,290.5
2008-04-28,280.0,283.0,263.5,268.75,3355,280.0
2008-04-29,265.0,284.0,255.0,257.0,6230,268.75
2008-04-30,253.0,262.0,250.0,253.25,6080,257.0
2008-05-04,258.0,258.0,247.0,249.0,1975,253.25
2008-05-05,246.0,255.0,210.5,216.5,13130,249.0
2008-05-06,215.0,233.0,211.5,225.75,6790,216.5
2008-05-07,230.0,236.0,218.0,219.5,2230,225.75
2008-05-08,232.25,232.25,216.5,217.25,3720,219.5
2008-05-11,218.25,221.0,217.0,218.5,1390,217.25
2008-05-12,215.5,230.0,215.5,228.0,4055,218.5
2008-05-13,228.0,243.75,226.0,239.25,6940,228.0
2008-05-14,240.0,255.0,240.0,240.75,4130,239.25
2008-05-15,233.0,240.0,230.0,232.75,2335,240.75
2008-05-18,226.5,233.75,223.25,225.5,1050,232.75
2008-05-20,230.0,232.0,222.25,227.5,3465,225.5
2008-05-21,225.0,238.0,222.25,226.0,3925,227.5
2008-05-22,228.0,237.0,227.5,229.0,3490,226.0
2008-05-25,226.0,234.0,220.5,223.25,3310,229.0
2008-05-26,222.0,234.0,222.0,228.25,3035,223.25
2008-05-27,222.25,235.0,222.25,229.0,1725,228.25
2008-05-28,224.0,228.0,224.0,225.25,1585,229.0
2008-05-29,224.0,224.0,221.0,222.0,1805,225.25
2008-06-01,225.0,232.0,220.0,228.5,1870,222.0
2008-06-02,245.0,245.0,224.0,227.0,1135,228.5
2008-06-03,226.0,231.75,222.0,224.75,1985,227.0
2008-06-04,219.0,225.0,219.0,222.25,1215,224.75
2008-06-05,226.0,230.0,221.5,225.0,2040,222.25
2008-06-08,232.0,232.0,225.0,226.5,330,225.0
2008-06-09,222.5,228.0,216.5,217.75,1635,226.5
2008-06-10,220.0,228.75,215.0,215.25,2675,217.75
2008-06-11,215.5,221.25,203.75,207.25,5240,215.25
2008-06-12,216.0,220.0,210.0,215.5,810,207.25
2008-06-15,210.5,214.0,210.0,210.25,800,215.5
2008-06-16,210.0,210.0,205.0,208.5,875,210.25
2008-06-17,204.0,210.0,204.0,208.75,970,208.5
2008-06-18,210.0,214.75,209.75,212.25,770,208.75
2008-06-19,215.25,216.0,208.25,211.75,1960,212.25
2008-06-22,202.0,209.0,202.0,206.75,815,211.75
2008-06-23,203.0,206.0,203.0,205.0,375,206.75
2008-06-24,206.0,212.0,206.0,208.75,540,205.0
2008-06-25,212.0,212.75,208.25,210.5,440,208.75
2008-06-26,206.5,211.0,206.5,208.25,590,210.5
2008-06-29,206.5,208.5,200.0,202.0,1840,208.25
2008-06-30,199.5,210.0,199.5,200.75,2335,202.0
2008-07-02,198.25,200.0,193.25,196.5,1495,200.75
2008-07-03,185.0,199.0,185.0,190.25,615,196.5
2008-07-06,198.0,198.0,192.0,194.5,1270,190.25
2008-07-07,187.25,198.0,187.25,190.0,670,194.5
2008-07-08,188.5,188.5,188.5,188.5,5,190.0
2008-07-08,188.5,188.5,188.5,188.5,5,190.0
2008-07-09,190.25,190.25,190.0,190.0,110,188.5
2008-07-10,190.0,199.0,187.25,194.25,1050,190.0
2008-07-13,181.0,199.75,180.0,193.0,1410,194.25
2008-07-14,196.0,197.75,194.5,196.75,2180,193.0
2008-07-15,188.0,195.0,188.0,190.5,815,196.75
2008-07-16,196.0,196.0,187.0,193.5,230,190.5
2008-07-17,188.0,195.0,187.0,188.25,1340,193.5
2008-07-20,195.0,195.0,180.0,182.5,775,188.25
2008-07-21,194.0,194.0,180.75,182.5,455,182.5
2008-07-22,185.0,185.0,170.5,171.0,1425,182.5
2008-07-23,179.0,180.0,170.0,174.0,905,171.0
2008-07-24,176.5,182.5,176.5,180.0,1470,174.0
2008-07-27,180.0,191.5,180.0,189.75,1210,180.0
2008-07-28,190.0,199.0,190.0,191.5,1700,189.75
2008-07-29,193.75,203.5,187.0,198.75,5280,191.5
2008-07-30,190.0,193.0,188.0,189.75,1000,198.75
2008-07-31,191.0,194.0,188.0,188.75,1320,189.75
2008-08-03,193.0,193.0,178.0,184.75,745,188.75
2008-08-04,179.0,180.25,177.0,178.25,805,184.75
2008-08-05,177.0,179.0,177.0,177.5,325,178.25
2008-08-06,180.0,182.75,179.0,181.0,665,177.5
2008-08-07,175.5,181.0,175.5,179.0,1105,181.0
2008-08-10,176.0,176.0,170.0,173.5,150,179.0
2008-08-11,170.25,172.5,170.0,171.5,660,173.5
2008-08-12,171.5,175.0,171.0,172.5,370,171.5
2008-08-13,173.0,176.0,170.0,172.75,690,172.5
2008-08-14,169.0,169.5,169.0,169.0,40,172.75
2008-08-18,165.25,167.0,162.25,163.75,1080,169.0
2008-08-19,162.5,162.5,141.25,151.25,825,163.75
2008-08-20,154.0,157.5,154.0,156.0,455,151.25
2008-08-21,155.0,158.0,154.25,156.0,1560,156.0
2008-08-25,154.5,158.0,150.5,155.5,1085,156.0
