date,open,high,low,close,volume,prev_closing_price
2008-03-06,375.0,394.0,361.5,368.75,500,373.25
2008-03-09,360.0,380.0,360.0,366.0,245,368.75
2008-03-09,360.0,380.0,360.0,366.0,245,368.75
2008-03-10,357.0,385.25,355.0,377.0,975,366.0
2008-03-11,355.0,369.0,350.0,355.0,460,377.0
2008-03-12,322.0,365.0,322.0,357.0,180,355.0
2008-03-13,353.5,366.0,353.5,355.25,65,357.0
2008-03-16,350.0,417.0,350.0,411.0,1165,355.25
2008-03-17,400.0,429.0,392.0,402.0,805,411.0
2008-03-18,405.0,410.0,391.0,403.0,150,402.0
2008-03-19,410.0,469.75,400.0,442.5,925,403.0
2008-03-20,448.0,500.0,446.0,487.0,565,442.5
2008-03-23,535.0,561.25,511.25,545.25,960,487.0
2008-03-24,568.0,625.0,568.0,620.5,1640,545.25
2008-03-25,650.0,700.0,600.0,653.25,1530,620.5
2008-03-30,715.0,715.0,640.0,672.5,215,653.25
2008-03-31,665.0,665.0,575.0,587.0,205,672.5
2008-04-01,590.0,630.0,500.5,555.5,480,587.0
2008-04-02,530.0,550.0,500.0,508.5,260,555.5
2008-04-03,503.0,510.0,503.0,508.5,25,508.5
2008-04-06,510.0,575.0,510.0,553.0,385,508.5
2008-04-07,530.0,530.0,520.25,522.5,375,553.0
2008-04-08,492.75,520.0,492.75,503.25,415,522.5
2008-04-09,501.0,570.0,501.0,527.25,650,503.25
2008-04-10,575.0,606.0,540.5,600.0,935,527.25
2008-04-13,575.0,605.0,554.25,565.25,620,600.0
2008-04-15,570.0,650.0,570.0,645.0,1120,565.25
2008-04-16,620.0,648.0,602.25,616.5,1440,645.0
2008-04-17,626.0,626.0,616.0,621.0,345,616.5
2008-04-20,615.0,615.0,615.0,615.0,60,621.0
2008-04-21,575.0,660.0,575.0,620.0,550,615.0
2008-04-22,636.0,701.0,620.25,693.25,1945,620.0
2008-04-23,660.0,721.0,660.0,691.75,1250,693.25
2008-04-24,675.0,687.0,662.0,674.5,140,691.75
2008-04-27,670.0,670.0,591.0,630.5,430,674.5
2008-04-28,603.0,611.0,603.0,608.25,145,630.5
2008-04-29,650.0,650.0,610.0,629.5,80,608.25
2008-04-30,620.0,620.0,570.0,589.0,355,629.5
2008-05-04,590.0,620.0,573.0,592.0,200,589.0
2008-05-05,600.0,600.0,512.0,539.25,125,592.0
2008-05-06,577.0,600.0,575.0,585.25,250,539.25
2008-05-07,610.0,615.0,600.0,612.5,135,585.25
2008-05-08,570.0,570.0,570.0,570.0,10,612.5
2008-05-11,595.0,595.0,570.25,573.75,370,570.0
2008-05-12,590.0,590.0,577.0,579.5,60,573.75
2008-05-13,575.0,575.0,555.25,563.75,150,579.5
2008-05-14,550.0,556.0,539.0,542.5,165,563.75
2008-05-15,550.0,579.0,550.0,558.25,180,542.5
2008-05-18,551.0,551.25,546.0,549.25,95,558.25
2008-05-20,550.0,585.0,550.0,552.75,290,549.25
2008-05-21,565.0,575.0,552.25,561.75,415,552.75
2008-05-22,586.0,586.0,560.0,575.5,175,561.75
2008-05-25,594.75,594.75,551.0,564.75,115,575.5
2008-05-26,558.25,565.0,541.0,550.25,345,564.75
2008-05-27,535.0,555.0,533.5,542.5,35,550.25
2008-05-28,551.0,556.0,550.0,552.0,205,542.5
2008-05-29,535.0,554.0,530.0,545.25,195,552.0
2008-06-01,554.0,559.0,536.0,551.5,400,545.25
2008-06-02,530.0,552.0,530.0,538.25,245,551.5
2008-06-03,538.0,538.25,538.0,538.0,100,538.25
2008-06-04,560.0,560.0,540.0,547.25,185,538.0
2008-06-05,546.0,557.0,546.0,552.25,310,547.25
2008-06-08,576.0,576.0,545.0,551.5,200,552.25
2008-06-09,535.0,559.0,535.0,551.0,50,551.5
2008-06-10,544.5,544.5,523.0,528.0,80,551.0
2008-06-11,531.0,531.0,520.0,529.25,260,528.0
2008-06-12,530.0,539.0,530.0,532.0,35,529.25
2008-06-15,532.25,532.25,502.0,0.0,25,532.0
2008-06-16,492.0,492.0,490.0,0.0,105,525.5
2008-06-17,520.0,549.0,520.0,527.0,130,490.75
2008-06-18,505.0,505.0,505.0,0.0,35,527.0
2008-06-19,540.0,544.0,506.5,521.0,55,505.0
2008-06-22,486.0,486.0,480.0,0.0,175,521.0
2008-06-23,483.25,486.5,483.0,0.0,110,482.25
2008-06-24,524.0,526.0,510.0,519.75,150,484.5
2008-06-25,505.0,505.0,505.0,505.0,25,519.75
2008-06-26,515.0,515.0,510.0,511.25,25,505.0
2008-06-29,510.0,510.0,506.0,506.25,65,511.25
2008-06-30,500.0,508.0,480.0,486.0,260,506.25
2008-07-02,490.0,490.0,485.25,486.75,70,486.0
2008-07-03,482.0,495.0,481.0,488.25,110,486.75
2008-07-06,495.0,500.0,487.0,492.25,125,488.25
2008-07-07,485.0,485.0,485.0,485.0,10,492.25
2008-07-08,495.0,500.0,495.0,498.25,30,485.0
2008-07-08,495.0,500.0,495.0,498.25,30,485.0
2008-07-09,512.0,515.0,512.0,513.75,100,498.25
2008-07-10,513.0,513.0,495.0,505.25,20,513.75
2008-07-13,485.0,489.75,480.0,483.25,130,505.25
2008-07-14,490.0,500.0,490.0,496.25,20,483.25
2008-07-15,495.0,495.0,485.0,488.75,45,496.25
2008-07-16,482.0,483.25,480.0,481.25,55,488.75
2008-07-17,486.0,490.0,486.0,488.0,55,481.25
2008-07-20,482.0,482.0,482.0,482.0,10,488.0
2008-07-21,485.0,485.0,485.0,485.0,10,482.0
2008-07-22,484.0,485.0,482.0,483.25,115,485.0
2008-07-23,483.25,0.0,0.0,483.25,0,483.25
2008-07-24,480.0,480.0,466.0,478.25,215,483.25
2008-07-27,478.25,0.0,0.0,478.25,0,478.25
2008-07-28,483.0,483.0,483.0,483.0,5,478.25
2008-07-29,453.0,465.0,453.0,456.25,40,483.0
2008-07-30,460.0,460.0,460.0,460.0,50,456.25
2008-07-31,455.0,455.0,455.0,455.0,20,460.0
2008-08-03,455.0,0.0,0.0,455.0,0,455.0
2008-08-04,466.0,468.0,466.0,466.75,55,455.0
2008-08-05,460.0,460.0,443.0,450.5,145,466.75
2008-08-06,452.0,461.0,452.0,457.0,25,450.5
2008-08-07,457.0,0.0,0.0,457.0,0,457.0
2008-08-10,457.0,0.0,0.0,457.0,0,457.0
2008-08-11,457.0,0.0,0.0,457.0,0,457.0
2008-08-12,457.0,0.0,0.0,457.0,0,457.0
2008-08-13,430.0,433.0,425.0,431.0,40,457.0
2008-08-14,410.0,420.0,405.0,417.5,55,431.0
2008-08-18,417.5,0.0,0.0,417.5,0,417.5
2008-08-19,402.0,402.0,391.0,393.0,90,417.5
2008-08-20,393.0,0.0,0.0,393.0,0,393.0
2008-08-21,400.0,419.0,400.0,404.75,20,393.0
2008-08-25,400.0,405.0,400.0,401.5,15,404.75
2008-08-26,401.25,410.0,400.0,405.0,1075,401.5
2008-08-27,401.5,440.0,401.0,425.5,1330,405.0
2008-08-28,440.0,470.0,440.0,455.75,280,425.5
2008-08-31,451.0,465.0,440.0,449.25,525,455.75
2008-09-01,435.0,440.0,431.25,434.0,255,449.25
2008-09-02,470.0,470.0,436.5,459.5,180,434.0
2008-09-03,422.0,438.75,422.0,427.25,90,459.5
2008-09-04,430.0,436.0,422.0,425.25,195,427.25
2008-09-07,435.0,439.5,432.0,434.0,190,425.25
2008-09-08,440.0,440.0,438.0,438.5,30,434.0
2008-09-09,450.0,460.0,440.0,448.75,340,438.5
2008-09-10,450.0,460.0,438.25,449.75,525,448.75
2008-09-11,448.0,448.0,422.0,430.5,135,449.75
2008-09-14,425.0,430.0,420.0,424.5,160,430.5
2008-09-15,423.0,424.0,421.0,422.25,120,424.5
2008-09-16,421.0,421.0,421.0,421.0,20,422.25
2008-09-17,426.0,430.0,420.0,423.0,85,421.0
2008-09-18,421.0,422.25,421.0,421.75,160,423.0
2008-09-21,420.25,420.25,413.0,414.0,120,421.75
2008-09-22,411.0,416.0,407.0,409.5,105,414.0
2008-09-23,420.0,433.0,405.0,428.25,135,409.5
2008-09-24,412.0,424.5,412.0,414.0,60,428.25
