date,open,high,low,close,volume,prev_closing_price
2008-03-06,514.75,524.0,510.0,518.25,3800,513.0
2008-03-09,512.25,524.0,510.0,523.5,5250,518.25
2008-03-09,512.25,524.0,510.0,523.5,5250,518.25
2008-03-10,523.0,523.25,517.0,517.75,2400,523.5
2008-03-11,515.0,519.75,511.5,513.5,6850,517.75
2008-03-12,511.25,512.0,501.0,503.5,6400,513.5
2008-03-13,500.0,514.0,500.0,503.0,7000,503.5
2008-03-16,501.25,510.0,500.0,0.0,12050,503.0
2008-03-17,486.0,490.0,480.0,480.5,7250,500.25
2008-03-18,480.0,496.0,480.0,489.0,22400,480.5
2008-03-19,489.75,490.0,485.5,0.0,8300,489.0
2008-03-20,490.0,509.0,472.0,489.5,6150,489.5
2008-03-23,480.0,499.75,480.0,483.25,13900,489.5
2008-03-24,481.0,507.75,480.0,499.75,17250,483.25
2008-03-25,500.0,506.0,500.0,503.25,16500,499.75
2008-03-30,510.0,520.0,501.0,511.75,12950,503.25
2008-03-31,515.0,515.0,500.75,506.0,8550,511.75
2008-04-01,509.0,515.0,501.25,503.75,5150,506.0
2008-04-02,506.0,513.0,504.25,509.25,11750,503.75
2008-04-03,514.75,526.0,510.0,520.75,13300,509.25
2008-04-06,525.0,528.0,517.0,519.5,13550,520.75
2008-04-07,519.0,522.25,510.0,513.75,6150,519.5
2008-04-08,510.0,519.0,510.0,515.0,3900,513.75
2008-04-09,510.0,520.0,506.5,516.75,11650,515.0
2008-04-10,517.0,517.0,507.0,507.75,12500,516.75
2008-04-13,510.0,515.0,502.25,504.25,7050,507.75
2008-04-15,503.0,513.0,503.0,511.0,7050,504.25
2008-04-16,512.0,515.75,509.0,511.25,15000,511.0
2008-04-17,519.5,519.5,510.25,514.5,6600,511.25
2008-04-20,508.0,519.0,508.0,515.0,5300,514.5
2008-04-21,508.5,517.0,508.5,512.5,9350,515.0
2008-04-22,511.25,516.0,510.0,511.0,4800,512.5
2008-04-23,506.0,510.0,500.0,506.25,6100,511.0
2008-04-24,502.0,513.5,502.0,510.5,6350,506.25
2008-04-27,501.0,514.5,501.0,511.25,9550,510.5
2008-04-28,505.0,510.0,503.5,506.5,4600,511.25
2008-04-29,520.0,525.0,506.0,508.0,7750,506.5
2008-04-30,508.0,0.0,0.0,508.0,0,508.0
2008-05-04,405.0,414.0,402.0,408.25,11300,508.0
2008-05-05,401.5,410.0,400.5,407.25,4200,408.25
2008-05-06,403.0,415.0,403.0,411.0,6050,407.25
2008-05-07,410.0,410.0,404.25,407.5,3850,411.0
2008-05-08,407.5,410.0,400.0,400.5,4800,407.5
2008-05-11,401.75,403.75,399.0,399.5,5150,400.5
2008-05-12,390.0,395.0,390.0,392.25,1950,399.5
2008-05-13,393.0,405.0,393.0,399.75,3500,392.25
2008-05-14,399.75,403.0,394.5,399.5,4650,399.75
2008-05-15,391.5,397.0,391.5,395.25,1750,399.5
2008-05-18,395.0,410.0,395.0,405.25,3350,395.25
2008-05-20,398.25,415.0,398.0,409.75,7300,405.25
2008-05-21,395.0,411.0,395.0,409.0,3250,409.75
2008-05-22,409.75,414.75,401.25,411.25,5600,409.0
2008-05-25,407.0,412.0,400.25,405.75,4350,411.25
2008-05-26,410.0,410.0,403.0,405.75,3350,405.75
2008-05-27,402.0,410.5,400.0,401.5,10950,405.75
2008-05-28,400.0,409.0,400.0,402.0,3650,401.5
2008-05-29,412.0,440.0,405.0,436.25,14050,402.0
2008-06-01,449.0,449.0,421.0,427.5,5900,436.25
2008-06-02,445.0,445.0,406.0,410.5,7350,427.5
2008-06-03,422.0,431.0,411.0,428.5,5450,410.5
2008-06-04,438.5,449.0,430.0,440.75,10800,428.5
2008-06-05,440.0,444.75,435.0,439.25,5050,440.75
2008-06-08,423.0,433.0,423.0,429.25,3250,439.25
2008-06-09,420.0,428.0,406.0,409.25,7450,429.25
2008-06-10,417.0,424.0,412.0,419.5,3350,409.25
2008-06-11,418.0,421.5,412.5,416.25,5600,419.5
2008-06-12,429.0,429.0,413.5,423.25,7650,416.25
2008-06-15,424.0,431.0,423.0,425.0,7100,423.25
2008-06-16,416.25,426.0,416.25,422.25,4200,425.0
2008-06-17,422.0,423.75,419.0,421.75,4150,422.25
2008-06-18,422.0,422.0,418.0,0.0,3500,421.75
2008-06-19,415.0,416.0,412.75,413.0,4300,418.75
2008-06-22,415.25,420.0,411.25,0.0,4600,413.0
2008-06-23,419.0,419.0,413.25,0.0,3250,417.25
2008-06-24,415.0,419.0,413.0,418.0,2200,417.5
2008-06-25,413.5,419.0,413.25,416.5,2250,418.0
2008-06-26,415.0,420.0,415.0,419.25,6250,416.5
2008-06-29,418.0,421.0,417.0,420.25,9350,419.25
2008-06-30,420.0,420.0,416.0,416.25,8450,420.25
2008-07-02,420.0,430.0,418.0,426.0,15350,416.25
2008-07-03,420.0,424.75,420.0,423.25,1450,426.0
2008-07-06,412.5,417.75,412.5,413.25,2450,423.25
2008-07-07,410.0,418.0,410.0,413.0,3550,413.25
2008-07-08,411.0,417.5,410.0,411.0,3000,413.0
2008-07-08,411.0,417.5,410.0,411.0,3000,413.0
2008-07-09,406.0,410.0,406.0,408.25,350,411.0
2008-07-10,412.0,417.0,410.25,412.5,2250,408.25
2008-07-13,409.25,418.0,409.25,416.75,2250,412.5
2008-07-14,419.0,419.0,415.0,416.0,1200,416.75
2008-07-15,412.0,414.5,412.0,413.75,4950,416.0
2008-07-16,410.0,411.0,407.0,409.5,6250,413.75
2008-07-17,412.0,412.0,406.0,408.0,2500,409.5
2008-07-20,407.0,410.0,402.0,404.25,3300,408.0
