date,open,high,low,close,volume,prev_closing_price
2015-04-07,31.1,31.3,29.6,30.2,762020,31.4
2015-04-08,30.7,30.7,29.4,29.9,575721,30.2
2015-04-09,29.6,30.6,29.6,29.9,450900,29.9
2015-04-12,30.0,30.3,29.2,30.1,451263,29.9
2015-04-13,30.7,31.4,30.0,31.1,1389933,30.1
2015-04-15,31.4,32.1,31.3,31.9,1203023,31.1
2015-04-16,32.0,32.3,30.9,31.1,1386054,31.9
2015-04-19,31.6,33.7,31.4,32.6,3501873,31.1
2015-04-20,33.0,33.2,31.0,31.2,2147247,32.6
2015-04-21,31.9,32.1,31.0,31.9,1398536,31.2
2015-04-22,32.2,33.5,31.9,32.6,3582273,31.9
2015-04-23,32.6,33.4,32.3,32.6,2120346,32.6
2015-04-26,33.0,33.0,31.0,31.4,986270,32.6
2015-04-27,31.5,31.8,30.8,31.3,694082,31.4
2015-04-29,31.3,31.6,29.7,30.2,1023764,31.3
2015-04-30,30.3,30.5,29.5,29.8,728941,30.2
2015-05-04,32.0,32.0,30.2,30.5,1827496,29.8
2015-05-05,31.6,31.6,30.6,30.9,1156501,30.5
2015-05-06,31.2,31.6,30.8,31.4,1925551,30.9
2015-05-07,31.5,31.8,30.9,31.1,1238609,31.4
2015-05-10,31.6,32.6,31.3,32.2,2829167,31.1
2015-05-11,32.8,33.0,31.9,32.0,2318280,32.2
2015-05-12,32.0,32.3,31.2,31.4,2183403,32.0
2015-05-13,31.6,32.6,31.5,32.2,2881181,31.4
2015-05-14,32.7,34.5,32.6,33.7,4382984,32.2
2015-05-17,33.8,35.9,33.2,35.5,5387296,33.7
2015-05-18,35.8,36.0,34.5,35.1,4282113,35.5
2015-05-19,35.3,36.0,34.9,35.1,5748739,35.1
2015-05-20,35.5,36.5,34.6,35.3,4609109,35.1
2015-05-21,35.9,37.1,35.6,36.1,5188536,35.3
2015-05-24,36.2,37.4,36.1,37.1,2540547,36.1
2015-05-25,37.9,39.0,37.5,38.0,6041605,37.1
2015-05-26,38.3,38.3,36.2,36.6,4152704,38.0
2015-05-27,36.4,37.4,36.0,36.2,3766414,36.6
2015-05-28,36.4,36.9,34.9,35.1,3951652,36.2
2015-05-31,35.6,37.5,35.6,36.9,5612229,35.1
2015-06-01,37.5,38.9,36.5,36.8,6259288,36.9
2015-06-02,37.4,37.7,35.1,35.4,3941833,36.8
2015-06-04,36.9,37.5,35.3,36.8,2678578,35.4
2015-06-07,37.6,38.3,35.9,36.3,3277377,36.8
2015-06-08,37.2,37.2,34.0,34.3,3210592,36.3
2015-06-09,34.8,35.0,33.6,34.4,2482961,34.3
2015-06-10,34.5,34.9,33.2,33.4,2102610,34.4
2015-06-11,33.9,34.0,32.3,32.6,1667911,33.4
2015-06-14,32.9,33.0,32.1,32.5,865332,32.6
2015-06-15,32.7,33.4,32.5,33.1,885266,32.5
2015-06-16,33.2,33.2,32.4,32.5,965898,33.1
2015-06-17,32.9,33.1,32.5,32.7,800959,32.5
2015-06-18,32.9,32.9,32.4,32.5,1031425,32.7
2015-06-21,32.5,32.9,32.5,32.6,444451,32.5
2015-06-22,32.9,33.0,32.3,32.5,908542,32.6
2015-06-23,32.6,32.6,31.8,31.9,1076168,32.5
2015-06-24,31.7,32.1,31.5,31.6,767666,31.9
2015-06-25,32.0,32.0,31.6,31.9,762961,31.6
