date,open,high,low,close,volume,prev_closing_price
2008-03-06,232.5,236.7,228.7,229.3,28800,228.9
2008-03-09,234.5,234.5,227.2,229.2,22000,229.3
2008-03-09,234.5,234.5,227.2,229.2,22000,229.3
2008-03-10,229.0,230.9,228.5,229.9,27200,229.2
2008-03-11,233.0,233.0,226.7,228.3,28100,229.9
2008-03-12,227.5,228.9,227.3,227.5,17200,228.3
2008-03-13,227.0,231.0,227.0,230.0,19400,227.5
2008-03-16,234.0,237.0,231.0,236.1,35700,230.0
2008-03-17,239.8,246.0,233.0,235.1,20800,236.1
2008-03-18,238.0,240.0,237.0,238.2,21100,235.1
2008-03-19,240.0,240.5,236.6,237.3,16800,238.2
2008-03-20,241.0,242.0,237.1,238.4,45700,237.3
2008-03-23,241.5,257.0,240.0,248.4,45000,238.4
2008-03-24,254.0,259.0,250.0,253.3,44700,248.4
2008-03-25,253.4,269.0,253.4,264.1,57100,253.3
2008-03-30,264.0,271.0,262.0,264.1,40100,264.1
2008-03-31,262.0,262.0,255.0,256.8,29000,264.1
2008-04-01,255.0,258.0,251.1,254.0,16500,256.8
2008-04-02,254.0,254.0,242.5,246.1,14000,254.0
2008-04-03,246.6,255.0,246.5,254.1,26000,246.1
2008-04-06,249.0,257.7,249.0,256.4,21600,254.1
2008-04-07,253.6,258.0,253.6,256.1,23400,256.4
2008-04-08,252.0,259.0,252.0,258.1,14900,256.1
2008-04-09,259.0,261.0,256.8,257.7,47300,258.1
2008-04-10,260.0,260.0,253.0,253.8,38100,257.7
2008-04-13,253.0,259.0,247.1,249.1,58600,253.8
2008-04-15,251.0,255.0,247.2,252.4,35700,249.1
2008-04-16,256.0,260.0,255.0,258.4,31100,252.4
2008-04-17,261.9,264.0,256.2,260.1,26200,258.4
2008-04-20,256.0,267.3,255.2,262.3,34500,260.1
2008-04-21,269.0,269.0,260.1,264.4,46700,262.3
2008-04-22,265.0,278.0,265.0,274.0,74200,264.4
2008-04-23,275.5,298.0,274.0,279.7,93300,274.0
2008-04-24,281.2,305.0,281.2,297.0,106500,279.7
2008-04-27,308.0,308.0,280.0,286.0,49300,297.0
2008-04-28,287.0,290.0,277.1,278.7,28200,286.0
2008-04-29,276.0,286.0,275.0,276.4,39200,278.7
2008-04-30,278.0,280.0,265.2,269.6,20500,276.4
2008-05-04,270.0,275.0,266.3,271.0,32200,269.6
2008-05-05,269.0,274.0,265.3,269.1,33200,271.0
2008-05-06,266.0,275.0,266.0,274.4,24600,269.1
2008-05-07,269.2,279.0,269.2,274.1,36100,274.4
2008-05-08,274.1,0.0,0.0,274.1,0,274.1
2008-05-11,275.0,278.0,266.6,268.7,48200,274.1
2008-05-12,270.0,283.0,270.0,277.6,71900,268.7
2008-05-13,281.0,306.5,281.0,302.3,119400,277.6
2008-05-14,310.0,310.0,293.5,296.4,49000,302.3
2008-05-15,290.0,296.0,288.0,291.8,58500,296.4
2008-05-18,295.0,303.0,290.1,301.3,72000,291.8
2008-05-20,305.0,348.0,305.0,334.4,125400,301.3
2008-05-21,349.0,349.0,322.4,328.5,72400,334.4
2008-05-22,328.0,351.8,324.2,344.4,114500,328.5
2008-05-25,348.0,370.0,348.0,365.4,93900,344.4
2008-05-26,374.0,382.0,365.0,367.0,83700,365.4
2008-05-27,369.9,370.0,351.1,354.7,62700,367.0
2008-05-28,351.0,360.0,340.0,343.3,51700,354.7
2008-05-29,353.0,355.0,329.0,333.2,36100,343.3
2008-06-01,331.1,384.0,325.0,367.6,76500,333.2
2008-06-02,371.0,374.0,351.0,355.6,35300,367.6
2008-06-03,365.0,370.0,343.3,351.4,40800,355.6
2008-06-04,354.0,357.0,331.0,350.0,27300,351.4
2008-06-05,358.0,358.0,342.5,349.2,21100,350.0
2008-06-08,360.0,369.0,351.0,364.4,96300,349.2
2008-06-09,350.0,361.0,340.1,343.3,65100,364.4
2008-06-10,350.0,352.5,340.0,341.9,27000,343.3
2008-06-11,349.0,375.0,336.0,339.2,68300,341.9
2008-06-12,353.0,355.0,336.5,338.3,25400,339.2
2008-06-15,341.0,342.5,326.0,0.0,18700,338.3
2008-06-16,321.0,329.4,308.0,0.0,38200,327.8
2008-06-17,326.8,326.8,315.0,316.6,13100,317.6
2008-06-18,313.0,324.5,312.0,0.0,29300,316.6
2008-06-19,320.0,320.0,313.0,313.8,19400,316.6
