date,open,high,low,close,volume,prev_closing_price
2008-03-06,131.3,134.0,131.0,132.1,99450,131.3
2008-03-09,132.5,133.0,130.0,131.2,80400,132.1
2008-03-09,132.5,133.0,130.0,131.2,80400,132.1
2008-03-10,131.9,132.0,130.1,130.4,46900,131.2
2008-03-11,130.1,135.0,129.4,132.0,132200,130.4
2008-03-12,132.0,133.8,131.3,131.6,54800,132.0
2008-03-13,131.8,132.9,130.2,130.4,45450,131.6
2008-03-16,131.0,135.0,128.8,134.7,110800,130.4
2008-03-17,135.9,143.9,135.9,138.7,207000,134.7
2008-03-18,139.9,142.0,135.1,136.7,100450,138.7
2008-03-19,136.0,139.0,136.0,137.1,80600,136.7
2008-03-20,139.0,145.0,138.4,139.9,135650,137.1
2008-03-23,140.4,147.0,140.0,141.4,249400,139.9
2008-03-24,144.0,150.4,141.5,147.5,269950,141.4
2008-03-25,149.5,154.9,149.1,152.8,245450,147.5
2008-03-30,153.0,155.0,146.0,148.8,138550,152.8
2008-03-31,147.0,147.0,139.7,140.2,189450,148.8
2008-04-01,140.0,144.0,140.0,142.7,68700,140.2
2008-04-02,145.6,145.9,142.0,142.2,78700,142.7
2008-04-03,142.5,143.0,141.0,141.3,74950,142.2
2008-04-06,144.0,144.0,140.8,141.7,68100,141.3
2008-04-07,139.0,142.3,139.0,140.8,69100,141.7
2008-04-08,141.0,143.8,140.2,141.0,72400,140.8
2008-04-09,143.0,146.0,142.9,143.6,108000,141.0
2008-04-10,145.0,146.0,143.0,144.2,70250,143.6
2008-04-13,146.0,149.0,144.1,147.7,133950,144.2
2008-04-15,149.5,149.5,146.1,146.7,125300,147.7
2008-04-16,148.0,149.0,146.0,147.0,92750,146.7
2008-04-17,148.0,159.0,146.1,148.4,443600,147.0
2008-04-20,149.0,149.0,141.0,141.5,179300,148.4
2008-04-21,144.5,147.5,141.7,146.0,179350,141.5
2008-04-22,147.4,151.0,146.2,147.8,201850,146.0
2008-04-23,149.9,154.1,148.0,151.6,231450,147.8
2008-04-24,151.0,175.9,151.0,170.2,624150,151.6
2008-04-27,174.0,175.0,164.1,164.9,240550,170.2
2008-04-28,170.0,180.0,168.5,169.5,320700,164.9
2008-04-29,170.0,173.2,163.0,164.0,263100,169.5
2008-04-30,166.0,167.9,160.1,161.9,189850,164.0
2008-05-04,162.0,162.0,156.5,157.1,207800,161.9
2008-05-05,152.0,159.0,152.0,157.4,145850,157.1
