date,open,high,low,close,volume,prev_closing_price
2009-04-12,1250.0,1250.0,760.0,784.75,93400,100.0
2009-04-13,760.0,789.0,700.0,731.0,45800,784.75
2009-04-15,735.0,800.0,721.0,785.0,23650,731.0
2009-04-16,810.0,830.0,790.0,800.75,35000,785.0
2009-04-19,805.0,810.0,763.25,766.25,27750,800.75
2009-04-20,760.0,780.0,754.0,767.5,25900,766.25
2009-04-21,786.75,799.75,762.0,783.75,34450,767.5
2009-04-22,794.75,794.75,765.0,769.25,19900,783.75
2009-04-23,765.25,774.75,740.0,749.25,17000,769.25
2009-04-26,755.0,755.0,726.0,728.0,15500,749.25
2009-04-27,716.0,768.0,716.0,753.75,23900,728.0
2009-04-28,731.0,758.0,730.25,733.25,14000,753.75
2009-04-29,748.5,748.5,731.0,733.25,9400,733.25
2009-04-30,731.25,736.5,720.0,722.75,10600,733.25
2009-05-03,739.5,739.5,705.0,719.0,10700,722.75
2009-05-04,715.0,718.0,691.5,694.5,18100,719.0
2009-05-05,695.0,697.0,665.0,667.0,17750,694.5
2009-05-06,667.5,687.0,667.5,681.5,5200,667.0
2009-05-07,675.5,715.0,670.0,705.5,9600,681.5
2009-05-10,715.0,730.0,705.0,709.0,9850,705.5
2009-05-11,710.0,734.0,705.0,722.5,14900,709.0
2009-05-12,732.75,765.0,726.25,758.0,24150,722.5
2009-05-13,760.0,775.0,751.5,755.0,19750,758.0
2009-05-14,750.0,750.0,726.0,728.75,14550,755.0
2009-05-17,728.0,740.0,720.0,728.75,13400,728.75
2009-05-18,738.0,775.0,732.25,765.0,30100,728.75
2009-05-19,768.0,809.0,768.0,798.25,49600,765.0
2009-05-20,805.0,858.0,784.0,829.0,64950,798.25
2009-05-21,845.0,845.0,805.0,833.5,35100,829.0
2009-05-24,849.75,863.0,832.25,845.25,30750,833.5
2009-05-25,858.0,860.0,820.0,827.25,46700,845.25
2009-05-26,815.0,845.0,815.0,824.5,24750,827.25
2009-05-27,823.25,848.5,812.25,817.75,33900,824.5
2009-05-28,842.0,898.75,842.0,858.0,87050,817.75
2009-05-31,877.0,894.75,850.0,856.25,34950,858.0
2009-06-01,841.0,924.0,841.0,910.0,53800,856.25
2009-06-02,935.0,960.0,922.0,926.75,53100,910.0
2009-06-03,948.75,948.75,910.0,926.25,36500,926.75
2009-06-04,929.0,964.75,919.0,926.0,46300,926.25
2009-06-07,946.75,957.0,913.0,919.75,29900,926.0
2009-06-08,920.0,930.0,895.25,901.5,30850,919.75
2009-06-09,914.0,915.0,871.0,881.25,23000,901.5
2009-06-10,890.0,890.0,857.0,862.5,15050,881.25
2009-06-11,860.0,866.0,832.0,839.5,17950,862.5
2009-06-14,850.0,860.0,842.0,854.5,12450,839.5
2009-06-15,860.0,888.5,851.0,869.25,14750,854.5
2009-06-16,870.0,885.75,853.0,856.75,12500,869.25
2009-06-17,869.0,885.0,862.0,867.75,19000,856.75
2009-06-18,883.0,891.0,866.25,878.0,16550,867.75
2009-06-21,868.0,920.0,860.0,906.25,36300,878.0
2009-06-22,922.0,945.0,905.0,912.0,45100,906.25
2009-06-23,928.0,928.0,880.0,884.5,21000,912.0
2009-06-24,875.0,886.75,862.25,865.75,17500,884.5
2009-06-25,870.0,870.0,841.25,851.0,23400,865.75
2009-06-28,862.0,885.0,851.0,860.5,15300,851.0
2009-06-29,861.25,889.0,860.0,864.0,14850,860.5
2009-06-30,879.0,899.0,863.5,886.25,32950,864.0
2009-07-02,889.0,920.0,870.25,879.75,20250,886.25
2009-07-05,880.0,880.0,847.0,850.5,16500,879.75
2009-07-06,877.0,877.0,850.0,856.25,13800,850.5
2009-07-07,856.25,878.0,853.0,861.75,19250,856.25
2009-07-08,870.0,870.0,855.0,862.25,12650,861.75
2009-07-09,863.0,869.0,855.25,857.75,15300,862.25
2009-07-12,851.75,868.5,851.5,859.25,15600,857.75
2009-07-13,864.75,910.0,864.75,898.75,48800,859.25
2009-07-14,900.0,905.0,871.0,877.25,21600,898.75
2009-07-15,877.0,877.0,866.25,873.75,15200,877.25
2009-07-16,869.0,884.0,868.75,875.0,21000,873.75
2009-07-19,866.25,890.0,866.25,868.0,15450,875.0
2009-07-20,870.0,870.0,852.0,854.75,15450,868.0
2009-07-21,855.0,858.0,845.0,848.75,15800,854.75
2009-07-22,850.25,867.75,850.25,864.25,16250,848.75
2009-07-23,860.0,870.25,850.0,854.25,15150,864.25
2009-07-26,854.0,860.0,835.0,841.25,10400,854.25
2009-07-27,845.0,845.0,832.0,839.25,8400,841.25
2009-07-28,841.0,850.0,837.25,839.25,7200,839.25
2009-07-29,859.0,868.5,842.5,850.5,13950,839.25
2009-07-30,865.0,880.0,856.5,859.25,28150,850.5
2009-08-02,852.0,865.0,850.0,851.75,15900,859.25
2009-08-03,855.0,868.5,852.75,856.5,15650,851.75
2009-08-04,860.0,864.0,845.0,847.0,15550,856.5
2009-08-05,860.0,860.0,841.5,846.0,11550,847.0
2009-08-06,849.0,860.0,847.25,854.25,21250,846.0
2009-08-09,860.0,860.0,846.0,849.5,16350,854.25
2009-08-10,849.25,854.75,836.5,840.75,20250,849.5
2009-08-11,841.25,857.75,840.0,848.5,22550,840.75
2009-08-12,859.0,905.0,859.0,888.0,84300,848.5
2009-08-16,898.75,911.0,895.0,897.25,45950,888.0
2009-08-17,902.0,907.0,873.25,879.0,27300,897.25
2009-08-18,889.0,915.0,875.0,906.75,80000,879.0
2009-08-19,915.0,924.75,895.25,899.25,50400,906.75
2009-08-20,899.0,900.0,876.0,890.5,20900,899.25
2009-08-23,885.0,897.0,856.25,862.5,23050,890.5
2009-08-24,860.0,890.0,860.0,877.0,24550,862.5
2009-08-25,885.0,899.75,883.0,884.25,28500,877.0
2009-08-26,896.0,914.75,890.0,907.0,49550,884.25
2009-08-27,913.0,966.25,906.25,941.75,129450,907.0
2009-08-30,957.0,968.0,940.0,944.75,53000,941.75
2009-08-31,952.0,955.0,912.5,916.25,31000,944.75
2009-09-01,923.75,926.0,904.0,921.25,35300,916.25
2009-09-02,940.0,961.0,930.0,953.5,81800,921.25
2009-09-03,955.0,1047.75,946.25,1037.25,186350,953.5
2009-09-06,1054.75,1065.0,1001.25,1012.0,65300,1037.25
2009-09-07,1010.0,1024.25,990.25,995.5,42400,1012.0
2009-09-08,1000.0,1018.75,988.0,997.0,37300,995.5
2009-09-09,998.5,1023.75,970.25,994.5,64400,997.0
2009-09-10,961.0,1000.0,961.0,978.25,38900,994.5
2009-09-13,973.0,999.0,973.0,985.5,28450,978.25
2009-09-14,986.0,995.0,985.0,989.5,14200,985.5
2009-09-15,978.0,997.0,970.0,973.25,21350,989.5
2009-09-16,970.5,987.75,967.0,975.5,34350,973.25
2009-09-17,970.0,1014.75,970.0,1004.75,45350,975.5
2009-09-27,1010.0,1055.0,1010.0,1042.0,60750,1004.75
2009-09-29,1048.0,1097.75,1045.5,1077.5,88050,1042.0
2009-09-30,1085.0,1090.0,1052.0,1069.5,76300,1077.5
2009-10-01,1070.0,1140.0,1070.0,1125.5,84200,1069.5
2009-10-04,1137.0,1177.0,1126.0,1143.75,80450,1125.5
2009-10-05,1150.0,1160.0,1080.0,1097.0,47450,1143.75
2009-10-06,1120.0,1140.0,1110.0,1119.25,43000,1097.0
2009-10-07,1149.75,1199.0,1138.0,1153.25,65800,1119.25
2009-10-08,1165.0,1249.0,1165.0,1245.5,143550,1153.25
2009-10-11,1279.0,1299.0,1172.25,1191.25,160350,1245.5
2009-10-12,1198.0,1219.0,1160.0,1179.75,58300,1191.25
2009-10-13,1218.0,1218.0,1160.0,1187.25,63300,1179.75
2009-10-14,1220.0,1225.0,1180.0,1190.25,44400,1187.25
2009-10-18,1178.0,1185.0,1145.0,1147.75,44900,1164.75
2009-10-18,1178.0,1185.0,1145.0,1147.75,44900,1164.75
2009-10-19,1167.0,1169.0,1144.0,1156.75,40700,1147.75
2009-10-20,1145.0,1234.75,1145.0,1217.5,69750,1156.75
2009-10-21,1240.0,1250.0,1196.0,1205.25,61750,1217.5
2009-10-22,1249.0,1249.0,1190.0,1212.25,50150,1205.25
2009-10-25,1244.0,1320.0,1244.0,1314.75,167200,1212.25
2009-10-26,1349.0,1349.0,1262.25,1270.25,81150,1314.75
2009-10-27,1307.0,1307.0,1252.0,1257.0,31250,1270.25
2009-10-28,1262.0,1278.0,1246.0,1255.25,34450,1257.0
2009-10-29,1280.0,1340.0,1265.0,1309.5,86250,1255.25
2009-11-01,1345.0,1379.25,1310.0,1364.0,151050,1309.5
2009-11-02,1395.0,1398.0,1334.0,1347.75,49800,1364.0
2009-11-03,1389.0,1395.0,1325.0,1333.25,35850,1347.75
2009-11-04,1330.0,1358.75,1311.0,1323.0,59800,1333.25
2009-11-05,1369.0,1449.0,1369.0,1392.25,133600,1323.0
2009-11-08,1410.0,1488.75,1385.0,1458.75,154900,1392.25
2009-11-09,1456.0,1467.0,1420.0,1432.75,55650,1458.75
2009-11-10,1436.0,1487.75,1412.0,1459.0,62400,1432.75
2009-11-11,1484.0,1484.0,1435.0,1440.5,43700,1459.0
2009-11-12,1420.0,1445.75,1406.0,1417.25,52450,1440.5
2009-11-15,1411.0,1444.75,1390.0,1421.5,30950,1417.25
2009-11-16,1433.0,1454.0,1422.0,1448.0,33750,1421.5
2009-11-17,1473.0,1518.0,1470.0,1500.0,120250,1448.0
2009-11-18,1500.0,1570.0,1500.0,1550.75,87800,1500.0
2009-11-19,1541.0,1670.0,1541.0,1646.25,59750,1550.75
2009-11-22,1627.0,1690.0,1590.25,1614.0,71700,1646.25
2009-11-23,1582.0,1638.0,1571.0,1586.5,70700,1614.0
