date,open,high,low,close,volume,prev_closing_price
2014-10-01,53.5,55.4,52.1,52.7,1403500,60.6
2014-10-02,53.8,53.9,51.9,52.4,845500,52.7
2014-10-12,51.0,53.0,51.0,52.6,576000,52.4
2014-10-13,53.5,55.4,52.8,55.0,1421500,52.6
2014-10-14,54.0,56.0,54.0,55.1,1155000,55.0
2014-10-15,55.5,55.7,53.8,54.1,1239000,55.1
2014-10-16,55.1,59.4,54.4,57.7,4983000,54.1
2014-10-19,58.0,58.8,55.4,55.8,998500,57.7
2014-10-20,57.0,57.9,55.3,55.8,1104500,55.8
2014-10-21,57.5,57.8,56.5,57.2,1255000,55.8
2014-10-22,58.0,58.4,56.1,56.4,900500,57.2
2014-10-23,56.6,57.3,54.9,55.0,968000,56.4
2014-10-26,55.3,56.0,53.3,53.7,742000,55.0
2014-10-27,53.8,55.2,53.5,54.8,398500,53.7
2014-10-28,55.5,55.5,53.5,53.6,360000,54.8
2014-10-29,53.0,54.6,53.0,54.2,464500,53.6
2014-10-30,53.1,55.9,53.1,54.5,1180000,54.2
2014-11-02,54.9,54.9,53.1,53.3,679000,54.5
2014-11-03,53.4,56.5,52.8,56.1,2101000,53.3
2014-11-05,57.2,59.0,57.2,58.3,6159500,56.1
2014-11-06,59.0,59.0,56.0,56.3,1947500,58.3
2014-11-09,57.8,58.3,55.8,57.7,3206500,56.3
2014-11-10,58.2,60.0,57.1,57.7,2881500,57.7
2014-11-11,57.0,57.8,55.9,56.2,1610500,57.7
2014-11-12,54.2,55.9,54.0,54.4,3568500,56.2
2014-11-13,54.8,55.7,54.0,55.0,1307000,54.4
2014-11-16,55.2,55.7,53.3,53.5,2471000,55.0
2014-11-17,53.7,54.0,52.1,52.1,1439000,53.5
2014-11-18,52.2,53.5,51.5,51.7,1301500,52.1
2014-11-19,53.4,53.9,52.1,53.6,1239500,51.7
2014-11-20,54.0,54.6,52.5,53.2,1192500,53.6
2014-11-23,54.2,54.2,51.6,51.8,827500,53.2
