date,open,high,low,close,volume,prev_closing_price
2017-07-31,51.0,94.0,51.0,90.3,8970312,0.0
2017-08-01,91.0,93.2,81.0,82.1,1985239,90.3
2017-08-02,80.8,87.9,78.0,82.7,3659275,82.1
2017-08-03,82.9,85.0,80.5,84.3,1362675,82.7
2017-08-06,86.0,92.7,85.0,92.6,3730139,84.3
2017-08-07,93.7,101.8,93.0,100.3,3485115,92.6
2017-08-08,99.8,109.8,97.8,105.8,3602723,100.3
2017-08-09,106.0,113.1,104.6,111.6,2734765,105.8
2017-08-10,113.0,116.5,107.6,109.5,2951484,111.6
2017-08-13,111.0,116.1,106.9,115.0,2988383,109.5
2017-08-16,115.1,126.5,115.1,126.5,3063855,115.0
2017-08-17,128.0,137.0,126.9,130.8,3341833,126.5
2017-08-20,131.7,137.7,127.0,136.1,4425612,130.8
2017-08-21,137.2,149.7,137.2,149.7,3352368,136.1
2017-08-22,152.9,155.7,140.0,146.9,3045772,149.7
2017-08-23,144.9,144.9,132.3,132.3,3224897,146.9
2017-08-24,125.1,139.8,122.5,134.0,2380475,132.3
2017-08-27,137.9,147.4,134.9,147.0,2657085,134.0
2017-08-28,152.0,158.0,145.7,150.0,2669167,147.0
2017-08-29,148.0,152.4,135.2,138.8,2776382,150.0
2017-08-30,139.0,143.9,137.3,140.9,1256019,138.8
2017-08-31,142.0,147.8,142.0,145.7,1211669,140.9
2017-09-04,147.0,151.0,141.6,142.7,1315369,145.7
2017-09-05,144.4,144.7,138.0,139.2,1376765,142.7
2017-09-06,139.9,141.0,133.0,133.6,1396880,139.2
2017-09-07,134.2,141.0,133.6,137.3,865920,133.6
2017-09-10,139.0,139.9,131.2,131.9,946991,137.3
2017-09-11,132.3,134.3,125.1,127.1,1072444,131.9
2017-09-12,127.1,135.7,127.0,132.1,931225,127.1
2017-09-13,132.2,133.7,126.5,127.4,721474,132.1
2017-09-14,128.8,130.8,126.0,126.8,741359,127.4
2017-09-17,128.0,131.8,127.5,129.5,670066,126.8
2017-09-18,130.9,131.9,126.7,127.0,561863,129.5
2017-09-19,128.9,128.9,118.4,120.4,1528251,127.0
2017-09-20,121.4,124.1,120.1,120.8,594381,120.4
2017-09-21,122.8,123.6,113.7,115.2,777185,120.8
2017-09-24,115.3,122.0,115.3,119.1,698999,115.2
2017-09-25,120.8,131.0,120.8,131.0,1764689,119.1
2017-09-26,133.0,139.8,132.5,133.7,1653381,131.0
2017-09-27,133.7,137.0,131.8,134.1,1304266,133.7
2017-09-28,135.0,137.9,130.1,131.6,842198,134.1
2017-10-02,131.7,132.8,123.5,124.3,1158153,131.6
2017-10-03,125.0,132.0,125.0,128.8,651846,124.3
2017-10-04,130.1,137.9,127.6,135.5,1503104,128.8
2017-10-05,137.0,142.1,134.5,135.4,1813905,135.5
2017-10-08,136.0,136.0,129.2,129.8,977181,135.4
2017-10-09,131.0,132.4,128.2,130.5,847176,129.8
2017-10-10,132.1,134.0,128.1,129.0,947142,130.5
2017-10-11,130.0,131.5,123.0,124.2,779602,129.0
2017-10-12,122.0,126.2,118.6,122.2,702298,124.2
2017-10-15,124.8,126.0,123.0,123.9,484086,122.2
2017-10-16,125.1,128.8,125.1,127.0,469044,123.9
