date,open,high,low,close,volume,prev_closing_price
2008-03-06,120.0,123.75,118.75,121.25,1700,120.0
2008-03-09,129.0,129.75,122.5,127.5,4710,121.25
2008-03-09,129.0,129.75,122.5,127.5,4710,121.25
2008-03-10,134.0,135.0,126.25,129.25,4265,127.5
2008-03-11,125.25,132.0,125.25,128.25,1985,129.25
2008-03-12,128.0,153.5,128.0,153.25,18015,128.25
2008-03-13,165.75,183.5,165.75,180.0,10620,153.25
2008-03-16,196.0,213.5,178.0,181.0,6850,180.0
2008-03-17,180.0,210.0,180.0,189.0,5020,181.0
2008-03-18,205.0,209.0,184.25,206.0,6535,189.0
2008-03-19,215.0,230.0,212.25,219.75,10895,206.0
2008-03-20,227.0,231.0,205.0,210.0,7795,219.75
2008-03-23,220.0,233.0,205.0,210.0,9680,210.0
2008-03-24,210.0,230.0,210.0,224.0,8010,210.0
2008-03-25,229.0,229.0,210.5,0.0,7275,224.0
2008-03-30,202.25,213.0,202.25,209.25,930,217.0
2008-03-31,210.0,210.0,201.5,204.5,1905,209.25
2008-04-01,203.0,205.0,191.0,199.5,1855,204.5
2008-04-02,190.0,208.0,182.0,189.75,2930,199.5
2008-04-03,186.0,194.0,185.0,187.75,1350,189.75
2008-04-06,185.0,192.0,181.0,188.0,990,187.75
2008-04-07,188.0,202.0,182.0,188.0,1475,188.0
2008-04-08,188.0,194.75,186.0,193.5,2380,188.0
2008-04-09,200.0,210.0,193.25,201.25,4535,193.5
2008-04-10,200.0,200.75,190.0,192.0,2045,201.25
2008-04-13,197.0,210.0,195.75,208.5,1785,192.0
2008-04-15,216.0,220.0,200.0,204.5,3890,208.5
2008-04-16,201.0,215.0,201.0,213.0,4925,204.5
2008-04-17,214.0,221.75,200.0,205.0,4070,213.0
2008-04-20,215.0,215.0,190.0,195.5,5420,205.0
2008-04-21,195.0,197.0,188.0,189.25,3910,195.5
2008-04-22,191.25,207.0,191.25,202.25,1970,189.25
2008-04-23,214.0,230.0,202.25,205.25,7595,202.25
2008-04-24,219.75,219.75,200.0,204.25,3820,205.25
2008-04-27,224.25,229.0,212.25,219.75,8360,204.25
2008-04-28,215.5,224.0,212.0,214.25,3505,219.75
2008-04-29,220.0,223.0,206.0,209.75,4740,214.25
2008-04-30,218.75,219.0,201.0,202.25,4285,209.75
2008-05-04,203.0,206.0,201.5,203.0,1965,202.25
2008-05-05,205.0,205.0,193.0,196.5,3060,203.0
2008-05-06,204.0,204.0,193.25,199.75,1590,196.5
2008-05-07,195.25,201.5,195.0,196.0,655,199.75
2008-05-08,200.0,205.0,198.0,203.75,3080,196.0
2008-05-11,207.0,219.0,207.0,207.5,2440,203.75
2008-05-12,210.0,212.0,204.0,205.75,865,207.5
2008-05-13,200.0,200.0,197.5,198.0,1370,205.75
2008-05-14,201.75,201.75,197.0,197.5,890,198.0
2008-05-15,196.0,199.75,194.0,196.25,2330,197.5
2008-05-18,192.0,196.0,187.75,190.0,3140,196.25
2008-05-20,187.0,187.0,185.0,185.75,820,190.0
2008-05-21,174.5,190.0,174.5,183.75,1535,185.75
2008-05-22,177.0,198.0,177.0,183.75,930,183.75
2008-05-25,190.0,192.0,180.0,180.5,2095,183.75
2008-05-26,171.0,188.0,171.0,180.75,985,180.5
2008-05-27,180.0,205.0,180.0,193.75,1365,180.75
2008-05-28,204.0,204.0,187.0,192.5,1105,193.75
2008-05-29,191.0,194.5,190.0,192.25,2010,192.5
2008-06-01,189.0,194.0,188.5,190.0,1170,192.25
2008-06-02,198.0,198.0,183.25,191.0,1120,190.0
2008-06-03,194.0,194.0,187.5,190.0,945,191.0
2008-06-04,191.0,194.75,183.0,191.5,1775,190.0
2008-06-05,188.0,192.0,188.0,190.0,1245,191.5
2008-06-08,188.25,190.0,184.25,187.75,1215,190.0
2008-06-09,183.0,185.0,182.0,182.5,2070,187.75
2008-06-10,190.0,190.0,180.0,181.25,435,182.5
2008-06-11,181.25,181.25,178.0,178.75,745,181.25
2008-06-12,178.75,0.0,0.0,178.75,0,178.75
2008-06-15,180.0,180.0,170.0,175.75,730,178.75
2008-06-16,175.0,180.0,175.0,0.0,440,175.75
2008-06-17,170.25,180.0,170.25,176.75,900,177.0
2008-06-18,172.0,180.0,172.0,176.0,295,176.75
2008-06-19,175.0,177.5,173.0,174.25,460,176.0
2008-06-22,171.0,172.25,171.0,0.0,1485,174.25
2008-06-23,166.0,166.0,165.25,0.0,250,171.25
2008-06-24,166.0,170.0,166.0,169.75,350,165.5
2008-06-25,170.0,172.0,167.0,168.75,495,169.75
2008-06-26,168.0,168.25,168.0,168.0,140,168.75
2008-06-29,165.0,165.0,160.0,161.75,410,168.0
2008-06-30,161.75,0.0,0.0,161.75,0,161.75
2008-07-02,157.0,157.0,157.0,157.0,120,161.75
2008-07-03,150.0,153.0,150.0,151.25,500,157.0
2008-07-06,155.0,170.0,152.0,155.5,265,151.25
2008-07-07,154.0,174.0,154.0,169.75,1320,155.5
2008-07-08,168.25,173.5,168.25,170.75,400,169.75
2008-07-08,168.25,173.5,168.25,170.75,400,169.75
2008-07-09,170.75,0.0,0.0,170.75,0,170.75
2008-07-10,165.0,165.0,165.0,165.0,10,170.75
2008-07-13,160.5,161.0,160.5,160.5,400,165.0
2008-07-14,162.0,178.5,162.0,170.75,2600,160.5
2008-07-15,171.0,178.0,166.25,172.25,995,170.75
2008-07-16,172.25,0.0,0.0,172.25,0,172.25
2008-07-17,168.5,170.0,164.0,167.5,470,172.25
2008-07-20,161.0,162.0,160.25,161.0,315,167.5
2008-07-21,170.0,170.0,160.0,161.5,470,161.0
2008-07-22,160.0,161.5,160.0,160.25,310,161.5
2008-07-23,156.0,175.0,156.0,165.75,800,160.25
2008-07-24,156.0,165.0,156.0,162.5,540,165.75
2008-07-27,162.5,0.0,0.0,162.5,0,162.5
2008-07-28,161.0,169.5,159.0,161.5,1205,162.5
2008-07-29,159.5,170.0,159.0,163.5,1165,161.5
2008-07-30,158.0,165.25,158.0,159.75,2865,163.5
2008-07-31,159.0,165.0,159.0,161.5,930,159.75
2008-08-03,162.0,163.0,152.0,159.75,960,161.5
2008-08-04,156.0,156.5,153.0,154.5,430,159.75
2008-08-05,156.0,156.5,152.5,154.75,470,154.5
2008-08-06,152.75,155.0,152.0,153.25,320,154.75
2008-08-07,153.0,156.75,150.0,151.0,905,153.25
2008-08-10,151.0,0.0,0.0,151.0,0,151.0
2008-08-11,145.25,146.0,142.25,143.5,395,151.0
2008-08-12,144.5,157.0,144.5,147.5,1225,143.5
2008-08-13,145.0,147.25,145.0,146.25,710,147.5
2008-08-14,148.0,155.0,147.0,153.75,2260,146.25
2008-08-18,156.5,164.0,154.75,158.5,4030,153.75
2008-08-19,157.0,163.0,157.0,159.75,3955,158.5
2008-08-20,160.5,161.0,155.0,157.0,1165,159.75
2008-08-21,157.0,159.75,153.0,156.0,875,157.0
2008-08-25,160.0,160.0,156.5,158.75,305,156.0
2008-08-26,157.0,162.0,157.0,158.75,610,158.75
2008-08-27,156.5,159.5,156.5,157.5,205,158.75
2008-08-28,156.25,161.0,156.25,159.25,1120,157.5
2008-08-31,162.0,163.75,159.0,162.5,2000,159.25
2008-09-01,164.25,169.75,163.0,168.5,3800,162.5
2008-09-02,165.0,175.0,165.0,174.25,4570,168.5
2008-09-03,171.5,184.0,171.0,177.25,2890,174.25
2008-09-04,175.0,177.75,170.0,171.75,540,177.25
2008-09-07,174.0,175.0,169.0,172.75,585,171.75
2008-09-08,173.0,173.0,166.0,169.75,1075,172.75
2008-09-09,165.5,165.75,163.25,164.25,235,169.75
2008-09-10,163.5,165.25,163.0,163.25,1610,164.25
2008-09-11,164.0,164.0,160.0,160.75,1655,163.25
2008-09-14,159.5,159.5,153.0,156.5,650,160.75
2008-09-15,155.0,158.0,155.0,157.0,205,156.5
2008-09-16,156.0,156.0,156.0,156.0,140,157.0
2008-09-17,159.5,162.0,159.5,160.25,2970,156.0
2008-09-18,158.25,161.0,158.25,160.25,350,160.25
2008-09-21,154.0,158.25,154.0,156.75,795,160.25
2008-09-22,155.0,156.0,154.0,155.25,745,156.75
2008-09-23,155.25,0.0,0.0,155.25,0,155.25
2008-09-24,154.0,155.0,153.5,154.5,835,155.25
2008-09-25,155.0,161.75,154.25,159.25,2640,154.5
2008-10-05,154.0,166.0,154.0,163.0,1435,159.25
2008-10-06,160.0,165.75,160.0,161.25,750,163.0
2008-10-07,159.0,161.0,159.0,159.75,565,161.25
2008-10-08,160.5,164.0,157.0,160.25,1765,159.75
2008-10-12,156.0,162.0,156.0,158.75,1325,160.25
2008-10-13,164.0,165.0,162.5,164.25,1000,158.75
2008-10-14,164.75,165.0,160.0,163.0,1290,164.25
2008-10-15,160.25,165.0,160.25,162.5,1210,163.0
