date,open,high,low,close,volume,prev_closing_price
2008-03-06,860.0,890.0,835.0,846.75,5355,855.5
2008-03-09,851.0,908.0,851.0,889.75,7345,846.75
2008-03-09,851.0,908.0,851.0,889.75,7345,846.75
2008-03-10,871.0,889.0,851.0,856.0,2325,889.75
2008-03-11,851.0,869.0,800.5,845.5,3330,856.0
2008-03-12,860.0,862.5,827.25,830.25,2195,845.5
2008-03-13,827.0,870.5,826.0,841.75,3020,830.25
2008-03-16,862.0,903.0,862.0,890.0,7410,841.75
2008-03-17,908.0,925.0,880.0,893.5,7720,890.0
2008-03-18,910.0,910.0,875.0,882.25,3280,893.5
2008-03-19,867.0,888.0,860.0,866.25,4175,882.25
2008-03-20,860.0,885.0,857.0,881.75,3550,866.25
2008-03-23,889.0,930.0,889.0,900.5,10560,881.75
2008-03-24,920.0,945.0,903.0,927.25,7875,900.5
2008-03-25,930.0,1050.0,930.0,1036.0,17330,927.25
2008-03-30,1075.0,1100.0,980.0,990.25,6220,1036.0
2008-03-31,1006.0,1006.0,955.0,969.5,5310,990.25
2008-04-01,965.0,1018.0,965.0,993.75,4840,969.5
2008-04-02,980.0,1020.0,953.25,962.0,6230,993.75
2008-04-03,975.0,990.0,950.0,968.25,4050,962.0
2008-04-06,955.0,990.0,945.5,973.25,4245,968.25
2008-04-07,976.0,1050.0,976.0,1009.0,13275,973.25
2008-04-08,1010.0,1025.0,986.5,995.0,3350,1009.0
2008-04-09,1006.0,1006.0,980.0,993.75,3650,995.0
2008-04-10,1005.0,1023.0,987.0,989.5,3040,993.75
2008-04-13,1010.0,1040.0,990.0,1022.0,9905,989.5
2008-04-15,1048.0,1149.5,1047.0,1121.0,15740,1022.0
2008-04-16,1149.0,1196.0,1131.0,1171.75,10270,1121.0
2008-04-17,1099.0,1258.0,1099.0,1247.25,13160,1171.75
2008-04-20,1255.0,1403.0,1255.0,1401.75,14435,1247.25
2008-04-21,1445.0,1449.0,1312.0,1325.0,8490,1401.75
2008-04-22,1330.0,1415.0,1300.0,1387.25,11345,1325.0
2008-04-23,1390.0,1400.0,1300.0,1305.0,7310,1387.25
2008-04-24,1310.0,1311.0,1268.0,1278.75,4080,1305.0
2008-04-27,1280.0,1350.0,1206.75,1234.25,6390,1278.75
2008-04-28,1255.5,1270.0,1200.0,1225.0,4780,1234.25
2008-04-29,1225.0,1260.0,1100.0,1153.75,4145,1225.0
2008-04-30,1100.0,1101.0,957.0,981.25,10755,1153.75
2008-05-04,967.0,1020.0,960.0,969.25,3435,981.25
2008-05-05,962.0,987.75,955.0,974.75,4065,969.25
2008-05-06,975.0,1050.0,962.0,1044.25,4130,974.75
2008-05-07,1038.0,1097.0,1038.0,1077.0,5955,1044.25
2008-05-08,1060.0,1095.0,1060.0,1077.0,5675,1077.0
2008-05-11,1090.0,1090.0,1016.0,1047.5,1960,1077.0
2008-05-12,1022.0,1085.0,1022.0,1074.75,3355,1047.5
2008-05-13,1078.0,1115.0,1042.25,1074.5,4210,1074.75
2008-05-14,1074.5,0.0,0.0,1074.5,0,1074.5
2008-05-15,1100.0,1219.0,1075.0,1177.25,10270,1074.5
2008-05-18,1161.0,1310.0,1161.0,1238.75,5440,1177.25
2008-05-20,1250.0,1255.0,1140.0,1166.25,6400,1238.75
2008-05-21,1150.0,1167.0,1120.25,1135.75,3625,1166.25
2008-05-22,1120.0,1229.0,1120.0,1184.0,6365,1135.75
2008-05-25,1210.0,1269.0,1210.0,1249.0,8705,1184.0
2008-05-26,1270.0,1284.0,1225.0,1246.75,5990,1249.0
2008-05-27,1250.0,1274.0,1171.0,1186.0,5180,1246.75
2008-05-28,1151.25,1188.0,1151.25,1177.25,1335,1186.0
2008-05-29,1174.0,1215.0,1165.0,1172.75,3400,1177.25
2008-06-01,1240.0,1240.0,1150.0,1159.0,2145,1172.75
2008-06-02,1229.0,1229.0,1162.5,1168.0,3990,1159.0
2008-06-03,1187.0,1188.0,1130.0,1135.75,4170,1168.0
2008-06-04,1133.25,1154.5,1105.0,1118.5,4755,1135.75
2008-06-05,1114.25,1175.0,1114.25,1146.75,2525,1118.5
2008-06-08,1139.0,1235.0,1138.0,1224.0,5705,1146.75
2008-06-09,1170.25,1215.0,1132.0,1201.25,7645,1224.0
2008-06-10,1220.0,1267.0,1191.0,1254.75,11300,1201.25
2008-06-11,1235.0,1251.0,1171.0,1203.0,3305,1254.75
2008-06-12,1248.0,1248.0,1170.0,1220.25,3075,1203.0
2008-06-15,1200.0,1200.0,1165.0,1191.5,1540,1220.25
2008-06-16,1180.0,1200.0,1150.0,1192.5,1905,1191.5
2008-06-17,1185.0,1185.0,1165.0,1169.25,1830,1192.5
2008-06-18,1160.0,1172.0,1155.0,1162.5,1605,1169.25
2008-06-19,1158.0,1178.0,1150.0,1158.25,2015,1162.5
2008-06-22,1181.75,1182.0,1150.0,1151.5,1670,1158.25
2008-06-23,1150.0,1150.0,1100.0,1103.75,2270,1151.5
2008-06-24,1105.0,1150.0,1105.0,1145.75,615,1103.75
2008-06-25,1126.0,1133.0,1115.0,1120.25,775,1145.75
2008-06-26,1115.0,1120.0,1109.0,1112.0,765,1120.25
2008-06-29,1139.0,1139.0,1060.0,1091.0,1330,1112.0
2008-06-30,1140.0,1140.0,1059.0,1080.75,1235,1091.0
2008-07-02,1100.0,1101.0,1075.0,1083.75,670,1080.75
2008-07-03,1090.0,1099.0,1061.0,1077.0,430,1083.75
2008-07-06,1120.0,1120.0,1061.25,1068.25,830,1077.0
2008-07-07,1062.25,1071.0,1011.0,1047.0,505,1068.25
2008-07-08,1030.25,1059.0,1023.0,1040.5,735,1047.0
2008-07-08,1030.25,1059.0,1023.0,1040.5,735,1047.0
2008-07-09,1060.0,1070.0,1057.0,1061.25,400,1040.5
2008-07-10,1051.0,1066.0,1045.0,1047.5,1115,1061.25
2008-07-13,1070.0,1107.0,1060.0,1091.75,1745,1047.5
2008-07-14,1071.0,1100.0,1065.0,1069.75,965,1091.75
2008-07-15,1073.0,1073.0,1050.0,1051.75,795,1069.75
2008-07-16,1046.0,1047.75,1027.0,1035.75,640,1051.75
2008-07-17,1062.0,1062.0,1035.0,1039.0,850,1035.75
2008-07-20,1029.0,1030.0,1005.0,1010.5,940,1039.0
2008-07-21,988.0,1012.0,987.0,1002.5,1470,1010.5
2008-07-22,1000.0,1010.0,930.0,936.25,1140,1002.5
2008-07-23,900.0,982.0,893.0,917.5,1175,936.25
2008-07-24,925.0,1020.0,925.0,1006.5,1130,917.5
2008-07-27,1030.0,1030.0,1011.0,1022.75,865,1006.5
2008-07-28,1030.0,1030.0,995.0,1000.5,985,1022.75
