date,open,high,low,close,volume,prev_closing_price
2008-03-06,95.0,97.5,95.0,96.5,780,93.75
2008-03-09,98.0,99.0,96.75,97.25,890,96.5
2008-03-09,98.0,99.0,96.75,97.25,890,96.5
2008-03-10,95.25,95.25,95.0,95.0,430,97.25
2008-03-11,95.0,0.0,0.0,95.0,0,95.0
2008-03-12,99.0,100.0,96.0,97.5,750,95.0
2008-03-13,101.5,114.0,101.0,110.5,5320,97.5
2008-03-16,119.0,132.5,119.0,131.5,6690,110.5
2008-03-17,130.0,132.0,120.0,127.25,1020,131.5
2008-03-18,125.0,125.0,108.0,116.25,900,127.25
2008-03-19,116.5,133.0,116.5,127.5,5250,116.25
2008-03-20,132.0,142.0,126.0,139.25,3640,127.5
2008-03-23,140.0,141.0,120.0,126.75,2430,139.25
2008-03-24,116.25,130.0,116.25,119.75,2010,126.75
2008-03-25,125.0,130.0,124.5,126.0,1950,119.75
2008-03-30,130.0,130.0,122.25,124.75,920,126.0
2008-03-31,124.5,124.5,116.5,120.0,1560,124.75
2008-04-01,116.25,123.5,116.0,121.0,1260,120.0
2008-04-02,127.0,130.0,120.5,124.75,880,121.0
2008-04-03,124.0,124.5,110.0,120.75,1300,124.75
2008-04-06,116.0,116.5,116.0,116.25,300,120.75
2008-04-07,111.0,111.5,111.0,111.25,290,116.25
2008-04-08,112.0,116.0,112.0,114.0,220,111.25
2008-04-09,115.0,118.0,115.0,115.5,750,114.0
2008-04-10,112.0,112.0,111.25,111.75,390,115.5
2008-04-13,109.0,118.75,109.0,114.75,390,111.75
2008-04-15,120.0,120.0,115.5,117.25,2810,114.75
2008-04-16,114.5,115.5,114.5,115.25,290,117.25
2008-04-17,116.0,116.0,114.0,115.25,470,115.25
2008-04-20,112.25,116.0,112.25,113.25,750,115.25
2008-04-21,112.5,115.0,112.25,112.75,670,113.25
2008-04-22,115.0,115.25,110.5,114.25,2170,112.75
2008-04-23,116.0,137.0,116.0,133.75,2650,114.25
2008-04-24,146.0,150.0,135.0,140.25,5500,133.75
2008-04-27,140.0,145.0,130.25,136.5,3310,140.25
2008-04-28,132.25,132.25,125.0,128.25,1380,136.5
2008-04-29,123.0,123.0,120.25,121.0,730,128.25
2008-04-30,116.0,117.0,116.0,116.0,370,121.0
2008-05-04,125.75,125.75,125.75,125.75,10,116.0
2008-05-05,116.0,119.5,116.0,117.25,760,125.75
2008-05-06,115.0,121.5,115.0,116.5,1620,117.25
2008-05-07,114.0,115.0,114.0,114.25,620,116.5
2008-05-08,115.0,119.25,115.0,117.75,1120,114.25
2008-05-11,114.25,114.25,113.5,114.0,220,117.75
2008-05-12,111.0,113.0,111.0,112.25,330,114.0
2008-05-13,112.5,118.0,112.5,113.75,620,112.25
2008-05-14,112.75,114.0,112.5,113.25,500,113.75
2008-05-15,112.0,114.0,112.0,112.75,870,113.25
2008-05-18,110.5,113.5,110.5,112.0,1040,112.75
2008-05-20,111.0,111.75,109.0,110.75,1390,112.0
2008-05-21,105.0,106.25,103.0,105.0,400,110.75
2008-05-22,114.5,115.25,114.0,114.5,610,105.0
2008-05-25,116.0,116.0,112.5,113.0,310,114.5
2008-05-26,111.0,113.0,111.0,111.25,740,113.0
2008-05-27,112.0,112.75,112.0,112.25,450,111.25
2008-05-28,118.0,120.0,112.75,115.0,1070,112.25
2008-05-29,114.0,123.0,114.0,120.0,180,115.0
2008-06-01,116.5,121.0,116.25,116.75,280,120.0
2008-06-02,116.5,116.5,116.25,116.25,160,116.75
2008-06-03,117.0,122.75,116.5,121.25,2440,116.25
2008-06-04,119.75,123.75,117.75,120.75,560,121.25
2008-06-05,113.5,115.25,113.5,114.75,610,120.75
2008-06-08,132.0,178.0,132.0,173.5,17280,114.75
2008-06-09,165.25,171.0,153.0,160.25,5680,173.5
2008-06-10,167.0,167.0,152.0,154.25,2340,160.25
2008-06-11,150.0,150.0,140.0,142.25,2620,154.25
2008-06-12,144.0,146.0,142.0,142.5,1510,142.25
2008-06-15,145.0,145.0,142.25,143.0,1370,142.5
2008-06-16,133.0,141.0,133.0,137.25,720,143.0
2008-06-17,142.0,142.0,137.0,138.0,1260,137.25
2008-06-18,139.0,139.0,128.25,131.75,1500,138.0
2008-06-19,130.0,137.75,130.0,135.25,2340,131.75
2008-06-22,132.0,136.0,132.0,134.0,1200,135.25
2008-06-23,132.75,134.75,132.5,133.25,1300,134.0
2008-06-24,133.0,138.0,133.0,136.0,360,133.25
2008-06-25,133.5,133.5,132.5,133.0,270,136.0
2008-06-26,135.5,141.0,135.5,138.25,2670,133.0
2008-06-29,140.0,144.0,139.0,141.0,800,138.25
2008-06-30,141.0,142.0,138.0,139.75,4350,141.0
2008-07-02,139.0,144.75,139.0,143.5,3870,139.75
2008-07-03,140.0,150.0,139.5,147.25,2780,143.5
2008-07-06,152.0,157.0,149.75,154.75,4870,147.25
2008-07-07,154.0,155.5,153.0,153.25,4510,154.75
2008-07-08,140.0,149.75,140.0,147.0,1080,153.25
2008-07-08,140.0,149.75,140.0,147.0,1080,153.25
2008-07-09,143.25,144.0,143.25,143.25,70,147.0
2008-07-10,149.0,149.5,145.0,147.25,860,143.25
2008-07-13,140.0,160.0,140.0,156.0,2960,147.25
2008-07-14,159.0,187.0,158.0,186.25,10160,156.0
2008-07-15,188.0,205.0,188.0,202.0,7670,186.25
2008-07-16,197.0,198.0,171.0,190.25,2080,202.0
2008-07-17,197.75,200.0,190.0,199.25,2990,190.25
2008-07-20,196.5,206.0,196.5,204.25,1510,199.25
2008-07-21,210.0,225.0,208.0,221.0,2640,204.25
2008-07-22,211.25,239.5,211.25,235.75,5720,221.0
2008-07-23,237.25,277.0,237.25,276.75,8020,235.75
2008-07-24,300.0,303.25,276.0,301.25,4630,276.75
2008-07-27,325.0,325.0,293.0,320.25,3210,301.25
2008-07-28,306.0,330.0,306.0,329.5,3830,320.25
2008-07-29,316.0,334.0,275.0,312.0,3690,329.5
2008-07-30,300.0,323.0,298.0,300.5,3350,312.0
2008-07-31,305.0,353.0,305.0,352.75,6120,300.5
2008-08-03,380.0,414.25,380.0,414.25,10180,352.75
2008-08-04,440.0,440.0,395.0,423.25,4280,414.25
2008-08-05,430.0,430.0,381.0,395.75,1870,423.25
2008-08-06,410.0,410.0,381.0,385.25,570,395.75
2008-08-07,398.0,398.0,370.0,389.75,2820,385.25
2008-08-10,399.0,419.0,380.0,391.25,2340,389.75
2008-08-11,385.0,395.0,370.0,379.0,910,391.25
2008-08-12,399.0,415.0,360.0,375.25,2700,379.0
2008-08-13,409.0,418.0,360.0,387.0,5940,375.25
2008-08-14,384.0,390.0,361.0,365.0,2100,387.0
2008-08-18,365.0,365.0,330.0,331.5,2260,365.0
2008-08-19,310.0,339.0,281.0,302.5,960,331.5
2008-08-20,284.0,284.0,280.0,281.25,300,302.5
2008-08-21,280.0,302.25,280.0,296.0,1460,281.25
2008-08-25,270.0,270.0,270.0,270.0,140,296.0
2008-08-26,270.0,0.0,0.0,270.0,0,270.0
2008-08-27,270.0,0.0,0.0,270.0,0,270.0
2008-08-28,270.0,0.0,0.0,270.0,0,270.0
2008-08-31,297.0,317.25,297.0,307.0,20,270.0
2008-09-01,337.5,360.5,337.5,359.25,190,307.0
2008-09-02,360.5,420.25,360.5,419.75,2000,359.25
2008-09-03,418.5,418.5,389.0,406.5,840,419.75
2008-09-04,370.0,400.0,370.0,381.5,1940,406.5
2008-09-07,398.0,398.0,362.0,386.0,800,381.5
2008-09-08,399.75,399.75,365.0,371.25,2220,386.0
2008-09-09,390.0,418.0,357.0,362.25,2940,371.25
2008-09-10,367.0,378.0,360.0,363.5,1690,362.25
2008-09-11,373.0,378.0,370.0,376.0,3360,363.5
2008-09-14,365.0,368.0,341.0,342.75,2970,376.0
2008-09-15,330.0,350.0,322.0,330.5,3290,342.75
2008-09-16,311.0,330.0,310.0,324.0,5060,330.5
2008-09-17,330.0,330.0,311.0,319.25,1490,324.0
2008-09-18,306.0,326.0,306.0,318.0,1000,319.25
2008-09-21,306.0,319.0,306.0,311.75,1140,318.0
2008-09-22,312.0,330.0,302.5,327.5,6420,311.75
2008-09-23,325.0,330.0,310.0,327.75,4670,327.5
2008-09-24,330.0,335.0,321.0,330.0,11910,327.75
2008-09-25,312.0,387.75,312.0,387.25,28310,330.0
2008-10-05,390.0,455.0,390.0,454.0,23040,387.25
2008-10-06,455.0,455.0,425.0,439.25,8350,454.0
2008-10-07,435.0,447.0,405.0,437.75,9540,439.25
2008-10-08,407.0,435.0,407.0,423.75,13570,437.75
2008-10-12,412.0,412.0,390.0,393.25,8430,423.75
2008-10-13,385.0,396.0,362.0,381.5,11840,393.25
2008-10-14,389.75,389.75,363.0,367.75,4200,381.5
2008-10-15,360.5,413.0,360.5,404.5,10670,367.75
2008-10-16,419.0,420.0,395.0,416.0,13220,404.5
2008-10-19,420.0,435.0,418.0,431.25,15860,416.0
2008-10-20,440.0,480.0,440.0,466.0,22360,431.25
2008-10-21,445.0,470.0,430.25,441.0,7670,466.0
2008-10-22,468.0,468.0,440.0,445.5,6860,441.0
2008-10-23,489.0,520.5,481.0,520.5,21260,445.5
2008-10-26,572.25,598.5,572.25,598.25,35090,520.5
2008-10-27,650.0,650.0,535.0,558.5,8670,598.25
2008-10-28,560.0,580.0,536.0,542.5,6890,558.5
2008-10-29,578.0,578.0,523.0,537.0,8160,542.5
2008-10-30,550.0,579.0,539.0,548.5,14170,537.0
2008-11-02,550.0,551.0,520.0,524.0,8000,548.5
2008-11-03,535.0,535.0,471.0,483.75,4820,524.0
2008-11-04,489.0,518.0,488.0,499.75,3010,483.75
2008-11-05,510.0,510.0,470.0,478.0,1620,499.75
2008-11-06,471.0,498.0,441.0,475.0,1900,478.0
2008-11-09,481.0,492.0,475.0,479.25,2820,475.0
2008-11-10,477.0,499.0,470.0,484.5,1130,479.25
2008-11-11,475.0,548.0,475.0,517.75,6040,484.5
2008-11-12,539.0,539.0,506.0,508.5,5180,517.75
2008-11-13,530.0,530.0,452.25,468.25,4030,508.5
2008-11-16,460.5,474.0,460.0,465.75,3660,468.25
2008-11-17,462.0,465.0,459.25,461.75,1340,465.75
2008-11-18,458.0,460.0,435.0,447.0,1970,461.75
2008-11-19,447.0,450.0,406.0,414.5,4160,447.0
2008-11-20,402.0,428.0,370.0,413.0,2280,414.5
2008-11-23,439.0,440.0,409.0,415.0,3270,413.0
2008-11-24,413.0,425.0,381.0,389.5,3440,415.0
2008-11-25,390.25,400.0,369.25,369.75,9930,389.5
2008-11-26,365.0,379.0,362.5,367.25,5230,369.75
2008-11-27,357.0,398.0,345.0,367.0,3080,367.25
2008-11-30,367.0,383.0,350.0,378.0,2140,367.0
2008-12-01,389.0,433.0,389.0,391.5,4590,378.0
2008-12-02,391.0,420.0,383.5,385.75,1160,391.5
2008-12-03,379.0,408.75,378.0,390.75,1340,385.75
2008-12-04,400.0,400.0,388.25,389.5,1960,390.75
2008-12-14,400.0,400.0,373.0,379.25,1220,389.5
2008-12-15,371.0,387.0,365.5,374.5,460,379.25
2008-12-17,370.5,388.0,370.5,378.75,170,374.5
2008-12-18,395.0,395.0,380.0,382.75,590,378.75
2008-12-21,400.0,400.0,381.5,384.0,1780,382.75
