date,open,high,low,close,volume,prev_closing_price
2010-08-12,85.0,100.0,81.0,90.6,4925500,10.0
2010-08-16,91.0,92.0,84.0,84.4,1819000,90.6
2010-08-17,84.2,84.9,81.0,81.8,968000,84.4
2010-08-18,82.0,85.0,81.1,82.0,1183500,81.8
2010-08-19,81.5,83.0,81.5,81.7,551000,82.0
2010-08-22,82.0,83.5,81.1,83.0,831500,81.7
2010-08-23,83.0,83.8,81.8,82.1,812500,83.0
2010-08-24,83.0,84.2,82.1,83.5,717000,82.1
2010-08-25,82.5,87.9,82.3,86.2,1184000,83.5
2010-08-26,87.0,92.0,86.1,90.3,1866500,86.2
2010-08-29,91.0,94.0,89.5,92.1,1316500,90.3
2010-08-30,93.0,93.3,91.0,91.3,1103500,92.1
2010-08-31,90.1,92.0,88.2,89.7,905000,91.3
2010-09-02,90.0,91.0,88.5,89.5,950000,89.7
2010-09-05,91.9,91.9,89.6,89.7,783000,89.5
2010-09-06,89.0,89.0,85.0,88.2,731000,89.7
2010-09-08,86.5,88.4,85.8,87.1,610000,88.2
2010-09-13,86.0,88.3,82.2,87.9,271500,87.1
2010-09-14,88.0,88.0,84.5,85.6,459000,87.9
2010-09-15,87.9,87.9,84.9,85.4,346500,85.6
2010-09-16,86.5,86.5,85.0,85.9,242500,85.4
2010-09-19,88.7,88.7,85.0,85.5,296500,85.9
2010-09-20,85.5,87.5,85.5,86.1,319000,85.5
2010-09-21,86.7,89.5,86.7,88.8,662000,86.1
2010-09-22,88.0,91.7,88.0,91.3,1171000,88.8
2010-09-23,90.0,90.3,88.6,89.1,463000,91.3
2010-09-26,90.0,91.0,88.5,90.3,873500,89.1
2010-09-27,90.0,92.5,89.1,89.7,603500,90.3
2010-09-28,91.9,92.0,88.8,88.9,361000,89.7
2010-09-29,89.9,89.9,87.7,88.1,343500,88.9
2010-09-30,87.2,89.3,87.2,88.0,530500,88.1
2010-10-03,88.0,89.6,87.0,88.0,440000,88.0
2010-10-04,87.3,87.8,84.5,87.0,513000,88.0
2010-10-05,86.3,86.9,84.7,85.8,276000,87.0
2010-10-06,85.6,87.3,85.6,86.1,360500,85.8
2010-10-07,86.0,87.0,85.9,86.2,436500,86.1
2010-10-10,85.5,85.8,84.5,84.8,389500,86.2
2010-10-11,84.0,86.0,83.3,85.6,203500,84.8
2010-10-12,84.7,86.7,84.7,86.0,353500,85.6
