date,open,high,low,close,volume,prev_closing_price
2008-03-06,262.0,269.0,256.1,258.3,51950,257.8
2008-03-09,261.0,261.0,250.0,251.5,25850,258.3
2008-03-09,261.0,261.0,250.0,251.5,25850,258.3
2008-03-10,258.0,258.0,248.0,252.9,20000,251.5
2008-03-11,250.1,257.0,250.1,253.2,22250,252.9
2008-03-12,248.0,258.0,248.0,251.4,22900,253.2
2008-03-13,252.2,257.7,251.0,252.2,21500,251.4
2008-03-16,257.0,294.0,251.6,283.9,108950,252.2
2008-03-17,273.0,280.0,264.5,269.4,29550,283.9
2008-03-18,267.2,270.0,261.0,265.4,21100,269.4
2008-03-19,268.8,268.8,260.0,264.1,17500,265.4
2008-03-20,271.8,277.0,264.0,269.4,69250,264.1
2008-03-23,273.0,280.0,271.1,274.0,67050,269.4
2008-03-24,274.3,278.9,268.0,269.6,30450,274.0
2008-03-25,272.5,275.7,269.0,0.0,40250,269.6
2008-03-30,250.0,265.0,250.0,252.9,55100,270.7
2008-03-31,252.0,264.0,252.0,259.1,54350,252.9
2008-04-01,257.0,260.0,253.1,253.9,18500,259.1
2008-04-02,255.0,260.3,252.1,257.0,40250,253.9
2008-04-03,255.0,259.0,255.0,256.1,14350,257.0
2008-04-06,255.2,257.9,254.0,255.3,21850,256.1
2008-04-07,253.5,260.0,253.0,257.2,26150,255.3
2008-04-08,259.9,264.0,259.9,262.3,17450,257.2
2008-04-09,264.0,271.0,261.3,265.9,25800,262.3
2008-04-10,262.0,268.0,260.0,260.9,15300,265.9
2008-04-13,261.1,270.0,260.2,268.0,27500,260.9
2008-04-15,267.0,279.5,267.0,272.6,33100,268.0
2008-04-16,271.9,276.0,266.3,271.8,20800,272.6
2008-04-17,274.0,275.0,267.0,269.9,36450,271.8
2008-04-20,270.0,270.0,255.0,262.8,9250,269.9
2008-04-21,257.5,270.0,257.5,267.7,31700,262.8
2008-04-22,272.0,274.1,268.0,269.6,33050,267.7
2008-04-23,269.6,0.0,0.0,269.6,0,269.6
2008-04-24,260.0,282.0,260.0,277.3,84100,269.6
2008-04-27,285.0,295.0,267.0,271.1,75650,277.3
2008-04-28,284.0,285.0,270.0,270.3,45900,271.1
2008-04-29,272.2,279.8,268.1,269.1,17450,270.3
2008-04-30,269.2,270.0,261.6,265.7,13050,269.1
2008-05-04,258.0,264.9,258.0,260.8,9300,265.7
2008-05-05,256.3,259.5,255.0,255.7,22850,260.8
2008-05-06,255.2,264.0,255.0,260.0,11450,255.7
2008-05-07,261.5,268.9,261.2,262.8,13100,260.0
2008-05-08,265.0,270.8,261.5,266.1,22500,262.8
2008-05-11,265.0,265.0,262.0,262.4,10950,266.1
