date,open,high,low,close,volume,prev_closing_price
2008-03-06,38.0,38.8,37.3,37.7,184500,37.2
2008-03-09,38.0,38.8,37.5,37.5,148600,37.7
2008-03-09,38.0,38.8,37.5,37.5,148600,37.7
2008-03-10,38.3,38.5,37.6,38.0,165500,37.5
2008-03-11,37.5,38.0,37.0,37.1,117000,38.0
2008-03-12,37.3,37.5,36.5,36.9,104000,37.1
2008-03-13,37.3,37.5,36.8,0.0,127400,36.9
2008-03-16,37.0,39.0,37.0,38.3,161900,36.8
2008-03-17,39.5,40.5,38.7,40.1,334000,38.3
2008-03-18,40.5,42.0,40.5,41.0,548200,40.1
2008-03-19,40.0,41.9,39.6,40.7,190700,41.0
2008-03-20,41.7,42.9,41.4,42.1,427300,40.7
2008-03-23,43.0,46.0,42.7,43.5,617000,42.1
2008-03-24,43.5,45.0,41.4,41.9,200100,43.5
2008-03-25,41.5,43.0,41.1,0.0,269900,41.9
2008-03-30,44.0,44.0,40.7,41.0,207200,42.1
2008-03-31,41.0,41.2,39.3,39.4,170300,41.0
2008-04-01,40.0,42.0,40.0,41.7,172000,39.4
2008-04-02,42.0,42.0,39.7,40.0,230700,41.7
2008-04-03,41.7,42.0,40.7,41.2,189300,40.0
2008-04-06,41.9,42.5,40.8,40.9,209600,41.2
2008-04-07,41.0,41.0,39.1,39.3,421100,40.9
2008-04-08,40.9,40.9,39.2,39.7,152900,39.3
2008-04-09,39.8,40.7,39.5,39.8,167400,39.7
2008-04-10,40.4,40.6,39.1,39.2,126200,39.8
2008-04-13,39.9,40.4,39.2,39.8,152700,39.2
2008-04-15,40.2,42.3,40.0,41.8,351100,39.8
2008-04-16,42.9,43.7,42.4,43.2,502800,41.8
2008-04-17,43.9,44.5,43.1,43.2,528500,43.2
2008-04-20,44.8,44.8,42.4,42.5,235600,43.2
2008-04-21,43.0,43.5,41.7,41.8,227500,42.5
2008-04-22,42.0,42.8,41.6,41.8,174700,41.8
2008-04-23,42.0,42.7,41.2,41.8,81300,41.8
2008-04-24,41.5,42.4,41.5,41.8,121700,41.8
2008-04-27,42.4,43.0,41.5,41.7,220700,41.8
2008-04-28,42.4,42.4,40.3,40.5,148700,41.7
2008-04-29,41.9,41.9,39.5,39.5,90000,40.5
2008-04-30,40.0,40.2,38.5,39.0,144000,39.5
2008-05-04,38.6,40.9,37.2,39.5,133400,39.0
2008-05-05,39.4,40.0,38.0,38.2,146900,39.5
2008-05-06,38.9,39.2,38.0,38.3,291400,38.2
