date,open,high,low,close,volume,prev_closing_price
2008-03-06,586.0,589.0,561.0,563.25,20800,566.75
2008-03-09,571.0,571.0,544.25,548.25,11740,563.25
2008-03-09,571.0,571.0,544.25,548.25,11740,563.25
2008-03-10,560.0,560.0,537.5,546.0,13510,548.25
2008-03-11,577.0,578.0,535.0,538.25,10280,546.0
2008-03-12,556.5,556.5,516.0,519.25,7480,538.25
2008-03-13,520.0,525.0,491.0,506.25,9520,519.25
2008-03-16,515.0,515.0,491.0,495.0,5260,506.25
2008-03-17,485.0,504.0,465.0,469.75,9930,495.0
2008-03-18,472.0,499.0,472.0,494.75,5780,469.75
2008-03-19,500.0,516.0,492.0,497.0,9680,494.75
2008-03-20,513.0,517.0,500.0,505.5,11210,497.0
2008-03-23,509.0,515.0,488.0,489.0,8300,505.5
2008-03-24,490.25,500.0,488.25,489.25,4810,489.0
2008-03-25,500.0,502.5,482.0,495.75,6100,489.25
2008-03-30,519.0,540.0,510.0,516.75,7520,495.75
2008-03-31,512.5,513.0,495.0,498.25,3030,516.75
2008-04-01,497.0,515.0,493.25,497.0,3720,498.25
2008-04-02,512.25,512.25,481.0,491.5,6150,497.0
2008-04-03,491.0,509.0,485.5,503.5,9330,491.5
2008-04-06,520.0,525.0,505.25,510.0,8590,503.5
2008-04-07,518.0,548.0,514.75,541.5,26550,510.0
2008-04-08,549.0,575.0,549.0,562.0,31710,541.5
2008-04-09,568.0,578.0,540.0,550.25,14410,562.0
2008-04-10,559.0,609.0,538.0,594.0,40550,550.25
2008-04-13,624.0,683.0,601.0,680.5,55260,594.0
2008-04-15,690.0,710.0,627.0,643.0,26700,680.5
2008-04-16,636.0,655.0,608.0,616.0,22020,643.0
2008-04-17,610.0,634.0,576.0,589.75,17390,616.0
2008-04-20,575.25,629.0,566.0,608.0,16380,589.75
2008-04-21,637.0,644.0,591.25,597.25,15140,608.0
2008-04-22,600.0,619.0,586.5,590.75,10800,597.25
2008-04-23,605.0,615.0,580.0,585.0,12680,590.75
2008-04-24,575.0,599.0,566.0,571.25,13700,585.0
2008-04-27,605.0,608.0,521.0,532.0,27100,571.25
2008-04-28,521.25,540.0,490.0,493.0,22210,532.0
2008-04-29,509.0,527.0,496.5,525.5,11630,493.0
2008-04-30,534.0,550.0,515.0,523.25,8090,525.5
2008-05-04,508.25,521.0,495.0,498.75,11980,523.25
2008-05-05,500.0,510.0,491.25,501.0,8670,498.75
2008-05-06,510.0,530.0,510.0,513.5,24840,501.0
2008-05-07,529.0,529.0,500.0,506.0,11020,513.5
