date,open,high,low,close,volume,prev_closing_price
2016-04-21,37.0,38.0,18.0,18.3,6018408,0.0
2016-04-24,17.3,18.4,16.6,17.8,1253084,18.3
2016-04-25,17.6,18.4,16.1,16.1,1760310,17.8
2016-04-26,15.9,15.9,14.5,14.6,1429780,16.1
2016-04-27,14.6,14.6,13.6,13.8,1104086,14.6
2016-04-28,14.0,14.3,12.7,12.9,903476,13.8
2016-05-02,12.8,13.4,11.9,12.9,836813,12.9
2016-05-03,13.2,13.9,13.1,13.5,435861,12.9
2016-05-04,13.6,13.6,12.5,12.6,769245,13.5
2016-05-05,12.6,12.7,12.1,12.3,765941,12.6
2016-05-08,12.5,12.5,11.6,11.8,680177,12.3
2016-05-09,11.6,12.2,11.5,11.7,509973,11.8
2016-05-10,11.6,12.0,11.6,11.9,409617,11.7
2016-05-11,12.5,12.5,11.8,11.9,637094,11.9
2016-05-12,11.8,11.9,11.6,11.6,289676,11.9
2016-05-15,11.5,11.7,11.1,11.2,331261,11.6
2016-05-16,11.3,11.9,11.3,11.5,547889,11.2
2016-05-17,11.5,12.0,11.5,11.9,476377,11.5
2016-05-18,12.0,13.0,11.9,13.0,1632722,11.9
2016-05-19,13.2,14.1,12.8,13.2,1451450,13.0
2016-05-22,13.3,13.4,12.9,13.0,902375,13.2
2016-05-24,13.1,13.4,13.0,13.1,704933,13.0
2016-05-25,13.2,13.2,12.5,12.5,446970,13.1
2016-05-26,12.6,13.2,12.5,13.0,408504,12.5
2016-05-29,13.3,13.3,12.6,12.7,712884,13.0
2016-05-30,13.0,13.2,12.6,12.9,1132070,12.7
2016-05-31,12.9,13.7,12.9,13.3,1105495,12.9
2016-06-01,13.3,14.2,13.3,14.1,1503668,13.3
2016-06-02,14.1,14.3,13.6,13.7,1284658,14.1
2016-06-05,13.8,13.8,13.3,13.4,614428,13.7
2016-06-06,13.6,13.9,13.1,13.4,882907,13.4
2016-06-07,13.3,13.3,12.7,12.9,1126749,13.4
2016-06-08,12.8,13.7,12.8,13.5,786847,12.9
2016-06-09,13.6,13.9,13.0,13.2,997904,13.5
2016-06-12,13.3,13.6,13.2,13.3,620561,13.2
2016-06-13,13.5,13.7,13.3,13.4,686595,13.3
2016-06-14,13.4,13.4,13.1,13.2,731314,13.4
2016-06-15,13.2,13.3,13.1,13.3,489456,13.2
2016-06-16,13.2,13.3,12.9,13.0,501339,13.3
2016-06-19,12.9,13.2,12.8,12.9,247305,13.0
2016-06-20,12.9,13.1,12.8,12.9,265252,12.9
2016-06-21,12.8,13.4,12.8,13.3,376020,12.9
2016-06-22,13.5,13.5,13.1,13.3,560117,13.3
2016-06-23,13.4,13.4,13.1,13.2,172765,13.3
2016-06-26,13.2,13.2,12.9,12.9,290836,13.2
2016-06-27,12.9,13.3,12.9,13.1,217204,12.9
2016-06-28,13.2,13.3,13.1,13.2,221263,13.1
2016-06-29,13.1,13.2,13.0,13.1,234599,13.2
2016-06-30,13.2,13.3,13.1,13.2,195114,13.1
2016-07-10,12.9,13.1,12.8,12.9,117770,13.2
2016-07-11,13.0,13.0,12.8,12.9,242640,12.9
2016-07-12,12.9,13.1,12.8,12.9,225198,12.9
2016-07-13,13.1,13.1,12.8,12.9,158978,12.9
2016-07-14,12.9,13.0,12.7,12.8,409769,12.9
2016-07-16,12.7,12.9,12.7,12.7,212084,12.8
2016-07-17,12.8,13.2,12.7,13.1,704112,12.7
2016-07-18,13.2,14.2,13.2,14.0,2642482,13.1
2016-07-19,13.8,14.0,13.5,13.7,866584,14.0
2016-07-20,13.6,14.7,13.4,14.4,1877161,13.7
2016-07-21,14.4,14.8,13.8,14.0,1529886,14.4
2016-07-24,14.2,14.5,13.9,14.0,1541249,14.0
2016-07-25,14.0,14.0,13.0,13.4,1100177,14.0
2016-07-26,13.4,13.4,12.9,13.0,683627,13.4
2016-07-27,12.9,13.4,12.9,13.1,298787,13.0
2016-07-28,13.2,13.4,13.0,13.1,284350,13.1
2016-07-31,13.0,13.1,12.7,12.8,784341,13.1
2016-08-01,12.8,12.9,12.5,12.6,388705,12.8
2016-08-02,12.6,13.0,12.6,12.8,357620,12.6
2016-08-03,13.0,13.2,12.9,13.0,454812,12.8
2016-08-04,13.0,13.0,12.7,12.8,348390,13.0
2016-08-07,12.7,13.0,12.5,12.5,453101,12.8
2016-08-08,12.6,12.7,12.5,12.6,245373,12.5
2016-08-09,12.6,12.8,12.5,12.7,260734,12.6
2016-08-10,12.5,12.7,12.5,12.6,263339,12.7
2016-08-11,12.5,12.9,12.5,12.8,504820,12.6
2016-08-14,12.7,12.9,12.7,12.8,206450,12.8
2016-08-16,12.8,12.9,12.7,12.8,312383,12.8
2016-08-17,12.7,12.8,12.6,12.6,134720,12.8
