date,open,high,low,close,volume,prev_closing_price
2008-03-06,1160.0,1164.0,1142.0,1150.5,39500,1160.5
2008-03-09,1150.25,1198.0,1125.5,1180.75,68550,1150.5
2008-03-09,1150.25,1198.0,1125.5,1180.75,68550,1150.5
2008-03-10,1195.0,1195.0,1166.0,1170.75,32100,1180.75
2008-03-11,1152.0,1170.0,1141.0,1144.0,41150,1170.75
2008-03-12,1140.0,1149.0,1126.25,1130.5,38350,1144.0
2008-03-13,1125.0,1140.0,1110.0,1116.0,31300,1130.5
2008-03-16,1119.75,1119.75,1073.0,0.0,43900,1116.0
2008-03-17,1075.25,1075.25,1000.0,1006.5,67600,1077.0
2008-03-18,1038.0,1049.5,1002.25,1040.75,45750,1006.5
2008-03-19,1049.0,1059.0,1012.25,1018.75,41250,1040.75
2008-03-20,1026.0,1035.0,1002.25,1006.75,45400,1018.75
2008-03-23,1005.0,1018.0,955.0,959.75,55800,1006.75
2008-03-24,979.0,1043.75,967.0,1002.5,39400,959.75
2008-03-25,1030.0,1049.25,1012.0,1022.75,44800,1002.5
2008-03-30,1072.0,1149.0,1062.25,1132.75,68300,1022.75
2008-03-31,1130.0,1139.75,1086.0,1120.75,60800,1132.75
2008-04-01,1120.0,1123.0,1111.0,1114.0,38550,1120.75
2008-04-02,1130.0,1140.0,1105.0,1109.0,48850,1114.0
2008-04-03,1095.25,1130.0,1093.0,1105.75,31700,1109.0
2008-04-06,1110.0,1110.0,1080.0,1083.25,34800,1105.75
2008-04-07,1075.0,1079.75,1045.0,1050.75,30550,1083.25
2008-04-08,1047.0,1049.0,1025.0,1031.5,46300,1050.75
2008-04-09,1030.0,1049.75,1013.0,1016.75,47400,1031.5
2008-04-10,1014.0,1034.75,1001.0,1006.5,46250,1016.75
2008-04-13,1000.0,1034.75,1000.0,1008.5,26800,1006.5
2008-04-15,1025.0,1085.0,1014.25,1047.25,43800,1008.5
2008-04-16,1080.0,1080.0,1045.0,1050.0,29650,1047.25
2008-04-17,1075.0,1075.0,1026.0,1031.0,39750,1050.0
2008-04-20,1035.0,1035.0,1011.0,1014.5,50650,1031.0
2008-04-21,1021.0,1029.0,1011.0,1013.75,64650,1014.5
2008-04-22,1010.0,1043.0,1010.0,1021.25,33250,1013.75
2008-04-23,1039.0,1039.0,1016.0,1023.75,27150,1021.25
2008-04-24,1034.75,1040.0,1016.25,1017.25,30300,1023.75
2008-04-27,1030.0,1030.0,1000.0,1003.5,38050,1017.25
2008-04-28,1000.0,1007.0,995.0,997.75,28400,1003.5
2008-04-29,992.0,1028.0,992.0,1003.5,31500,997.75
2008-04-30,1007.0,1119.0,1007.0,1079.75,79850,1003.5
2008-05-04,1119.0,1129.0,1070.0,1078.25,75100,1079.75
2008-05-05,1070.0,1070.0,1034.0,1041.5,48750,1078.25
2008-05-06,1049.0,1075.0,1044.0,1064.0,45700,1041.5
2008-05-07,1050.0,1095.0,1050.0,1067.25,56150,1064.0
2008-05-08,1079.0,1079.0,1059.0,1065.5,48100,1067.25
2008-05-11,1079.75,1150.0,1079.75,1091.75,119050,1065.5
2008-05-12,1100.0,1112.0,1060.0,1062.75,44800,1091.75
2008-05-13,1070.0,1070.0,1054.0,1062.0,41600,1062.75
2008-05-14,1058.0,1070.0,1030.25,1037.75,52250,1062.0
2008-05-15,1048.0,1049.5,1020.0,1032.5,59300,1037.75
2008-05-18,1029.0,1058.0,1027.0,1029.75,63800,1032.5
