date,open,high,low,close,volume,prev_closing_price
2008-03-06,3000.0,3119.0,2955.0,3003.5,210,3010.5
2008-03-09,3000.0,3000.0,2906.0,2961.25,290,3003.5
2008-03-09,3000.0,3000.0,2906.0,2961.25,290,3003.5
2008-03-10,3078.0,3100.0,2922.0,3022.25,90,2961.25
2008-03-11,2999.75,3039.0,2940.0,3021.75,250,3022.25
2008-03-12,2910.0,2921.0,2910.0,2916.0,65,3021.75
2008-03-13,3098.0,3100.0,2990.0,3017.25,175,2916.0
2008-03-16,2901.0,3199.0,2900.0,3082.75,450,3017.25
2008-03-17,3000.0,3000.0,2941.0,2985.5,215,3082.75
2008-03-18,2980.0,3250.0,2960.0,3211.75,365,2985.5
2008-03-19,3290.0,3500.0,3261.0,3357.0,395,3211.75
2008-03-20,3310.25,3370.0,3310.0,3320.25,230,3357.0
2008-03-23,3321.5,3322.0,3002.0,3212.75,190,3320.25
2008-03-24,3080.0,3150.0,3055.0,3095.75,75,3212.75
2008-03-25,3290.0,3349.0,3200.0,0.0,165,3095.75
2008-03-30,3320.0,3320.0,3150.0,3240.0,15,3304.5
2008-03-31,3150.0,3239.0,3111.0,3134.5,245,3240.0
2008-04-01,3075.0,3100.0,3055.0,3078.0,250,3134.5
2008-04-02,3100.0,3245.0,3090.0,3132.5,105,3078.0
2008-04-03,3150.0,3211.0,3150.0,3185.5,180,3132.5
2008-04-06,3200.0,3300.0,3101.0,3200.75,235,3185.5
2008-04-07,3180.0,3180.0,3100.0,3140.0,10,3200.75
2008-04-08,3140.0,3140.0,3020.0,3060.25,225,3140.0
2008-04-09,3015.25,3050.0,3010.0,3019.25,215,3060.25
2008-04-10,3020.0,3049.0,3002.0,3012.0,155,3019.25
2008-04-13,3070.0,3070.0,2985.0,3010.25,65,3012.0
2008-04-15,3050.0,3120.0,3021.0,3054.75,165,3010.25
2008-04-16,3080.0,3090.0,2991.0,3037.75,150,3054.75
2008-04-17,3090.0,3100.0,3025.0,3073.25,185,3037.75
2008-04-20,3000.0,3010.25,2997.0,3007.25,155,3073.25
2008-04-21,3098.0,3110.0,3046.0,3089.0,540,3007.25
2008-04-22,3110.0,3395.0,3110.0,3386.25,695,3089.0
2008-04-23,3550.0,3720.0,3420.0,3484.25,395,3386.25
2008-04-24,3500.0,3500.0,3266.0,3306.0,420,3484.25
2008-04-27,3255.0,3321.0,3255.0,3313.75,90,3306.0
2008-04-28,3200.0,3210.0,3185.0,3200.5,125,3313.75
2008-04-29,3165.0,3166.0,3160.0,3163.0,25,3200.5
2008-04-30,3151.0,3180.0,3122.0,3132.0,115,3163.0
2008-05-04,3150.0,3150.0,3120.0,3134.0,25,3132.0
2008-05-05,3150.0,3275.0,3150.0,3173.75,95,3134.0
2008-05-06,3200.0,3230.0,3166.0,3195.25,185,3173.75
2008-05-07,3180.0,3180.0,3168.0,3178.0,65,3195.25
2008-05-08,3155.0,3155.0,3110.0,3121.5,80,3178.0
2008-05-11,3009.0,3130.0,3009.0,3073.25,130,3121.5
2008-05-12,3080.0,3165.0,3060.0,3108.25,35,3073.25
2008-05-13,3125.0,3125.0,3036.0,3088.5,70,3108.25
2008-05-14,3070.0,3250.0,3065.0,3112.5,90,3088.5
2008-05-15,3112.5,0.0,0.0,3112.5,0,3112.5
2008-05-18,3110.0,3421.0,3105.0,3333.0,300,3112.5
2008-05-20,3500.0,3666.25,3500.0,3664.75,155,3333.0
2008-05-21,3800.0,4000.0,3650.0,3699.0,715,3664.75
2008-05-22,3737.0,3737.0,3513.0,3595.5,95,3699.0
2008-05-25,3600.0,3950.0,3600.0,3880.25,625,3595.5
2008-05-26,3999.0,3999.0,3750.0,3813.0,95,3880.25
2008-05-27,3800.0,3800.0,3502.0,3681.75,60,3813.0
2008-05-28,3800.0,3800.0,3600.0,3733.25,15,3681.75
2008-05-29,3600.0,3600.0,3400.0,3460.25,50,3733.25
2008-06-01,3466.0,3466.0,3401.0,3436.5,85,3460.25
2008-06-02,3340.0,3400.0,3300.0,3300.0,365,3436.5
2008-06-03,3400.0,3450.0,3395.0,3402.5,85,3300.0
2008-06-04,3402.5,0.0,0.0,3402.5,0,3402.5
2008-06-05,3300.0,3310.0,3261.0,3288.5,125,3402.5
2008-06-08,3201.0,3205.0,3187.0,3195.5,50,3288.5
2008-06-09,3200.0,3200.0,3100.0,3138.25,220,3195.5
2008-06-10,3200.0,3200.0,3171.0,3190.25,15,3138.25
2008-06-11,3121.0,3121.0,3000.0,3096.75,125,3190.25
2008-06-12,3102.0,3102.0,3000.0,3011.25,210,3096.75
2008-06-15,3200.0,3200.0,3200.0,3200.0,10,3011.25
2008-06-16,3100.0,3150.0,3090.0,3119.5,70,3200.0
2008-06-17,3010.0,3170.0,3010.0,3049.25,55,3119.5
2008-06-18,3205.0,3250.0,3205.0,3237.25,70,3049.25
2008-06-19,3200.0,3200.0,3110.0,3133.75,65,3237.25
2008-06-22,3011.0,3020.0,3011.0,0.0,20,3133.75
2008-06-23,3000.0,3100.0,3000.0,3040.0,25,3013.5
2008-06-24,3197.0,3197.0,3197.0,3197.0,30,3040.0
2008-06-25,3026.0,3042.0,3026.0,3036.5,45,3197.0
2008-06-26,3240.0,3340.0,3200.0,3321.5,535,3036.5
2008-06-29,3151.0,3200.0,3110.0,3144.0,35,3321.5
2008-06-30,3144.0,0.0,0.0,3144.0,0,3144.0
2008-07-02,3122.0,3122.0,3045.0,3070.75,60,3144.0
2008-07-03,3200.0,3200.0,3150.0,3163.0,50,3070.75
2008-07-06,3151.0,3170.0,3150.0,3158.5,30,3163.0
2008-07-07,3200.0,3319.0,3160.0,3188.75,195,3158.5
2008-07-08,3152.0,3155.0,3151.0,3153.25,20,3188.75
2008-07-08,3152.0,3155.0,3151.0,3153.25,20,3188.75
2008-07-09,3100.0,3100.0,3100.0,3100.0,5,3153.25
2008-07-10,3100.0,3100.0,3068.25,3084.0,65,3100.0
2008-07-13,3081.0,3081.0,3081.0,3081.0,15,3084.0
2008-07-14,3090.0,3090.0,3060.0,3070.75,55,3081.0
2008-07-15,3052.0,3052.0,3050.0,3051.25,40,3070.75
2008-07-16,3002.0,3050.0,2979.0,3007.25,80,3051.25
2008-07-17,3007.25,0.0,0.0,3007.25,0,3007.25
2008-07-20,2875.0,2875.0,2871.0,2872.25,15,3007.25
2008-07-21,2890.0,3000.0,2890.0,2934.0,50,2872.25
2008-07-22,2860.0,2860.0,2750.0,2802.5,20,2934.0
2008-07-23,2700.0,2700.0,2700.0,2700.0,10,2802.5
2008-07-24,2700.0,0.0,0.0,2700.0,0,2700.0
2008-07-27,2700.0,0.0,0.0,2700.0,0,2700.0
2008-07-28,2900.0,2970.0,2900.0,2904.0,85,2700.0
2008-07-29,2790.0,2840.0,2735.0,2790.0,55,2904.0
2008-07-30,2725.0,2725.0,2710.0,2714.0,30,2790.0
2008-07-31,2750.0,2869.0,2750.0,2809.5,10,2714.0
2008-08-03,2700.0,2800.0,2700.0,2783.25,30,2809.5
2008-08-04,2700.0,2700.0,2700.0,2700.0,15,2783.25
2008-08-05,2780.0,2800.0,2780.0,2798.0,125,2700.0
2008-08-06,2750.0,2880.0,2750.0,2814.25,205,2798.0
2008-08-07,2890.0,2890.0,2700.0,2866.25,40,2814.25
2008-08-10,2690.0,2690.0,2690.0,2690.0,10,2866.25
2008-08-11,2660.0,2660.0,2610.0,2627.25,75,2690.0
2008-08-12,2610.0,2680.0,2610.0,2631.25,100,2627.25
2008-08-13,2615.0,2630.0,2600.0,2606.25,65,2631.25
2008-08-14,2501.0,2600.0,2501.0,2534.0,15,2606.25
