date,open,high,low,close,volume,prev_closing_price
2015-04-27,60.0,83.0,60.0,78.0,5805005,0.0
2015-04-29,80.0,80.0,65.3,66.6,1383626,78.0
2015-04-30,65.2,66.0,56.5,59.9,2408687,66.6
2015-05-04,62.0,62.0,45.8,47.1,1608341,59.9
2015-05-05,48.0,50.1,47.3,48.5,878245,47.1
2015-05-06,47.9,53.3,47.9,53.3,1283322,48.5
2015-05-07,54.9,57.5,53.7,54.4,1344188,53.3
2015-05-10,53.3,55.8,53.2,54.7,1459635,54.4
2015-05-11,54.8,54.9,51.5,51.7,1198254,54.7
2015-05-12,51.7,52.0,49.8,50.5,1054597,51.7
2015-05-13,0.0,0.0,0.0,50.5,0,50.5
2015-05-14,51.5,55.5,51.2,55.5,1583506,50.5
2015-05-17,57.8,61.0,56.3,57.9,2339616,55.5
2015-05-18,57.2,57.7,55.2,56.1,1683293,57.9
2015-05-19,57.5,61.2,57.3,59.6,1454624,56.1
2015-05-20,59.8,61.0,57.6,58.0,1035933,59.6
2015-05-21,58.5,58.5,56.8,57.0,878661,58.0
2015-05-24,58.5,59.5,57.1,58.4,504395,57.0
2015-05-25,63.0,64.2,63.0,64.2,555893,58.4
2015-05-26,67.7,70.4,65.5,68.0,2617218,64.2
2015-05-27,69.0,74.8,67.1,74.8,2035266,68.0
2015-05-28,74.1,80.0,74.1,75.4,1919718,74.8
2015-05-31,76.8,82.9,74.5,82.7,2102366,75.4
2015-06-01,84.8,84.8,74.5,76.4,1461207,82.7
2015-06-02,75.6,80.0,72.3,73.1,1628307,76.4
2015-06-04,74.4,77.5,72.6,75.5,1026971,73.1
2015-06-07,78.0,80.0,72.8,73.1,1444052,75.5
2015-06-08,74.5,75.0,68.0,68.9,1137074,73.1
2015-06-09,70.7,71.5,66.7,69.5,998902,68.9
2015-06-10,70.8,72.4,69.2,69.6,647844,69.5
2015-06-11,70.2,70.8,66.0,66.2,801436,69.6
2015-06-14,67.0,67.5,62.3,63.6,492181,66.2
2015-06-15,65.4,69.9,63.4,68.4,624723,63.6
2015-06-16,68.8,70.8,68.0,68.5,655965,68.4
2015-06-17,68.4,73.5,68.4,72.8,1116170,68.5
2015-06-18,73.5,76.9,73.2,74.8,1515772,72.8
2015-06-21,75.2,76.8,73.5,73.8,868222,74.8
2015-06-22,74.0,75.6,69.7,70.4,1030922,73.8
2015-06-23,71.4,71.8,68.5,68.9,596876,70.4
2015-06-24,68.9,72.2,68.4,70.6,720891,68.9
2015-06-25,70.8,71.9,69.5,70.8,550849,70.6
2015-06-28,71.6,73.5,71.6,72.7,840797,70.8
2015-06-29,72.7,74.5,72.7,73.7,920163,72.7
2015-06-30,74.9,76.9,74.4,75.3,1509974,73.7
2015-07-02,76.0,77.0,74.5,74.7,921379,75.3
2015-07-05,74.3,75.0,70.9,71.3,1061610,74.7
2015-07-06,71.5,71.9,70.1,70.5,677123,71.3
2015-07-07,71.2,73.5,71.2,71.7,541003,70.5
2015-07-08,72.3,73.2,70.5,70.9,510666,71.7
2015-07-09,72.2,72.2,70.9,71.5,701395,70.9
2015-07-12,71.9,72.5,70.7,71.0,496625,71.5
2015-07-13,71.0,71.2,69.4,69.8,583723,71.0
2015-07-14,70.0,76.7,70.0,76.7,2548912,69.8
2015-07-21,78.5,84.3,78.0,84.3,1106973,76.7
2015-07-22,86.4,87.0,82.5,84.6,4297592,84.3
2015-07-23,84.9,93.0,83.1,93.0,2171862,84.6
2015-07-26,95.0,95.0,88.4,88.8,1421805,93.0
2015-07-27,89.2,97.6,87.2,96.8,1808819,88.8
2015-07-28,95.0,98.5,94.1,96.1,1038858,96.8
2015-07-29,96.8,98.0,93.3,94.4,1021444,96.1
2015-07-30,95.0,99.0,94.6,97.2,750619,94.4
2015-08-02,99.0,106.9,97.5,105.3,1763414,97.2
2015-08-03,105.0,110.6,103.0,109.8,1073859,105.3
2015-08-04,110.0,113.0,103.6,104.7,1141056,109.8
2015-08-05,104.6,107.4,100.1,101.4,1592754,104.7
2015-08-06,103.9,109.5,102.8,108.9,1058446,101.4
2015-08-09,109.6,114.8,109.0,113.4,1291180,108.9
2015-08-10,112.3,115.0,107.6,108.7,1133004,113.4
2015-08-11,110.0,113.7,108.9,111.3,857669,108.7
2015-08-12,114.5,120.9,114.5,119.4,1163672,111.3
2015-08-13,121.7,123.9,115.8,117.1,1335931,119.4
2015-08-16,117.0,124.0,117.0,120.7,1118114,117.1
2015-08-17,122.1,124.0,115.9,117.0,788330,120.7
2015-08-18,117.4,119.7,113.8,115.2,688644,117.0
2015-08-19,116.1,118.0,112.5,114.8,589212,115.2
2015-08-20,115.4,121.6,114.3,120.8,846031,114.8
2015-08-23,121.0,122.0,117.9,118.7,519564,120.8
2015-08-24,119.0,120.0,115.7,116.9,344572,118.7
2015-08-25,117.0,118.9,114.0,115.2,751598,116.9
2015-08-26,116.9,117.0,113.0,113.9,514491,115.2
2015-08-27,114.1,114.9,112.0,112.7,517481,113.9
2015-08-30,113.0,113.0,110.0,110.5,418465,112.7
2015-08-31,110.0,111.5,105.9,107.0,374292,110.5
2015-09-01,107.0,113.0,104.0,107.9,654371,107.0
2015-09-02,112.4,113.9,108.6,109.1,333353,107.9
2015-09-03,109.5,109.7,105.0,106.8,430661,109.1
2015-09-06,107.0,110.1,106.2,109.0,362662,106.8
2015-09-07,110.0,115.6,109.1,114.5,861978,109.0
2015-09-08,116.9,117.7,112.7,113.4,847990,114.5
2015-09-09,114.4,114.4,110.1,111.2,321941,113.4
2015-09-10,113.0,119.9,113.0,119.1,1431485,111.2
2015-09-13,119.5,127.5,118.0,126.4,1576656,119.1
2015-09-14,126.0,128.0,122.2,123.1,654690,126.4
2015-09-15,123.5,132.2,123.3,130.9,1208063,123.1
2015-09-16,132.9,135.0,129.0,130.5,1130945,130.9
2015-09-17,130.5,133.8,127.0,131.8,778408,130.5
2015-09-20,134.9,138.0,132.3,132.8,775164,131.8
2015-09-21,132.2,134.9,129.9,131.8,619859,132.8
2015-09-22,130.3,137.2,130.3,137.0,669169,131.8
2015-09-28,138.9,140.4,136.0,137.0,512254,137.0
2015-09-29,137.3,137.8,131.9,132.4,591428,137.0
2015-09-30,133.0,134.7,130.6,131.3,391759,132.4
2015-10-01,131.1,132.8,128.5,130.9,418498,131.3
2015-10-04,131.0,131.5,126.0,126.7,269699,130.9
2015-10-05,127.5,131.7,126.6,131.1,411156,126.7
2015-10-06,132.4,134.2,131.0,132.8,505330,131.1
2015-10-07,132.5,134.4,130.0,130.8,411604,132.8
2015-10-08,130.0,131.0,127.5,127.8,291680,130.8
2015-10-11,127.9,127.9,122.8,125.5,472397,127.8
2015-10-12,126.7,129.8,123.9,128.5,438471,125.5
2015-10-13,128.9,132.0,123.3,124.7,599292,128.5
2015-10-14,124.4,124.4,119.9,120.6,382965,124.7
2015-10-15,122.7,124.0,118.3,119.9,287545,120.6
2015-10-18,123.0,126.0,120.5,122.2,598952,119.9
2015-10-19,122.9,124.5,120.5,122.4,205883,122.2
2015-10-20,123.8,123.9,121.5,121.9,330147,122.4
2015-10-21,122.0,123.5,120.2,121.3,294558,121.9
2015-10-25,121.0,121.0,116.2,117.1,384573,121.3
2015-10-26,116.5,119.0,114.5,115.1,207641,117.1
2015-10-27,114.6,116.0,111.9,112.5,176320,115.1
2015-10-28,113.0,118.6,110.3,117.1,337970,112.5
2015-10-29,118.0,118.9,114.8,115.6,235964,117.1
2015-11-01,114.0,114.0,111.0,112.4,257409,115.6
2015-11-02,112.5,119.0,112.5,118.5,361247,112.4
2015-11-03,120.8,124.7,117.1,123.7,547842,118.5
2015-11-04,123.0,123.5,119.5,120.5,430474,123.7
2015-11-05,120.9,128.9,120.3,126.9,878919,120.5
2015-11-08,127.5,133.2,125.7,127.9,759744,126.9
2015-11-09,128.9,129.5,124.2,125.7,515594,127.9
2015-11-10,127.8,127.8,120.0,121.0,444654,125.7
2015-11-11,122.1,125.8,120.4,121.1,287273,121.0
2015-11-12,122.6,125.3,121.7,123.4,282823,121.1
2015-11-15,123.3,131.1,123.2,128.5,693487,123.4
2015-11-16,130.0,132.5,128.8,131.2,511566,128.5
2015-11-17,132.4,135.0,130.5,130.9,586325,131.2
2015-11-18,131.0,134.0,129.1,130.9,332252,130.9
2015-11-19,132.8,134.5,130.5,130.9,387674,130.9
2015-11-22,132.7,133.5,130.4,131.2,310463,130.9
2015-11-23,131.3,132.7,125.8,126.4,434018,131.2
2015-11-24,128.0,129.0,125.3,125.7,232473,126.4
2015-11-25,126.2,127.9,124.2,124.8,216136,125.7
2015-11-26,125.0,128.0,123.0,123.8,263739,124.8
2015-11-29,125.9,130.4,124.6,129.7,286646,123.8
2015-11-30,131.0,134.0,130.5,133.0,619492,129.7
2015-12-01,132.2,134.6,128.2,130.8,462254,133.0
2015-12-02,131.4,134.7,129.9,133.9,690064,130.8
2015-12-03,134.9,136.4,131.9,132.5,386673,133.9
2015-12-06,133.0,133.1,128.0,129.3,329211,132.5
2015-12-07,131.4,131.5,127.0,127.7,189163,129.3
2015-12-08,130.8,130.8,125.2,126.0,263967,127.7
2015-12-09,129.8,132.0,126.5,127.3,303663,126.0
2015-12-10,127.6,128.4,125.2,125.6,187145,127.3
2015-12-13,127.2,127.4,124.8,125.1,186437,125.6
2015-12-14,129.0,129.0,122.9,123.7,188440,125.1
2015-12-15,124.9,124.9,121.7,122.4,243159,123.7
2015-12-17,126.7,126.7,121.4,122.0,104885,122.4
2015-12-20,123.8,123.8,120.0,120.8,194123,122.0
2015-12-21,123.0,127.8,121.7,126.5,219044,120.8
2015-12-22,126.8,127.1,122.0,123.3,193586,126.5
2015-12-23,125.0,125.5,122.7,123.1,212412,123.3
2015-12-24,123.9,124.8,122.0,122.4,270304,123.1
2015-12-27,124.6,124.6,121.8,122.4,174409,122.4
2015-12-28,123.7,123.7,120.9,121.1,205423,122.4
2015-12-29,122.8,125.3,121.3,125.0,201075,121.1
2015-12-30,125.4,129.3,125.3,127.0,650467,125.0
2015-12-31,126.4,132.8,126.0,131.6,533277,127.0
2016-01-03,132.9,133.6,130.8,131.5,529353,131.6
2016-01-04,132.9,132.9,127.1,128.2,402504,131.5
2016-01-05,130.7,134.8,128.6,133.8,613540,128.2
2016-01-06,135.5,138.0,135.0,137.2,629147,133.8
2016-01-07,138.0,138.4,134.0,134.8,327070,137.2
2016-01-10,137.5,137.5,128.7,129.7,380230,134.8
2016-01-11,129.2,132.4,128.0,129.0,229966,129.7
2016-01-12,129.7,130.1,126.0,126.6,244327,129.0
2016-01-13,129.0,129.3,124.5,125.3,227727,126.6
2016-01-14,126.6,128.4,124.0,125.2,222785,125.3
2016-01-17,125.7,127.5,123.1,123.8,243683,125.2
2016-01-18,124.6,125.8,122.5,124.6,289339,123.8
2016-01-19,125.2,126.0,124.2,124.6,132926,124.6
2016-01-20,125.8,125.8,124.0,124.4,140240,124.6
2016-01-21,124.4,124.5,123.8,124.1,67417,124.4
2016-01-24,124.5,124.5,121.2,123.7,143343,124.1
2016-01-25,124.0,125.0,120.5,121.3,211371,123.7
2016-01-26,121.7,122.8,120.5,122.0,117427,121.3
2016-01-27,123.0,124.5,120.0,120.5,168072,122.0
2016-01-28,122.6,122.6,118.0,119.1,106959,120.5
2016-01-31,119.1,119.2,116.5,116.9,112285,119.1
2016-02-01,117.9,121.5,115.1,120.1,114370,116.9
2016-02-02,121.9,124.1,120.1,120.5,228397,120.1
2016-02-03,121.9,122.4,117.5,117.8,172299,120.5
