date,open,high,low,close,volume,prev_closing_price
2009-01-18,450.0,547.0,399.0,529.5,519200,100.0
2009-01-19,530.0,544.0,491.25,517.25,201850,529.5
2009-01-20,516.0,530.0,492.5,498.5,96000,517.25
2009-01-21,485.0,525.0,480.5,506.75,256300,498.5
2009-01-22,515.0,515.0,494.0,501.25,105650,506.75
2009-01-25,510.0,511.0,481.5,483.5,85000,501.25
2009-01-26,473.25,484.75,455.0,457.75,151450,483.5
2009-01-27,454.0,469.0,442.5,444.5,112900,457.75
2009-01-28,449.0,466.75,445.0,456.0,66050,444.5
2009-01-29,450.0,463.0,438.5,439.75,79350,456.0
2009-02-01,437.0,444.0,421.25,435.75,109600,439.75
2009-02-02,448.5,455.0,436.25,439.5,56650,435.75
2009-02-03,438.0,443.75,429.0,432.0,58550,439.5
2009-02-04,436.75,438.75,422.5,424.75,58950,432.0
2009-02-05,418.0,427.0,415.0,417.5,82150,424.75
2009-02-08,420.0,423.0,397.0,399.0,89800,417.5
2009-02-09,395.0,401.0,385.0,387.5,69350,399.0
2009-02-10,390.0,396.0,379.5,385.75,38250,387.5
2009-02-11,395.0,395.0,365.25,369.75,37350,385.75
2009-02-12,388.0,389.0,373.0,382.25,54400,369.75
2009-02-15,389.75,394.25,384.5,385.75,45950,382.25
2009-02-16,382.0,453.0,382.0,449.25,177200,385.75
2009-02-17,460.0,465.0,433.0,443.75,120350,449.25
2009-02-18,453.0,475.0,441.5,464.25,133200,443.75
2009-02-19,457.0,483.0,450.0,472.75,172900,464.25
2009-02-22,484.0,499.0,470.0,492.5,124550,472.75
2009-02-23,498.75,511.0,472.0,478.5,117850,492.5
2009-02-24,475.0,494.75,461.0,464.75,122550,478.5
2009-02-25,469.0,469.5,435.25,456.0,161700,464.75
2009-02-26,463.0,464.0,438.0,447.75,99500,456.0
2009-03-01,460.0,474.0,454.0,455.75,89900,447.75
2009-03-02,452.0,464.0,446.0,450.75,83250,455.75
2009-03-03,448.25,455.75,442.0,444.25,67900,450.75
2009-03-04,443.0,450.0,435.75,438.5,58400,444.25
2009-03-05,438.25,444.75,433.0,436.5,61600,438.5
2009-03-08,441.0,464.0,434.0,452.25,74300,436.5
2009-03-09,462.0,480.0,455.5,475.25,128800,452.25
2009-03-11,474.0,499.0,474.0,489.75,183050,475.25
2009-03-12,498.0,538.0,494.0,531.5,312700,489.75
2009-03-15,540.0,575.0,526.0,562.0,227450,531.5
2009-03-16,570.0,570.0,520.0,526.5,170950,562.0
2009-03-17,523.25,539.0,510.0,521.5,124850,526.5
2009-03-18,539.0,570.0,535.25,557.0,215050,521.5
2009-03-19,570.0,640.5,570.0,640.25,351900,557.0
2009-03-22,648.0,685.0,614.25,622.5,191700,640.25
2009-03-23,620.0,709.0,605.0,700.0,310350,622.5
2009-03-24,699.0,735.0,668.0,679.75,229550,700.0
2009-03-25,682.0,695.0,655.25,663.0,132200,679.75
2009-03-29,650.0,671.0,610.0,615.5,99950,663.0
2009-03-30,629.0,678.0,616.5,667.25,111600,615.5
2009-03-31,679.75,684.75,631.0,642.75,120150,667.25
