date,open,high,low,close,volume,prev_closing_price
2008-03-06,65.3,69.7,65.0,67.8,1347300,64.7
2008-03-09,68.5,69.4,66.6,67.2,969350,67.8
2008-03-09,68.5,69.4,66.6,67.2,969350,67.8
2008-03-10,67.4,67.5,65.5,65.8,710250,67.2
2008-03-11,65.6,66.4,64.1,64.3,688700,65.8
2008-03-12,64.6,65.4,64.2,64.5,362450,64.3
2008-03-13,64.5,66.5,64.5,65.0,667800,64.5
2008-03-16,66.0,68.6,65.3,68.0,1006150,65.0
2008-03-17,68.9,71.5,68.0,70.9,1758500,68.0
2008-03-18,71.0,72.6,69.7,69.9,1121200,70.9
2008-03-19,69.0,72.6,69.0,71.7,1279300,69.9
2008-03-20,72.9,76.6,72.9,75.8,2194500,71.7
2008-03-23,77.0,83.5,77.0,79.8,2349650,75.8
2008-03-24,80.5,81.0,76.0,78.1,1181050,79.8
2008-03-25,78.0,80.0,76.7,79.1,1122400,78.1
2008-03-30,80.5,80.9,77.1,77.9,1011550,79.1
2008-03-31,77.5,78.5,76.0,76.2,1298100,77.9
2008-04-01,76.0,80.6,76.0,80.0,1222600,76.2
2008-04-02,80.7,82.3,78.9,79.3,1045800,80.0
2008-04-03,79.8,84.9,79.8,84.3,2080250,79.3
2008-04-06,85.0,86.3,83.0,84.5,1204300,84.3
2008-04-07,84.9,85.5,82.7,83.2,965650,84.5
2008-04-08,83.0,83.3,81.4,81.5,855350,83.2
2008-04-09,82.0,84.6,81.5,83.3,987050,81.5
2008-04-10,83.5,84.7,81.8,82.1,816550,83.3
2008-04-13,82.1,83.9,82.0,83.2,705500,82.1
2008-04-15,83.5,86.0,83.5,85.6,1339850,83.2
2008-04-16,86.1,90.0,86.1,88.5,1350150,85.6
2008-04-17,89.9,90.0,85.9,86.5,878900,88.5
2008-04-20,85.9,88.8,85.0,85.3,846500,86.5
2008-04-21,86.4,88.0,85.0,85.3,847050,85.3
2008-04-22,86.0,87.0,85.1,85.5,807600,85.3
2008-04-23,85.6,86.9,85.0,85.3,665850,85.5
2008-04-24,85.3,85.8,84.3,84.7,519000,85.3
2008-04-27,85.0,85.9,83.6,83.8,579050,84.7
2008-04-28,83.5,83.8,80.9,81.1,765150,83.8
2008-04-29,80.7,81.8,79.3,79.7,468600,81.1
2008-04-30,80.0,80.1,76.4,77.6,607150,79.7
2008-05-04,77.5,81.3,74.8,79.5,673600,77.6
2008-05-05,81.0,81.0,77.1,77.4,486200,79.5
2008-05-06,78.0,78.3,76.0,76.3,853450,77.4
2008-05-07,75.6,76.8,70.2,75.9,1019300,76.3
2008-05-08,76.0,76.1,73.9,74.9,631850,75.9
2008-05-11,73.6,74.8,72.5,72.8,504050,74.9
2008-05-12,72.4,73.8,70.5,72.5,669950,72.8
2008-05-13,71.1,75.4,70.5,73.2,451800,72.5
2008-05-14,73.3,74.8,73.0,73.2,181000,73.2
2008-05-15,73.2,73.9,71.8,71.9,269300,73.2
2008-05-18,71.4,72.5,70.6,71.1,810600,71.9
2008-05-20,71.5,73.3,71.4,72.3,315200,71.1
2008-05-21,74.0,74.6,72.4,73.6,589750,72.3
2008-05-22,73.9,77.0,73.7,75.2,599250,73.6
2008-05-25,76.4,76.5,74.8,75.0,597150,75.2
2008-05-26,76.4,84.0,76.4,81.3,1451100,75.0
2008-05-27,82.9,84.7,77.7,78.2,594900,81.3
2008-05-28,78.0,81.2,77.6,80.5,784250,78.2
2008-05-29,82.0,83.0,79.5,79.7,820550,80.5
2008-06-01,82.9,88.9,82.9,83.7,2077200,79.7
2008-06-02,84.8,84.9,82.5,83.2,612600,83.7
2008-06-03,84.0,84.0,81.8,82.1,626500,83.2
2008-06-04,83.1,85.0,81.9,83.6,799050,82.1
2008-06-05,84.9,89.0,84.1,88.4,1917300,83.6
2008-06-08,89.2,106.0,89.2,103.8,4401400,88.4
2008-06-09,103.9,103.9,93.5,97.1,2275300,103.8
2008-06-10,92.2,97.0,90.3,93.4,2248550,97.1
2008-06-11,94.0,97.0,90.1,90.8,1672000,93.4
2008-06-12,94.8,96.6,90.5,93.0,1029300,90.8
2008-06-15,95.0,98.4,93.6,95.5,1039800,93.0
2008-06-16,96.0,97.3,92.5,0.0,1160600,95.5
2008-06-17,98.0,104.9,98.0,103.8,2281050,96.9
2008-06-18,104.9,107.9,102.0,0.0,1821250,103.8
2008-06-19,103.9,105.3,100.7,101.0,1348100,103.0
2008-06-22,102.1,102.8,95.5,0.0,1202800,101.0
2008-06-23,97.0,97.4,93.6,0.0,955450,96.2
2008-06-24,96.4,101.5,95.4,99.4,1194800,94.3
2008-06-25,101.0,102.0,95.4,96.1,1129400,99.4
2008-06-26,96.2,97.0,95.3,96.0,532300,96.1
2008-06-29,95.0,96.8,93.0,96.1,493800,96.0
2008-06-30,96.9,100.0,96.3,98.7,1165450,96.1
2008-07-02,98.7,0.0,0.0,98.7,0,98.7
2008-07-03,90.2,93.0,88.0,90.1,1339850,98.7
2008-07-06,91.4,98.0,91.4,96.7,1209450,90.1
2008-07-07,97.9,98.7,93.3,94.4,1032550,96.7
2008-07-08,94.9,97.5,92.1,96.7,1152950,94.4
2008-07-08,94.9,97.5,92.1,96.7,1152950,94.4
2008-07-09,97.4,98.5,94.4,95.9,504550,96.7
2008-07-10,98.0,107.1,98.0,106.5,3503450,95.9
2008-07-13,108.0,111.4,103.5,104.7,2347350,106.5
2008-07-14,103.4,105.9,99.9,100.8,2067700,104.7
2008-07-15,100.1,103.9,96.3,102.7,1957650,100.8
2008-07-16,104.9,108.2,103.8,107.5,2367400,102.7
2008-07-17,108.0,116.8,108.0,114.3,3269550,107.5
2008-07-20,112.0,118.5,108.0,117.7,3056350,114.3
2008-07-21,119.0,129.0,110.0,114.3,3489800,117.7
2008-07-22,118.0,120.0,110.4,110.9,2223600,114.3
2008-07-23,110.0,117.0,110.0,113.5,1185250,110.9
2008-07-24,115.0,118.8,113.0,115.5,1368350,113.5
2008-07-27,116.7,116.7,112.0,112.4,1396650,115.5
2008-07-28,113.0,117.0,109.0,116.1,2382800,112.4
2008-07-29,116.6,117.4,112.0,112.4,1446400,116.1
2008-07-30,112.5,114.8,106.5,107.6,2492900,112.4
2008-07-31,106.0,107.7,100.4,102.5,1930950,107.6
2008-08-03,99.0,102.8,95.6,100.1,1184400,102.5
2008-08-04,102.7,102.7,98.3,100.8,813950,100.1
2008-08-05,102.8,111.3,100.5,110.7,2091050,100.8
2008-08-06,112.0,115.5,109.0,111.3,1727600,110.7
2008-08-07,110.0,111.2,107.1,108.1,1090850,111.3
2008-08-10,110.5,112.2,106.1,107.1,1218700,108.1
2008-08-11,107.1,111.0,102.5,109.5,1464600,107.1
2008-08-12,111.9,112.2,109.2,111.0,1343300,109.5
2008-08-13,111.0,115.3,110.0,111.8,2815550,111.0
2008-08-14,113.8,115.3,111.3,114.8,2101300,111.8
2008-08-18,115.9,118.6,115.0,116.4,1777100,114.8
2008-08-19,116.0,117.2,111.5,111.9,1102200,116.4
2008-08-20,114.8,115.0,111.2,111.7,1183600,111.9
2008-08-21,113.9,116.0,112.6,114.3,1515750,111.7
2008-08-25,115.8,116.0,113.4,113.7,784850,114.3
2008-08-26,115.0,115.9,113.6,114.6,1011950,113.7
2008-08-27,115.4,116.9,113.6,115.2,1675750,114.6
2008-08-28,116.5,116.9,110.7,111.8,1561650,115.2
2008-08-31,111.2,112.0,107.6,109.3,940000,111.8
2008-09-01,107.9,113.8,107.1,113.4,1175750,109.3
2008-09-02,113.5,113.6,110.1,110.5,442500,113.4
2008-09-03,111.4,113.4,109.5,111.7,697250,110.5
2008-09-04,113.3,113.3,109.9,110.2,815850,111.7
2008-09-07,112.8,112.8,110.3,111.3,805450,110.2
2008-09-08,112.3,114.0,112.0,112.8,731650,111.3
2008-09-09,113.8,114.8,112.6,112.8,725500,112.8
2008-09-10,113.2,114.1,112.0,112.3,982700,112.8
2008-09-11,113.6,113.6,110.5,110.6,805450,112.3
2008-09-14,112.8,112.8,109.9,110.2,569650,110.6
2008-09-15,110.0,113.1,110.0,110.7,674950,110.2
2008-09-16,110.7,118.0,110.7,117.0,2699500,110.7
2008-09-17,118.0,125.0,118.0,123.5,3508300,117.0
2008-09-18,124.6,124.6,118.5,119.1,1481250,123.5
2008-09-21,119.8,123.0,118.2,118.6,1504450,119.1
2008-09-22,118.5,119.5,115.1,115.5,1436600,118.6
2008-09-23,117.0,122.0,115.7,121.4,1884700,115.5
2008-09-24,122.3,131.5,122.3,130.4,3351450,121.4
2008-09-25,132.0,138.0,132.0,136.5,2463000,130.4
2008-10-05,139.0,145.0,134.6,144.2,2013850,136.5
2008-10-06,144.6,149.0,135.2,136.7,3388650,144.2
2008-10-07,139.0,142.0,135.6,140.2,2081600,136.7
2008-10-08,142.0,148.0,142.0,147.8,2080400,140.2
2008-10-12,149.5,158.0,141.2,153.7,4126600,147.8
2008-10-13,158.0,173.8,157.0,171.9,3625250,153.7
2008-10-14,174.9,177.0,165.0,171.2,2937150,171.9
