date,open,high,low,close,volume,prev_closing_price
2017-01-12,10.8,19.0,10.1,11.3,2732455,0.0
2017-01-15,11.9,14.9,11.9,14.0,410399,11.3
2017-01-16,14.0,14.0,12.6,12.6,1042344,14.0
2017-01-17,12.0,12.3,11.5,11.8,799872,12.6
2017-01-18,12.0,12.2,11.3,11.4,703131,11.8
2017-01-19,11.5,12.0,11.3,11.4,507190,11.4
2017-01-22,11.8,12.0,11.3,11.5,770431,11.4
2017-01-23,11.6,11.8,11.2,11.3,373620,11.5
2017-01-24,11.2,11.6,10.7,11.1,315289,11.3
2017-01-25,11.2,11.2,10.4,10.6,309641,11.1
2017-01-26,10.8,10.8,10.3,10.4,227105,10.6
2017-01-29,10.6,10.8,10.1,10.2,138986,10.4
2017-01-30,10.2,10.4,10.0,10.1,128126,10.2
2017-01-31,10.0,10.3,10.0,10.1,98650,10.1
2017-02-01,10.0,10.4,10.0,10.2,178746,10.1
2017-02-02,10.3,10.3,9.9,10.0,181525,10.2
2017-02-05,10.0,10.1,9.8,9.9,123537,10.0
2017-02-06,9.8,10.2,9.8,10.0,69019,9.9
2017-02-07,10.1,10.2,9.9,10.0,44057,10.0
2017-02-08,10.2,10.3,10.1,10.2,111767,10.0
2017-02-09,10.3,10.4,10.2,10.3,54803,10.2
2017-02-12,10.2,10.4,10.2,10.3,42260,10.3
2017-02-13,10.3,10.3,10.0,10.0,78325,10.3
2017-02-14,10.2,10.2,10.0,10.0,69920,10.0
2017-02-15,10.0,10.1,9.8,10.0,94450,10.0
2017-02-16,10.0,10.0,9.8,9.9,57081,10.0
2017-02-19,10.0,10.0,9.8,9.9,97185,9.9
2017-02-20,10.1,10.1,9.8,9.8,17310,9.9
2017-02-22,10.0,10.0,9.7,9.8,48530,9.8
2017-02-23,10.0,10.0,9.8,9.9,53095,9.8
2017-02-26,9.8,10.0,9.7,9.8,62881,9.9
2017-02-27,9.9,9.9,9.7,9.7,33160,9.8
2017-02-28,9.9,9.9,9.6,9.6,211925,9.7
2017-03-01,9.7,9.8,9.5,9.5,59980,9.6
2017-03-02,9.6,9.7,9.3,9.6,52892,9.5
2017-03-05,9.5,9.7,9.3,9.6,76745,9.6
2017-03-06,9.4,9.7,9.3,9.4,17855,9.6
2017-03-07,9.4,9.5,9.3,9.4,40485,9.4
2017-03-08,9.4,9.5,9.2,9.2,75060,9.4
2017-03-09,9.3,9.3,8.9,9.0,86498,9.2
2017-03-12,9.2,9.2,8.9,8.9,65065,9.0
2017-03-13,9.0,9.0,8.7,8.9,45220,8.9
2017-03-14,9.0,9.2,8.9,9.1,50608,8.9
2017-03-15,9.2,9.3,8.9,9.1,65740,9.1
2017-03-16,9.2,9.2,9.0,9.1,41870,9.1
2017-03-19,9.0,9.1,8.8,8.9,64011,9.1
2017-03-20,9.0,9.0,8.8,8.9,67179,8.9
2017-03-21,8.9,9.1,8.8,8.9,68295,8.9
2017-03-22,9.0,9.0,8.8,8.8,85947,8.9
2017-03-23,9.0,9.0,8.8,8.9,27250,8.8
2017-03-27,9.0,9.1,8.9,9.0,18205,8.9
2017-03-28,8.9,9.0,8.8,8.9,3675,9.0
2017-03-29,8.9,8.9,8.6,8.7,74984,8.9
2017-03-30,8.9,8.9,8.7,8.7,5001,8.7
2017-04-02,8.7,8.7,8.6,8.7,15750,8.7
2017-04-03,8.7,8.8,8.7,8.7,3100,8.7
2017-04-04,8.8,8.9,8.8,8.8,7400,8.7
2017-04-05,8.7,8.7,8.6,8.6,31400,8.8
2017-04-06,8.7,8.8,8.7,8.7,24530,8.6
2017-04-09,8.7,8.8,8.6,8.7,5993,8.7
2017-04-10,8.7,8.8,8.6,8.6,37568,8.7
2017-04-11,8.8,8.8,8.7,8.8,11400,8.6
2017-04-12,8.9,8.9,8.6,8.7,15785,8.8
2017-04-13,8.8,8.9,8.7,8.8,10700,8.7
2017-04-16,8.8,8.8,8.6,8.7,6209,8.8
2017-04-17,8.8,8.9,8.5,8.6,31900,8.7
2017-04-18,8.7,9.1,8.7,8.9,121535,8.6
2017-04-19,8.9,9.1,8.9,8.9,36920,8.9
2017-04-20,9.0,9.0,8.8,8.9,5700,8.9
2017-04-23,8.8,9.0,8.8,8.9,49241,8.9
2017-04-24,8.9,9.0,8.7,8.9,37590,8.9
2017-04-25,8.9,9.0,8.6,8.8,30160,8.9
2017-04-26,8.8,9.0,8.8,8.9,3230,8.8
2017-04-27,8.8,8.9,8.6,8.8,27960,8.9
2017-04-30,8.8,8.8,8.7,8.7,4100,8.8
2017-05-02,8.7,8.8,8.6,8.6,56210,8.7
2017-05-03,8.6,8.8,8.6,8.7,12061,8.6
2017-05-04,8.7,8.8,8.6,8.6,24750,8.7
2017-05-07,8.6,8.8,8.6,8.6,20000,8.6
2017-05-08,8.7,8.9,8.7,8.9,30461,8.6
2017-05-09,8.9,8.9,8.6,8.6,45680,8.9
2017-05-11,8.5,8.8,8.5,8.6,3690,8.6
2017-05-14,8.6,8.8,8.6,8.8,12120,8.6
2017-05-15,8.7,8.8,8.6,8.6,15364,8.8
2017-05-16,8.6,8.8,8.6,8.6,5570,8.6
2017-05-17,8.6,8.7,8.5,8.6,34615,8.6
2017-05-18,8.6,8.7,8.5,8.6,15809,8.6
2017-05-21,8.5,8.6,8.5,8.5,14560,8.6
2017-05-22,8.5,8.7,8.5,8.6,8050,8.5
2017-05-23,8.6,8.7,8.6,8.7,20831,8.6
2017-05-24,8.6,8.8,8.6,8.7,31015,8.7
2017-05-25,8.6,8.8,8.6,8.7,16010,8.7
2017-05-28,8.6,8.7,8.6,8.6,10000,8.7
2017-05-29,8.6,8.6,8.6,8.6,9200,8.6
2017-05-30,8.6,8.7,8.6,8.6,2925,8.6
2017-05-31,8.6,8.8,8.6,8.7,28960,8.6
2017-06-01,8.7,8.9,8.6,8.8,45190,8.7
2017-06-04,8.7,8.9,8.7,8.8,13250,8.8
2017-06-05,8.7,8.9,8.7,8.9,45877,8.8
2017-06-06,8.8,9.0,8.8,8.9,54087,8.9
2017-06-07,8.7,9.0,8.7,8.9,15720,8.9
2017-06-08,8.7,8.9,8.7,8.8,5140,8.9
2017-06-11,8.7,8.9,8.7,8.8,2160,8.8
2017-06-12,8.7,8.9,8.7,8.8,10980,8.8
2017-06-13,8.8,8.9,8.8,8.8,15720,8.8
2017-06-14,8.7,8.9,8.7,8.7,33710,8.8
2017-06-15,8.7,8.9,8.7,8.8,6040,8.7
2017-06-18,8.7,8.9,8.7,8.8,10650,8.8
2017-06-19,8.7,8.9,8.7,8.8,1490,8.8
2017-06-20,8.7,8.9,8.7,8.8,2060,8.8
2017-06-21,8.7,8.9,8.7,8.8,13030,8.8
2017-06-22,8.8,9.0,8.8,8.9,4610,8.8
2017-06-28,8.8,9.4,8.8,9.1,78050,8.9
2017-06-29,9.0,9.2,9.0,9.2,47240,9.1
2017-07-02,9.0,9.4,9.0,9.3,99798,9.2
2017-07-03,9.1,9.4,9.1,9.3,39337,9.3
2017-07-04,9.1,9.5,9.1,9.4,60235,9.3
2017-07-05,9.1,9.8,9.1,9.8,146902,9.4
2017-07-06,9.4,9.9,9.4,9.6,80932,9.8
2017-07-09,9.4,9.6,9.4,9.5,42922,9.6
2017-07-10,9.4,9.8,9.4,9.7,35040,9.5
2017-07-11,9.4,9.8,9.4,9.6,110536,9.7
2017-07-12,9.4,9.8,9.4,9.6,104709,9.6
2017-07-13,9.6,9.8,9.6,9.7,60125,9.6
2017-07-16,9.5,9.8,9.5,9.7,55859,9.7
2017-07-17,9.7,9.9,9.7,9.8,163428,9.7
2017-07-18,9.6,9.9,9.6,9.7,33476,9.8
2017-07-19,9.7,10.2,9.7,9.9,257470,9.7
2017-07-20,9.6,10.2,9.6,9.8,39270,9.9
2017-07-23,9.6,9.9,9.6,9.7,15340,9.8
2017-07-24,9.6,9.9,9.6,9.8,105560,9.7
2017-07-25,9.7,9.9,9.7,9.8,44160,9.8
2017-07-26,9.7,9.9,9.7,9.8,18414,9.8
2017-07-27,9.7,9.8,9.7,9.7,17590,9.8
2017-07-30,9.5,9.9,9.5,9.7,256770,9.7
2017-07-31,9.4,9.9,9.4,9.8,77119,9.7
2017-08-01,9.4,9.9,9.4,9.8,59012,9.8
2017-08-02,9.4,9.8,9.4,9.6,45229,9.8
2017-08-03,9.9,9.9,9.5,9.7,103892,9.6
2017-08-06,9.7,10.3,9.7,10.0,304997,9.7
2017-08-07,10.0,10.1,9.7,9.7,417351,10.0
2017-08-08,9.8,10.0,9.8,9.9,113986,9.7
2017-08-09,9.9,9.9,9.7,9.8,85916,9.9
2017-08-10,9.7,9.9,9.7,9.7,29825,9.8
2017-08-13,9.5,9.5,9.0,9.2,83730,9.7
2017-08-16,9.3,9.3,8.9,9.0,80391,9.2
2017-08-17,8.5,9.2,8.5,8.8,89703,9.0
2017-08-20,8.7,9.0,8.7,8.8,38741,8.8
2017-08-21,8.7,8.9,8.7,8.9,56707,8.8
2017-08-22,8.7,9.0,8.7,9.0,28914,8.9
2017-08-23,8.9,9.1,8.9,9.0,41100,9.0
2017-08-24,8.8,9.1,8.8,9.0,28947,9.0
2017-08-27,8.9,9.1,8.9,9.1,25402,9.0
2017-08-28,8.9,9.1,8.9,8.9,10800,9.1
2017-08-29,9.0,9.0,8.9,8.9,18300,8.9
2017-08-30,8.9,9.0,8.9,9.0,16154,8.9
2017-08-31,8.7,9.1,8.7,8.8,13010,9.0
2017-09-04,8.9,8.9,8.8,8.8,12480,8.8
2017-09-05,8.6,8.9,8.6,8.8,12044,8.8
2017-09-06,8.7,8.8,8.5,8.6,48971,8.8
2017-09-07,8.5,8.8,8.5,8.6,29177,8.6
2017-09-10,0.0,0.0,0.0,8.6,0,8.6
2017-09-11,8.6,8.7,8.6,8.6,91308,8.6
2017-09-12,8.6,8.8,8.6,8.7,3756,8.6
2017-09-13,8.9,8.9,8.6,8.7,62566,8.7
2017-09-14,8.8,8.8,8.7,8.7,10471,8.7
2017-09-17,8.6,8.8,8.6,8.7,1828,8.7
2017-09-18,8.7,8.8,8.6,8.6,28705,8.7
2017-09-19,8.8,8.8,8.7,8.7,35073,8.6
2017-09-20,8.7,8.7,8.4,8.5,81825,8.7
2017-09-21,8.7,8.8,8.5,8.6,78800,8.5
2017-09-24,8.5,8.8,8.5,8.7,53560,8.6
2017-09-25,8.6,8.8,8.6,8.7,5681,8.7
2017-09-26,8.7,8.8,8.6,8.7,29710,8.7
2017-09-27,8.6,8.8,8.5,8.6,39001,8.7
2017-09-28,8.5,8.7,8.4,8.5,79964,8.6
2017-10-02,8.4,8.6,8.4,8.4,22102,8.5
2017-10-03,8.3,8.6,8.3,8.5,13200,8.4
2017-10-04,8.4,8.6,8.4,8.5,52191,8.5
2017-10-05,8.5,8.6,8.5,8.5,1180,8.5
2017-10-08,8.6,8.6,8.5,8.5,3701,8.5
2017-10-09,8.4,8.7,8.4,8.6,83498,8.5
2017-10-10,0.0,0.0,0.0,8.6,0,8.6
2017-10-11,8.5,8.8,8.5,8.5,111,8.6
2017-10-12,8.1,8.7,8.0,8.5,6263,8.5
2017-10-15,8.6,8.6,8.1,8.2,12600,8.5
2017-10-16,8.2,8.6,8.2,8.3,12369,8.2
2017-10-17,8.4,8.4,8.4,8.4,5150,8.3
2017-10-18,8.3,8.3,8.2,8.3,3500,8.4
2017-10-19,8.4,8.5,8.3,8.4,11000,8.3
2017-10-22,8.2,8.4,8.2,8.4,10990,8.4
2017-10-23,8.5,8.5,8.5,8.5,12,8.4
2017-10-24,8.2,8.2,8.0,8.1,11810,8.5
2017-10-25,8.1,8.1,8.1,8.1,15110,8.1
2017-10-26,8.4,8.4,8.1,8.4,8220,8.1
2017-10-29,8.4,8.4,8.0,8.2,20980,8.4
2017-10-30,8.0,8.4,7.7,7.9,9711,8.2
2017-10-31,8.3,8.3,7.9,7.9,37330,7.9
2017-11-01,8.2,8.3,7.9,8.1,18590,7.9
2017-11-02,8.3,8.3,8.1,8.2,20450,8.1
2017-11-05,8.3,8.3,8.2,8.3,5600,8.2
2017-11-06,8.3,8.3,8.0,8.1,20321,8.3
2017-11-07,8.1,8.1,7.9,8.0,47006,8.1
2017-11-08,8.0,8.2,7.9,8.0,29001,8.0
2017-11-09,7.9,8.1,7.9,8.0,12200,8.0
2017-11-12,8.0,8.2,7.8,7.9,76295,8.0
2017-11-13,8.0,8.1,8.0,8.1,2600,7.9
2017-11-14,8.0,8.1,7.8,7.8,160177,8.1
2017-11-15,8.0,8.0,7.7,7.8,4598,7.8
2017-11-16,7.9,7.9,7.7,7.8,33250,7.8
2017-11-19,8.0,8.0,7.8,7.9,76500,7.8
2017-11-20,8.0,8.0,7.9,8.0,140500,7.9
2017-11-21,7.9,8.1,7.7,7.8,132663,8.0
2017-11-22,8.0,8.2,8.0,8.1,26604,7.8
2017-11-23,7.8,8.3,7.8,8.2,52998,8.1
2017-11-26,8.2,8.3,8.1,8.1,44800,8.2
2017-11-27,8.1,8.1,8.0,8.1,21125,8.1
2017-11-28,8.1,8.1,7.9,8.0,41019,8.1
2017-11-29,7.9,8.0,7.8,7.9,72977,8.0
2017-11-30,8.0,8.0,7.9,8.0,84445,7.9
2017-12-03,8.1,8.2,8.0,8.1,45700,8.0
2017-12-04,8.1,8.2,8.1,8.1,38501,8.1
2017-12-05,8.1,8.2,7.9,8.2,73865,8.1
2017-12-06,8.2,9.0,8.2,8.8,452631,8.2
2017-12-07,9.0,9.6,9.0,9.6,276795,8.8
2017-12-10,9.9,10.3,9.2,9.7,623930,9.6
2017-12-11,9.8,9.8,9.2,9.3,87362,9.7
2017-12-12,9.2,9.4,9.0,9.0,166206,9.3
2017-12-13,9.0,9.4,8.8,9.1,147591,9.0
2017-12-14,9.3,9.3,8.8,8.9,103921,9.1
2017-12-17,9.0,9.0,8.6,8.7,46233,8.9
2017-12-18,8.0,8.7,8.0,8.3,115368,8.7
2017-12-19,8.5,8.5,8.2,8.3,72100,8.3
2017-12-20,8.5,8.5,8.2,8.3,44107,8.3
2017-12-21,8.4,8.5,8.4,8.4,25800,8.3
2017-12-24,8.3,8.3,8.1,8.2,41430,8.4
2017-12-26,8.3,8.3,8.1,8.2,28760,8.2
2017-12-27,8.4,8.4,8.0,8.1,23288,8.2
2017-12-28,8.2,8.2,8.1,8.1,81816,8.1
2018-01-01,8.4,8.4,8.1,8.1,79444,8.1
2018-01-02,8.2,8.3,8.1,8.1,69000,8.1
2018-01-03,8.2,8.4,8.2,8.2,38580,8.1
2018-01-04,8.3,8.3,8.2,8.3,12005,8.2
2018-01-07,8.3,8.4,8.3,8.3,54580,8.3
2018-01-08,8.3,8.5,8.3,8.4,147353,8.3
2018-01-09,8.5,8.7,8.5,8.6,44252,8.4
2018-01-10,8.6,8.7,8.6,8.6,21850,8.6
2018-01-11,8.8,8.8,8.7,8.7,26905,8.6
2018-01-14,8.8,8.8,8.5,8.6,34545,8.7
2018-01-15,8.6,8.7,8.6,8.6,23635,8.6
2018-01-16,8.6,8.7,8.6,8.6,35962,8.6
2018-01-17,8.7,8.9,8.7,8.8,29650,8.6
2018-01-18,8.8,9.0,8.8,9.0,84980,8.8
2018-01-21,9.2,9.2,8.4,8.6,92810,9.0
2018-01-22,8.7,8.8,8.6,8.7,12400,8.6
2018-01-23,8.8,8.8,8.6,8.7,10050,8.7
2018-01-24,8.6,8.7,8.5,8.6,15212,8.7
2018-01-25,8.5,8.5,8.3,8.4,32060,8.6
2018-01-28,8.4,8.5,8.3,8.4,32335,8.4
2018-01-29,8.4,8.5,8.4,8.4,13193,8.4
2018-01-30,8.4,8.4,8.4,8.4,17694,8.4
2018-01-31,8.4,8.4,8.3,8.3,57565,8.4
2018-02-01,8.3,8.6,8.2,8.5,100646,8.3
2018-02-04,8.4,8.4,8.3,8.3,40436,8.5
2018-02-05,8.4,8.4,8.1,8.3,18395,8.3
2018-02-06,8.2,8.3,8.1,8.2,129270,8.3
2018-02-07,8.1,8.3,8.1,8.1,17270,8.2
2018-02-08,8.3,8.4,8.2,8.3,43350,8.1
2018-02-11,8.4,8.5,8.4,8.4,31025,8.3
2018-02-12,8.5,8.5,8.3,8.3,2600,8.4
2018-02-13,8.4,8.5,8.3,8.3,13262,8.3
2018-02-14,8.4,8.5,8.3,8.4,51620,8.3
2018-02-15,8.3,8.4,8.2,8.3,14200,8.4
2018-02-18,8.3,8.3,8.0,8.2,27200,8.3
2018-02-19,8.4,8.4,8.4,8.4,50,8.2
2018-02-20,8.2,8.2,8.1,8.1,18000,8.4
2018-02-22,8.1,8.1,8.1,8.1,500,8.1
2018-02-25,8.2,8.2,8.2,8.2,3500,8.1
2018-02-26,8.1,8.1,8.1,8.1,3400,8.2
2018-02-27,8.8,8.8,8.1,8.3,10385,8.1
2018-02-28,8.2,8.4,8.2,8.3,31000,8.3
2018-03-01,8.2,8.2,8.1,8.2,17750,8.3
2018-03-04,8.4,8.4,8.2,8.2,3450,8.2
2018-03-05,8.2,8.2,8.1,8.2,2350,8.2
2018-03-06,8.0,8.2,8.0,8.1,40500,8.2
2018-03-07,8.2,8.2,8.1,8.1,700,8.1
2018-03-08,8.2,8.2,8.0,8.2,14450,8.1
2018-03-11,8.2,8.2,8.0,8.1,26050,8.2
2018-03-12,8.1,8.1,8.0,8.0,12500,8.1
2018-03-13,8.1,8.1,8.0,8.1,27330,8.0
2018-03-14,8.1,8.5,8.1,8.4,155764,8.1
2018-03-15,8.5,9.2,8.5,9.2,1037500,8.4
2018-03-18,9.3,10.1,9.3,10.1,1283795,9.2
2018-03-19,10.2,10.6,9.6,10.3,1317631,10.1
2018-03-20,10.1,10.2,9.4,9.7,474012,10.3
2018-03-21,9.5,9.6,8.8,8.8,337677,9.7
2018-03-22,8.7,9.2,8.3,8.5,304573,8.8
2018-03-25,8.5,9.1,8.3,8.6,246763,8.5
2018-03-27,8.5,8.6,8.1,8.2,401893,8.6
2018-03-28,8.4,8.5,8.0,8.2,207838,8.2
2018-03-29,8.3,8.3,8.0,8.1,189452,8.2
