date,open,high,low,close,volume,prev_closing_price
2008-03-06,369.0,380.0,341.0,346.25,6620,351.25
2008-03-09,368.0,369.0,328.5,330.5,3860,346.25
2008-03-09,368.0,369.0,328.5,330.5,3860,346.25
2008-03-10,340.0,349.0,330.25,341.0,1880,330.5
2008-03-11,372.0,373.0,336.0,342.75,2660,341.0
2008-03-12,335.25,340.25,330.5,336.0,1260,342.75
2008-03-13,330.0,338.0,320.0,0.0,3800,336.0
2008-03-16,305.0,320.0,305.0,318.0,4300,326.75
2008-03-17,312.0,316.0,305.0,307.5,2540,318.0
2008-03-18,305.0,307.0,303.0,303.0,4860,307.5
2008-03-19,303.5,307.0,303.0,304.75,5240,303.0
2008-03-20,305.0,313.0,304.25,307.25,2140,304.75
2008-03-23,319.0,325.0,307.0,311.0,1660,307.25
2008-03-24,324.0,324.0,303.0,305.0,1460,311.0
2008-03-25,300.0,315.0,300.0,307.25,2980,305.0
2008-03-30,334.75,345.0,310.0,314.75,2420,307.25
2008-03-31,322.0,322.0,308.0,315.75,780,314.75
2008-04-01,336.75,337.0,303.5,309.75,1820,315.75
2008-04-02,310.0,312.0,305.0,308.75,1900,309.75
2008-04-03,310.0,320.0,310.0,314.25,2860,308.75
2008-04-06,335.0,344.75,316.5,319.75,2800,314.25
2008-04-07,321.25,349.0,321.25,340.0,11260,319.75
2008-04-08,350.0,375.0,350.0,364.0,9700,340.0
2008-04-09,378.0,379.0,324.25,334.75,3240,364.0
2008-04-10,340.0,368.0,340.0,358.75,9520,334.75
2008-04-13,375.0,421.5,375.0,419.5,16220,358.75
2008-04-15,457.0,480.0,405.0,416.0,9520,419.5
2008-04-16,444.0,444.0,386.25,391.75,3840,416.0
2008-04-17,395.0,395.0,370.0,372.5,3920,391.75
2008-04-20,365.0,380.0,360.0,368.25,1920,372.5
2008-04-21,399.5,410.0,376.0,380.75,5780,368.25
2008-04-22,395.0,398.0,363.0,366.25,3740,380.75
2008-04-23,389.75,389.75,360.0,365.0,1440,366.25
2008-04-24,363.0,369.0,357.0,358.25,3340,365.0
2008-04-27,369.0,400.0,330.0,332.0,6720,358.25
