date,open,high,low,close,volume,prev_closing_price
2008-03-06,620.0,629.0,610.0,616.75,12260,617.75
2008-03-09,630.0,630.0,615.25,626.25,9545,616.75
2008-03-09,630.0,630.0,615.25,626.25,9545,616.75
2008-03-10,634.75,639.0,621.0,624.25,9570,626.25
2008-03-11,634.0,635.0,600.0,607.75,18840,624.25
2008-03-12,610.0,623.0,605.0,614.25,13740,607.75
2008-03-13,617.75,618.75,607.0,0.0,9870,614.25
2008-03-16,619.75,620.0,591.0,597.0,14300,611.75
2008-03-17,605.0,605.0,586.0,589.5,12795,597.0
2008-03-18,594.0,600.0,590.0,593.5,8485,589.5
2008-03-19,594.75,595.0,587.0,590.75,8055,593.5
2008-03-20,590.0,594.0,575.0,583.5,13615,590.75
2008-03-23,580.0,583.0,552.0,558.75,19490,583.5
2008-03-24,551.0,589.0,550.0,567.0,10085,558.75
2008-03-25,579.0,586.5,574.25,580.25,6730,567.0
2008-03-30,571.0,580.0,570.25,577.5,6825,580.25
2008-03-31,575.0,586.0,575.0,582.25,11870,577.5
2008-04-01,589.0,589.0,577.0,578.5,6500,582.25
2008-04-02,588.0,645.0,588.0,636.5,40955,578.5
2008-04-03,645.0,695.0,645.0,669.5,61300,636.5
2008-04-06,662.0,680.0,660.0,668.5,22320,669.5
2008-04-07,665.0,665.0,636.0,639.0,11255,668.5
2008-04-08,640.0,661.0,638.0,642.0,12260,639.0
2008-04-09,635.0,646.0,630.0,634.0,12095,642.0
2008-04-10,622.0,635.0,621.0,633.75,13670,634.0
2008-04-13,634.0,634.0,616.0,619.5,15035,633.75
2008-04-15,616.0,632.0,616.0,628.0,8870,619.5
2008-04-16,630.0,637.0,622.0,631.25,16980,628.0
2008-04-17,639.0,640.0,625.75,628.75,10415,631.25
2008-04-20,628.5,642.0,625.0,634.5,11615,628.75
2008-04-21,645.0,645.0,622.0,623.75,13880,634.5
2008-04-22,635.0,640.0,612.0,615.75,9665,623.75
2008-04-23,612.0,625.0,605.0,606.75,8995,615.75
2008-04-24,605.0,611.5,603.0,608.5,6945,606.75
2008-04-27,615.0,633.0,610.0,615.5,9885,608.5
2008-04-28,630.0,630.0,605.0,607.25,8590,615.5
2008-04-29,626.75,626.75,606.0,614.0,6585,607.25
2008-04-30,618.75,635.0,609.25,627.25,9680,614.0
2008-05-04,640.0,652.0,632.5,639.25,25680,627.25
2008-05-05,640.0,640.0,621.0,625.75,9305,639.25
2008-05-06,616.0,632.0,616.0,623.0,6540,625.75
2008-05-07,620.25,633.0,618.25,619.0,8260,623.0
2008-05-08,615.25,633.0,615.25,629.0,9450,619.0
2008-05-11,630.0,630.0,610.0,614.25,14395,629.0
2008-05-12,610.0,623.0,605.0,607.75,7845,614.25
2008-05-13,607.0,619.0,606.0,609.0,7960,607.75
2008-05-14,604.0,615.0,601.0,605.25,10240,609.0
2008-05-15,602.0,626.0,590.5,618.75,20155,605.25
2008-05-18,625.0,625.0,607.0,612.0,8290,618.75
2008-05-20,608.75,610.25,597.0,601.25,11925,612.0
2008-05-21,598.0,615.0,590.25,602.75,12715,601.25
2008-05-22,595.0,622.0,595.0,618.25,15750,602.75
2008-05-25,614.0,630.0,606.25,608.25,14520,618.25
2008-05-26,619.0,636.0,610.0,628.0,25825,608.25
2008-05-27,612.5,612.5,555.0,573.75,50510,628.0
2008-05-28,565.25,585.0,565.25,570.25,18875,573.75
2008-05-29,566.0,625.0,566.0,601.25,19820,570.25
2008-06-01,610.0,629.0,606.0,608.75,16035,601.25
2008-06-02,608.25,613.0,591.5,600.0,14445,608.75
2008-06-03,600.0,610.0,590.0,602.25,22120,600.0
2008-06-04,610.75,618.0,600.0,609.5,17045,602.25
2008-06-05,615.0,622.0,608.0,609.5,14185,609.5
2008-06-08,608.0,610.0,600.0,604.25,18640,609.5
2008-06-09,608.0,608.0,600.0,603.75,10300,604.25
2008-06-10,614.0,614.0,602.0,605.5,4425,603.75
2008-06-11,604.0,605.0,593.5,595.75,12860,605.5
2008-06-12,614.0,616.0,600.0,613.0,10190,595.75
2008-06-15,618.0,630.0,611.0,0.0,13310,613.0
2008-06-16,610.0,622.0,607.0,0.0,6930,612.75
2008-06-17,620.0,625.75,615.0,623.25,10730,619.0
2008-06-18,620.5,630.0,620.25,0.0,13490,623.25
2008-06-19,624.0,629.5,618.0,622.0,13300,622.0
2008-06-22,624.0,624.0,615.0,0.0,5935,622.0
2008-06-23,614.0,620.5,610.25,0.0,12730,616.75
2008-06-24,621.0,625.0,616.5,621.25,6540,618.75
2008-06-25,624.0,624.0,617.0,622.5,9145,621.25
2008-06-26,624.0,624.0,618.0,620.5,11970,622.5
2008-06-29,616.0,626.0,616.0,620.75,7605,620.5
2008-06-30,624.5,641.0,621.0,635.0,18745,620.75
2008-07-02,630.0,639.0,627.0,632.5,20635,635.0
2008-07-03,635.0,640.0,628.0,631.5,18920,632.5
2008-07-06,631.25,635.0,625.25,628.25,37105,631.5
2008-07-07,620.0,623.0,610.0,613.5,8035,628.25
2008-07-08,610.0,610.0,602.0,606.5,10025,613.5
2008-07-08,610.0,610.0,602.0,606.5,10025,613.5
2008-07-09,606.5,0.0,0.0,606.5,0,606.5
2008-07-10,606.5,0.0,0.0,606.5,0,606.5
2008-07-13,501.0,535.0,501.0,529.5,13465,606.5
2008-07-14,540.0,540.0,525.0,525.5,5870,529.5
2008-07-15,530.0,530.0,520.0,521.75,7830,525.5
2008-07-16,525.0,525.0,518.25,519.25,4365,521.75
2008-07-17,522.0,528.0,520.0,521.75,5765,519.25
2008-07-20,522.0,522.25,506.0,512.25,6170,521.75
2008-07-21,522.0,522.0,505.0,505.75,3895,512.25
2008-07-22,504.0,515.0,504.0,506.0,5560,505.75
2008-07-23,505.25,510.0,505.25,507.75,4105,506.0
2008-07-24,510.0,536.0,510.0,528.75,7790,507.75
2008-07-27,540.0,540.0,530.0,532.5,10320,528.75
2008-07-28,532.0,532.0,520.25,527.5,2855,532.5
2008-07-29,525.0,545.0,522.0,538.5,11235,527.5
2008-07-30,530.0,578.0,530.0,572.25,43785,538.5
2008-07-31,578.0,578.0,550.0,559.75,13835,572.25
2008-08-03,575.0,575.0,541.0,541.5,4890,559.75
2008-08-04,538.0,538.0,528.0,530.25,3965,541.5
2008-08-05,532.0,547.5,530.5,533.25,1935,530.25
2008-08-06,540.0,540.0,530.0,532.25,3965,533.25
2008-08-07,530.0,532.75,525.0,530.5,2680,532.25
2008-08-10,548.75,548.75,521.25,524.0,5705,530.5
2008-08-11,521.0,540.0,515.0,536.0,3935,524.0
2008-08-12,525.25,541.0,525.25,534.25,5775,536.0
2008-08-13,540.0,543.75,528.5,530.25,4140,534.25
2008-08-14,522.0,535.0,522.0,527.75,1225,530.25
2008-08-18,528.0,535.5,528.0,529.25,3215,527.75
2008-08-19,526.0,535.0,525.0,528.0,2345,529.25
2008-08-20,527.0,551.0,526.25,545.5,8310,528.0
2008-08-21,559.0,567.0,550.0,553.5,19435,545.5
2008-08-25,557.0,560.0,545.0,549.5,5665,553.5
2008-08-26,545.0,548.0,540.25,546.0,3110,549.5
2008-08-27,542.0,559.0,542.0,545.0,9935,546.0
2008-08-28,550.0,550.0,539.0,540.0,5900,545.0
2008-08-31,535.25,548.75,531.25,542.75,5160,540.0
2008-09-01,545.0,546.0,539.0,544.5,6660,542.75
2008-09-02,543.0,543.0,532.0,535.25,7780,544.5
2008-09-03,532.0,539.0,525.0,527.0,8730,535.25
2008-09-04,526.0,537.0,526.0,530.0,2570,527.0
2008-09-07,527.0,534.0,527.0,530.0,4685,530.0
2008-09-08,544.0,544.0,528.25,530.0,3455,530.0
2008-09-09,528.5,539.0,528.0,529.0,5925,530.0
2008-09-10,531.0,535.0,530.0,534.5,6870,529.0
2008-09-11,538.0,538.0,528.25,530.0,2485,534.5
2008-09-14,529.0,532.0,524.0,526.75,2430,530.0
2008-09-15,525.0,525.25,519.0,520.0,7805,526.75
2008-09-16,520.0,534.0,520.0,527.0,6110,520.0
2008-09-17,530.0,530.0,510.0,514.75,5215,527.0
2008-09-18,520.0,520.0,511.25,515.25,2625,514.75
2008-09-21,517.0,522.0,513.5,515.0,3950,515.25
2008-09-22,518.0,520.0,505.0,511.5,4155,515.0
2008-09-23,524.0,525.0,515.0,522.25,2925,511.5
2008-09-24,525.0,525.0,510.0,514.0,6225,522.25
2008-09-25,518.0,529.0,515.0,521.0,3775,514.0
2008-10-05,520.0,535.0,515.0,519.25,6950,521.0
2008-10-06,515.0,528.0,510.0,511.5,7345,519.25
2008-10-07,508.0,515.0,503.0,508.5,4470,511.5
2008-10-08,514.0,514.0,505.25,508.25,4765,508.5
2008-10-12,530.0,530.0,497.0,501.75,5155,508.25
2008-10-13,500.25,509.0,488.0,497.75,8405,501.75
2008-10-14,500.0,515.0,500.0,511.5,6955,497.75
2008-10-15,519.75,519.75,501.0,505.0,4855,511.5
