date,open,high,low,close,volume,prev_closing_price
2008-03-06,459.0,478.0,436.0,443.75,17920,446.25
2008-03-09,468.75,470.0,450.0,465.25,21820,443.75
2008-03-09,468.75,470.0,450.0,465.25,21820,443.75
2008-03-10,473.0,473.0,452.0,455.0,16280,465.25
2008-03-11,460.0,503.5,452.0,499.25,55820,455.0
2008-03-12,507.0,507.0,470.0,484.5,15660,499.25
2008-03-13,485.0,490.0,467.0,0.0,9800,484.5
2008-03-16,480.0,523.75,476.0,507.5,51400,477.5
2008-03-17,519.0,524.0,478.0,482.25,15500,507.5
2008-03-18,485.0,499.0,477.0,478.75,10120,482.25
2008-03-19,479.0,495.0,477.0,482.0,12140,478.75
2008-03-20,480.0,490.0,477.0,479.75,15760,482.0
2008-03-23,483.25,496.5,475.0,478.75,14700,479.75
2008-03-24,480.0,487.5,467.0,468.5,6200,478.75
2008-03-25,470.0,470.0,452.0,458.0,25940,468.5
2008-03-30,470.0,497.0,456.25,489.25,43940,458.0
2008-03-31,498.0,508.75,475.5,479.75,17800,489.25
2008-04-01,488.0,488.0,468.25,470.75,9160,479.75
2008-04-02,479.0,494.75,465.0,471.75,13320,470.75
2008-04-03,477.0,479.0,466.0,467.25,11820,471.75
2008-04-06,470.0,479.0,463.75,468.75,20960,467.25
2008-04-07,465.0,470.0,452.0,455.25,14080,468.75
2008-04-08,448.0,466.0,447.0,452.75,11100,455.25
2008-04-09,450.25,462.0,448.0,449.75,23860,452.75
2008-04-10,453.0,455.0,444.0,446.0,16580,449.75
2008-04-13,450.0,454.5,441.25,444.0,13680,446.0
2008-04-15,450.0,475.0,444.0,466.5,43120,444.0
2008-04-16,467.0,490.0,460.0,468.5,34460,466.5
2008-04-17,483.0,484.0,458.0,463.75,12080,468.5
2008-04-20,471.0,484.75,463.5,475.0,22720,463.75
2008-04-21,484.0,521.0,480.0,517.0,101820,475.0
2008-04-22,519.0,528.0,440.0,471.0,65480,517.0
2008-04-23,440.0,450.25,420.25,436.5,54460,471.0
2008-04-24,430.0,431.5,417.0,422.5,27820,436.5
2008-04-27,440.0,440.0,416.5,419.0,36000,422.5
2008-04-28,417.0,422.75,406.0,412.0,29540,419.0
2008-04-29,415.0,425.0,414.0,414.75,11960,412.0
2008-04-30,412.25,419.5,405.25,408.25,12980,414.75
2008-05-04,409.0,409.25,391.0,393.0,15900,408.25
2008-05-05,391.0,410.0,389.0,391.0,22060,393.0
2008-05-06,397.75,407.0,392.0,404.75,11760,391.0
2008-05-07,410.0,411.5,390.0,402.25,32540,404.75
2008-05-08,400.0,405.75,397.0,399.75,14420,402.25
2008-05-11,402.0,404.0,390.0,401.0,29440,399.75
