date,open,high,low,close,volume,prev_closing_price
2008-03-06,175.0,193.5,175.0,188.25,123100,173.0
2008-03-09,190.0,194.0,178.0,181.25,43550,188.25
2008-03-09,190.0,194.0,178.0,181.25,43550,188.25
2008-03-10,180.0,192.75,175.25,190.0,51250,181.25
2008-03-11,193.0,197.0,184.0,185.5,48250,190.0
2008-03-12,192.0,192.0,178.25,180.0,24000,185.5
2008-03-13,178.5,182.5,176.75,180.25,23400,180.0
2008-03-16,178.25,180.0,170.0,174.25,19450,180.25
2008-03-17,176.0,182.0,172.0,172.75,17050,174.25
2008-03-18,170.0,174.75,168.25,0.0,17500,172.75
2008-03-19,168.5,170.0,165.5,168.25,14050,169.5
2008-03-20,169.25,172.0,168.0,170.0,13350,168.25
2008-03-23,171.5,172.0,163.0,164.75,11850,170.0
2008-03-24,165.0,169.75,162.5,163.25,5450,164.75
2008-03-25,165.0,175.0,160.25,167.5,19900,163.25
2008-03-30,180.0,187.0,178.0,181.5,39900,167.5
2008-03-31,180.0,182.25,170.25,171.25,15000,181.5
2008-04-01,172.5,173.0,168.0,170.25,20100,171.25
2008-04-02,169.0,174.0,168.0,170.5,15400,170.25
2008-04-03,170.0,179.0,168.5,175.0,18850,170.5
2008-04-06,176.25,179.75,169.0,170.25,24150,175.0
2008-04-07,171.0,176.0,170.0,173.25,19200,170.25
2008-04-08,173.0,180.0,173.0,178.25,31150,173.25
2008-04-09,179.75,185.0,173.0,174.25,38450,178.25
2008-04-10,173.0,180.0,173.0,176.5,15550,174.25
2008-04-13,174.0,186.0,174.0,184.0,49350,176.5
2008-04-15,187.75,189.75,179.0,180.5,33450,184.0
2008-04-16,175.75,180.0,175.5,176.25,16850,180.5
2008-04-17,175.0,176.75,173.0,174.5,10050,176.25
2008-04-20,175.0,176.0,171.5,173.0,12700,174.5
2008-04-21,175.0,175.0,169.0,170.0,21850,173.0
2008-04-22,170.0,173.0,168.0,170.0,14500,170.0
2008-04-23,165.25,171.0,165.25,168.5,13950,170.0
2008-04-24,165.0,169.0,165.0,168.0,8750,168.5
2008-04-27,167.25,168.5,165.5,165.75,9700,168.0
2008-04-28,164.0,167.0,160.5,162.25,6600,165.75
2008-04-29,160.0,164.5,159.5,160.0,6250,162.25
2008-04-30,153.0,160.5,152.0,158.25,5650,160.0
2008-05-04,160.0,160.0,152.0,155.25,7650,158.25
2008-05-05,150.25,167.75,150.25,159.75,5750,155.25
2008-05-06,160.0,170.0,160.0,166.25,8050,159.75
