date,open,high,low,close,volume,prev_closing_price
2019-08-05,30.0,45.5,30.0,44.8,7623707,0.0
2019-08-06,45.9,46.3,42.6,43.3,1131089,44.8
2019-08-07,42.6,44.0,39.0,39.0,4196500,43.3
2019-08-08,38.0,40.8,36.3,39.1,1457758,39.0
2019-08-18,39.5,41.4,38.7,40.5,1815846,39.1
2019-08-19,40.9,43.7,40.2,40.8,3293818,40.5
2019-08-20,40.8,41.5,39.2,39.6,2098558,40.8
2019-08-21,39.0,39.4,37.5,37.9,1822766,39.6
2019-08-22,37.9,39.4,37.3,38.0,1010434,37.9
2019-08-25,38.2,38.9,36.1,36.5,1035353,38.0
2019-08-26,36.8,36.8,33.5,34.1,1766926,36.5
2019-08-27,34.2,36.3,34.0,35.1,946718,34.1
2019-08-28,35.4,35.7,33.4,33.8,791545,35.1
2019-08-29,34.1,34.1,32.2,32.4,764264,33.8
2019-09-01,32.7,33.8,31.9,32.2,653754,32.4
2019-09-02,32.7,32.8,31.6,31.7,524999,32.2
2019-09-03,32.2,33.5,31.8,33.0,1082917,31.7
2019-09-04,33.6,35.4,33.5,34.3,1362470,33.0
2019-09-05,34.4,34.6,32.5,32.8,979722,34.3
2019-09-08,33.1,33.2,31.8,31.9,670409,32.8
2019-09-09,32.0,32.2,30.3,30.6,626759,31.9
2019-09-11,30.7,31.0,28.7,29.0,617387,30.6
2019-09-12,29.0,29.6,28.1,28.8,545324,29.0
2019-09-15,28.7,29.9,28.7,29.3,442817,28.8
2019-09-16,29.5,30.0,28.8,29.0,506484,29.3
2019-09-17,29.0,29.6,27.6,27.9,496600,29.0
2019-09-18,28.3,28.4,26.8,27.0,558699,27.9
2019-09-19,27.0,27.4,25.4,25.8,365538,27.0
2019-09-22,25.9,27.3,25.7,26.8,696160,25.8
2019-09-23,27.3,28.5,27.3,27.7,533236,26.8
2019-09-24,27.7,28.3,26.1,26.3,539281,27.7
2019-09-25,26.1,26.6,25.4,26.0,521844,26.3
2019-09-26,26.3,26.7,25.8,26.0,550198,26.0
2019-09-29,26.1,26.7,25.5,26.5,698995,26.0
2019-09-30,26.6,27.7,26.2,26.4,1037659,26.5
2019-10-01,26.7,26.9,25.9,26.1,284780,26.4
2019-10-02,26.5,27.3,26.0,26.9,957367,26.1
2019-10-03,27.2,29.5,27.0,29.5,2259376,26.9
2019-10-06,30.2,30.8,29.3,29.5,1211983,29.5
2019-10-07,29.5,29.8,27.6,28.0,765864,29.5
2019-10-09,28.1,28.6,27.0,27.2,618032,28.0
2019-10-10,27.2,27.8,26.2,26.5,394236,27.2
2019-10-13,26.8,27.0,25.7,26.0,852861,26.5
2019-10-14,26.1,26.7,25.7,26.2,378353,26.0
2019-10-15,26.8,27.8,26.4,27.3,526826,26.2
2019-10-16,27.5,27.5,26.2,26.4,546937,27.3
2019-10-17,26.7,26.7,25.3,25.7,336995,26.4
2019-10-20,25.7,25.9,23.7,24.1,693025,25.7
2019-10-21,24.0,24.6,22.7,23.0,316100,24.1
2019-10-22,23.0,23.2,20.8,21.2,428639,23.0
2019-10-23,21.2,21.9,19.8,20.1,2346466,21.2
2019-10-24,20.2,22.1,20.0,22.0,1519915,20.1
2019-10-27,22.2,22.7,21.3,21.6,746415,22.0
2019-10-28,21.1,21.6,20.3,20.6,630684,21.6
2019-10-29,21.5,23.8,21.4,23.5,1503700,20.6
2019-10-30,23.7,24.6,23.0,23.9,968176,23.5
2019-10-31,23.9,26.2,23.6,25.1,1946243,23.9
2019-11-03,25.1,26.2,25.0,25.2,1025760,25.1
2019-11-04,25.3,25.3,24.4,24.6,1095427,25.2
2019-11-05,24.8,26.7,24.6,26.1,2007074,24.6
2019-11-06,26.3,27.0,25.4,25.7,1391296,26.1
2019-11-07,25.7,27.3,25.5,26.7,1452535,25.7
2019-11-11,27.2,27.9,26.3,27.2,905291,26.7
2019-11-12,27.5,28.4,27.3,28.1,1474619,27.2
2019-11-13,28.2,28.2,25.6,26.0,1867148,28.1
2019-11-14,24.7,25.9,23.5,25.3,1546045,26.0
2019-11-17,25.8,25.8,24.7,24.9,500872,25.3
2019-11-18,24.9,25.4,24.0,24.8,1101989,24.9
2019-11-19,25.3,25.3,24.6,24.8,449640,24.8
2019-11-20,25.3,26.0,24.9,25.7,1206385,24.8
2019-11-21,0.0,0.0,0.0,25.7,0,25.7
2019-11-24,25.1,26.9,25.1,26.9,2412623,25.7
2019-11-25,27.5,28.8,26.4,28.3,1557779,26.9
2019-11-26,28.5,30.4,28.3,28.6,2513072,28.3
2019-11-27,28.5,28.8,26.9,27.4,1605414,28.6
2019-11-28,27.4,29.2,26.9,28.2,1842239,27.4
2019-12-01,28.8,28.8,27.3,27.5,1089299,28.2
2019-12-02,27.7,28.4,27.2,27.5,1165256,27.5
2019-12-03,27.8,27.9,26.6,26.7,979914,27.5
