date,open,high,low,close,volume,prev_closing_price
2008-03-06,30.25,30.75,30.25,30.5,90,29.75
2008-03-09,31.0,31.5,31.0,31.25,460,30.5
2008-03-09,31.0,31.5,31.0,31.25,460,30.5
2008-03-10,32.75,37.0,32.75,34.5,770,31.25
2008-03-11,35.0,35.0,35.0,35.0,340,34.5
2008-03-12,36.0,42.0,36.0,42.0,3300,35.0
2008-03-13,42.0,44.75,42.0,0.0,2490,42.0
2008-03-16,43.0,43.75,42.0,43.25,1300,43.0
2008-03-17,43.0,45.0,43.0,43.75,750,43.25
2008-03-18,45.0,50.0,44.0,49.75,4860,43.75
2008-03-19,48.0,50.0,48.0,48.75,700,49.75
2008-03-20,51.0,58.5,51.0,58.0,4410,48.75
2008-03-23,61.5,66.5,56.0,59.25,6400,58.0
2008-03-24,54.25,54.75,50.75,53.0,1200,59.25
2008-03-25,54.25,57.0,54.25,55.75,1040,53.0
2008-03-30,58.5,62.0,58.5,59.75,1830,55.75
2008-03-31,55.0,57.75,54.0,55.0,1560,59.75
2008-04-01,53.0,57.5,53.0,56.5,1940,55.0
2008-04-02,55.0,56.0,55.0,55.25,450,56.5
2008-04-03,54.5,54.5,54.0,54.0,290,55.25
2008-04-06,52.0,53.0,50.0,51.0,500,54.0
2008-04-07,51.0,51.0,50.0,50.25,610,51.0
2008-04-08,50.25,0.0,0.0,50.25,0,50.25
2008-04-09,52.0,53.5,48.0,49.5,3450,50.25
2008-04-10,45.0,46.0,45.0,45.25,670,49.5
2008-04-13,44.5,44.5,44.5,44.5,10,45.25
2008-04-15,44.0,44.0,44.0,44.0,20,44.5
2008-04-16,45.75,48.0,45.75,47.25,150,44.0
2008-04-17,48.0,48.0,48.0,48.0,20,47.25
2008-04-20,50.0,50.0,50.0,50.0,10,48.0
2008-04-21,48.0,52.25,48.0,51.0,680,50.0
2008-04-22,51.0,53.25,51.0,52.5,670,51.0
2008-04-23,52.5,54.0,52.5,53.0,850,52.5
2008-04-24,53.0,0.0,0.0,53.0,0,53.0
2008-04-27,52.0,52.0,52.0,52.0,200,53.0
2008-04-28,50.0,50.0,48.0,49.0,370,52.0
2008-04-29,46.25,46.25,46.0,46.0,290,49.0
2008-04-30,44.5,44.5,44.5,44.5,450,46.0
2008-05-04,41.25,41.25,41.25,41.25,100,44.5
2008-05-05,41.25,0.0,0.0,41.25,0,41.25
2008-05-06,40.0,42.0,40.0,40.5,190,41.25
2008-05-07,40.5,0.0,0.0,40.5,0,40.5
2008-05-08,40.25,40.25,40.25,40.25,20,40.5
2008-05-11,41.25,41.25,41.25,41.25,60,40.25
2008-05-12,41.0,42.0,41.0,41.5,60,41.25
2008-05-13,41.5,41.5,41.5,41.5,130,41.5
2008-05-14,42.0,42.0,42.0,42.0,100,41.5
2008-05-15,41.5,44.0,41.5,42.5,260,42.0
2008-05-18,41.0,41.0,41.0,41.0,200,42.5
2008-05-20,41.0,0.0,0.0,41.0,0,41.0
2008-05-21,41.0,0.0,0.0,41.0,0,41.0
2008-05-22,43.0,43.0,43.0,43.0,20,41.0
2008-05-25,42.5,42.75,42.5,42.5,270,43.0
2008-05-26,42.5,42.75,42.5,42.5,310,42.5
2008-05-27,42.25,43.0,42.0,42.5,690,42.5
2008-05-28,41.0,44.0,41.0,42.0,300,42.5
2008-05-29,42.0,44.0,42.0,43.0,1530,42.0
2008-06-01,42.25,43.0,42.0,42.5,670,43.0
2008-06-02,42.0,44.0,42.0,42.5,650,42.5
2008-06-03,43.25,43.25,43.25,43.25,50,42.5
2008-06-04,43.75,45.0,43.75,44.0,420,43.25
2008-06-05,45.0,45.0,45.0,45.0,220,44.0
2008-06-08,45.0,45.0,43.25,43.75,150,45.0
2008-06-09,42.0,42.0,42.0,42.0,10,43.75
2008-06-10,42.0,42.0,42.0,42.0,90,42.0
2008-06-11,42.0,0.0,0.0,42.0,0,42.0
2008-06-12,40.25,41.5,40.25,40.25,300,42.0
2008-06-15,40.25,40.25,40.25,0.0,160,40.25
2008-06-16,38.75,38.75,38.75,0.0,100,40.25
2008-06-17,38.75,0.0,0.0,38.75,0,38.75
2008-06-18,39.0,39.0,39.0,0.0,100,38.75
2008-06-19,39.75,39.75,39.5,39.5,220,39.0
2008-06-22,38.5,38.5,38.0,0.0,200,39.5
2008-06-23,38.0,38.0,37.0,0.0,150,38.0
2008-06-24,37.5,0.0,0.0,37.5,0,37.5
2008-06-25,37.5,0.0,0.0,37.5,0,37.5
2008-06-26,37.5,0.0,0.0,37.5,0,37.5
2008-06-29,37.5,0.0,0.0,37.5,0,37.5
2008-06-30,37.5,0.0,0.0,37.5,0,37.5
2008-07-02,37.5,0.0,0.0,37.5,0,37.5
2008-07-03,34.25,34.25,34.25,34.25,50,37.5
2008-07-06,34.25,0.0,0.0,34.25,0,34.25
2008-07-07,34.0,34.0,34.0,34.0,20,34.25
2008-07-08,31.25,31.25,31.0,31.0,210,34.0
2008-07-08,31.25,31.25,31.0,31.0,210,34.0
2008-07-09,31.0,0.0,0.0,31.0,0,31.0
2008-07-10,31.0,0.0,0.0,31.0,0,31.0
2008-07-13,29.0,29.0,28.5,28.5,220,31.0
2008-07-14,29.25,29.75,29.25,29.5,140,28.5
2008-07-15,31.75,32.0,31.75,31.75,350,29.5
2008-07-16,31.75,0.0,0.0,31.75,0,31.75
2008-07-17,31.75,32.0,31.75,31.75,600,31.75
2008-07-20,30.0,30.0,30.0,30.0,500,31.75
2008-07-21,30.25,30.25,30.0,30.0,200,30.0
