date,open,high,low,close,volume,prev_closing_price
2009-10-28,40.0,67.9,40.0,63.1,3176500,10.0
2009-10-29,59.5,64.0,56.6,58.6,1193000,63.1
2009-11-01,58.0,58.9,54.0,56.0,735500,58.6
2009-11-02,56.0,56.8,54.2,55.3,1205500,56.0
2009-11-03,56.0,62.0,55.4,61.1,1441000,55.3
2009-11-04,59.5,64.5,59.5,62.2,1340500,61.1
2009-11-05,62.0,65.0,61.5,64.6,1844500,62.2
2009-11-08,65.0,66.0,61.1,61.6,1204500,64.6
2009-11-09,63.0,63.0,58.3,58.7,703000,61.6
2009-11-10,60.0,61.2,59.1,59.4,708500,58.7
2009-11-11,60.8,60.8,55.1,55.6,711000,59.4
2009-11-12,55.0,55.8,53.2,53.7,563500,55.6
2009-11-15,53.0,55.8,51.6,55.2,463000,53.7
2009-11-16,55.1,58.7,54.5,58.0,555500,55.2
2009-11-17,59.0,59.5,56.2,56.8,567500,58.0
2009-11-18,56.1,57.4,55.1,55.2,393500,56.8
2009-11-19,55.3,57.0,55.2,56.5,397000,55.2
2009-11-22,57.8,58.3,56.3,56.8,512500,56.5
2009-11-23,58.2,58.2,56.6,57.0,421000,56.8
2009-11-24,56.7,60.8,56.7,60.5,794000,57.0
2009-11-25,60.9,62.7,60.5,61.2,757500,60.5
2009-11-26,60.7,61.4,58.6,59.5,480000,61.2
2009-12-01,58.6,60.0,57.3,57.9,391500,59.5
2009-12-02,58.2,59.0,57.6,58.5,401500,57.9
2009-12-03,59.2,61.3,59.0,61.0,905000,58.5
2009-12-06,61.4,63.3,61.4,62.2,945000,61.0
2009-12-07,63.3,63.5,60.9,61.1,949000,62.2
2009-12-08,61.0,63.4,61.0,62.9,1128000,61.1
2009-12-09,63.4,70.0,63.4,69.2,2306500,62.9
2009-12-10,66.1,66.1,57.0,59.0,1577500,69.2
2009-12-13,58.2,58.4,55.2,57.3,691000,59.0
2009-12-14,57.0,57.7,55.6,56.1,478000,57.3
2009-12-15,56.0,56.0,54.2,54.7,546500,56.1
2009-12-17,56.7,56.7,51.9,52.5,700000,54.7
2009-12-20,52.1,52.1,50.0,50.6,415000,52.5
2009-12-21,50.1,54.2,50.1,53.6,293500,50.6
2009-12-22,54.3,56.3,54.2,55.2,352000,53.6
2009-12-23,55.2,55.9,54.0,54.2,266000,55.2
2009-12-24,54.0,54.6,53.5,54.0,192000,54.2
2009-12-27,54.3,54.3,52.8,53.0,336000,54.0
2009-12-29,53.3,54.0,53.0,53.2,197500,53.0
2009-12-30,53.1,54.5,53.1,54.2,257000,53.2
2010-01-03,53.1,54.5,53.1,54.1,164000,54.2
2010-01-04,54.1,54.3,53.6,54.0,243500,54.1
2010-01-05,54.0,54.2,53.5,53.7,253500,54.0
2010-01-06,54.0,55.9,53.6,55.2,426000,53.7
2010-01-07,55.0,56.9,55.0,55.9,338000,55.2
2010-01-10,56.0,56.3,54.8,54.9,337500,55.9
2010-01-11,55.1,55.3,54.6,54.8,260500,54.9
2010-01-12,54.9,55.4,54.7,54.9,498000,54.8
2010-01-13,55.0,57.0,54.1,54.8,454000,54.9
2010-01-14,56.0,56.4,55.3,55.8,311500,54.8
2010-01-17,55.6,57.9,55.6,57.5,598000,55.8
2010-01-18,56.5,58.3,56.5,57.3,539500,57.5
2010-01-19,57.8,58.9,57.1,58.1,623500,57.3
2010-01-20,58.9,58.9,57.3,58.1,473000,58.1
2010-01-21,57.2,58.5,57.2,57.5,292000,58.1
2010-01-24,57.8,57.8,56.3,56.6,347000,57.5
2010-01-25,56.0,57.0,56.0,56.8,474500,56.6
2010-01-26,56.7,58.0,56.4,57.2,446500,56.8
2010-01-27,57.0,57.9,56.0,56.2,504500,57.2
2010-01-28,57.0,57.1,56.1,56.6,323000,56.2
2010-01-31,57.5,57.5,55.8,56.0,256000,56.6
2010-02-01,55.5,55.8,54.7,55.3,581000,56.0
2010-02-02,54.6,54.6,50.1,53.5,598000,55.3
2010-02-03,53.0,54.0,52.5,53.2,338000,53.5
2010-02-04,53.0,54.5,52.4,54.3,328000,53.2
2010-02-07,53.0,54.8,53.0,53.3,180500,54.3
2010-02-08,56.9,56.9,53.5,53.6,146000,53.3
2010-02-09,53.1,54.9,52.9,53.0,274500,53.6
2010-02-10,53.5,53.5,52.7,52.9,262500,53.0
2010-02-11,53.0,53.6,52.2,52.4,301500,52.9
2010-02-14,52.5,52.9,52.0,52.0,253000,52.4
2010-02-15,51.6,52.9,51.6,51.8,230000,52.0
2010-02-16,51.6,52.5,51.0,51.7,297000,51.8
2010-02-17,52.8,52.8,51.5,51.8,149500,51.7
2010-02-18,51.8,52.0,51.2,51.6,246500,51.8
2010-02-22,52.0,52.0,51.2,51.2,134000,51.6
2010-02-23,51.1,51.2,50.5,50.6,182000,51.2
2010-02-24,50.6,51.9,50.0,51.6,189500,50.6
2010-02-25,51.0,51.8,50.3,50.9,122000,51.6
2010-02-28,51.5,51.5,50.1,50.2,83500,50.9
2010-03-01,50.1,50.2,49.5,49.7,122500,50.2
2010-03-02,49.6,50.5,49.2,49.4,105000,49.7
2010-03-03,50.0,50.1,49.0,49.8,100000,49.4
2010-03-04,50.0,50.0,49.1,49.7,79500,49.8
2010-03-07,49.0,50.0,49.0,49.5,82000,49.7
2010-03-08,50.8,51.8,49.8,50.8,185000,49.5
2010-03-09,51.4,51.4,49.3,49.5,118500,50.8
2010-03-10,49.8,50.5,49.6,49.7,121500,49.5
2010-03-11,49.7,50.2,49.7,49.8,97000,49.7
2010-03-14,49.5,50.0,49.3,49.4,99500,49.8
2010-03-15,49.2,49.9,48.6,49.6,125500,49.4
2010-03-16,49.9,50.6,49.5,49.6,114500,49.6
2010-03-18,49.7,50.5,49.5,50.3,198500,49.6
2010-03-21,50.7,53.0,50.0,52.5,438000,50.3
2010-03-22,53.7,54.2,53.0,53.8,524000,52.5
2010-03-23,54.3,54.3,51.7,52.4,438500,53.8
2010-03-24,53.3,53.5,52.6,53.0,225000,52.4
2010-03-25,53.3,53.8,52.8,53.0,363000,53.0
2010-03-28,53.4,53.4,52.3,52.6,194000,53.0
2010-03-29,52.4,52.5,51.3,51.5,182500,52.6
