date,open,high,low,close,volume,prev_closing_price
2008-03-06,16.1,17.0,16.1,16.7,269000,16.0
2008-03-09,16.7,17.2,16.5,17.1,179000,16.7
2008-03-09,16.7,17.2,16.5,17.1,179000,16.7
2008-03-10,17.0,17.6,17.0,17.1,216500,17.1
2008-03-11,17.0,17.0,16.5,16.6,126500,17.1
2008-03-12,16.5,16.8,16.4,16.5,109500,16.6
2008-03-13,16.8,17.0,16.6,16.7,142000,16.5
2008-03-16,17.0,18.2,17.0,18.0,575000,16.7
2008-03-17,18.4,19.1,17.8,17.9,580500,18.0
2008-03-18,17.4,17.9,17.4,17.6,156000,17.9
2008-03-19,17.5,17.6,17.0,17.4,227000,17.6
2008-03-20,17.8,18.4,17.5,17.7,304000,17.4
2008-03-23,17.9,18.5,17.9,17.9,319000,17.7
2008-03-24,17.9,18.0,17.8,17.8,135500,17.9
2008-03-25,18.0,18.4,17.7,0.0,340500,17.8
2008-03-30,19.0,20.7,18.8,20.1,954000,18.2
2008-03-31,20.9,21.6,19.5,19.9,453500,20.1
2008-04-01,20.0,20.1,19.3,19.6,284000,19.9
2008-04-02,20.4,20.4,19.3,19.8,343500,19.6
2008-04-03,20.1,20.1,19.0,19.0,226500,19.8
2008-04-06,19.5,20.0,19.0,19.4,226500,19.0
2008-04-07,20.0,20.3,19.6,19.8,300500,19.4
2008-04-08,20.0,22.0,20.0,21.8,730000,19.8
2008-04-09,22.0,22.7,21.1,21.3,560500,21.8
2008-04-10,21.7,21.7,20.8,21.2,335000,21.3
2008-04-13,21.0,22.5,21.0,22.3,499000,21.2
2008-04-15,23.0,25.2,22.7,24.9,1140500,22.3
2008-04-16,25.5,25.5,24.7,24.8,691500,24.9
2008-04-17,24.9,26.0,24.6,24.8,610500,24.8
2008-04-20,24.5,24.7,23.0,23.5,322000,24.8
2008-04-21,24.0,24.0,22.9,23.2,458000,23.5
2008-04-22,23.1,24.0,23.1,23.4,226000,23.2
2008-04-23,23.4,23.9,23.2,23.3,204500,23.4
2008-04-24,23.5,23.5,22.9,22.9,132000,23.3
2008-04-27,23.8,24.0,22.9,22.9,155000,22.9
2008-04-28,23.2,23.2,22.0,22.1,234500,22.9
2008-04-29,22.8,22.8,21.6,21.8,181500,22.1
2008-04-30,22.3,22.3,20.3,20.7,131500,21.8
2008-05-04,19.5,20.9,19.5,20.0,126000,20.7
2008-05-05,20.0,21.8,20.0,21.4,187500,20.0
2008-05-06,21.0,21.8,20.9,20.9,116500,21.4
2008-05-07,21.7,21.7,20.7,20.9,209000,20.9
2008-05-08,21.0,21.2,20.6,20.8,100500,20.9
2008-05-11,20.8,20.8,19.9,20.0,202000,20.8
2008-05-12,20.0,20.4,19.7,19.8,66500,20.0
2008-05-13,20.1,20.1,19.5,19.7,87500,19.8
2008-05-14,19.6,19.9,19.5,19.5,66000,19.7
2008-05-15,19.4,20.0,19.3,19.6,120500,19.5
2008-05-18,19.7,20.4,19.6,19.7,135500,19.6
2008-05-20,19.7,20.5,19.5,19.9,246500,19.7
2008-05-21,20.0,21.0,20.0,20.2,178500,19.9
2008-05-22,20.6,20.6,20.0,20.1,131500,20.2
2008-05-25,20.1,20.5,19.8,19.8,153000,20.1
2008-05-26,19.5,20.1,19.5,19.9,151500,19.8
2008-05-27,20.5,21.4,20.3,20.6,278000,19.9
2008-05-28,21.1,21.2,20.7,20.8,140000,20.6
2008-05-29,21.1,21.2,20.5,20.8,177500,20.8
2008-06-01,21.0,21.0,20.4,20.4,163500,20.8
2008-06-02,20.3,21.0,20.2,20.4,147500,20.4
2008-06-03,20.8,21.0,20.6,20.7,178500,20.4
2008-06-04,21.0,23.5,21.0,23.2,511000,20.7
2008-06-05,23.9,24.9,23.6,23.8,443000,23.2
2008-06-08,23.9,25.0,23.5,24.4,667000,23.8
2008-06-09,23.8,24.5,21.0,22.9,312500,24.4
2008-06-10,23.8,25.5,23.8,24.7,677000,22.9
2008-06-11,25.2,25.5,23.0,23.1,377500,24.7
2008-06-12,24.5,24.9,23.5,23.8,188000,23.1
2008-06-15,24.4,24.4,22.8,23.0,150000,23.8
2008-06-16,24.0,24.0,22.6,0.0,214000,23.0
2008-06-17,23.5,24.0,23.1,23.4,162500,23.3
2008-06-18,24.1,24.9,23.5,0.0,474500,23.4
2008-06-19,24.8,24.8,23.3,23.4,248500,24.3
2008-06-22,23.2,23.9,22.8,0.0,208000,23.4
2008-06-23,22.6,23.4,22.3,0.0,184500,22.8
2008-06-24,23.0,23.8,23.0,23.2,163000,22.4
2008-06-25,23.3,23.6,22.7,22.8,105500,23.2
2008-06-26,22.7,23.0,22.6,22.6,65500,22.8
2008-06-29,22.7,22.9,21.7,22.1,131000,22.6
2008-06-30,22.1,22.4,21.0,21.4,200500,22.1
2008-07-02,21.6,21.6,21.1,21.2,99000,21.4
2008-07-03,21.5,22.2,21.0,21.6,78000,21.2
2008-07-06,21.8,22.1,21.1,21.3,120500,21.6
2008-07-07,21.1,21.5,21.0,21.0,112500,21.3
2008-07-08,19.7,21.9,19.7,21.1,73000,21.0
2008-07-08,19.7,21.9,19.7,21.1,73000,21.0
2008-07-09,21.3,21.8,21.3,21.6,19500,21.1
2008-07-10,21.8,22.8,21.8,22.2,143000,21.6
2008-07-13,22.9,23.0,22.1,22.2,115000,22.2
2008-07-14,22.1,22.3,21.7,21.7,95500,22.2
2008-07-15,21.8,21.9,21.5,21.6,57500,21.7
2008-07-16,21.9,22.0,21.5,21.6,44500,21.6
2008-07-17,22.1,22.9,21.7,22.3,216000,21.6
2008-07-20,22.0,22.2,21.7,21.9,115500,22.3
2008-07-21,22.0,22.5,21.6,21.7,171500,21.9
2008-07-22,21.9,22.2,21.2,21.4,88500,21.7
2008-07-23,21.0,21.8,21.0,21.3,102000,21.4
2008-07-24,21.3,22.0,21.3,21.6,122500,21.3
2008-07-27,21.9,21.9,21.5,21.5,51500,21.6
2008-07-28,21.6,21.8,21.2,21.5,86000,21.5
2008-07-29,21.2,22.1,21.2,21.6,120500,21.5
2008-07-30,21.3,21.7,21.3,21.3,70000,21.6
2008-07-31,21.3,21.4,21.1,21.2,82000,21.3
2008-08-03,21.1,21.2,20.1,20.2,102000,21.2
2008-08-04,20.1,20.8,20.1,20.6,71000,20.2
2008-08-05,20.5,21.2,20.5,20.7,36500,20.6
2008-08-06,20.9,21.5,20.7,20.9,118000,20.7
2008-08-07,21.4,21.4,20.2,20.3,73000,20.9
2008-08-10,20.8,20.8,19.8,20.1,106500,20.3
2008-08-11,19.7,20.3,19.4,20.2,44500,20.1
2008-08-12,20.3,20.4,19.8,20.0,75000,20.2
2008-08-13,20.0,20.2,19.8,19.8,44500,20.0
2008-08-14,20.0,20.0,19.8,19.8,52500,19.8
2008-08-18,19.8,19.9,19.5,19.6,27500,19.8
2008-08-19,18.9,19.9,18.9,19.0,151500,19.6
2008-08-20,19.6,19.6,19.1,19.2,42500,19.0
2008-08-21,19.2,19.8,19.2,19.7,57000,19.2
2008-08-25,19.4,19.5,19.2,19.3,53500,19.7
2008-08-26,20.2,20.3,19.1,20.2,132000,19.3
2008-08-27,20.5,21.0,20.5,20.5,118500,20.2
2008-08-28,20.7,20.7,20.1,20.4,80500,20.5
2008-08-31,20.2,20.8,20.2,20.7,108000,20.4
2008-09-01,21.0,21.2,20.8,21.0,175000,20.7
2008-09-02,21.0,21.0,20.5,20.6,28500,21.0
2008-09-03,20.4,20.5,20.0,20.1,30500,20.6
2008-09-04,20.0,20.4,20.0,20.2,35500,20.1
2008-09-07,20.3,20.5,19.9,20.0,74500,20.2
2008-09-08,20.5,20.5,20.0,20.0,60500,20.0
2008-09-09,20.1,20.4,20.1,20.1,71500,20.0
2008-09-10,20.4,20.5,20.2,20.3,105500,20.1
2008-09-11,20.2,20.7,20.1,20.2,134500,20.3
2008-09-14,20.2,21.0,20.2,20.4,114500,20.2
2008-09-15,20.3,20.4,20.1,20.1,75500,20.4
2008-09-16,20.6,20.8,20.1,20.4,91500,20.1
2008-09-17,20.7,20.8,20.1,20.3,107000,20.4
2008-09-18,20.5,20.6,20.2,20.2,103000,20.3
2008-09-21,20.3,20.6,20.0,20.1,103500,20.2
2008-09-22,19.9,20.3,19.8,19.9,80500,20.1
2008-09-23,20.1,20.2,19.8,19.8,168500,19.9
2008-09-24,20.1,20.4,20.0,20.0,116500,19.8
2008-09-25,19.9,21.8,19.9,21.3,303000,20.0
2008-10-05,22.3,23.5,21.3,23.1,575000,21.3
2008-10-06,23.9,27.0,23.8,26.0,1164000,23.1
2008-10-07,25.0,27.9,24.5,27.4,1075000,26.0
2008-10-08,28.0,32.8,28.0,32.4,1032000,27.4
2008-10-12,30.0,31.7,26.9,27.0,870000,32.4
2008-10-13,28.5,29.8,27.0,27.4,537500,27.0
2008-10-14,28.9,30.2,27.5,28.0,572500,27.4
2008-10-15,28.6,29.5,27.2,28.3,398000,28.0
2008-10-16,28.4,32.4,28.4,30.8,1150000,28.3
2008-10-19,30.0,34.5,30.0,33.2,1066000,30.8
2008-10-20,34.0,35.0,32.5,32.8,570000,33.2
2008-10-21,32.9,33.5,31.0,31.3,653000,32.8
2008-10-22,32.0,32.0,29.3,30.2,376000,31.3
2008-10-23,31.5,32.0,30.6,31.8,301000,30.2
