date,open,high,low,close,volume,prev_closing_price
2008-03-06,13418.25,13418.25,13418.25,13418.25,1255,12818.5
2008-03-09,14018.0,14018.0,14018.0,14018.0,2025,13418.25
2008-03-09,14018.0,14018.0,14018.0,14018.0,2025,13418.25
2008-03-10,14600.0,14617.75,14600.0,14617.75,575,14018.0
2008-03-11,15217.0,15217.0,14050.0,15217.0,4430,14617.75
2008-03-12,15816.5,15816.5,14617.5,14617.75,1625,15217.0
2008-03-13,14030.0,14498.5,14018.5,14021.75,720,14617.75
2008-03-16,14018.5,14621.75,13450.0,14592.5,935,14021.75
2008-03-17,14230.0,15100.0,14220.0,14722.5,815,14592.5
2008-03-18,14800.0,14900.0,14195.0,14335.0,485,14722.5
2008-03-19,14000.25,14150.0,13735.0,13932.0,680,14335.0
2008-03-20,13990.0,14000.0,13815.0,13907.0,140,13932.0
2008-03-23,13600.0,13600.0,13350.0,13436.0,280,13907.0
2008-03-24,13101.0,13997.0,13001.0,13573.0,400,13436.0
2008-03-25,13995.0,14000.0,13301.0,13524.75,345,13573.0
2008-03-30,13998.0,14125.0,13800.0,14099.0,340,13524.75
2008-03-31,14500.0,14590.0,14050.0,14143.0,330,14099.0
2008-04-01,14300.0,14300.0,13603.0,13706.75,675,14143.0
2008-04-02,13799.0,13799.0,13311.0,13327.75,665,13706.75
2008-04-03,13510.0,13510.0,13100.0,13172.75,785,13327.75
2008-04-06,13399.0,13598.75,13261.0,13318.75,520,13172.75
2008-04-07,13449.0,13450.0,12851.0,13025.75,1300,13318.75
2008-04-08,13400.0,13626.0,13300.0,13625.75,755,13025.75
2008-04-09,14225.0,14225.25,14224.5,14225.0,675,13625.75
2008-04-10,14300.0,14560.0,13700.0,13720.5,785,14225.0
2008-04-13,13800.0,14000.0,13800.0,13888.25,375,13720.5
2008-04-15,13675.0,13999.0,13610.25,13681.5,395,13888.25
2008-04-16,13690.0,13690.0,13305.0,13386.0,345,13681.5
2008-04-17,13600.0,13950.0,13262.0,13761.0,760,13386.0
2008-04-20,13658.0,13860.0,13561.0,13699.75,335,13761.0
2008-04-21,13600.0,14000.0,13600.0,13670.75,680,13699.75
2008-04-22,13500.0,13750.0,13500.0,13612.5,340,13670.75
2008-04-23,13500.0,14212.75,13410.0,14189.75,1030,13612.5
2008-04-24,14789.0,14789.0,13722.0,13873.5,675,14189.75
2008-04-27,13700.0,14450.0,13659.0,14281.0,1285,13873.5
2008-04-28,14600.0,14850.0,14105.0,14316.5,1470,14281.0
2008-04-29,14400.0,14598.0,14250.0,14284.5,580,14316.5
2008-04-30,14206.0,14206.0,13850.0,13907.0,265,14284.5
2008-05-04,13600.0,13850.0,13600.0,13803.75,245,13907.0
2008-05-05,13611.0,14401.0,13611.0,14365.75,985,13803.75
