date,open,high,low,close,volume,prev_closing_price
2010-02-18,799.0,929.0,799.0,812.25,100950,100.0
2010-02-22,790.0,800.0,732.0,761.5,35850,812.25
2010-02-23,755.0,810.0,746.0,782.0,16350,761.5
2010-02-24,817.0,840.0,789.0,798.75,27750,782.0
2010-02-25,760.0,798.75,760.0,776.75,13050,798.75
2010-02-28,753.0,784.0,753.0,763.25,8750,776.75
2010-03-01,791.0,800.0,762.0,796.0,13300,763.25
2010-03-02,790.0,800.0,775.0,777.75,10650,796.0
2010-03-03,782.0,785.0,775.25,775.75,11700,777.75
2010-03-04,794.0,801.25,770.25,774.5,14050,775.75
2010-03-07,752.0,794.0,752.0,755.5,11400,774.5
2010-03-08,752.5,765.0,740.0,742.5,9850,755.5
2010-03-09,751.0,751.0,712.0,722.0,9200,742.5
2010-03-10,725.5,738.0,721.25,725.25,4800,722.0
2010-03-11,725.0,742.0,721.0,739.0,5900,725.25
2010-03-14,730.0,734.0,722.0,725.25,7400,739.0
2010-03-15,720.0,725.75,707.0,720.5,11150,725.25
2010-03-16,725.0,754.5,725.0,749.25,8000,720.5
2010-03-18,748.0,758.0,740.75,747.5,9500,749.25
2010-03-21,715.0,750.0,715.0,745.0,8050,747.5
2010-03-22,750.0,770.0,750.0,756.25,15000,745.0
2010-03-23,751.0,771.75,745.0,750.25,14400,756.25
2010-03-24,770.0,770.0,752.0,756.75,9350,750.25
2010-03-25,765.0,765.0,752.5,755.25,9150,756.75
2010-03-28,760.0,766.0,745.25,749.0,8200,755.25
2010-03-29,742.0,760.0,735.25,754.0,8750,749.0
2010-03-30,755.0,764.0,745.5,749.5,6650,754.0
2010-03-31,745.5,765.0,745.5,759.5,9050,749.5
2010-04-01,745.0,770.0,745.0,762.5,14500,759.5
2010-04-04,758.0,770.0,758.0,767.5,14050,762.5
2010-04-05,770.0,770.0,756.0,760.25,7600,767.5
2010-04-06,754.0,763.5,749.5,754.5,12800,760.25
2010-04-07,752.0,756.0,741.5,744.25,3200,754.5
2010-04-08,740.5,764.0,740.5,760.0,11600,744.25
2010-04-11,746.0,760.0,740.0,747.25,8450,760.0
2010-04-12,743.0,745.0,735.0,737.5,4950,747.25
2010-04-13,732.25,737.75,726.0,728.5,4900,737.5
2010-04-15,725.0,738.75,720.0,726.25,5100,728.5
2010-04-18,720.25,720.25,700.0,707.25,7650,726.25
2010-04-19,701.0,723.0,701.0,716.75,8750,707.25
2010-04-20,717.0,732.0,717.0,725.5,6300,716.75
2010-04-21,734.5,759.0,727.5,738.0,14700,725.5
2010-04-22,740.0,751.0,726.25,732.75,9750,738.0
2010-04-25,750.0,768.75,729.25,752.5,27250,732.75
2010-04-26,744.75,795.0,744.75,785.5,41650,752.5
2010-04-27,765.0,816.0,765.0,803.5,43400,785.5
2010-04-28,818.0,819.0,799.0,815.75,70450,803.5
2010-04-29,835.0,990.0,835.0,947.5,194950,815.75
2010-05-02,950.0,988.0,926.0,938.75,81600,947.5
2010-05-03,950.0,999.0,937.0,991.5,104700,938.75
2010-05-04,985.0,1024.0,966.0,975.75,85400,991.5
2010-05-05,975.5,987.0,961.5,971.5,47000,975.75
2010-05-06,972.0,979.0,936.0,939.5,64500,971.5
2010-05-09,938.0,950.0,923.5,930.5,38300,939.5
2010-05-10,930.5,0.0,0.0,930.5,0,930.5
2010-05-11,915.0,945.0,915.0,926.75,57650,915.5
2010-05-12,915.0,939.0,909.0,913.25,47600,926.75
2010-05-13,916.0,937.75,898.25,916.25,62500,913.25
2010-05-16,910.0,923.0,880.25,886.75,62400,916.25
2010-05-17,885.0,894.0,852.75,858.25,45800,886.75
2010-05-18,861.0,895.0,847.0,888.75,35050,858.25
2010-05-19,865.0,885.0,850.0,855.5,15750,888.75
2010-05-20,851.0,876.75,851.0,862.25,15400,855.5
2010-05-23,870.0,879.0,856.0,857.0,18050,862.25
2010-05-24,851.5,859.0,821.0,830.0,17500,857.0
2010-05-25,811.25,845.0,811.25,818.25,12400,830.0
2010-05-26,818.0,845.0,810.0,841.75,32150,818.25
2010-05-30,841.0,856.0,829.0,831.0,13600,841.75
2010-05-31,838.0,846.5,821.25,840.0,18800,831.0
2010-06-01,840.0,853.0,832.25,839.0,15600,840.0
2010-06-02,848.0,855.0,830.25,833.25,18750,839.0
2010-06-03,845.0,845.0,835.5,842.0,16100,833.25
2010-06-06,848.25,868.0,838.25,850.75,25900,842.0
2010-06-07,850.0,850.0,825.0,834.0,10150,850.75
2010-06-08,848.0,849.75,835.0,836.0,4300,834.0
2010-06-09,837.0,850.25,831.5,836.75,16500,836.0
2010-06-10,833.0,836.0,830.0,833.0,10400,836.75
2010-06-13,824.0,838.0,824.0,829.75,12900,833.0
2010-06-14,836.25,875.0,830.0,862.25,29800,829.75
2010-06-15,864.0,872.0,850.25,856.0,16400,862.25
2010-06-16,855.75,856.0,821.0,834.75,10550,856.0
2010-06-17,830.25,831.0,815.0,824.75,9100,834.75
2010-06-20,817.5,820.0,790.5,795.0,12950,824.75
2010-06-21,775.5,808.0,775.5,794.25,6000,795.0
2010-06-22,782.0,810.0,782.0,785.75,7600,794.25
2010-06-23,791.0,798.75,783.75,786.5,11000,785.75
2010-06-24,790.0,800.0,781.0,782.75,5000,786.5
2010-06-27,770.0,795.0,765.0,785.5,5700,782.75
2010-06-28,771.25,795.0,771.25,781.0,4000,785.5
2010-06-29,781.0,781.0,770.25,772.75,4950,781.0
2010-06-30,775.0,790.0,775.0,779.25,12850,772.75
2010-07-04,809.0,809.0,779.0,780.25,6900,779.25
2010-07-05,799.5,824.5,795.0,820.5,18050,780.25
2010-07-06,832.0,850.0,822.0,830.5,22200,820.5
2010-07-07,840.0,846.5,820.0,838.75,18450,830.5
2010-07-08,832.0,854.0,830.0,843.25,19100,838.75
2010-07-11,822.25,898.0,822.25,862.0,41900,843.25
2010-07-12,873.0,876.75,857.0,872.75,23050,862.0
2010-07-13,876.0,896.75,871.0,888.5,25650,872.75
2010-07-14,894.0,894.0,861.5,869.0,22150,888.5
2010-07-15,870.0,885.0,854.0,865.25,21800,869.0
2010-07-18,857.25,867.75,845.5,850.5,10700,865.25
2010-07-19,865.0,865.0,853.25,860.75,11500,850.5
2010-07-20,870.0,888.0,857.25,861.25,15500,860.75
2010-07-21,877.75,877.75,852.0,868.25,21400,861.25
2010-07-22,870.0,893.0,866.5,876.75,31000,868.25
2010-07-25,870.0,882.0,860.0,863.25,21550,876.75
2010-07-26,875.0,879.75,867.25,869.0,6950,863.25
2010-07-27,867.0,923.5,867.0,902.75,50450,869.0
2010-07-29,929.75,930.0,898.0,903.75,35700,902.75
2010-08-01,900.0,903.0,875.0,888.75,21550,903.75
2010-08-02,882.25,885.0,870.0,876.25,15950,888.75
2010-08-03,879.0,919.75,879.0,898.0,26250,876.25
2010-08-04,900.0,930.0,900.0,912.75,34450,898.0
2010-08-05,924.0,969.75,921.0,965.0,83950,912.75
2010-08-08,955.0,980.0,932.0,940.5,37950,965.0
2010-08-09,971.0,971.0,940.0,948.75,27450,940.5
2010-08-10,968.0,968.0,921.0,926.75,26950,948.75
