date,open,high,low,close,volume,prev_closing_price
2008-03-06,66.5,66.5,66.5,66.5,10,66.5
2008-03-09,66.5,0.0,0.0,66.5,0,66.5
2008-03-09,66.5,0.0,0.0,66.5,0,66.5
2008-03-10,66.5,0.0,0.0,66.5,0,66.5
2008-03-11,70.0,70.0,70.0,70.0,30,66.5
2008-03-12,70.0,0.0,0.0,70.0,0,70.0
2008-03-13,67.5,67.5,67.5,67.5,10,70.0
2008-03-16,67.5,0.0,0.0,67.5,0,67.5
2008-03-17,68.0,68.25,68.0,68.0,20,67.5
2008-03-18,68.75,68.75,68.75,68.75,20,68.0
2008-03-19,73.0,74.0,73.0,73.5,100,68.75
2008-03-20,73.5,0.0,0.0,73.5,0,73.5
2008-03-23,78.0,82.0,74.25,76.75,60,73.5
2008-03-24,76.75,0.0,0.0,76.75,0,76.75
2008-03-25,76.75,0.0,0.0,0.0,0,76.75
2008-03-30,76.75,0.0,0.0,76.75,0,76.75
2008-03-31,76.75,0.0,0.0,76.75,0,76.75
2008-04-01,76.75,0.0,0.0,76.75,0,76.75
2008-04-02,76.75,0.0,0.0,76.75,0,76.75
2008-04-03,80.0,80.0,80.0,80.0,20,76.75
2008-04-06,80.0,0.0,0.0,80.0,0,80.0
2008-04-07,80.0,0.0,0.0,80.0,0,80.0
2008-04-08,80.0,0.0,0.0,80.0,0,80.0
2008-04-09,80.0,80.0,79.0,79.5,20,80.0
2008-04-10,72.5,72.5,72.5,72.5,20,79.5
2008-04-13,72.0,75.0,72.0,74.75,1040,72.5
2008-04-15,74.75,0.0,0.0,74.75,0,74.75
2008-04-16,75.0,75.0,75.0,75.0,20,74.75
2008-04-17,75.0,75.0,75.0,75.0,500,75.0
2008-04-20,72.0,72.0,72.0,72.0,20,75.0
2008-04-21,70.25,70.25,70.25,70.25,40,72.0
2008-04-22,72.0,75.0,71.0,72.0,530,70.25
2008-04-23,72.0,0.0,0.0,72.0,0,72.0
2008-04-24,72.0,0.0,0.0,72.0,0,72.0
2008-04-27,72.0,0.0,0.0,72.0,0,72.0
2008-04-28,72.0,0.0,0.0,72.0,0,72.0
2008-04-29,72.0,0.0,0.0,72.0,0,72.0
2008-04-30,69.0,69.0,69.0,69.0,160,72.0
2008-05-04,65.5,65.5,65.5,65.5,20,69.0
2008-05-05,65.25,65.25,65.25,65.25,100,65.5
2008-05-06,65.25,0.0,0.0,65.25,0,65.25
2008-05-07,63.0,63.0,63.0,63.0,50,65.25
2008-05-08,62.25,62.25,62.0,62.0,130,63.0
2008-05-11,62.0,0.0,0.0,62.0,0,62.0
2008-05-12,62.0,0.0,0.0,62.0,0,62.0
2008-05-13,62.0,0.0,0.0,62.0,0,62.0
2008-05-14,62.0,0.0,0.0,62.0,0,62.0
2008-05-15,62.0,0.0,0.0,62.0,0,62.0
2008-05-18,62.0,0.0,0.0,62.0,0,62.0
2008-05-20,63.25,63.25,63.0,63.0,70,62.0
2008-05-21,63.0,0.0,0.0,63.0,0,63.0
2008-05-22,63.0,0.0,0.0,63.0,0,63.0
