date,open,high,low,close,volume,prev_closing_price
2008-03-06,51.0,55.0,51.0,54.0,1210,47.25
2008-03-09,57.0,57.0,52.25,53.0,4260,54.0
2008-03-09,57.0,57.0,52.25,53.0,4260,54.0
2008-03-10,51.5,55.75,51.5,53.0,4760,53.0
2008-03-11,48.0,48.0,48.0,48.0,10,53.0
2008-03-12,45.0,45.5,45.0,45.25,20,48.0
2008-03-13,49.75,49.75,48.0,48.5,1400,45.25
2008-03-16,53.25,55.75,53.25,54.5,1320,48.5
2008-03-17,57.0,58.0,56.0,57.0,1870,54.5
2008-03-18,57.75,57.75,57.5,57.5,770,57.0
2008-03-19,54.25,69.0,54.25,67.5,7730,57.5
2008-03-20,73.5,81.0,73.5,80.5,630,67.5
2008-03-23,88.0,96.5,88.0,96.5,4860,80.5
2008-03-24,97.0,101.0,85.0,88.75,2970,96.5
2008-03-25,88.0,92.0,75.75,0.0,920,88.75
2008-03-30,81.0,87.5,80.5,83.75,1280,83.75
2008-03-31,80.5,87.0,80.5,82.25,840,83.75
2008-04-01,83.25,83.25,75.75,81.25,580,82.25
2008-04-02,82.0,82.0,73.0,74.25,690,81.25
2008-04-03,79.0,79.0,67.25,68.5,1320,74.25
2008-04-06,70.0,74.0,67.0,69.25,320,68.5
2008-04-07,64.5,69.5,64.5,66.5,410,69.25
2008-04-08,65.25,69.0,65.0,67.25,670,66.5
2008-04-09,70.0,70.0,70.0,70.0,100,67.25
2008-04-10,67.5,72.0,67.5,69.5,280,70.0
2008-04-13,75.0,75.0,74.0,74.75,890,69.5
2008-04-15,74.75,0.0,0.0,74.75,0,74.75
2008-04-16,75.0,75.0,72.0,72.5,530,74.75
2008-04-17,70.25,70.25,70.0,70.0,500,72.5
2008-04-20,68.0,68.0,68.0,68.0,80,70.0
2008-04-21,70.0,70.0,64.0,65.5,470,68.0
2008-04-22,71.0,74.0,71.0,71.25,210,65.5
2008-04-23,72.0,85.0,72.0,74.5,260,71.25
2008-04-24,80.0,84.0,78.25,79.25,1510,74.5
2008-04-27,75.5,80.0,75.5,77.5,400,79.25
2008-04-28,73.25,73.25,73.0,73.0,200,77.5
2008-04-29,71.5,71.5,71.5,71.5,100,73.0
2008-04-30,71.5,0.0,0.0,71.5,0,71.5
2008-05-04,68.0,68.0,65.0,67.0,180,71.5
2008-05-05,67.0,0.0,0.0,67.0,0,67.0
2008-05-06,67.0,0.0,0.0,67.0,0,67.0
2008-05-07,64.5,65.0,63.0,64.0,950,67.0
2008-05-08,69.0,70.0,65.25,68.25,430,64.0
2008-05-11,70.0,71.0,66.25,69.25,160,68.25
2008-05-12,65.75,65.75,62.25,64.75,140,69.25
2008-05-13,70.0,70.0,64.0,66.5,560,64.75
2008-05-14,65.25,65.25,63.75,64.5,240,66.5
2008-05-15,66.0,74.0,66.0,69.25,1020,64.5
2008-05-18,69.25,0.0,0.0,69.25,0,69.25
2008-05-20,69.25,0.0,0.0,69.25,0,69.25
2008-05-21,65.0,65.0,65.0,65.0,60,69.25
2008-05-22,65.25,65.25,65.25,65.25,10,65.0
2008-05-25,67.0,67.25,67.0,67.0,1030,65.25
2008-05-26,67.25,67.5,67.0,67.25,230,67.0
2008-05-27,67.25,0.0,0.0,67.25,0,67.25
2008-05-28,66.5,67.0,66.0,66.25,460,67.25
2008-05-29,67.0,67.0,66.5,66.75,120,66.25
2008-06-01,66.0,66.0,62.0,64.0,1110,66.75
2008-06-02,62.0,64.75,62.0,63.5,80,64.0
2008-06-03,69.0,70.0,69.0,69.5,150,63.5
2008-06-04,71.0,72.25,70.0,70.75,1420,69.5
2008-06-05,66.0,66.0,66.0,66.0,50,70.75
2008-06-08,71.5,71.5,68.25,69.25,360,66.0
2008-06-09,69.25,0.0,0.0,69.25,0,69.25
2008-06-10,66.5,68.5,66.5,68.0,330,69.25
2008-06-11,68.0,68.5,65.5,67.75,830,68.0
2008-06-12,65.5,65.5,65.5,65.5,100,67.75
2008-06-15,64.5,64.5,64.5,64.5,50,65.5
2008-06-16,64.25,64.25,60.5,0.0,70,64.5
2008-06-17,63.25,64.0,63.25,63.5,250,63.0
2008-06-18,63.5,0.0,0.0,0.0,0,63.5
2008-06-19,64.5,64.5,64.25,64.25,250,63.5
2008-06-22,64.25,0.0,0.0,0.0,0,64.25
2008-06-23,63.0,63.0,63.0,0.0,100,64.25
2008-06-24,63.0,0.0,0.0,63.0,0,63.0
2008-06-25,63.0,0.0,0.0,63.0,0,63.0
2008-06-26,63.0,0.0,0.0,63.0,0,63.0
2008-06-29,63.0,0.0,0.0,63.0,0,63.0
2008-06-30,63.0,0.0,0.0,63.0,0,63.0
2008-07-02,63.0,0.0,0.0,63.0,0,63.0
2008-07-03,63.0,0.0,0.0,63.0,0,63.0
2008-07-06,63.0,0.0,0.0,63.0,0,63.0
2008-07-07,63.0,0.0,0.0,63.0,0,63.0
2008-07-08,63.0,0.0,0.0,63.0,0,63.0
2008-07-08,63.0,0.0,0.0,63.0,0,63.0
2008-07-09,63.0,0.0,0.0,63.0,0,63.0
