date,open,high,low,close,volume,prev_closing_price
2008-03-06,399.0,410.0,388.0,389.0,8460,383.75
2008-03-09,382.0,382.0,371.0,374.0,2100,389.0
2008-03-09,382.0,382.0,371.0,374.0,2100,389.0
2008-03-10,370.0,388.0,370.0,382.75,1860,374.0
2008-03-11,382.75,390.0,380.0,380.5,3560,382.75
2008-03-12,377.0,384.0,370.0,373.25,1000,380.5
2008-03-13,365.5,365.5,360.0,0.0,820,373.25
2008-03-16,363.5,363.5,361.0,362.0,620,361.0
2008-03-17,361.0,361.0,352.0,355.5,740,362.0
2008-03-18,355.5,360.0,355.0,356.5,260,355.5
2008-03-19,356.25,370.0,356.25,370.0,1720,356.5
2008-03-20,378.0,378.0,366.0,371.75,820,370.0
2008-03-23,353.25,370.0,352.25,358.5,2020,371.75
2008-03-24,350.0,370.0,350.0,359.5,500,358.5
2008-03-25,370.0,370.0,355.0,357.75,1960,359.5
2008-03-30,388.0,388.0,365.0,374.25,380,357.75
2008-03-31,370.0,373.0,362.0,368.25,60,374.25
2008-04-01,362.0,362.0,340.5,356.5,1080,368.25
2008-04-02,360.0,360.0,350.0,354.25,520,356.5
2008-04-03,355.0,370.0,355.0,361.0,2320,354.25
2008-04-06,380.0,388.0,360.0,373.5,2040,361.0
2008-04-07,370.0,403.0,370.0,396.75,4960,373.5
2008-04-08,398.75,405.0,388.0,399.0,3320,396.75
2008-04-09,409.0,410.0,386.5,395.5,1440,399.0
2008-04-10,399.0,410.0,399.0,406.25,5260,395.5
2008-04-13,418.5,477.25,418.5,467.25,11020,406.25
2008-04-15,470.25,500.0,435.0,440.75,3800,467.25
2008-04-16,445.0,445.0,415.0,419.75,3460,440.75
2008-04-17,413.0,424.0,390.0,392.25,2980,419.75
2008-04-20,409.0,412.0,396.0,402.25,1680,392.25
2008-04-21,396.0,440.0,396.0,432.5,4220,402.25
2008-04-22,429.0,429.0,400.0,409.75,2560,432.5
2008-04-23,420.0,420.0,400.0,405.25,1660,409.75
2008-04-24,400.0,400.25,390.0,395.25,2360,405.25
2008-04-27,438.0,438.0,391.0,395.0,3460,395.25
2008-04-28,426.5,430.0,395.25,399.5,3260,395.0
2008-04-29,400.0,400.0,392.0,395.75,1740,399.5
2008-04-30,391.0,392.25,385.0,389.75,1240,395.75
2008-05-04,385.75,390.0,385.0,386.0,220,389.75
2008-05-05,380.0,390.0,380.0,387.75,300,386.0
2008-05-06,400.0,408.0,393.0,402.75,4360,387.75
2008-05-07,395.0,396.25,392.0,394.0,1820,402.75
2008-05-08,404.0,404.0,390.0,393.0,1260,394.0
2008-05-11,388.75,400.0,388.75,393.75,720,393.0
2008-05-12,401.0,405.0,391.0,400.0,1400,393.75
2008-05-13,405.0,409.0,390.0,395.5,1880,400.0
2008-05-14,393.0,398.0,385.0,390.0,800,395.5
2008-05-15,390.25,400.0,390.25,398.25,2380,390.0
2008-05-18,400.0,404.0,397.0,399.0,3200,398.25
2008-05-20,408.75,438.0,400.0,431.75,8360,399.0
2008-05-21,439.0,442.5,423.0,429.0,5420,431.75
2008-05-22,429.0,489.0,420.0,479.5,15360,429.0
2008-05-25,435.0,554.25,435.0,554.0,5620,479.5
2008-05-26,589.75,629.0,540.0,593.75,10400,554.0
2008-05-27,595.0,596.0,504.75,512.0,2000,593.75
2008-05-28,530.0,550.0,525.0,541.0,3420,512.0
2008-05-29,555.0,560.0,526.0,530.0,3520,541.0
2008-06-01,500.0,510.0,490.0,498.5,3280,530.0
2008-06-02,513.0,550.0,513.0,542.5,2540,498.5
2008-06-03,558.0,609.0,542.0,597.25,6660,542.5
2008-06-04,600.0,617.5,562.25,570.5,2580,597.25
2008-06-05,550.0,605.0,550.0,594.5,2320,570.5
2008-06-08,630.0,669.0,626.0,637.25,3600,594.5
2008-06-09,600.0,600.0,553.0,586.0,2260,637.25
2008-06-10,530.0,600.0,530.0,569.0,2340,586.0
2008-06-11,551.0,551.0,521.0,528.75,1780,569.0
2008-06-12,545.0,545.0,531.0,543.0,1660,528.75
2008-06-15,491.0,491.0,489.5,0.0,80,543.0
2008-06-16,460.0,495.0,460.0,0.0,80,490.0
2008-06-17,510.0,545.0,500.0,526.25,2360,470.75
2008-06-18,536.0,545.0,529.0,0.0,1100,526.25
2008-06-19,565.0,565.0,520.0,524.75,1620,535.0
2008-06-22,503.0,520.0,495.0,0.0,1140,524.75
2008-06-23,510.0,514.0,510.0,0.0,280,499.25
2008-06-24,500.0,530.0,500.0,519.75,1040,511.25
2008-06-25,540.0,540.0,522.0,530.5,1340,519.75
2008-06-26,535.0,570.0,532.0,559.5,5960,530.5
2008-06-29,552.0,578.0,552.0,565.0,3060,559.5
2008-06-30,552.0,560.0,530.0,533.0,2140,565.0
2008-07-02,523.25,526.0,506.0,508.75,1360,533.0
2008-07-03,495.0,515.0,490.0,498.0,2300,508.75
2008-07-06,506.0,511.0,505.0,506.0,980,498.0
2008-07-07,507.75,525.0,507.75,516.25,2680,506.0
2008-07-08,512.0,524.0,505.0,507.75,2000,516.25
2008-07-08,512.0,524.0,505.0,507.75,2000,516.25
2008-07-09,504.0,504.0,503.0,503.5,120,507.75
2008-07-10,508.25,508.25,487.0,500.0,1160,503.5
2008-07-13,505.25,520.0,505.25,516.0,940,500.0
2008-07-14,521.75,521.75,496.25,501.5,2080,516.0
2008-07-15,499.5,499.5,495.0,498.0,420,501.5
2008-07-16,480.0,483.0,473.25,478.0,940,498.0
2008-07-17,487.0,487.0,471.0,478.5,1280,478.0
2008-07-20,463.0,473.0,440.75,458.25,1740,478.5
2008-07-21,455.0,455.0,410.0,424.0,1560,458.25
2008-07-22,425.0,425.0,409.75,416.75,1540,424.0
2008-07-23,444.0,444.0,401.0,414.75,1540,416.75
2008-07-24,425.0,486.75,425.0,479.75,7780,414.75
2008-07-27,485.0,489.0,467.0,470.75,1960,479.75
2008-07-28,500.0,500.0,450.0,459.0,2660,470.75
2008-07-29,439.0,440.0,427.0,437.75,1560,459.0
2008-07-30,411.0,460.0,411.0,436.0,2360,437.75
2008-07-31,430.0,430.0,422.0,426.75,960,436.0
2008-08-03,403.0,405.5,403.0,404.75,1580,426.75
2008-08-04,407.5,410.25,407.0,408.5,440,404.75
2008-08-05,408.0,418.0,408.0,414.5,1440,408.5
2008-08-06,428.0,448.0,411.75,423.0,1300,414.5
2008-08-07,416.0,416.0,410.0,412.0,760,423.0
2008-08-10,410.0,410.0,400.0,403.75,620,412.0
2008-08-11,380.0,400.0,380.0,390.75,180,403.75
2008-08-12,405.0,410.0,389.0,396.75,1080,390.75
2008-08-13,400.0,400.0,385.0,385.5,820,396.75
2008-08-14,390.0,395.0,390.0,393.0,100,385.5
2008-08-18,385.0,385.0,361.0,375.0,1000,393.0
2008-08-19,362.0,374.0,350.0,350.25,2480,375.0
2008-08-20,361.0,361.25,360.0,360.0,740,350.25
2008-08-21,374.0,389.0,373.5,373.5,5060,360.0
2008-08-25,377.0,378.0,367.0,374.25,700,373.5
2008-08-26,380.0,404.75,380.0,399.0,3460,374.25
2008-08-27,409.0,409.0,390.0,391.75,1540,399.0
2008-08-28,407.0,437.0,405.75,426.0,3500,391.75
2008-08-31,435.0,438.0,420.25,425.25,1920,426.0
2008-09-01,422.0,425.0,410.0,415.0,2680,425.25
2008-09-02,420.0,438.0,420.0,435.75,3180,415.0
2008-09-03,442.75,460.0,431.75,441.0,6140,435.75
2008-09-04,432.0,445.0,432.0,440.75,2260,441.0
2008-09-07,438.0,489.0,438.0,470.75,5780,440.75
2008-09-08,500.0,510.0,490.0,504.5,7080,470.75
2008-09-09,491.25,503.0,480.0,498.5,3540,504.5
2008-09-10,490.0,502.0,486.0,493.5,1360,498.5
2008-09-11,490.0,490.0,470.0,471.5,2580,493.5
2008-09-14,474.0,474.0,460.0,461.0,260,471.5
2008-09-15,455.0,461.0,452.0,452.75,1780,461.0
2008-09-16,456.0,456.0,445.25,449.5,1480,452.75
2008-09-17,442.5,445.0,434.0,437.5,1560,449.5
2008-09-18,450.0,454.0,442.0,445.0,1420,437.5
2008-09-21,455.0,475.0,445.25,467.75,1300,445.0
2008-09-22,469.0,490.0,461.0,465.5,1760,467.75
2008-09-23,488.5,490.0,461.0,461.75,3200,465.5
2008-09-24,473.75,475.0,464.5,467.25,1060,461.75
2008-09-25,470.0,517.75,470.0,496.25,6120,467.25
2008-10-05,500.0,500.0,475.25,481.75,2700,496.25
2008-10-06,500.0,500.0,456.5,472.0,640,481.75
2008-10-07,481.0,547.0,480.25,542.25,20720,472.0
