date,open,high,low,close,volume,prev_closing_price
2008-03-06,647.0,664.0,621.0,638.75,25160,633.75
2008-03-09,660.0,667.0,620.0,625.25,10400,638.75
2008-03-09,660.0,667.0,620.0,625.25,10400,638.75
2008-03-10,639.0,644.0,618.0,636.0,14040,625.25
2008-03-11,640.0,647.0,620.0,623.25,13300,636.0
2008-03-12,630.0,630.0,605.0,608.5,6960,623.25
2008-03-13,603.0,619.75,590.0,0.0,5620,608.5
2008-03-16,598.0,617.0,590.0,593.25,9280,595.5
2008-03-17,580.0,590.0,575.25,579.0,7500,593.25
2008-03-18,609.0,609.0,565.5,572.75,7900,579.0
2008-03-19,532.0,575.0,532.0,562.75,6740,572.75
2008-03-20,550.0,581.0,550.0,568.5,3180,562.75
2008-03-23,575.0,609.0,555.0,563.75,7300,568.5
2008-03-24,578.0,579.0,557.0,559.0,3040,563.75
2008-03-25,570.0,575.0,543.0,548.25,5260,559.0
2008-03-30,592.5,592.5,571.0,583.75,11560,548.25
2008-03-31,575.0,584.0,560.0,568.5,2680,583.75
2008-04-01,561.5,584.75,551.0,562.5,6140,568.5
2008-04-02,555.0,569.0,551.0,554.25,3900,562.5
2008-04-03,575.0,575.0,553.0,563.5,4640,554.25
2008-04-06,595.0,650.0,595.0,603.5,28460,563.5
2008-04-07,620.0,683.75,607.0,680.75,46760,603.5
2008-04-08,693.0,700.0,665.0,672.25,19320,680.75
2008-04-09,662.25,690.5,626.25,645.0,19720,672.25
2008-04-10,637.0,688.0,636.0,675.25,23100,645.0
2008-04-13,690.0,776.5,689.0,776.5,42860,675.25
2008-04-15,840.0,840.0,730.0,774.0,31760,776.5
2008-04-16,780.0,780.0,741.0,747.25,17060,774.0
2008-04-17,760.0,760.0,700.0,713.0,15840,747.25
2008-04-20,750.0,760.0,690.0,714.0,11480,713.0
2008-04-21,740.0,754.0,725.0,732.75,19320,714.0
2008-04-22,741.0,741.0,719.0,721.25,9660,732.75
2008-04-23,725.0,740.0,720.0,726.25,13800,721.25
2008-04-24,730.0,736.0,712.5,721.5,12040,726.25
2008-04-27,740.0,745.0,696.5,704.0,25900,721.5
2008-04-28,708.0,725.0,696.0,703.5,32880,704.0
2008-04-29,702.5,714.25,698.0,701.5,17480,703.5
2008-04-30,706.0,714.0,684.5,692.5,34120,701.5
2008-05-04,710.0,728.0,690.0,702.5,32880,692.5
2008-05-05,702.5,0.0,0.0,702.5,0,702.5
2008-05-06,585.0,621.0,585.0,604.0,47720,702.5
2008-05-07,602.0,610.0,570.0,572.75,6820,604.0
2008-05-08,580.0,594.0,568.0,572.0,9860,572.75
2008-05-11,580.0,627.0,580.0,619.75,20740,572.0
2008-05-12,628.0,668.0,628.0,642.75,24280,619.75
2008-05-13,666.0,666.0,625.25,630.25,23500,642.75
2008-05-14,626.0,639.75,626.0,636.25,13860,630.25
2008-05-15,635.0,696.0,635.0,678.5,29820,636.25
2008-05-18,699.0,760.0,699.0,745.5,27160,678.5
2008-05-20,779.0,857.25,765.0,857.25,50480,745.5
2008-05-21,897.0,897.0,835.0,845.75,41140,857.25
2008-05-22,869.0,970.75,852.0,970.0,67380,845.75
