date,open,high,low,close,volume,prev_closing_price
2011-05-22,0.0,0.0,0.0,0.0,0,0.0
2011-05-23,10.0,10.0,10.0,10.0,5000,10.0
2011-05-24,10.0,10.0,9.9,9.9,2500,10.0
2011-05-25,10.1,10.1,10.0,10.0,1000,9.9
2011-05-26,9.9,10.1,9.9,10.0,4000,10.0
2011-05-29,10.0,10.1,10.0,10.0,2000,10.0
2011-05-30,10.3,10.3,10.0,10.2,2500,10.0
2011-05-31,10.0,10.1,10.0,10.0,3000,10.2
2011-06-01,10.3,10.3,10.0,10.1,10500,10.0
2011-06-02,10.2,10.2,10.1,10.1,2000,10.1
2011-06-05,9.9,10.1,9.9,10.0,2000,10.1
2011-06-06,10.1,10.3,10.0,10.1,4000,10.0
2011-06-07,9.9,9.9,9.9,9.9,500,10.1
2011-06-08,10.0,10.0,9.9,9.9,1000,9.9
2011-06-09,9.9,0.0,0.0,9.9,0,9.9
2011-06-12,9.9,0.0,0.0,9.9,0,9.9
2011-06-13,9.9,0.0,0.0,9.9,0,9.9
2011-06-14,9.1,9.1,9.1,9.1,500,9.9
2011-06-15,10.0,10.0,10.0,10.0,3500,9.1
2011-06-16,10.2,10.2,10.0,10.1,9000,10.0
2011-06-19,10.0,10.1,10.0,10.0,4500,10.1
2011-06-20,10.0,10.0,10.0,10.0,500,10.0
2011-06-21,9.0,10.1,9.0,9.8,5500,10.0
2011-06-22,10.1,10.1,10.1,10.1,3000,9.8
2011-06-23,10.0,10.1,10.0,10.0,3000,10.1
2011-06-26,9.9,10.1,9.9,10.0,3000,10.0
2011-06-27,9.9,10.0,9.8,9.9,4000,10.0
2011-06-28,10.1,10.1,10.1,10.1,3000,9.9
2011-06-29,9.9,9.9,9.9,9.9,1000,10.1
2011-06-30,10.5,10.5,10.5,10.5,1000,9.9
2011-07-03,10.1,10.1,10.1,10.1,2000,10.5
2011-07-04,9.9,10.0,9.8,9.9,3500,10.1
2011-07-05,10.0,10.0,9.9,9.9,1500,9.9
2011-07-06,10.1,10.1,10.0,10.0,21000,9.9
2011-07-07,10.1,10.1,10.1,10.1,3000,10.0
2011-07-10,10.2,10.2,10.2,10.2,2000,10.1
2011-07-11,10.2,10.2,10.1,10.1,5000,10.2
2011-07-12,10.2,10.2,10.1,10.1,10500,10.1
2011-07-13,10.2,10.6,10.2,10.4,100000,10.1
2011-07-14,10.4,10.4,10.1,10.2,25500,10.4
2011-07-17,10.0,10.1,10.0,10.0,1500,10.2
2011-07-19,10.1,10.1,10.0,10.0,15500,10.0
2011-07-20,10.0,0.0,0.0,10.0,0,10.0
2011-07-21,10.2,10.2,10.0,10.1,12500,10.0
2011-07-24,10.1,10.1,10.0,10.0,17500,10.1
2011-07-25,9.9,10.0,9.7,9.8,15500,10.0
2011-07-26,10.1,10.1,10.1,10.1,500,9.8
2011-07-27,9.9,9.9,9.9,9.9,4500,10.1
2011-07-28,9.9,10.1,9.9,10.0,4000,9.9
2011-07-31,9.9,9.9,9.6,9.7,12500,10.0
2011-08-01,9.9,9.9,9.6,9.7,7500,9.7
2011-08-02,9.7,0.0,0.0,9.7,0,9.7
2011-08-03,9.5,9.5,9.5,9.5,500,9.7
2011-08-04,9.5,0.0,0.0,9.5,0,9.5
2011-08-07,9.5,0.0,0.0,9.5,0,9.5
2011-08-08,9.5,0.0,0.0,9.5,0,9.5
2011-08-09,9.5,0.0,0.0,9.5,0,9.5
2011-08-10,9.0,9.9,9.0,9.4,2500,9.5
2011-08-11,9.9,9.9,9.6,9.7,2000,9.4
2011-08-14,9.7,9.8,9.2,9.5,2000,9.7
2011-08-16,9.0,9.7,9.0,9.3,3000,9.5
2011-08-17,9.5,9.9,9.2,9.5,1500,9.3
2011-08-18,9.6,10.0,9.5,9.6,10000,9.5
2011-08-21,10.1,10.1,10.1,10.1,500,9.6
2011-08-23,9.6,9.6,9.2,9.4,3000,10.1
2011-08-24,9.3,9.4,9.1,9.2,1500,9.4
2011-08-25,9.2,0.0,0.0,9.2,0,9.2
2011-09-04,9.2,0.0,0.0,9.2,0,9.2
2011-09-05,8.3,8.3,8.3,8.3,1500,9.2
2011-09-06,9.0,9.0,8.7,8.8,3500,8.3
2011-09-07,8.5,8.5,8.5,8.5,500,8.8
2011-09-08,8.5,8.5,8.4,8.4,8500,8.5
